"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.5965625,"Up",14448000,-11982000,-3635000,-8227000,2466000,118000,118000,2584000,749000,3333000,3333000,3333000,3333000,3333000,107837049.235427,168319685.038107,-60482635.8026801,2944022.78815242,2944022.78815242,222922366.934131,3676448.71985673,29959364.8563871,9261703.10321006,9261703.10321006,51517081.4472723,274439448.381403,9167851.52015804,6284439.81091273,6284439.81091273,52702918.109186,90035260.3212345,40812166.674924,90035260.3211972,142738178.430383,790475136.299777,-658049564.432112,-724301.916645783,131701269.95102,131701269.95102,274439448.381403,3333000,343000,1059000,-3594000,1141000,-51000,-18898000,-18953000,22000,22000,22000,-17790000,-17790000,-17790000,2809000,0,2.7751801609936,1.06558766242435,4.38889323798903,1.87039230611182,-0.002374856533157,0.06072,0.06072,0.26322,2.35595399550959,1.14139485147172,-659.821016037349,2410.14938211748
"2","2011_Q1",7.21032258064516,"Down",13657000,-13786000,-3323000,-8065000,-129000.000000002,1802000,806000,1673000,814000,2487000,2487000,2487000,2487000,2487000,126865000,54051000,72814000,1716000,1716000,133051000,1532000,3739000,6102000,6102000,11373000,144424000,9413000,3385000,3385000,52777000,72302000,35140000,72302000,125079000,781662000,-762269000,-48000,19345000,19345000,144424000,2487000,305000,-2415000,-4905000,-4528000,82000,-19163000,-18850000,99000,99000,99000,-23279000,-23279000,-23279000,176000,39979000,0.12856,0.01722,2.521,6.4657,0.27682,0.04531,0.04531,0.24881,0.35243,0.01889,-493.67045,673.53488
"3","2011_Q2",7.55507936507937,"Up",12512000,-10573000,-3156000,-7317000,1939000,127000,119000,2066000,816000,2882000,2882000,2882000,2882000,2882000,124442983.588191,13126271.6539643,111316711.934227,1581159.07061586,1581159.07061586,107456461.021956,951850.426714424,-5753182.42819355,5514765.63226331,5514765.63226331,1048889.5175759,108505350.539532,8928632.82661399,2241603.39636242,2241603.39636242,51794277.296938,60434996.5595885,33191444.441692,60434996.5596009,112229273.856539,779218954.566741,-783051228.522629,108350.638881928,-3723923.3170066,-3723923.3170066,108505350.539532,2882000,240000,496000,-12198000,-8580000,63000,-21196000,-21135000,57000,57000,57000,-29658000,-29658000,-29658000,2179000,0,-0.441929220331199,-0.201144220808117,2.03821058733699,6.44487923129606,0.353608285511052,0.05242,0.05136,0.22756,-0.0556171651698643,-0.214993283823905,-267.59342048755,-12.4998348724947
"4","2011_Q3",6.67890625,"Down",12157000,-11061000,-2809000,-8176000,1096000,125000,120000,1221000,755000,1976000,1976000,1976000,1976000,1976000,115160000,18838000,96322000,1966000,1966000,120038000,1263000,-3607182.42819355,6104000,6104000,7367000.00000001,127405000,8246000,2004000,2004000,49990000,51857000,32962000,51857000,101847000,782988000,-757411000,-19000,25558000,25558000,127405000,1976000,174000,193000,-8253000,-5910000,-110000,303000,193000,162000,162000,162000,-5555000,-5555000,-5555000,1270000,39740000,0.0773099999999995,0.0155099999999999,2.40124,3.98494,0.31192,0.03579,0.03501,0.2202,0.46293,0.0168700000000001,-59.38583,-68.8138699999996
"5","2011_Q4",6.81730158730159,"Up",41634000,-11194000,-3825000,-7456000,30440000,120000,102000,30560000,822000,31382000,31382000,31382000,31382000,31382000,111631000,39516000,72115000,2098000,2098000,136126000,1687000,5087000,6128000,6128000,12902000,149028000,8328000,1604000,1604000,48444000,42835000,31928000,42835000,91279000,783937000,-726029000,-159000,57749000,57749000,149028000,31382000,138000,701000,-29449000,2772000,-476000,18361000,17861000,45000,45000,45000,20678000,20678000,20678000,30578000,38512000,0.54342,0.21058,2.80997,1.58062,0.25842,0.56802,0.55664,0.75358,1.04527,0.22561,-2.39123,-2.40207
"6","2012_Q1",8.46935483870968,"Up",11110000,-10663000,-2668000,-8002000,446999.999999996,82000,77000,529000.000000007,802000,1331000,1331000,1331000,1331000,1331000,129103000,50107000,78996000,1470000,1470000,132476000,1586000,14897375.8387661,4306000,4306000,5892000,138368000,9562000,264000,264000,47110000,31177000,28258000,31177000,78287000,784866000,-724698000,-87000,60081000,60081000,138368000,1331000,142000,1108000,8439000,11020000,18000,-2291000,-451000,21999.9999999963,21999.9999999963,21999.9999999963,10591000,10591000,10591000,589000,37284000,0.0221499999999999,0.00961999999999999,2.81206,1.30302,0.26946,0.0240799999999999,0.02357,0.20104,1.08716,0.01035,-155.88964,-205.41163
"7","2012_Q2",7.19650793650794,"Down",11267000,-13059000,-3671000,-9388000,-1792000,123000,121000,-1669000,783000,-886000,-886000,-886000,-886000,-886000,181086000,76940000,104146000,2079000,2079000,184974000,1837000,19024000,4306000,4306000,25167000,210141000,7563000,269000,269000,36631000,29676000,27487000,29676000,66307000,869545000,-725584000,-127000,143834000,143834000,210141000,-886000,152000,1346000,-11816000,-11204000,-379000,-44837000,-45216000,83253000,83253000,83253000,26833000,26833000,26833000,-1640000,28799000,-0.00616,-0.00422,5.04966,0.461,0.13705,-0.01397,-0.01397,0.17769,2.26835,-0.00438,92.85793,84.98158
"8","2012_Q3",7.63809523809524,"Up",10569000,-11949000,-3131000,-8818000,-1380000,120000,115000,-1260000,759000,-501000,-501000.000000001,-501000.000000001,-501000.000000001,-501000.000000001,177540000,42018000,135522000,2179000,2179000,181258000,1861000,14634000,4334000,4334000,20829000,202087000,8357000,273000,273000,29152000,28202000,26742000,28202000,57354000,870961000,-726085000,-143000,144733000,144733000,202087000,-501000.000000001,166000,1560000,-8103000,-6878000,-243000,-27869000,-28087000,43000,43000,43000.0000000149,-34922000,-34922000,-34922000,-1214000,20522000,-0.00345999999999999,-0.00248,6.21769,0.39627,0.10155,-0.00755999999999999,-0.00756,0.15939,2.18271,-0.00259,129.33937,113.78116
"9","2012_Q4",7.60241935483871,"Down",9357000,-13319000,-3324000,-9860000,-3962000,125000,123000,-3837000,759000,-3078000,-3078000,-3078000,-3078000,-3078000,173961000,44488000,129473000,2688000,2688000,178018000,2034000,8865000,4334000,4334000,15233000,193251000,9546000,280000,280000,23113000,26833000,26105000,26833000,49946000,872449000,-729163000,19000,143305000,143305000,193251000,-3078000,163000,1442000,-6830000,-8303000,-282000,10990000,10655000,118000,118000,118000,2470000,2470000,2470000,-3799000,13287000,-0.02148,-0.01593,7.70207,0.34853,0.06876,-0.0464,-0.0464,0.14104,2.16009,-0.01678,42.29376,40.55376
"10","2013_Q1",10.1826666666667,"Up",21947000,-13365000,-3311000,-9097000,8582000,135000,130000,8717000,773000,9490000,9490000,9490000,9490000,9490000,173013000,63754000,109259000,2162000,2162000,189264000,1900000,480000,4335000,4335000,6715000,195979000,9005000,589000,589000,15646000,25961000,25961000,25961000,41607000,874047000,-719673000,-2000.00000000001,154372000,154372000,195979000,9490000,176000,1497000,-20072000,-8909000,-34999.9999999999,27923000,27887000,288000.000000004,288000.000000004,288000,19266000,19266000,19266000,8758000,6052000,0.06147,0.04842,12.09664,0.26952,0.03088,0.14289,0.13231,0.33045,2.32432,0.05092,-19.06383,-19.45479
