"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",25.86828125,"Up",20100000,-14977000,-13319000,-1658000,5123000,5123000,-404000,4719000,-1886000,2833000,2833000,2833000,2833000,53759000,5774000,47985000,10053000,10053000,4585000,2751000,68397000,2195000,16924000,4059000,11255000,19119000,87516000,9881000,3424000,6457000,9896000,1864000,1864000,1864000,11760000,91963000,-22223000,6063000,75756000,75756000,87516000,2833000,180000,4486000,-2207000,5292000,-247000,-247000,-6879907.43775156,672000,-3049000,1996000,1996000,1957000,5303000,0,4735000,0.25488,0.14095,0.0374,0.03237,1.67137,6.91158,0.15524,0,0.38877,0.37866,2.75828,10.39582,0.64977,0.956030013533264,0.0365,0.061,1.68698790664844,-10.13747,-10.49366
"12","2013_Q3",29.3171875,"Up",23475000,-15280000,-13525000,-1755000,8195000,8195000,-462000,7733000,-2854000,4879000,4879000,4879000,4879000,57501000,6133000,51368000,12857000,12857000,5460000,2250000,75818000,2190000,17187000,3969000,11255000,19377000,95195000,13708000,3517000,10191000,13723000,2038000,2038000,2038000,15761000,95101000,-23139000,7677000,79434000,79434000,95195000,4879000,187000,2098000,-2755000,4409000,-66000,-66000,-2988000,12000,-3892000,451000.000000001,451000.000000001,359000,8382000,0,8415000,0.34909,0.20784,0.06142,0.05125,1.72474,5.52489,0.19842,0,0.66382,0.65092,3.19393,10.80754,1.14492,0.40654,0.09656,0.10329,0.61242,-6.86006,-7.0166
"13","2013_Q4",33.1715625,"Up",22998000,-15566000,-13989000,-1577000,7432000,7432000,-599000,6833000,-2471000,4362000,4362000,4362000,4362000,67277000,12009000,55268000,12097000,12097000,6036000,1906000,85410000,2372000,17144000,3879000,11255000,19516000,104926000,19201000,3559000,15642000,19201000,2247000,2247000,2247000,21448000,98016000,-23169000,8732000,83478000,83478000,104926000,4362000,191000,1737000,3242000,9532000,-338000,-338000,-3358000,-3777000,-3376000,5818000,5818000,5876000,7623000,0,12998000,0.32316,0.18967,0.05225,0.04157,2.97983,4.44821,0.25693,0,0.59149,0.57417,3.11854,11.31966,1.76254,0.45535,0.09006,0.15162,0.76983,-8.82553,-9.05234
"14","2014_Q1",35.9654098360656,"Up",25252000,-15664000,-13549000,-2115000,9588000,9588000,-688000,8900000,-3137000,5763000,5763000,5763000,5763000,75418000,10864000,64554000,14468000,14468000,6333000,2521000,96219000,2746000,17085000,3789000,11255000,19831000,116050000,24853000,3935000,19887000,24853000,2534000,2534000,2534000,27387000,103941000,-23169000,8148000,88663000,88663000,116050000,5763000,211000,2050000,-5552000,2472000,-550000,-550000,-2984000,-9.31322574615479e-10,-2984000,-1062000,-1062000,-1145000,9799000,0,6834000,0.37969,0.22822,0.065,0.04966,1.18584,3.87152,0.30889,0,0.78774,0.70308,3.45168,12.11927,0.93413,0.40788,0.09591,0.07494,0.51779,-7.6965,-7.86587
"15","2014_Q2",36.2784126984127,"Up",25949000,-16684000,-14587000,-2097000,9265000,9265000,-652000,8613000,-3051000,5562000,5562000,5562000,5562000,62793000,17374000,45419000,14754000,14754000,5886000,2207000,83433000,2693000,15319000,3699000,11255000,18012000,101445000,9797000,4252000,5545000,9797000,1880000,1880000,1880000,11677000,106251000,-29008000,13136000,89768000,89768000,101445000,5562000,234000,5453000,3348000,14597000,-121000,-121000,-3942000,-3277000,-7888000,6588000,6588000,6510000,9499000,0,15777000,0.35705,0.21434,0.06196,0.05483,2.83657,8.51618,0.13008,0,0.74414,0.71756,3.47171,12.01004,2.1108,0.5274,0.1037,0.17215,0.70874,-6.61049,-6.77744
"16","2014_Q3",35.99171875,"Down",30905000,-16827000,-14624000,-2203000,14078000,14078000,-722000,13356000,-4765000,8591000,8591000,8591000,8591000,73835000,16063000,57772000,16685000,16685000,5016000,1620000,95536000,2676000,16981000,3610000,11255000,19657000,115193000,15008000,4167000,10841000,15008000,2190000,2190000,2190000,17198000,108936000,-29008000,18346000,97995000,97995000,115193000,8591000,234000,1110000,-7805000,2130000,-181000,-181000,-3349000,-646000,-3326000,-1377000,-1377000,-1311000,14312000,0,11091000,0.45552,0.27798,0.08767,0.07458,1.291,6.36567,0.1755,0,1.14191,1.11876,4.10788,13.02545,1.47421,0.44515,0.11918,0.11071,0.38983,-5.15896,-5.24471
"17","2014_Q4",38.09796875,"Up",28122000,-16939000,-15149000,-1790000,11183000,11183000,-591000,10592000,-3474000,7118000,7118000,7118000,7118000,89584000,16485000,73099000,13784000,13784000,6109000,1948000,109477000,2623000,20515000,3520000,11255000,23138000,132615000,25354000,4272000,15649000,25354000,2361000,2361000,2361000,27715000,116279000,-29028000,18506000,104900000,104900000,132615000,7118000,238000,-2566000,-649000,4141000,-35000,-35000,-3346000,583000,-3432000,674000,674000,422000,11421000,0,14211000,0.39766,0.25311,0.06786,0.05367,1.99649,4.31794,0.2642,0,0.94585,0.92031,3.7369,13.93929,1.88838,0.44462,0.09756,0.13249,0.47008,-7.8438,-8.01073
"18","2015_Q1",38.4559016393443,"Up",28265000,-18212000,-15928000,-2284000,10053000,10053000,-578000,9475000,-3497000,5978000,5978000,5978000,5978000,97751000,18131000,79620000,14540000,14540000,6473000,2413000,118764000,2633000,18477000,3430000,11255000,21110000,139874000,27204000,4868000,20838000,27204000,2663000,2663000,2663000,29867000,119949000,-29028000,20317000,110007000,110007000,139874000,5978000,232000,5630000,-6185000,5655000,-141000,-141000,-3325000,-669000,-3325000,2189000,2189000,1646000,10285000,0,7456000,0.35567,0.2115,0.05434,0.04274,1.24724,4.36568,0.2715,0,0.7943,0.70649,3.75558,14.61665,0.99068,0.44179,0.08257,0.06618,0.55621,-9.50423,-9.72357
"19","2015_Q2",37.7512698412698,"Down",29608000,-20403000,-17294000,-3109000,9205000,9205000,-827000,8378000,-2768000,5610000,5610000,5610000,5610000,83646000,19607000,64039000,14840000,14840000,7364000,2538000,105850000,2871000,18137000,3340000,11255000,21008000,126858000,15801000,4792000,8978000,15801000,2130000,2130000,2130000,17931000,125754000,-35893000,21685000,108927000,108927000,126858000,5610000,235000,1597000,6339000,13781000,-288000,-288000,-4855000,-5473000,-10328000,3165000,3165000,1476000,9440000,0,18259000,0.3109,0.18948,0.0515,0.04422,3.25472,6.69894,0.16461,0,0.73852,0.71364,3.89773,14.33963,2.40369,0.63913,0.09423,0.16441,0.86542,-8.86081,-9.08702
"20","2015_Q3",36.7715625,"Down",37311000,-21658000,-19205000,-2453000,15653000,15653000,-901000,14752000,-4957000,9795000,9795000,9795000,9795000,68962000,22767000,46195000,21890000,21890000,6798000,2164000,97650000,3217000,55242000,28977000,22910000,58459000,156109000,20178000,4927000,14391000,29435000,2323000,2323000,2323000,31758000,135443000,-35931000,27225000,124351000,124351000,156109000,9795000,642000,4009000,16625000,31071000,-276000,-24409000,-3888000,-34000,-3922000,2740000,2740000,3160000,16295000,0,37601000,0.41953,0.26252,0.07877,0.06274,3.8388,3.31748,0.25539,0,1.2548,1.23031,4.77977,15.93012,4.81692,0.49808,0.10802,0.29683,0.39694,-4.2321,-4.40567
