"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",42.2275,"Down",33567000,-22619000,-19553000,-3066000,10948000,10948000,-461000,10487000,-2509000,7978000,7978000,7978000,7978000,100467000,51550000,48917000,23945000,23945000,5217000,3465000,129629000,4220000,41267000,17216000,19804000,45487000,175116000,16313000,6980000,8356000,16313000,2783000,2783000,2783000,19096000,183693000,-55201000,30491000,156020000,156020000,175116000,7978000,631000,3036000,-10293000,1352000,-299000,9714000,-7332000,-5413000,-12745000,-1679000,-1679000,-2699000,11579000,0,3496000,0.32615,0.23767,0.05113,0.04556,0.43821,7.94636,0.12239,0,0.9646,0.93424,4.0585,18.86397,0.42269,0.88649,0.09641,0.02201,0.91903,-8.67666,-9.17674
"32","2018_Q3",41.9898412698413,"Down",32760000,-20822000,-17162000,-3660000,11938000,11938000,-1002000,10936000,-2944000,7992000,7992000,7992000,7992000,108814000,47301000,61513000,22903000,22903000,1853000,1853000,133570000,4088000,41609000,16798000,19804000,50697000,184267000,20100000,7144000,11724000,20100000,3026000,3026000,3026000,23126000,187469000,-55201000,32315000,161141000,161141000,184267000,7992000,639000,3028000,-4610000,7049000,-127000,-126999.999999998,-5743000,-9.31322574615479e-10,-10743000,-3821000,-3821000,-4249000,12577000,0,10784000,0.36441,0.24396,0.0496,0.04337,1.34935,6.64527,0.14351,0,0.95153,0.93546,3.9004,19.1854,1.28394,0.68376,0.08366,0.06569,0.71859,-8.65182,-9.11493
"33","2018_Q4",30.4915873015873,"Down",29854000,-21724000,-18020000,-3704000,8130000,8130000,-979000,7151000,-1783000,5368000,5368000,5368000,5368000,119089000,48086000,71003000,19832000,19832000,2897000,2308000,141818000,4120000,41264000,16379000,19804000,50809000,192627000,24740000,7295000,15247000,24740000,3215000,3215000,3215000,27955000,191164000,-55215000,31549000,164672000,164672000,192627000,5368000,638000,3522000,-2859000,6669000,-250000,-250000,-5750000,-14000,-6189000,230000,230000,785000,8768000,0,7442000,0.27233,0.17981,0.0326,0.02787,1.38636,5.73234,0.16976,0,0.63884,0.62431,3.55291,19.59752,0.88567,0.6843,0.06622,0.04433,1.07116,-13.58223,-14.64809
"34","2019_Q1",28.3708196721311,"Down",26119000,39779000,43235000,-3456000,5939000,5939000,1949000,7888000,-2475000,5413000,5413000,5413000,5413000,118230000,52449000,65781000,18429000,18429000,3080000,2731000,139739000,4454000,40867000,15961000,19804000,50746000,190485000,25695000,7710000,17620000,25695000,3641000,3641000,3641000,29336000,194218000,-58711000,30525000,161149000,161149000,190485000,5413000,631000,-9971000,20341000,16414000,-315000,-5740000,-5796000,659000,-4438000,6236000,6236000,4363000,6570000,0,29071000,0.22738,0.20724,0.03359,0.02842,5.37059,5.43837,0.18204,0,0.64526,0.6362,3.11356,19.21001,3.46545,0.69092,0.06802,0.17641,1.07076,-17.99543,-19.90739
"35","2019_Q2",24.7844444444444,"Down",23862000,-20700000,-17574000,-3126000,3162000,3162000,-1666000,1496000,-1104000,392000,392000,392000,392000,102022000,52421000,49601000,15563000,15563000,4486000,3622000,122071000,4740000,48663000,15549000,19804000,59078000,181149000,13804000,7232000,5318000,15342000,9697000,9697000,9697000,25039000,197702000,-62077000,24537000,156110000,156110000,181149000,392000,625000,3393000,6155000,10565000,-71000,-321000,-7686000,-3366000,-11052000,-808000,-808000,-28000,3787000,0,10975000,0.13251,0.01643,0.00251,0.00216,27.99745,7.95665,0.16039,0,0.04687,0.04636,2.85325,18.6665,1.31231,0.91904,0.04872,0.06619,19.60714,-26.94006,-32.26502
"36","2019_Q3",24.0821875,"Down",21709000,-17745000,-14294000,-3451000,3964000,4041000,-1385000,2656000,-795000,1861000,1861000,1861000,1861000,103912000,56310000,47602000,13680000,13680000,3502000,2680000,121094000,4637000,48080000,15771000,19804000,58392000,179486000,14495000,7230000,6734000,16016000,9484000,9484000,9484000,25500000,200132000,-62883000,20054000,153986000,153986000,179486000,1861000,636000,3014000,4985000,10496000,-331000,-331000,-6174000,0,-6980000,3185000,3185000,3889000,4600000,0,10049000,0.1826,0.08572,0.01209,0.01037,5.39979,7.56081,0.1656,0,0.22025,0.21946,2.56923,18.224,1.18928,0.73068,0.04915,0.06147,3.31757,-22.58957,-26.21393
"37","2019_Q4",24.12703125,"Up",19892000,-17852000,-14895000,-2957000,2040000,2073000,-514000,1559000,-442000,1117000,1117000,1117000,1117000,101216000,58372000,42844000,12872000,12872000,3573000,2657000,117661000,4311000,46896000,15701000,19804000,59652000,177313000,16442000,7290000,8898000,17996000,9258000,9258000,9258000,27254000,202381000,-63335000,14812000,150059000,150059000,177313000,1117000,682000,3448000,7303000,12550000,-114000,-3468000,-6119000,981000,-6571000,2511000,2511000,2062000,2722000,0,10353000,0.10255,0.05615,0.00744,0.0063,9.26858,6.53818,0.18162,0,0.1325,0.1319,2.35961,17.80013,1.22808,0.72584,0.04542,0.06498,5.47807,-37.18442,-49.61569
"38","2020_Q1",20.8458064516129,"Down",18616000,31965000,35179000,-3214000,429000,-73000,3764000,3691000,-1150000,2541000,2541000,2541000,2541000,100090000,49766000,50324000,13177000,13177000,3694000,2544000,116961000,4152000,45202000,15256000,19804000,61746000,178707000,19771000,7362000,12120000,21355000,9065000,9065000,9065000,30420000,203544000,-63281000,10967000,148287000,148287000,178707000,2541000,681000,16668000,-21329000,-1439000,-77000,-728000,-6110000,-2000,-7267000,-9434000,-9434000,-8606000,1110000,0,-19146000,0.02304,0.1365,0.01714,0.01422,-7.53483,5.47698,0.20514,0,0.30289,0.30073,2.21907,17.67612,-2.28224,0.72832,0.05498,-0.12168,2.40457,-90.17117,-233.31002
"39","2020_Q2",16.0368253968254,"Down",16669000,-6008000,-2784000,-3224000,-2007000,-1429000,1428000,-1000,1103000,1102000,1102000,1102000,1102000,82388000,45116000,37272000,11172000,11172000,2826000,2168000,96386000,3931000,46088000,14833000,19804000,61416000,157802000,10076000,4834000,4919000,11698000,7715000,7715000,7715000,19413000,206373000,-69965000,8166000,138389000,138389000,157802000,1102000,656000,15327000,-5563000,11522000,-16000,-16000,-7324000,-1120000,-13088000,-1582000,-1582000,-4650000,-1351000,0,-8033000,-0.1204,0.06611,0.00796,0.00698,-7.28947,8.23953,0.14028,0,0.13097,0.13028,1.98101,16.4467,-0.95467,0.87041,0.05767,-0.05498,6.6461,60.98298,41.05032
"40","2020_Q3",10.36703125,"Down",15875000,-5465000,-2444000,-3021000,-377000,1396000,-3213000,-1817000,-758000,-2575000,-2575000,-2575000,-2575000,74154000,43926000,30228000,10751000,10751000,2473000,1764000,87378000,3741000,44747000,14398000,19804000,60043000,147421000,7012000,1127000,5693000,8678000,7314000,7314000,7314000,15992000,208678000,-78050000,5615000,131429000,131429000,147421000,-2575000,667000,10203000,2007000,10302000,-40000,-40000,-3719000,0,-12724000,-2462000,-2462000,-1190000,290000,0,3015000,-0.02375,-0.1622,-0.01959,-0.01747,-1.17087,10.06891,0.12168,0,-0.32679,-0.32863,2.01467,16.67945,0.38263,0.47197,0.00824999999999999,0.02173,-1.44427,-255.70345,196.69496
"41","2020_Q4",10.1634375,"Down",15454000,-5739000,-2548000,-3191000,2e+05,-228000,-8090000,-8318000,-1971000,-10289000,-10289000,-10289000,-10289000,77586000,15593000,61993000,9492000,9492000,2722000,2211000,89800000,3532000,39570000,13963000,16401000,54584000,144384000,9103000,873000,8035000,10798000,7094000,7094000,7094000,17892000,209166000,-78050000,-4624000,126492000,126492000,144384000,-10289000,667000,-22222000,2938000,-28906000,-36000,-36000,0,0,0,-28942000,-28942000,-28333000,867000,0,5740000,0.01294,-0.66578,-0.08134,-0.07126,-0.55788,8.31635,0.14145,0,-1.31453,-1.31453,1.97441,16.16065,0.73334,0,-0.07702,0.04297,0,-89.48789,-387.93
"42","2021_Q1",12.9459016393443,"Up",17113000,-5305000,-2359000,-2946000,2637000,2637000,-89000.0000000009,2548000,267000,2815000,2815000,2815000,2815000,82558000,13016000,69542000,9450000,9450000,4306000,2606000,96314000,3186000,37971000,13535000,16401000,52838000,149152000,10076000,810000,9075000,11794000,6647000,6647000,6647000,18441000,210373000,-77967000,-1695000,130711000,130711000,149152000,2815000,652000,-5239000,-916000,-2687999.99999999,88000,88000.0000000005,-4.65661287307739e-10,5.82076609134674e-11,0,-2600000,-2600000,-2577000,3289000,0,2194000,0.15409,0.16449,0.02154,0.01887,0.7794,8.16636,0.14108,0,0.35956,0.35956,2.18586,16.69582,0.28024,0,0.02049,0.01597,0,-25.10125,-31.30755
"43","2021_Q2",16.1466666666667,"Up",18319000,-5611000,-2302000,-3309000,1160000,1406000,5608000,7014000,-2913000,4101000,4101000,4101000,4101000,86869000,12989000,73880000,11744000,11744000,2924000,2588000,101537000,2488000,37203000,13129000,16401000,48127000,149664000,8775000,1109000,5216000,10195000,6024000,6024000,6024000,16219000,212095000,-80255000,1605000,133445000,133445000,149664000,4101000,613000,-8416000,-3343000,-7045000,492000,9735000,-801000,-884000,-2730000,-40000,-40000,-27000,1773000,0,1835000,0.06332,0.22387,0.03073,0.0274,0.44745,9.95949,0.12154,0,0.51997,0.51797,2.32267,16.91952,0.23266,0.10156,0.03515,0.01316,0.19532,-48.99549,-74.88707
"44","2021_Q3",19.73609375,"Up",17484000,-6101000,-2412000,-3689000,1146000,1523000,-107000,1416000,-446000,970000,970000,970000,970000,92313000,17247000,75066000,9881000,9881000,2463000,2201000,104657000,2389000,36565000,12723000,16401000,47607000,152264000,10474000,1108000,7725000,11889000,5699000,5699000,5699000,17588000,213470000,-80551000,1757000,134676000,134676000,152264000,970000,596000,252000,3997000,5815000,-84000,-83999.9999999981,-817999.999999999,0,-1473000,4258000,4258000,4258000,1742000,0,6101000,0.06555,0.05548,0.0072,0.00637,6.28969,8.80284,0.13059,0,0.12299,0.12252,2.2168,17.0756,0.77355,0.10371,0.01274,0.04346,0.8433,-52.99254,-80.55236
"45","2021_Q4",16.79125,"Down",17860000,-15816000,-2071000,-13745000,2044000,2373000,-13000,2360000,-481000,1879000,1879000,1879000,1879000,76555000,18461000,58094000,9785000,9785000,2530000,2451000,88870000,2229000,35523000,12317000,16401000,46392000,135262000,11887000,1333000,9802000,13297000,6237000,6237000,6237000,19534000,194009000,-81050000,2769000,115728000,115728000,135262000,1879000,580000,19120000,711000,22290000,-21000,-21000,-20506000,0,-20970000,1299000,1299000,1214000,2624000,0,3795000,0.11445,0.10521,0.01624,0.01389,2.01969,6.68346,0.16879,0,0.23826,0.23683,2.26467,14.67445,0.48121,2.60019,0.18354,0.03112,10.91325,-29.17492,-37.45352
"46","2022_Q1",16.2879032258065,"Down",19391000,5622000,-2569000,8191000,4266000,4784000,-1571000,3213000,-4e+05,2813000,2813000,2813000,2813000,80230000,15206000,65024000,11152000,11152000,2479000,2246000,93861000,2114000,34662000,11911000,16401000,45744000,139605000,14433000,1800000,12167000,15842000,5857000,5857000,5857000,21699000,195294000,-81750000,4362000,117906000,117906000,139605000,2813000,585000,-5427000,354000,-1675000,-64000,-64000,-806999.999999996,0,-1633000,-3372000,-3372000,-3255000,4851000,0,5541000,0.22,0.14507,0.02386,0.02015,1.96978,5.92482,0.18404,0,0.35653,0.35063,2.45768,14.9438,0.70229,0.10228,0.02925,0.04477,0.28688,-16.53886,-18.80684
"47","2022_Q2",14.9503225806452,"Down",17216000,-5871000,-2522000,-3349000,1011000,1153000,-559000,594000,-544000,50000,50000,50000,50000,73491000,21148000,52343000,9738000,9738000,2642000,2407000,85871000,1967000,34174000,11506000,16401000,45145000,131016000,7360000,1724000,4646000,8829000,4927000,4927000,4927000,13756000,196674000,-82576000,3162000,117260000,117260000,131016000,50000,582000,14231000,-6093000,8770000,-30000,-30000,-1972000,-626000,-2798000,5942000,5942000,5942000,1593000,0,-3986000,0.05872,0.0029,0.00043,0.00038,-79.72,9.72602,0.11731,0,0.00638,0.00632,2.19512,14.95117,-0.50823,0.25144,0.01655,-0.03262,39.44,-46.13371,-72.69139
"48","2022_Q3",12.05578125,"Down",15603000,-6267000,-2857000,-3410000,203000,442000,-9e+05,-458000,80000,-378000,-378000,-378000,-378000,73581000,21975000,51606000,9290000,9290000,2504000,1917000,85375000,1844000,34002000,11100000,16401000,44550000,129925000,8183000,1737000,6446000,9682000,4525000,4525000,4525000,14207000,198195000,-83970000,1493000,115718000,115718000,129925000,-378000,581000,2340000,828000,3371000,-52000,-52000,-1292000,0,-2496000,823000,823000,827000,784000,0,1480000,0.01301,-0.02423,-0.00327,-0.00291,-3.91534,8.81791,0.12277,0,-0.04758,-0.04758,1.96407,14.56633,0.1863,0.16263,0.0076,0.01231,-3.41798999999999,-93.85332,-362.46798
