"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",9.0315873015873,"Up",263313000,-190500000,72813000,-74299000,-74320000,-1486000,4000,-347000,351000,-1482000,-1647000,705000,-942000,-942000,726000,-216000,-216000,64630169.1852916,64630169.1852916,851044686.481409,851044686.481409,-111347133.391345,-348284230.82233,58855082.4006561,456043491.453026,155177838.621369,-430075666.619699,3793982.97875136,-466076845.964125,32207196.3656747,-274897827.99833,181145663.454696,479125375.615261,198146094.589771,280979281.02549,615645600.987282,94853525.0452504,94853525.0452504,61622034.2060537,677267635.193336,1412303718.99857,50395981.6920913,1361907737.30648,-1846745888.58728,-19824645.1749124,-454266814.763622,-41855156.9750184,-496121971.73864,181145663.454696,-942000,5806000,2149000,-19064000,-12051000,-2414000,20000,-3039000,-328000,-104626.315187729,-104626.315187729,24000,-304000,-15394000,-15394000,-32000,-15426000,4320000,0,-17863000,0.27653,-0.00564,-0.00082,-4.22566613102222,-2.7928800342042,82.69907,-9.85233502833274,3.03599662764842,0.211514949669632,-0.00417,-0.00417,5.08473,-9.58082906462493,-0.34495,-3.44576429083838,5.29535413938826,203.47570228681,771.36113890651
"2","2011_Q3",7.17765625,"Down",292983000,-207856000,85127000,-79952000,-79931000,5175000,-789000,-369000,-420000,4386000,4551000,-1380000,3171000,3171000,774000,3945000,3945000,103855084.592646,103855084.592646,467912843.240704,467912843.240704,20709433.3043276,-159374115.411165,32797541.2003281,433103245.726513,136259919.310685,-179244333.30985,3446991.48937568,-217900922.982063,35209598.1828374,-42984413.9991649,390118831.727348,283888187.80763,116706547.294885,167181640.512745,348820800.493641,82046262.5226252,82046262.5226252,83925017.1030268,432745817.596668,780729859.499283,51146490.8460457,729583368.653238,-787586944.293638,-19674822.5874562,-26531907.3818108,-16095078.4875092,-42626985.8693199,390118831.727348,3171000,5658000,2256000,-17847000,-6762000.00000001,-2269000,-529000,-2828000,-98000,0,0,34000,-64000,-9654000,-9654000,309000,-9345000.00000001,10833000,1.86264514923096e-09,-7902999.99999999,0.29055,0.01766,0.01346,-1.85778806551111,-1.2292150171021,-2.00329999999998,-2.68301751416637,1.74801331382421,0.131157474834816,0.07608,0.0749,5.65004,-0.850834532312469,-0.15241,-1.51585714541919,2.42082206969413,89.270516143405,342.794934453255
"3","2011_Q4",8.83015873015873,"Up",291943000,-203597000,88346000,-78354000,-78354000,9992000,843000,-311000,1154000,10835000,10835000,-2451000,8384000,8384000,1626000,10010000,10010000,116902028.197549,116902028.197549,252990947.746901,252990947.746901,99804811.1014425,-43209705.137055,20399180.4001094,426488081.908838,125538306.436895,-31171777.7699499,3215663.82979189,-70044640.9940209,35657199.3942791,94366528.666945,520854610.575783,173842062.602543,70153515.7649618,103688546.837582,197637600.164547,72932420.8408751,72932420.8408751,94676672.3676756,292314272.532223,426005953.166428,51633496.9486819,374372456.217746,-175886648.097879,-19178607.5291521,230940697.539396,-2400359.49583639,228540338.04356,520854610.575783,8384000,6281000,0,14864000,29529000,-3063000,232000,-2839000,-536000,0,0,0,-536000,26154000,26154000,-178000,25976000,16273000,0,30525000,0.30261,0.03423,0.03429,-0.533842688503704,-0.354501672367367,3.04945,1.42599749527788,0.99112110460807,0.0833524916116053,0.193,0.19151,5.6289,4.36318848922918,0.58855,-0.436522381806397,0.77927735656471,24.7140920478017,100.581964817752
"4","2012_Q1",11.8898387096774,"Up",338904000,-230846000,108058000,-91359000,-91359000,16699000,-1000,-375000,374000,16698000,12227000,-5467000,6760000,6760000,3548000,10308000,10308000,115262000,115262000,161299000,161299000,138444000,17218000,17218000,432223000,120603000,40629000,3100000,2883000,34646000,161232000,593455000,126984000,49537000,77447000,132104000,67274000,67274000,97211000,229315000,274248000,51909000,222339000,105872000,-18804000,361316000,2824000,364140000,593455000,6760000,6557000,6527000,-2714000,17130000,-2288000,732000,-1554000,-10071000,0,0,212000,-9859000,5717000,5717000,-86999.9999999999,5630000,23256000,35057000,23721000,0.31885,0.04927,0.03042,0.02831,0.01737,2.30122,3.27184,0.62974,0.05907,0.19865,0.19676,6.53107,6.96298,0.45713,0.0221,0.05085,-3.44879,-4.80298
"5","2012_Q2",11.9887301587302,"Up",280094000,-199166000,80928000,-77455000,-77455000,3473000,454000,-241000,695000,3927000,3927000,41929000,45856000,45856000,-320000,45536000,45536000,110426000,110426000,147857000,147857000,149132000,38918000,18812000,446333000,119044000,62645000,3100000,26273000,33272000,181689000,628022000,121311000,45907000,75404000,122228000,64833000,64833000,94862000,217090000,251572000,52025000,199547000,175206000,-19019000,407759000,3173000,410932000,628022000,45856000,5907000,-41757000,-6984000,3022000,-3200000,-123000,-3323000,-4590000,2.91038304567337e-11,2.91038304567337e-11,50000,-4540000,-4841000,-4841000,5000,-4836000,9380000,30946000,-42733000,0.28893,0.0124,0.16257,0.11081,0.07251,-0.93844,3.65164,0.52829,0.04928,0.87667,0.8683,5.39244,7.85028,-0.82271,0.08987,-0.08433,-8.47335,-22.88511
"6","2012_Q3",11.4307936507937,"Down",307679000,-211896000,95783000,-83535000,-83535000,12248000,-331000,-223000,-108000,11917000,11917000,-4245000,7671999.99999999,7672000.00000001,198000,7870000,7870000,117533000,117533000,161897000,161897000,143539000,39790000,20087000,462759000,117961000,63312000,3100000,27045000,33167000,181273000,644032000,131125000,48503000,82622000,133606000,63288000,63288000,91484000,225090000,277570000,51946000,225624000,157412000,-18873000,416109000,2833000,418942000,644032000,7672000.00000001,6465000,1543000,-1180000,14500000,-4797000,68999.9999999999,-5409000,-660000,-1542000,-1542000,271000,-1931000,7160000,7160000,-53000,7107000,18713000,30677000,16981000,0.31131,0.03981,0.02558,0.01879,0.01222,2.15769,3.46361,0.53728,0.04763,0.15118,0.14998,5.91054,7.99349,0.32621,0.01534,0.03311,-4.64148,-7.09144
"7","2012_Q4",13.0717741935484,"Up",316515000,-216724000,99791000,-82771000,-82771000,17020000,1190000,-136000,1326000,18210000,18210000,-2864000,15346000,15346000,-388000,14958000,14958000,148074000,148074000,158439000,158439000,134170000,36843000,16601000,477526000,114944000,69117000,3100000,30590000,35427000,184061000,661587000,134423000,48375000,86048000,136246000,62401000,62401000,90411000,226657000,278358000,51724000,226634000,170007000,-18834000,429531000,5399000,434930000,661587000,15346000,5682000,-4307000,21613000,38334000,-3264000,21000,-4218000,-1026000,-2975000,-2975000,397000,-3604000,30512000,30512000,29000,30541000,22702000,29833000,43915000,0.31528,0.05377,0.04726,0.03439,0.02261,2.93589,3.50488,0.52113,0.04509,0.28884,0.28544,6.11198,8.29435,0.84801,0.02837,0.0833,-5.2084,-6.94718
"8","2013_Q1",14.4715,"Up",262417000,-168171000,94246000,-78022000,-78009000,16224000,8940000,-175000,9115000,25164000,24896000,-9768000,15128000,20034000,-432000,19602000,19602000,152370000,152370000,167232000,167232000,143787000,36611000,17530000,5e+08,114366000,71373000,3028000,33649000,34696000,185739000,685739000,147930000,56630000,91300000,149759000,80234000,80234000,88165000,237924000,283576000,52244000,231332000,189609000,-31281000,441904000,5911000,447815000,685739000,20034000,5432000,5173000,-3647000,26992000,11633000,738000,-6144000,-20228000,-662000,-662000,4448000,-16442000,4406000,4406000,-110000,4296000,21656000,9760000,39410000,0.35915,0.06183,0.0747,0.04377,0.02859,2.01051,3.3387,0.5313,0.01423,0.37702,0.37272,5.04726,8.49946,0.758,0.03645,0.07328,-6.58524,-8.79006
"9","2013_Q2",15.9896875,"Up",301501000,-211889000,89612000,-81986000,-81986000,7626000,-173000,-52000,-121000,7453000,7453000,-2758000,4695000,4695000,-297000,4398000,4398000,112564000,112564000,147280000,147280000,167060000,53026000,31564000,479930000,114023000,72862000,3028000,31294000,38540000,186885000,666815000,125434000,52084000,73350000,125807000,80901000,80901000,88306000,214113000,284658000,52283000,232375000,192534000,-30641000,446551000,6151000,452702000,666815000,4695000,5486000,2948000,-28475000,-15346000,-4313000,-8585000,-19829000,-2121000,-4012000,-4012000,1527000,-4606000,-39781000,-39781000,-25000,-39806000,13112000,7778000,-16918000,0.29722,0.02529,0.01459,0.00972,0.0066,-3.84675,3.81481,0.47297,0.01166,0.08426,0.08292,5.77666,8.55576,-0.32414,0.00812,-0.03125,-7.99161,-13.74062
"10","2013_Q3",18.7928125,"Up",322341000,-222032000,100309000,-89746000,-89746000,10563000,137000,-75000,211999.999999999,10700000,10700000,-3868000,6832000,6832000,-213000,6619000,6619000,86608000,86608000,154025000,154025000,168995000,60460000,39010000,470088000,115009000,100120000,18010000,31422000,50688000,215129000,685217000,131980000,52011000,79969000,132348000,80974000,80974000,88349000,220697000,288664000,52416000,236248000,199152000,-29820000,457996000,6524000,464520000,685217000,6832000,5753000,4574000,-4272000,12887000,-6339000,-17245000,-39447000,-134000,0,0,734000,6e+05,-25960000,-25960000,4000.00000000001,-25956000,16316000,7743000,9572999.99999999,0.31119,0.03277,0.02053,0.01425,0.00966,1.44629,3.55191,0.47511,0.0113,0.12643,0.12419,6.15683,8.74789,0.18285,0.01196,0.0173,-4.8336,-7.46616
