"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",28.4175409836066,"Down",1.289e+09,-856500000,432500000,-260800000,-234400000,-26400000,171700000,-34200000,-34400000,137500000,134300000,-30300000,1.04e+08,-453300000,-453300000,-453300000,126300000,126300000,773200000,564700000,1313400000,2777600000,539800000,8516100000,1747400000,4.259e+09,2509700000,9055900000,11833500000,403800000,403800000,1082700000,1082700000,1486500000,4685800000,1652400000,244600000,670200000,737600000,6338200000,7824700000,2862100000,1791700000,-6.45e+08,4008800000,4008800000,11833500000,102100000,45700000,13400000,8.2e+07,343400000,-2.4e+07,-3900000,-34900000,-58400000,-265300000.000001,-2500000,7.45058059692383e-09,-326200000,-17700000,-17700000,-900000.000000002,-18600000,217400000,4685800000,305700000,0.33553,0.1332,-0.35167,-0.11308,-0.03831,-0.67439,1.86855,1.95188,0.39598,-1.68288,-1.66721,4.78542,14.88268,1.13491,0.21681,-0.03817,0.02954,-0.12883,20.97286,26.55504
"25","2016_Q2",34.395625,"Up",1.19e+09,-758700000,431300000,-278600000,-250100000,-28500000,152700000,-35800000,-36200000,116900000,116900000,-25100000,91800000,107400000,107400000,107400000,158100000,158100000,1268700000,1197700000,381400000,3005900000,951800000,8072500000,2.461e+09,5.25e+09,361500000,9024300000,12030200000,5.79e+08,5.79e+08,887900000,887900000,1467600000,4837100000,1641300000,285900000,828700000,526700000,6478400000,7.946e+09,2876600000,1839300000,-631700000,4084200000,4084200000,12030200000,91800000,45100000,-7e+05,-153900000,-1.5e+07,-27400000,-1e+05,-3.2e+07,-60100000,138400000,-1600000,4374450.08419912,77200000,30200000,30200000,1600000,31800000,197800000,4837800000,41600000,0.36244,0.12832,0.09025,0.0263,0.00893,0.38734,2.04817,1.94555,0.40214,0.39916,0.39544,4.42277,15.17938,0.15461,0.22337,0.01586,0.00394,0.55959,23.65875,30.64637
"26","2016_Q3",37.48890625,"Up",1301200000,-819400000,481800000,-278400000,-249700000,-28700000,203400000,-34300000,-35400000,169100000,169100000,-36400000,132700000,142800000,142800000,142800000,173300000,173300000,1086200000,1133200000,400100000,2792800000,937600000,8013400000,2419600000,5231500000,362300000,8.951e+09,11743800000,531700000,531700000,884200000,884200000,1415900000,4551700000,1609900000,2.82e+08,815200000,512700000,6161600000,7577500000,2892700000,1920200000,-646600000,4166300000,4166300000,11743800000,132700000,46900000,-8700000,167700000,384500000,-2.9e+07,100000.00000006,-36100000,-59600000,-278900000,9900000,0,-325900000,22500000,22500000,-7300000,15200000,250300000,4551700000,425400000,0.37027,0.15632,0.10974,0.03428,0.01216,2.97899,1.97246,1.81876,0.38758,0.53015,0.52349,4.83071,15.4674,1.5793,0.22127,0.0196,0.04119,0.41737,17.49261,21.52606
"27","2016_Q4",34.8904761904762,"Down",1210700000,-769800000,440900000,-258100000,-228400000,-29700000,182800000,-33100000,-34300000,149700000,149700000,-32200000,117500000,1.41e+08,1.41e+08,1.41e+08,170900000,170900000,689500000,556200000,1330400000,2.747e+09,547300000,8384700000,1.683e+09,4251700000,2.45e+09,8.932e+09,1.1679e+10,348200000,348200000,939900000,939900000,1288100000,4411300000,1624300000,248500000,636400000,739400000,6035600000,7323700000,2910900000,2060900000,-616500000,4355300000,4355300000,1.1679e+10,118100000,44900000,22200000,-46400000,187300000,-1.4e+07,0,-10400000,-61900000,-151300000,11800000,0,-195800000,-18900000,-18900000,16500000,-2400000,227700000,4411300000,199500000,0.36417,0.15099,0.11646,0.03237,0.01207,1.41489,2.1326,1.68156,0.37771,0.52116,0.51633,4.47494,16.09787,0.73738,0.22879,0.01953,0.0192,0.43901,18.62275,23.19694
"28","2017_Q1",35.9388709677419,"Up",-921300000,526400000,-394900000,210400000,196800000,13600000,-184500000,-47400000,-34200000,-231900000,-235800000,5.1e+07,-184800000,-571340000,-571340000,-571340000,238500000,238500000,7.64e+08,524200000,1145300000,2.672e+09,538600000,8324200000,1631800000,4217400000,2.475e+09,8862800000,11534800000,436600000,436600000,1033800000,1033800000,1471200000,4278400000,1530800000,253400000,609500000,667900000,5809200000,7280400000,2922600000,2068100000,-736300000,4254400000,4254400000,11534800000,-163800000,-48500000,13600000,118900000,304600000,45900000,-30100000,-43300000,-6.2e+07,-94200000,6e+05,20700000,-155600000,105700000,106800000,-38100000,68700000,-2.33e+08,4279200000,-119200000,0.42863,0.20026,0.62015,-0.13429,-0.04953,0.20863,1.8162,1.71126,0.37098,-2.10944,-2.09219,-3.40153,15.70764,-0.4401,0.22891,-0.05061,-0.01184,-0.10852,-17.34206,-21.90081
"29","2017_Q2",39.5433333333333,"Up",1183500000,-761200000,422300000,-281700000,-251700000,-3e+07,140600000,-3.7e+07,-3.5e+07,103600000,103600000,-22900000,80700000,87800000,87800000,87800000,238100000,238100000,914400000,5.46e+08,1142600000,2841100000,551900000,8.425e+09,1622500000,4295300000,2507200000,8976900000,1.1818e+10,387300000,387300000,1009600000,1009600000,1397600000,4528900000,1516700000,258600000,602200000,655900000,6045600000,7443200000,2941900000,2091900000,-6.59e+08,4374800000,4374800000,1.1818e+10,80700000,45400000,11500000,-226300000,-1.06e+08,-23600000,-56700000,-8.4e+07,-62800000,2.29e+08,2800000,0,1.69e+08,-2.1e+07,-2.1e+07,20600000,-4e+05,1.86e+08,4529600000,-4.1e+07,0.35682,0.1188,0.07419,0.02007,0.00743,-0.46697,2.03284,1.70138,0.38328,0.32399,0.32047,4.36719,16.14329,-0.15129,0.23174,0.01445,-0.00393,0.71526,23.07258,30.52276
"30","2017_Q3",39.0711111111111,"Down",253800000,-178800000,75000000.0000001,-24500000,-17700000,-6800000,50500000,-25400000,-25300000,25100000.0000001,-76300000,4899999.99999999,-71400000,263700000,263700000,263700000,177800000,177800000,764500000,565400000,247100000,1754800000,550900000,6363400000,1624300000,4314200000,424900000,6914300000,8669100000,407800000,407800000,640300000,640300000,1048400000,1698900000,1018300000,268400000,546500000,203400000,2717200000,3765600000,2878100000,2292700000,-267300000,4903500000,4903500000,8669100000,129200000,-2100000,-93400000,139900000,261300000,4900000,10800000,2749800000,-63300000,-2864300000,-73300000,-1e+08,-3095800000,-84700000,-99200000,24400000,-74800000,48400000,1699200000,188300000,0.29551,0.19898,1.03901,0.05378,0.03042,0.71407,1.67379,0.76794,0.19601,0.97414,0.96354,0.93757,18.11414,0.6956,0.23384,0.04291,0.02471,0.24005,31.43388,30.12673
"31","2017_Q4",42.7233333333333,"Up",687600000,-451100000,236500000,-134700000,-116800000,-17900000,101800000,-1.5e+07,-13900000,86800000,8.3e+07,-34100000,48900000,125400000,125400000,125400000,108500000,108500000,768200000,579200000,249900000,1705800000,547100000,6375900000,1607300000,4343600000,4.25e+08,6.923e+09,8628800000,383400000,383400000,689200000,689200000,1072600000,1503400000,1044200000,275100000,549500000,219600000,2547600000,3620200000,2889100000,2355300000,-235800000,5008600000,5008600000,8628800000,47200000,22300000,16500000,-23300000,206500000,-3500000,0,-11200000,-62800000,-217100000,4800000,0,-275100000,-79800000,-70900000,10500000,-60400000,124100000,1503400000,131400000,0.34395,0.14805,0.18237,0.02504,0.01453,1.04785,1.59034,0.7228,0.17423,0.46452,0.45945,2.54708,18.55341,0.48675,0.23263,0.02491,0.01739,0.5008,11.24013,13.70236
"32","2018_Q1",43.7060655737705,"Up",720800000,-467100000,253700000,-168300000,-149800000,-18500000,85400000,2700000,-13100000,88100000,87700000,-6600000.00000001,81100000,-880280000,-880280000,-880280000,86300000,86300000,483100000,356900000,822500000,1748800000,279800000,6605100000,321800000,2112800000,4170500000,6884900000,8633700000,321500000,321500000,877900000,877900000,1199400000,1440700000,955800000,96400000,108600000,750800000,2396500000,3595900000,2799500000,2481700000,-243400000,5037800000,5037800000,8633700000,-1.43e+08,21600000,223500000,28900000,258400000,-13200000,2759400000,-24200000,-62800000,-70000000.0000005,-97100000,-62800000,-230700000,3499999.99999997,3700000,1300000,4999999.99999999,1.07e+08,1440700000,129300000,0.35197,0.11848,-1.22125,-0.17474,-0.10196,-0.14689,1.45806,0.71378,0.16687,-3.25365,-3.21823,2.66419,18.6205,0.47791,0.23212,-0.10996,0.01739,-0.0713399999999997,12.65794,15.85948
"33","2018_Q2",41.49015625,"Down",732600000,-479300000,253300000,-160600000,-141800000,-18800000,92700000,-13100000,-13500000,79600000,74300000,-15100000,59200000,14700000,14700000,14700000,907500000,907500000,985200000,593500000,232800000,2.719e+09,546500000,6102600000,1536500000,4380100000,1.86e+08,6649100000,9368100000,4.04e+08,4.04e+08,623300000,623300000,1027500000,2673100000,947800000,291900000,369100000,286800000,3620900000,4648400000,2656500000,2.308e+09,-244800000,4719700000,4719700000,9368100000,58400000,21900000,8e+05,-275100000,-167600000,-11500000,-14700000,-31200000,-63300000,417500000,-149100000,-149100000,997800000,7.99e+08,-10700000,-4800000,-15500000,114600000,2673300000,-156900000,0.34575,0.12654,0.02007,0.00311,0.00157,-10.67347,2.64623,0.98489,0.28536,0.05509,0.05439,2.74558,17.68812,-0.58802,0.23723,0.00935,-0.01881,4.30612,15.40838,19.04854
