"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",18.0075409836066,"Down",22233000,21255000,23492000,-2237000,978000,357000,658000,-2159000,20074000,-13896000,-451000,-13445000,6178000,6178000,6178000,-1966000,4212000,4212000,4212000,4212000,148431000,190275000,6518000,1667954000,14789000,1653165000,18471000,39389000,5230000,8311000,2084579000,1759133000,1138813000,620320000,9089000,7867000,1826089000,222100000,34411000,2017000,258490000,258490000,2084579000,4212000,514000,2159000,-350000,-1441000,5094000,-48000,-9908000,-59258000,-69214000,10824000,57137000,67961000,3841000,3841000,3841000,6692000,59089000,7169000,0.27788,0.18945,0.01629,0.00202,1.70204,7.06445,0.02835,0.33938,0.33394,1.79139,20.82749,0.57763,0.00202,0.00344,-13.35057,-14.46131
"2","2016_Q2",21.486875,"Up",24388000,21084000,23451000,-2367000,3304000,308000,2996000,-710000,23678000,-14253000,-534000,-13719000,9425000,9425000,9425000,-3070000,6355000,6355000,6355000,6355000,183290000,246898000,6417000,1703691000,-13757000,1717448000,18121000,39389000,4641000,8260000,2210707000,1842654000,1158409000,684245000,9115000,7644999.99999997,1944414000,222728000,40766000,2799000,266293000,266293000,2210707000,6355000,-117000,710000,-1895000,357000,5410000,-81000,-49635000,-61536000,-116502000,145639000,312000.000000007,145951000,34859000,34859000,34859000,9308000,94115000,12654000,0.38646,0.26058,0.02386,0.00287,1.99119,7.30178,0.04257,0.49494,0.49009,1.89938,20.73933,0.98551,0.00287,0.00572,-9.58047,-9.46154
"3","2016_Q3",24.9884375,"Up",23161000,21949000,24527000,-2578000,1212000,318000,894000,-1645000,21516000,-13923000,-401000,-13522000,7593000,7593000,7593000,-2339000,5254000,5254000,5254000,5254000,210863000,339545000,7969000,1738766000,-14917000,1753683000,17821000,39389000,4446000,8782000,2367581000,1843339000,1212650000,630689000,9142000,208849000,2091330000,223381000,46020000,6850000,276251000,276251000,2367581000,5254000,1168000,1645000,626000,-2607000,6086000,-115000,-82625000,-41200000,-123940000,145127000,3e+05,145427000,27573000,27573000,27573000,8761000,39142000,8378000,0.32784,0.22685,0.01902,0.00222,1.59459,7.5704,0.01653,0.40862,0.40295,1.80129,21.48476,0.65158,0.00222,0.00354,-19.60062,-22.6157
"4","2016_Q4",29.0998412698413,"Up",24683000,23409000,26319000,-2910000,1274000,357000,917000,-2214000,22469000,-14895000,-442000,-14453000,7574000,7574000,7574000,-2103000,5471000,5471000,5471000,5471000,225082000,344793000,6962000,1813537000,-17185000,1830722000,17811000,39389000,4250000,10078000,2461902000,1900879000,1296601000,604278000,9169000,209759000,2180807000,224254000,51491000,5350000,281095000,281095000,2461902000,5471000,547000,2214000,212000,1352000,9796000,-394000,-9597000,-74681000,-84672000,88593000,502000,89095000,14219000,14219000,14219000,8121000,70169000,11182000,0.30685,0.22165,0.01946,0.00222,2.04387,7.75826,0.0285,0.4247,0.41738,1.91608,21.82076,0.86803,0.00222,0.00454,-19.07561,-20.45326
"5","2017_Q1",33.9427419354839,"Up",24900000,23422000,26481000,-3059000,1478000,355000,1093000,-9e+05,2.4e+07,-16187000,-857000,-15330000,7813000,7813000,7813000,-2042000,5771000,5771000,5771000,5771000,142098000,352970000,9007000,1873724000,-17911000,1891635000,18340000,39389000,4055000,11365000,2450948000,1870183000,1276432000,593751000,9196000,291752000,2171131000,225607000,57262000,-3052000,279817000,279817000,2450948000,5771000,567000,9e+05,-990000,-105000,6143000,-921000,-20085000,-62374000,-83380000,-6677000,930000,-5747000,-82984000,-82984000,-82984000,8380000,9196000,9396000,0.31378,0.23177,0.02062,0.00235,1.62814,7.75911,0.00375,0.44695,0.43779,1.92844,21.67108,0.7277,0.00235,0.00383,-15.85943,-17.01037
"6","2017_Q2",37.0734920634921,"Up",25469000,24128000,27512000,-3384000,1341000,394000,947000,-1343000,24126000,-16549000,-895000,-15654000,7577000,7577000,7577000,-1530000,6047000,6047000,6047000,6047000,184146000,359432000,7444000,1967751000,-18687000,1986438000,18138000,39389000,3860000,12170000,2592330000,2012569000,1397344000,615225000,9222000,206409000,2303200000,228095000,63309000,-2274000,289130000,289130000,2592330000,6047000,342000,1343000,106000,1269000,9107000,-557000,-393000,-100638000,-101588000,132382000,2147000,134529000,42048000,42048000,42048000,7919000,84222000,10161000,0.2975,0.23743,0.02091,0.00233,1.68034,7.96597,0.03249,0.4644,0.45204,1.95599,22.2049,0.78035,0.00233,0.00392,-12.61826,-13.18781
"7","2017_Q3",35.2415873015873,"Down",26584000,25107000,28987000,-3880000,1477000,389000,1088000,-3007000,23577000,-16461000,-987000,-15474000,7116000,7116000,7116000,-1721000,5395000,5395000,5395000,5395000,187491000,360439000,9284000,2093642000,-21010000,2114652000,18240000,39389000,3664000,12567000,2724716000,2099242000,1436715000,662527000,9249000,317766000,2426257000,229311000,68704000,444000,298459000,298459000,2724716000,5395000,844000,3007000,590000,-2247000,7589000,-5e+05,-718000,-125466000,-126684000,121680000,760000,122440000,3345000,3345000,3345000,7960000,9249000,6934000,0.26768,0.20294,0.01808,0.00198,1.28526,8.12928,0.00339,0.41105,0.40043,2.02545,22.73973,0.5283,0.00198,0.00254,-22.39221,-25.04806
"8","2017_Q4",37.2166666666667,"Up",28457000,26997000,30901000,-3904000,1460000,348000,1124000,-6908000,21549000,-17676000,-822000,-16854000,3873000,3873000,3873000,-887000,2986000,2986000,2986000,2986000,192427000,359376000,7993000,2177818000,-23722000,2201540000,18273000,39389000,3469000,14689000,2813434000,2286615000,1573664000,712951000,9277000,214815000,2510707000,230114000,71690000,923000,302727000,302727000,2813434000,2986000,622000,6908000,994000,-992000,10518000,590000,-2725000,-88126000,-90261000,84373000,306000,84679000,4935999.99999999,4935999.99999999,4935999.99999999,4495000,9277000,4980000,0.1361,0.10493,0.00986,0.00106,1.66778,8.29363,0.0033,0.2268,0.22143,2.1614,22.99309,0.37825,0.00106,0.00177,-40.74527,-47.28892
"9","2018_Q1",37.9686885245902,"Up",29019000,27436000,32038000,-4602000,1583000,337000,1216000,-1930000,27089000,-19276000,-222000,-19054000,7813000,7813000,7813000,-4609000,3204000,3204000,3204000,3204000,182103000,345264000,12194000,2247227000,-23649000,2270876000,18477000,39389000,3274000,12303000,2860231000,2213974000,1530864000,683110000,48659000,290733000,2553366000,231635000,74894000,336000,306865000,306865000,2860231000,3204000,610000,1930000,1281000,-807000,6218000,-528000,12480000,-71243000,-59291000,41714000,1035000,42749000,-10324000,-10324000,-10324000,8423000,48659000,11697000,0.26924,0.11041,0.01044,0.00112,3.65075,8.32081,0.01701,0.24295,0.23739,2.20041,23.2685,0.88694,0.00112,0.00409,-15.84281,-17.07974
"10","2018_Q2",40.6140625,"Up",28535000,26889000,32391000,-5502000,1646000,399000,1247000,-653000,27882000,-18717000,-469000,-18248000,9165000,9165000,9165000,-1454000,7711000,7711000,7711000,7711000,190088000,344467000,10521000,2265866000,-24628000,2290494000,18605000,39389000,3079000,14469000,2886484000,2284802000,1589922000,694880000,48719000,240975000,2574496000,233062000,82533000,-3607000,311988000,311988000,2886484000,7711000,602000,653000,778000,1639000,11383000,-1076000,-3710000.00000001,-20431000,-25217000,20831000,988000,21819000,7985000,7985000,7985000,9767000,48719000,11784000,0.32118,0.27023,0.02472,0.00267,1.52821,8.25191,0.01688,0.58144,0.56941,2.15164,23.52496,0.88855,0.00267,0.00408,-14.47415,-15.42488
