"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q1",95.867868852459,"Down",134630462,-36205632,98424830,-46305809,-36635004,-23147067,-13487937,-9670805,52119021,3694216,1318404,2331255,55813237,55813237,-14977533,40835704,40835704,40763491,40763491,216878318,140285104,76593214,77930111,25884260,52045851,31355806,3836081,11488845,326164235,131371909,45719737,89106892,6591585,55101218,3014905,24399184,266198538,592362773,206311499,34405333,165592297,17854110,224165609,2489819,18223737,5339359,12884378,20713556,244879165,121606346,310345448,-87455970,343483608,347483608,592362773,40835704,3285609,-6063394,-18393371,19664548,-64286850,37905172,-412749.99999997,-4319827,14931971,14931971,-2743963,12188008,55404630,2489819,-12298058,0.73107,0.38713,0.30278,0.11731,0.06882,-0.30169,1.45501,0.70472,0.0042,0.92323,0.92323,3.04917,7.77936,-0.27853,0.12786,-0.0334,-3.86951,-4.11344
"17","2014_Q2",86.1920634920635,"Down",115382000,-31540000,83842000,-49841000,-37584000,-22352000,-15232000,-12257000,34001000,5102000,2009000,3093000,39103000,39103000,-8775000,30328000,30328000,30264000,30264000,218530393,131139549,87390844,84653793,30331297,54322496,34026946,4554266,8663385,337211132,129464927,45001998,86180611,6393604,51959430,2906037,24921540,260647536,597858668,210051706,36582107,166140053,16788250,226839956,1812047,15341309,5511531,9829778,17153356,243993312,120639162,333404534,-104178340,349865356,353865356,597858668,30328000,3519000,-6340000,121000,27628000,-7110000,-7035000,-14145000,-6896000,6587000,6587000,-15732000,-9145000,37520000,1812047,39306000,0.72665,0.29468,0.26229,0.08552,0.05062,1.29877,1.48656,0.68951,0.00303,0.68542,0.68542,2.61318,7.92378,0.89021,0.09859,0.10594,-5.77608,-6.37388
"18","2014_Q3",102.7296875,"Up",131849000,-36371000,95478000,-51895000,-40154000,-26469000,-13685000,-11741000,43583000,-13169000,2795000,-15964000,30414000,-19082000,-6506000,-25588000,-25588000,-25594000,-25594000,490748773,385520117,105228656,94123106,34690697,59432409,29344268,4982687,9403570,614216147,83780843,52145285,137822623,25683101,70267846,15617709,26253967,273748751,887964898,218678594,40677870,170671178,21770470,240449064,278362784,30637945,18294662,12343283,309000729,549449793,137616391,300359917,-103461203,334515105,338515105,887964898,-25588000,4064000,62942000,18861000,60279000,-9475000,-21270000,-62872000,291490000,288897000,288897000,-34516000,254381000,47647000,278362784,63539000,0.72415,0.33055,-0.19412,-0.07561,-0.02882,-2.48257,2.55445,1.62312,0.31348,-0.57965,-0.57928,2.98612,7.57612,1.43904,-0.02821,0.09813,-4.45749,-4.87314
"19","2014_Q4",124.880625,"Up",147935000,-43402000,104533000,-57387000,-43813000,-29406000,-14407000,-13574000,47146000,4667000,-553000,5220000,51813000,51813000,-18062000,33751000,33751000,33765000,33765000,407347504,237503912,169843592,125712382,39243327,86469055,36831743,5878124,15427865,569891629,83926941,158839053,126541005,23304028,67068985,12122286,24045706,369306999,939198628,255700481,59144112,189226823,27215325,282915806,282945512,28488017,15575877,12912140,311433529,594349335,137616391,326684667,-123451765,340849293,344849293,939198628,33751000,4763000,467000,11551000,50532000,-8404000,-186213000,-194617000,-8536000,-152621000,-152621000,4604000,-148017000,51909000,282945512,73118000,0.70661,0.31869,0.22824,0.09791,0.03595,2.1655,2.01435,1.7235,0.30126,0.76471,0.76471,3.35044,7.71958,1.65598,0.06256,0.11141,-2.39654,-2.63865
"20","2015_Q1",125.126557377049,"Up",161370000,-47665000,113705000,-68468000,-52440000,-33400000,-19040000,-16028000,45237000,4725000,-574000,5299000,49962000,49962000,-15800000,34162000,34162000,34146000,34146000,371954000,223144000,148810000,131834000,46672000,85162000,28962000,3458000,13984000,532750000,91545000,205265000,137288000,23171000,68829000,21554000,23734000,434098000,966848000,260789000,58006000,195453000,31834000,292623000,282184000,36253000,18746000,17507000,318437000,611060000,137689000,353173000,-135074000,355788000,355788000,966848000,34162000,4601000,6377000,13214000,58354000,-10294000,-31776000,-50757000,-11761000,-4163999.99999994,-4163999.99999994,-10196000,-14360000,49838000,282184000,68558000,0.70462,0.28033,0.2116,0.09597,0.03532,2.00779,1.8206,1.71748,0.29186,0.77334,0.77384,3.65471,8.0579,1.5527,0.06157,0.10168,-1.80124,-1.98444
"21","2015_Q2",140.232698412698,"Up",148103000,-44708000,103395000,-61581000,-44336000,-26202000,-18134000,-17245000,41814000,-9212000,-642000,-8570000,32602000,16376000,-14655000,1721000,1721000,1721000,1721000,367820000,219768000,148052000,187698000,54054000,133644000,32657000,6433000,15002000,588175000,75945000,190152000,122511000,22801000,65577000,13817000,20316000,388608000,976783000,293673000,58160000,230965000,29487000,323160000,286180000,36325000,18774000,17551000,322505000,645665000,137736000,350346000,-156964000,331118000,331118000,976783000,1721000,5081000,40561000,-9184000,38179000,-8257000,11566000,3309000,-7469000,34019000,34019000,-37395000,-3376000,46895000,286180000,44109000,0.69813,0.28233,0.01162,0.00520000000000001,0.00176,25.62987,1.82007,1.94995,0.29298,0.03898,0.03898,3.35418,7.49903,0.99896,0.01385,0.06748,-1.74091,-1.95246
"22","2015_Q3",116.848125,"Down",154314000,-50311000,104003000,-69367000,-49727000,-29115000,-20612000,-19640000,34636000,-1165000,-518000,-647000.000000002,33471000,33471000,-14008000,19463000,19463000,19463000,19463000,337552000,170391000,167161000,177094000,46123000,130971000,32708000,5332000,16449000,547354000,82735000,209324000,181222000,34265000,101840000,13343000,31774000,473281000,1020635000,298837000,67371000,226918000,46842000,345679000,286525000,43988000,21620000,22368000,330513000,676192000,137831000,365261000,-158649000,344443000,344443000,1020635000,19463000,5889000,10132000,23168000,58652000,-9415000,-36144000,-98041000,-11561000,-50950000,-50950000,1573000,-49377000,40525000,286525000,68286000,0.67397,0.22445,0.12613,0.05651,0.01907,3.5085,1.58342,1.96315,0.28073,0.44079,0.44079,3.4948,7.80072,1.5465,0.03557,0.10117,-1.25915,-1.47324
"23","2015_Q4",109.1803125,"Down",168641000,-56813000,111828000,-66548000,-49506000,-31125000,-18381000,-17042000,45280000,2336000,-234000,2570000,47616000,47616000,-1976000,45640000,45640000,45640000,45640000,341039000,173024000,168015000,242117000,54551000,187566000,41923000,7614000,23866000,625214000,82510000,185733000,175371000,30509000,91857000,16004000,37001000,443614000,1068828000,337191000,75820000,256823000,30120000,367311000,292726000,45339000,23834000,21505000,338065000,705376000,137886000,406353000,-180787000,363452000,363452000,1068828000,45640000,5986000,-2643000,-34535000,14448000,-2893000,13073000,-126000,283000,14605000,14605000,-11972000,2633000,51266000,292726000,15814000,0.66311,0.2685,0.27063,0.12557,0.0427,0.34649,1.70214,1.94077,0.27388,1.03361,1.03361,3.81922,8.23112,0.35814,0.07154,0.02254,-0.9424,-1.06698
"24","2016_Q1",102.87868852459,"Down",180732000,-63162000,117570000,-83878000,-61382000,-42167000,-19215000,-22496000,33692000,19336000,1564000,17772000,53028000,53028000,-14063000,38965000,38965000,38965000,38965000,368993000,166881000,202112000,160374000,28428000,131946000,15584000,6007000,9577000,545173000,81633000,187621000,189179000,28991000,86545000,29688000,43955000,458433000,1003606000,304716000,62038000,238130000,17759000,322475000,294342000,47331000,27049000,20282000,341673000,664148000,137967000,440770000,-239279000,339458000,339458000,1003606000,38965000,6253000,11635000,53238000,110091000,-20331000,-62748000,-88680000,-8967000,12444000,12444000,-18587000,-6142999.99999999,39945000,294342000,86915000,0.65052,0.18642,0.2156,0.11479,0.03882,2.23059,1.69059,1.9565,0.29328,0.88242,0.88242,4.09296,7.68755,1.96833,0.06388,0.1276,-1.86884,-2.21569
"25","2016_Q2",129.21296875,"Up",157630000,-55448000,102182000,-71693000,-49752000,-32683000,-17069000,-21941000,30489000,6714000,1567000,5147000,37203000,37203000,-6956000,30247000,30247000,30247000,30247000,340454000,144885000,195569000,240784000,47118000,193666000,23391000,7319000,16072000,605049000,89932000,187889000,200599000,29056000,91379000,32631000,47533000,478420000,1083469000,353102000,77180000,269298000,33226000,386328000,295683000,48392000,28320000,20072000,344075000,730403000,138023000,464393000,-249350000,353066000,353066000,1083469000,30247000,6252000,6234000,-54535000,-11802000,-14563000,18050000,777000,-5209000,-16234000,-16234000,-5762000,-21996000,36741000,295683000,-25401000,0.64824,0.19342,0.19189,0.08567,0.02792,-0.83979,1.56615,2.06874,0.2729,0.68499,0.68499,3.56977,7.9957,-0.57524,0.04991,-0.03644,-1.21856,-1.46843
