"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",165.104375,"Up",199644000,-73346000,126298000,-80394000,-56178000,-35337000,-20841000,-24216000,45904000,-3969000,1418000,-5387000,41935000,28218000,-12360000,15858000,15858000,15858000,15858000,395432000,144016000,251416000,255492000,40055000,215437000,21353000,6004000,15349000,673267000,104808000,157832000,204242000,29126000,96150000,36417000,42549000,466882000,1140149000,403788000,86068000,311096000,18567000,422355000,296691000,56536000,32099000,24437000,353227000,775582000,138023000,473627000,-247083000,364567000,364567000,1140149000,15858000,6926000,25227000,8646000.00000001,56657000,-18076000,-11809000,-39422000,-12262000,4973000,4973000,-5842000,-869000,52830000,296691000,55760000,0.63262,0.22993,0.07943,0.0435,0.01391,3.51621,1.59408,2.12741,0.26022,0.35912,0.35912,4.5212,8.25609,1.26276,0.03132,0.07768,-1.86903,-2.15103
"27","2016_Q4",164.670476190476,"Down",230847000,-85199000,145648000,-91940000,-65874000,-39723000,-26151000,-26066000,53708000,-1422000,3400000,-4822000,52286000,52286000,-13374000,38912000,38912000,38912000,38912000,471645000,187995000,283650000,257904000,31086000,226818000,28170000,6299000,21871000,759107000,121006000,155178000,220766000,27725000,94493000,44066000,54482000,496950000,1256057000,466184000,95970000,363590000,30129000,496313000,299472000,65285000,36070000,29215000,364757000,861070000,138023000,505915000,-248951000,394987000,394987000,1256057000,38912000,7520000,8601000,47794000,102827000,-22920000,-29183000,-53269000,-2924000,46634000,46634000,-2655000,43979000,61228000,299472000,99476000,0.63093,0.23266,0.16856,0.09851,0.03098,2.55644,1.52949,2.18,0.23842,0.88121,0.88121,5.22783,8.94499,2.25276,0.05993,0.13093,-2.812,-3.20572
"28","2017_Q1",195.362903225806,"Up",256275000,-93545000,162730000,-98058000,-71802000,-48553000,-23249000,-26256000,64672000,2949000,3452000,-503000,67621000,67621000,-16272000,51349000,51349000,51349000,51349000,487461000,234140000,253321000,333339000,25435000,307904000,47558000,15060000,32498000,869461000,124261000,153803000,219910000,26277000,91797000,45017000,56819000,497974000,1367435000,542904000,105106000,431174000,33697000,576601000,301940000,60040000,34059000,25981000,361980000,938581000,138026000,550641000,-259813000,428854000,428854000,1367435000,51349000,8324000,3179000,-20275000,42577000,-13399000,29952000,7670999.99999999,727000,50975000,50975000,-4830000,46145000,72996000,301940000,55594000,0.63498,0.25235,0.20037,0.11974,0.03755,1.08267,1.50791,2.18858,0.22081,1.16286,1.16286,5.80368,9.71195,1.259,0.07331,0.0703,-2.54152,-2.86864
"29","2017_Q2",256.584126984127,"Up",269675000,-100819000,168856000,-105542000,-75240000,-46931000,-28309000,-30302000,63314000,6349000,5686000,663000,69663000,69663000,-21145000,48518000,48518000,48518000,48518000,566553000,301388000,265165000,324709000,24097000,300612000,54698000,14846000,39852000,946392000,131968000,170352000,234934000,26227000,95849000,51441000,61417000,537254000,1483646000,601390000,108507000,486259000,36274000,637664000,304534000,59204000,36830000,22374000,363738000,1001402000,138026000,592535000,-248317000,482244000,482244000,1483646000,48518000,9003000,8940000,38296000,104757000,-10285000,-21549000,-39147000,-5209000,60401000,60401000,6847000,67248000,72317000,304534000,121473000,0.62615,0.23478,0.17991,0.10061,0.0327,2.50367,1.48415,2.07655,0.20526,1.09875,1.09875,6.10714,10.92103,2.75091,0.06518,0.14359,-3.6232,-4.13841
"30","2017_Q3",264.733650793651,"Up",283883000,-112329000,171554000,-138691000,-108354000,-76855000,-31499000,-30337000,32863000,-17603000,4157000,-21760000,15260000,12423000,-7107000,5316000,5316000,5316000.00000001,5316000.00000001,588956000,382791000,206165000,289945000,24733000,265212000,78250000,9570000,68680000,958185000,130594000,186322000,236337000,25359000,94118000,58065000,58795000,553253000,1511438000,652408000,154423000,491361000,23629000,676037000,306706000,69680000,37696000,31984000,376386000,1052423000,138026000,591227000,-270238000,459015000,459015000,1511438000,5316000,10080000,35672000,70489000,121557000,-15936000,35193000,-1924000,-3207000,116426000,116426000,-35023000,81403000,42943000,306706000,104603000,0.60431,0.11576,0.01873,0.01158,0.00352,19.67701,1.41736,2.29279,0.20292,0.12039,0.12039,6.42889,10.39498,2.36887,0.01429,0.12521,-6.57267,-8.58869
"31","2017_Q4",270.391428571429,"Up",304921000,-129093000,175828000,-148286000,-115906000,-84139000,-31767000,-32380000,27542000,9113000,7491000,1622000,36655000,36655000,-8989000,27666000,27666000,27666000,27666000,636363000,461198000,175165000,435447000,28564000,406883000,108037000,8199000,99838000,1182156000,136101000,45550000,254485000,24642000,95249000,66163000,68431000,436136000,1618292000,793470000,181557000,605289000,29323000,822793000,309444000,79899000,40435000,39464000,389343000,1212136000,70718000,612269000,-276831000,406156000,406156000,1618292000,27666000,10870000,11986000,-34447000,16075000,-13143000,177266000,132889000,-69914000,79050000,79050000,-643000,78407000,38412000,309444000,-189000,0.57663,0.09033,0.09073,0.06812,0.0171,-0.00683,1.43676,2.98441,0.19122,0.62653,0.62653,6.90533,9.19792,-0.00428,0.04311,-0.00023999999999999,-8.51086,-11.86984
"32","2018_Q1",365.599016393443,"Up",358063000,-154701000,203362000,-182210000,-148069000,-117450000,-30619000,-34141000,21152000,-62000,2098000,-2160000,21090000,-64671000,-3049000,-67720000,-67720000,-67720000,-67720000,597692000,388260000,209432000,549298000,28168000,521130000,137380000,5864000,131516000,1286919000,114837000,34720000,236711000,23174000,92279000,57324000,63934000,386268000,1673187000,932204000,221095000,704485000,35828000,968032000,312089000,67287000,23819000,43468000,379376000,1347408000,70705000,537925000,-282851000,325779000,325779000,1673187000,-67720000,10968000,84818000,-1444999.99999999,26621000,-15825000,-30625000,-114459000,27427000,-60411000,-60411000,-12527000,-72938000,32120000,312089000,17899000,0.56795,0.05907,-0.18913,-0.20787,-0.04047,-0.264310000000001,1.32942,4.13596,0.18652,-1.53361,-1.53361,8.10879,7.37768,0.40535,-0.08664,0.02538,-8.89175,-13.50241
"33","2018_Q2",315.4371875,"Down",320976000,-158218000,162758000,-192177000,-153781000,-110723000,-43058000,-38396000,-29419000,4062000,-1539000,5601000,-25357000,-25357000,12438000,-12919000,-12919000,-12919000,-12919000,509857000,350411000,159446000,560099000,29914000,530185000,212242000,21862000,190380000,1285560000,122859000,33410000,277858000,22392000,93714000,93708000,68044000,434127000,1719687000,1053476000,228318000,825158000,32375000,1085851000,314953000,66016000,25542000,40474000,380969000,1466820000,25013000,527098000,-299244000,252867000,252867000,1719687000,-12919000,11084000,-8336000,-26835000,-37006000,-19639000,51175000,-24097000,24026000,-37077000,-37077000,-772000,-37849000,-18335000,314953000,-77247000,0.50707,-0.09165,-0.04025,-0.0510899999999999,-0.00751,5.97933,1.18392,5.80076,0.18315,-0.29257,-0.29257,7.26891,5.7265,-1.74936,-0.00993,-0.12187,10.63016,6.62511
"34","2018_Q3",338.646031746032,"Up",335377000,-175629000,159748000,-187990000,-154553000,-121216000,-33337000,-33437000,-28242000,9290000,-3287000,12577000,-18952000,-18952000,7700000,-11252000,-11252000,-11252000,-11252000,558589000,489157000,69432000,335084000,27470000,307614000,223543000,14410000,209133000,1125154000,113170000,11394000,269723000,19256000,83637000,106330000,60500000,394287000,1519441000,921422000,226101000,695321000,53642000,975064000,333364000,56276000,23166000,33110000,389640000,1364704000,25013000,515846000,-386122000,154737000,154737000,1519441000,-11252000,11482000,-12809000,156739000,144160000,-22695000,91086000,52969000,55431000,252560000,252560000,-78960000,173600000,-16760000,333364000,109584000,0.47632,-0.08421,-0.03355,-0.07272,-0.00741,-9.73907,1.15393,8.81951,0.2194,-0.25482,-0.25482,7.59504,3.50422,2.48167,-0.02067,0.2013,13.43825,7.97482
"35","2018_Q4",324.046666666667,"Down",355281000,-185563000,169718000,-180721000,-145243000,-110443000,-34800000,-35478000,-11003000,-3309000,-7233000,3924000,-14312000,-14312000,4234000,-10078000,-10078000,-10078000,-10078000,1095620000,1028579000,67041000,293602000,27141000,266461000,205062000,11013000,194049000,1601679000,138417000,2823000.00000001,275432000,18719000,88650000,125521000,42542000,416672000,2018351000,954962000,230999000,723963000,34570000,989532000,554830000,132237000,92322000,39915000,687067000,1676599000,221764000,505768000,-385780000,341752000,341752000,2018351000,-10078000,11295000,952000,86778000,88947000,-23016000,7803000,-6725000,491129000,573351000,573351000,-19632000,553719000,292000,554830000,59820000,0.4777,-0.03097,-0.02837,-0.02949,-0.00499,-5.9357,1.61862,4.90589,0.27489,-0.22602,-0.22602,7.96796,7.66454,1.3416,-0.0098,0.05814,-1852.02055,49.14932
"36","2019_Q1",398.690819672131,"Up",428019000,-223235000,204784000,-205602000,-166640000,-140065000,-26575000,-38962000,-818000,-6013000,-2151000,-3862000,-6831000,-6831000,4495000,-2336000,-2336000,-2336000,-2336000,901873000,440332000,461541000,395451000,35153000,360298000,209187000,27477000,181710000,1511123000,165614000,276136000,286646000,18581000,88883000,141438000,37744000,728396000,2239519000,1101068000,266759000,834309000,65156000,1166224000,602228000,134367000,91698000,42669000,736595000,1902819000,224845000,503432000,-391577000,336700000,336700000,2239519000,-2336000,11931000,-40139000,65350000,34806000,-27978000,-663342000,-694606000,38296000,-621504000,-621504000,8469000,-613035000,11113000,602228000,43990000,0.47845,-0.00190999999999999,-0.00546,-0.00694,-0.00104,-18.83134,1.29574,5.65138,0.26891,-0.05166,-0.05166,9.4663,7.44664,0.97291,-0.00218,0.04099,-26.96347,366.31418
"37","2019_Q2",556.563174603175,"Up",473770000,-236766000,237004000,-226865000,-174496000,-130676000,-43820000,-52369000,10139000,5216000,8885000,-3669000,15355000,15355000,-3491000,11864000,11864000,11864000,11864000,2944343000,1295886000,1648457000,342992000,34524000,308468000,230115000,24132000,205983000,3520453000,188956000,275432000,463319000,17683000,89827000,160846000,194963000,927707000,4448160000,1144798000,246767000,898031000,103417000,1248215000,602061000,285138000,97006000,188132000,887199000,2135414000,2097191000,509455000,-392588000,2312746000,2312746000,4448160000,11864000,15694000,-4810000,115623000,138371000,-32962000,-1184514000,-1260085000,1974687000,852973000,852973000,-11407000,841566000,25833000,602061000,111985000,0.50025,0.0214,0.02504,0.00513,0.00267,9.43906,2.82039,0.923320000000001,0.13535,0.25802,0.25802,10.30377,48.15236,2.4355,0.00371,0.035,-90.67015,-231.01706
"38","2019_Q3",606.3653125,"Up",545242000,-272812000,272430000,-284918000,-230995000,-180692000,-50303000,-53923000,-12488000,19788000,19005000,783000,7300000,7300000,8917000.00000001,16217000,16217000,16217000,16217000,2908016000,1118662000,1789354000,473221000,40175000,433046000,289245000,18618000,270627000,3676432000,216005000,207047000,496008000,16808000,90375000,184926000,203899000,919060000,4595492000,1333821000,314703000,1019118000,115688000,1449509000,619670000,281701000,98997000,182704000,901371000,2350880000,2009546000,524672000,-388449000,2244612000,2244612000,4595492000,16217000,17281000,2028000,-7972000.00000001,27554000,-38433000,-61569000,-154861000,-58511999.9999998,-185819000,-185819000,7879999.99999999,-177939000,4793000,619670000,-50529000,0.49965,-0.0229,0.02974,0.00722,0.00353,-3.1158,2.53633,1.04734,0.13484,0.3287,0.3287,11.05139,43.49212,-1.02416,0.00542,-0.01606,-477.43501,183.24359
"39","2019_Q4",553.42515625,"Down",603031000,-318689000,284342000,-366267000,-306772000,-252903000,-53869000,-59495000,-81925000,14998000,14011000,987000,-66927000,-66927000,-79155000,-146082000,-146082000,-146082000,-146082000,3146123000,1419934000,1726189000,324379000,35791000,288588000,299996000,17898000,282098000,3780630000,220854000,3594999.99999997,434262000,15114000,86114000,108551000,224483000,658711000,4439341000,1252509000,342433000,910076000,132301000,1384810000,623114000,294400000,96925000,197475000,917514000,2302324000,2075743000,377590000,-414439000,2137017000,2137017000,4439341000,-146082000,19543000,192400000,141031000,206892000,-29387000,223914000,141553000,24902000,373347000,373347000,-44704000,328643000,-62382000,623114000,128417000,0.47152,-0.13586,-0.24225,-0.06836,-0.03291,-0.87907,2.73007,1.07735,0.14036,-2.93731,-2.93731,12.1253,40.9821,2.58211,-0.0475,0.04204,40.4445,30.7965699999999
"40","2020_Q1",616.659032258064,"Up",674271000,-365924000,308347000,-377234000,-319214000,-269751000,-49463000,-58020000,-68887000,5913000,5746000,167000,-62974000,-62974000,8976000,-53998000,-53998000,-53998000,-53998000,2981981000,1384740000,1597241000,415415000,35446000,379969000,382834000,45309000,337525000,3788856000,244257000,263983000,484595000,14275000,87609000,117582000,265129000,992835000,4781691000,1554345000,372309000,1182036000,197975000,1752320000,631353000,316055000,99952000,216103000,947408000,2699728000,2067919000,322592000,-406671000,2081963000,2081963000,4781691000,-53998000,20802000,-44396999.9999999,155867000,78274000,-36088000,-114903000,-174397000,79934999.9999999,-16188000,-16188000,10647000,-5541000,-48085000,631353000,62718000,0.4573,-0.10217,-0.08008,-0.02594,-0.01129,-1.16149,2.16219,1.29672,0.13204,-1.08602,-1.08602,13.56106,39.88485,1.2614,-0.01749,0.0207,48.88485,34.12295
"41","2020_Q2",749.927619047619,"Up",652091000,-339277000,312814000,-342508000,-269073000,-206507000,-62566000,-73435000,-29694000,13014000,13200000,-186000,-16680000,-16680000,-4429000,-21109000,-21109000,-21109000,-21109000,2629542000,1071217000,1558325000,400863000,34060000,366803000,467755000,35294000,432461000,3510274000,239249000,269955000,438602000,17133000,82283000,102296000,236890000,947806000,4458080000,1430521000,295500000,1135021000,145979000,1576500000,616295000,299875000,98048000,201827000,916170000,2492670000,2068098000,295913000,-496724000,1965410000,1965410000,4458080000,-21109000,21550000,11817000,-97909000,-85651000,-45268000,-73671000,-150082000,154556000,-81177000,-81177000,-104864000,-186041000,-8144000,616295000,-146892000,0.47971,-0.04554,-0.03237,-0.01074,-0.00473,6.95874,2.22662,1.26827,0.13824,-0.42464,-0.42464,13.11792,37.54916,-2.95498,-0.00698,-0.05098,247.20616,67.79979
"42","2020_Q3",1085.04203125,"Up",878369000,-451197000,427172000,-327734000,-254480000,-184076000,-70404000,-73254000,99438000,-10098000,-8195000,-1903000,89340000,89340000,-33393000,55947000,55947000,55947000,55947000,3294422000,1169550000,2124872000,689162000,42423000,646739000,750139000,23141000,726998000,4754554000,263041000,5790000,429351000,15942000,81799000,93897000,237713000,698182000,5452736000,2448991000,417759000,2031232000,210788000,2659779000,610899000,274966000,65273000,209693000,885865000,3545644000,1964190000,350860000,-505361000,1907092000,1907092000,5452736000,55947000,22652000,63468000,508269000,650336000,-49653000,-342031000,-397946000,164947000,417337000,417337000,-19362000,397975000,122090000,610899000,614099000,0.48632,0.11321,0.06369,0.02934,0.01026,10.97644,1.78757,1.85919,0.11204,1.12547,1.12547,17.66987,36.37598,12.35364,0.02039,0.21987,-21.97988,-26.9869
"43","2020_Q4",1410.18984375,"Up",1115701000,-635511000,480190000,-397116000,-308320000,-229621000,-78699000,-88796000,83074000,-30404000,31000,-30435000,52670000,52670000,-37635000,15035000,15035000,15035000,15035000,3327182000,1139703000,2187479000,701293000,40891000,660402000,848772000,28387000,820385000,4923891000,302489000,6890000,504449000,14230000,79064000,125012000,286143000,813828000,5737719000,2706211000,509095000,2197116000,301049000,3007260000,618337000,316596000,72061000,244535000,934933000,3942193000,1931034000,364967000,-509511000,1795526000,1795526000,5737719000,15035000,28234000,35612000,282429000,361310000,-64695000,-103370000,-290102000,-77139000,-5931000,-5931000,-33298000,-39229000,111308000,618337000,366677000,0.43039,0.07446,0.01348,0.00837000000000001,0.00262,24.38823,1.63733,2.19556,0.10777,0.30239,0.30239,22.43926,35.11798,7.3747,0.00587,0.13429,-24.33648,-32.60761
"44","2021_Q1",1696.71983606557,"Up",1327304000,-838270000,489034000,-514160000,-397171000,-282350000,-114821000,-116989000,-25126000,-18889000,-8959000,-9930000,-44015000,-44015000,-6565000,-50580000,-50580000,-50580000,-50580000,3097700000,1856394000,1241306000,1297800000,434727000,863073000,833167000,28378000,804789000,5346807000,391684000,166111000,621730000,14155000,85211000,134916000,387448000,1179525000,6526332000,3434429000,767336000,2667093000,201451000,3635880000,860876000,377998000,64354000,313644000,1238874000,4874754000,1860502000,314115000,-468284000,1651528000,1651578000,6526332000,-50580000,32556000,142685000,131896000,256557000,-87251000,851660000,585949000,-97999.9999999404,842408000,842408000,41687000,884095000,7429999.99999999,860876000,58640000,0.36844,-0.01893,-0.03811,-0.03063,-0.00775,-1.15935,1.47057,2.95157,0.13191,-1.01524,-1.01524,26.64158,33.14939,1.17702,-0.01738,0.02029,-301.05303,89.02428
"45","2021_Q2",1468.10126984127,"Down",1.378e+09,-7.87e+08,5.91e+08,-5e+08,-3.74e+08,-2.88e+08,-8.6e+07,-1.26e+08,9.1e+07,-8.1e+07,-6.6e+07,-1.5e+07,1e+07,1e+07,-4.4e+07,-3.4e+07,-3.4e+07,-3.4e+07,-3.4e+07,1842796000,862720000,980076000,1365085000,481415000,883670000,560850000,43291000,517559000,3900191000,458640000,175601000,663423000,20271000,82830000,124272000,436050000,1297664000,5197855000,3088050000,612206000,2475844000,116899000,3204949000,1659898000,363412000,41233000,322179000,2023310000,5228259000,275682000,280103000,-506063000,-30404000,-30403999.9999998,5197855000,-3.4e+07,3.8e+07,1.46e+08,-4.15e+08,-2.65e+08,-1.21e+08,1.74e+08,-9.8e+07,-8.59e+08,-1.222e+09,-1.222e+09,-9.8e+07,-1.32e+09,1.29e+08,1659898000,-3.63e+08,0.42888,0.06604,-0.02467,1.11827,-0.00654,10.67647,1.21693,-171.95958,0.31934,-0.68181,-0.68181,27.63316,-0.60969,-7.27927,-0.01706,-0.18215,-1.41780999999997,-2.00987000000001
"46","2021_Q3",1732.095,"Up",1.703e+09,-9.49e+08,7.54e+08,-5.88e+08,-2.75e+08,-279179399.618247,-29217654.8803061,-1.47e+08,1.66e+08,-2.8e+07,-1.6e+07,-1.2e+07,1.38e+08,1.38e+08,-7e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,1968276000,1069909000,898367000,1806829000,617027000,1189802000,623097000,58143000,564954000,4567651000,618997000,181411000,774635000,23894000,85165000,132618000,532958000,1575043000,6142694000,3712881000,857622000,2855259000,156409000,3869290000,1788481000,403893000,48529000,355364000,2192374000,6061664000,455256000,348298000,-446304000,81030000,81030000,6142694000,6.8e+07,4.7e+07,1.89e+08,-4e+07,2.64e+08,-1.62e+08,1.93e+08,-1.58e+08,1.03e+08,2.09e+08,2.09e+08,3.4e+07,2.43e+08,2.13e+08,1788481000,8.1e+07,0.44275,0.09748,0.03993,0.8392,0.01107,1.19118,1.18049,74.80765,0.29116,1.36361,1.36361,34.15041,1.6249,1.6243,0.02991,0.03563,-0.84411,-1.0831
"47","2021_Q4",1404.73515625,"Down",1.858e+09,-1.051e+09,8.07e+08,-6.47e+08,-4.04e+08,-295032866.157663,5466926.82625851,-1.38e+08,1.6e+08,-3.4e+07,-9e+06,-2.5e+07,1.26e+08,1.26e+08,-3.1e+07,9.5e+07,9.5e+07,9.5e+07,9.5e+07,2029081000,987213000,1041868000,2271749000,843295000,1428454000,755597000,52337000,703260000,5283121000,702528000,38027000,776341000,30709000,80949000,127508000,537175000,1516896000,6800017000,4132661000,906393000,3226268000,153870000,4286531000,1970393000,420117000,54951000,365166000,2390510000,6677041000,919633000,443523000,-496078000,122976000,122976000,6800017000,9.5e+07,5.2e+07,1.54e+08,-3.6e+07,2.65e+08,-1.71e+08,-6.8e+07,-6.31e+08,4.22e+08,5.6e+07,5.6e+07,-6.4e+07,-8e+06,2.12e+08,1970393000,3.6e+07,0.43434,0.08611,0.05113,0.77251,0.01397,0.37895,1.23249,54.29548,0.28976,1.91543,1.91543,37.46182,2.4795,0.72585,0.0378,0.01432,-0.27683000000001,-0.3668
"48","2022_Q1",1088.25435483871,"Down",2130409000,-1277357000,853052000,-829349000,-921021000,-370619899.618247,-23831954.8803061,-179328000,23703000,-65597000,257999.999999996,-57333000,-41894000,-41894000,-3802000,-45696000,-45696000,-45696000,-45696000,3.395e+09,2.585e+09,8.1e+08,9.8e+07,9.8e+07,1718585508.80785,4.429e+09,4e+07,4.389e+09,8.175e+09,8.07e+08,8.9e+07,1.03e+09,4.5e+07,1.48e+08,1.81e+08,6.56e+08,1.926e+09,1.0101e+10,5.318e+09,1.036e+09,3.991e+09,5.19e+08,5.837e+09,2.233e+09,5e+08,6.2e+07,4.38e+08,2.733e+09,8.57e+09,2.439e+09,3.97e+08,-5.15e+08,1.531e+09,1.531e+09,1.0101e+10,-45696000,66942000,153997000,525800000,701043000,-155496000,130803000,-709533000,2258983000,2250493000,2250493000,-25754000,2224739000,90645000,2.233e+09,464751000,0.40042,0.01113,-0.02145,-0.02985,-0.00452,-10.1705,1.40055,5.59765,0.22107,-0.92134,-0.92134,42.95426,30.8687,9.37052,-0.01072,0.10899,-12.81924,-49.02333
"49","2022_Q2",871.737580645161,"Down",2.248e+09,-1.175e+09,1.073e+09,-9.34e+08,-7e+08,-5.41e+08,-1.59e+08,-2.34e+08,1.39e+08,-2.8e+07,-2.5e+07,-3e+06,1.11e+08,1.11e+08,-4.6e+07,6.5e+07,6.5e+07,6.5e+07,6.5e+07,2.985e+09,1.573e+09,1.412e+09,4.267e+09,1.755e+09,2.512e+09,1.214e+09,7.9e+07,1.135e+09,8.705e+09,9.67e+08,1.21e+08,1.23e+09,4.3e+07,1.62e+08,2.35e+08,7.9e+08,2.318e+09,1.1023e+10,5.565e+09,1.027e+09,4.538e+09,6.91e+08,6.256e+09,2.638e+09,5.4e+08,4.2e+07,4.98e+08,3.178e+09,9.434e+09,2.308e+09,4.96e+08,-3.86e+08,1.589e+09,1.589e+09,1.1023e+10,6.5e+07,8.4e+07,3.46e+08,-7.28e+08,-2.33e+08,-1.37e+08,-4.78e+08,-1.224e+09,1.52e+08,-1.305e+09,-1.305e+09,7.1e+07,-1.234e+09,2.23e+08,2.638e+09,-5.96e+08,0.47731,0.06183,0.02891,0.04091,0.0059,-9.16923,1.39146,5.93707,0.23932,1.30191,1.30191,45.02616,31.82676,-11.93754,0.01364,-0.12503,-1.55605,-2.4964
"50","2022_Q3",859.52453125,"Down",2.597e+09,-1.313e+09,1.284e+09,-1.034e+09,-2.15e+08,-841232667.302921,-441922908.532823,-2.62e+08,2.5e+08,-8.8e+07,-2.7e+07,-6e+07,1.62e+08,1.62e+08,-3.9e+07,1.23e+08,1.23e+08,1.23e+08,1.23e+08,2.974e+09,1.329e+09,1.645e+09,4.393e+09,1.02e+08,4.291e+09,1.313e+09,7.7e+07,1.236e+09,8.863e+09,9.32e+08,4.56e+08,1.196e+09,3.1e+07,1.49e+08,2.48e+08,7.68e+08,2.584e+09,1.1447e+10,6.184e+09,1.131e+09,4.726e+09,6.59e+08,6.843e+09,2.515e+09,5.09e+08,3.2e+07,4.77e+08,3.024e+09,9.867e+09,2.308e+09,6.19e+08,-4.89e+08,1.58e+09,1.58e+09,1.1447e+10,1.23e+08,1e+08,4.36e+08,2.48e+08,9.07e+08,-1e+08,-6.69e+08,-1.337e+09,4.34e+08,4e+06,4e+06,-1.65e+08,-1.61e+08,3.5e+08,2.515e+09,5.37e+08,0.49442,0.09626,0.04736,0.07785,0.01075,4.36585,1.29519,6.24494,0.21971,2.44005,2.44005,51.51883,31.34376,10.65291,0.02672,0.11664,-1.31143,-1.836
