"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",12.4950793650794,"Down",102591000,-56921000,45670000,-15882000,-9904000,-5978000,29788000,-3643000,-3797000,154000,26145000,26145000,-7032000,19113000,19113000,19113000,19113000,84641000,84641000,56766000,56766000,31936000,30087000,5804000,203430000,345277000,94343000,10436000,68403000,15504000,439620000,643050000,35295000,19705000,6364000,52052000,254817000,136769000,50328000,72601000,13139000,391586000,443638000,162629000,49151000,-12368000,199412000,199412000,643050000,19113000,5978000,-8526000,-15016000,1549000,-13761000,-13761000,-9624000,-2722000,37654000,25442000,25442000,25442000,35766000,261181000,14021000,0.44517,0.29036,0.1863,0.09585,0.02972,0.73358,3.90821,2.22473,0.40616,0.36799,0.36734,1.97522,3.83935,0.26995,0.032,0.02347,4.93597,5.92655
"2","2012_Q3",10.2366666666667,"Down",104599000,-58920000,45679000,-15692000,-9718000,-5974000,29987000,-3249000,-3428000,179000,26738000,26738000,-7287000,19451000,19451000,19451000,19451000,102625000,102625000,49904000,49904000,40131000,27589000,7165000,220249000,363828000,94382000,10436000,68403000,15543000,458210000,678459000,57545000,37588000,6364000,71990000,254209000,132998000,49190000,69489000,13420000,387207000,459197000,162614000,68602000,-11739000,219262000,219262000,678459000,19451000,5974000,768000,17549000,43742000,-24258000,-24258000,-1143000,-142000,-1500000,17984000,17984000,17984000,35961000,260573000,36539000,0.43671,0.28669,0.18596,0.08871,0.02867,1.87852,3.05944,2.09428,0.38407,0.37092,0.37046,1.99464,4.1812,0.69678,0.03174,0.05962,4.3922,5.26722
"3","2012_Q4",12.8390322580645,"Up",115885000,-69706000,46179000,-16103000,-10135000,-5968000,30076000,-2978000,-3326000,348000,27098000,27098000,-8302000,18796000,18796000,18796000,18796000,93010000,93010000,59471000,59471000,36228000,19770000,8599000,208479000,393756000,94954000,10436000,68403000,16115000,488710000,697189000,65828000,39598000,6364000,78310000,253600000,127091000,47630000,64813000,13702000,380691000,459001000,163440000,87398000,-11600000,238188000,238188000,697189000,18796000,5968000,7629000,-7695000,24698000,-35594000,-35594000,-354000,2470000,1281000,-9615000,-9615000,-9615000,36044000,259964000,1057000,0.39849,0.25953,0.1622,0.07891,0.02696,0.05624,2.66223,1.92705,0.37287,0.35549,0.3554,2.19176,4.50491,0.01999,0.03006,0.00169,4.63195,5.55107
"4","2013_Q1",18.6576666666667,"Up",118846000,-70988000,47858000,-18721000,-11542000,-7179000,29137000,687000.000000001,-3244000,3931000,29824000,29824000,-8030000,21794000,21794000,21794000,21794000,61022000,61022000,59564000,59564000,39835000,16846000,6738000,177267000,414218000,95325000,10436000,68403000,16486000,509543000,686810000,72802000,37333000,2433000,80090000,252992000,122034000,52747000,59111000,10176000,375026000,455116000,164108000,82731000,-14175000,231694000,231694000,686810000,21794000,7179000,-4378000,6366000,30961000,-30848000,-30848000,-4582000,-1138000,-32101000,-31988000,-31988000,-31988000,36316000,255425000,19864000,0.40269,0.24517,0.18338,0.09406,0.03173,0.91144,2.21335,1.9643,0.3719,0.41031,0.41012,2.23748,4.36204,0.37397,0.07922,0.03261,5.3531,6.67203
"5","2013_Q2",19.0978125,"Up",122311000,-74412000,47899000,-20682000,-12404000,-8278000,27217000,-3454000,-3576000,122000,23763000,23763000,-6486000,17277000,17277000,17277000,17277000,42919000,42919000,65249000,65249000,42776000,17808000,7686000,168752000,429611000,95698000,10436000,68403000,16859000,525309000,694061000,51066000,30307000,13474000,67478000,252383000,123245000,52768000,60154000,10323000,375628000,443106000,165064000,100008000,-13753000,250955000,250955000,694061000,17277000,8278000,904000,-31371000,-4912000,-22707000,-22707000,-905000,9633000,9516000,-18103000,-18103000,-18103000,35495000,265857000,-12097000,0.39162,0.22252,0.14125,0.06885,0.02489,-0.70018,2.50084,1.76568,0.38305,0.32631,0.33091,2.31011,4.73983,-0.22848,0.02699,-0.0189,6.28083,8.19113
"6","2013_Q3",20.90453125,"Up",129828000,-80297000,49531000,-18989000,-10099000,-8890000,30542000,-3472000,-3535000,63000.0000000005,27070000,27070000,-6878000,20192000,20192000,20192000,20192000,47068000,47068000,61784000,61784000,52190000,19690000,7668000,180732000,429364000,95382000,10436000,68403000,16543000,524746000,705478000,51684000,30711000,9664000,61918000,251774000,124750000,52019000,62200000,10531000,376524000,438442000,166725000,113566000,-13255000,267036000,267036000,705478000,20192000,8890000,553000,-14558000,15077000,-8425000,-8425000,-774999.999999996,-3104000,-2503000,4149000,4149000,4149000,39432000,261438000,23327000,0.38151,0.23525,0.15553,0.07562,0.02862,1.15526,2.91889,1.64188,0.37058,0.38136,0.37936,2.45199,5.04336,0.44056,0.03091,0.03571,5.43645,7.01886
"7","2013_Q4",29.5546875,"Up",144372000,-90983000,53389000,-21952000,-12800000,-9152000,31437000,-3884000,-4144000,260000,27553000,27073000,-5739000,21334000,21334000,21334000,21334000,153673000,128687000,74661000,74661000,59127000,23434000,10826000,310895000,437748000,99862000,10436000,68403000,21023000,537610000,848505000,61732000,40600000,3753000,65485000,368835000,126539000,50672000,63433000,12434000,495374000,560859000,172557000,128219000,-13130000,287646000,287646000,848505000,21334000,9152000,8683000,-20807000,18362000,-40536000,-40536000,117977000,-11891000,103793000,81619000,81619000,81619000,40589000,372588000,-15015000,0.3698,0.21775,0.14777,0.07417,0.02514,-0.70381,4.74758,1.94982,0.43911,0.40175,0.3993,2.71872,5.41676,-0.28275,0.03555,-0.01908,5.39346,6.96361
"8","2014_Q1",29.1124590163934,"Down",149474000,-102875000,46599000,-24554000,-14456000,-10098000,22045000,-3934000,-4086000,152000,18111000,18111000,-1658000,16453000,16453000,16453000,16453000,153236000,78256000,75207000,75207000,64212000,24877000,7140000,317532000,442116000,103813000,10436000,68403000,24974000,545929000,863461000,60645000,37376000,3488000,64133000,367963000,122071000,36802000,71318000,13951000,490034000,554167000,175333000,137978000,-4017000,309294000,309294000,863461000,16453000,10098000,-10019000,1392000,17924000,-63445000,-63445000,-1475000,2525000,-4179000,-49700000,-49700000,-49700000,32143000,371451000,-28252000,0.31175,0.14748,0.11007,0.0532,0.01905,-1.71713,4.95115,1.79172,0.43019,0.3096,0.30041,2.81268,5.82003,-0.53162,0.0288,-0.03519,6.78888,9.89862
"9","2014_Q2",42.707619047619,"Up",180095000,-126770000,53325000,-25034000,-15445000,-9589000,28291000,-3770000,-3808000,38000,24521000,24521000,-6150000,18371000,18371000,18371000,18371000,160768000,85700000,97369000,97369000,51171000,31912000,13890000,341220000,443406000,98551000,10436000,68403000,19712000,541957000,883177000,62554000,46431000,3489000,66043000,367090000,123396000,36189000,72762000,14445000,490486000,556529000,180876000,149630000,-3858000,326648000,326648000,883177000,18371000,9589000,1455000,892000,30307000,-10606000,-10606000,-938000,-921000,-12257000,7444000,7444000,7444000,37880000,370579000,34316000,0.29609,0.15709,0.10201,0.05624,0.0208,1.86794,5.16663,1.70376,0.4196,0.34335,0.33986,3.36595,6.105,0.64136,0.03872,0.04182,5.53883,7.41617
"10","2014_Q3",56.55921875,"Up",205801000,-132417000,73384000,-29608000,-19267000,-10341000,43776000,-3792000,-4013000,221000,39984000,39984000,-11330000,28654000,28654000,28654000,28654000,181075000,105974000,108452000,108452000,58650000,32592000,8936000,380769000,441450000,100642000,10436000,68403000,21803000,542092000,922861000,76123000,52826000,3489000,79612000,366218000,123547000,34431000,74203000,14913000,489765000,569377000,185693000,171540000,-3749000,353484000,353484000,922861000,28654000,10341000,5002000,-19082000,24915000,-7405000,-7405000.00000001,-937000,1995000.00000001,2764000,20274000,20274000,20274000,54117000,369707000,38960000,0.35658,0.21271,0.13923,0.08106,0.03105,1.35967,4.78281,1.61076,0.40061,0.53327,0.52807,3.83007,6.57853,0.72507,0.03384,0.04601,3.48563,4.30903
