"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q2",40.5696825396825,"Up",1432100000,-716700000,715400000,-558100000,-558100000,157300000,-1.5e+07,-1.5e+07,142300000,-3500000,138800000,-43100000,95700000,95700000,-2e+05,95500000,95500000,0,0.49955,0.10984,0.06669,0.40569,0.39958,6.08369
"2","2010_Q3",42.37421875,"Up",1520200000,-7.5e+08,770200000,-565300000,-565300000,204900000,-1.5e+07,-1.5e+07,189900000,-6e+05,189300000,-59800000,129500000,129500000,-2e+05,129300000,129300000,0,0.50664,0.13478,0.08505,0.55398,0.54465,6.51328
"3","2010_Q4",43.5490625,"Up",1561900000,-763400000,798500000,-558500000,-558500000,2.4e+08,-14900000,-14900000,225100000,5100000,230200000,-55900000,174300000,174300000,-1e+05,174200000,174200000,0,0.51124,0.15366,0.11153,0.74828,0.73502,6.70919
"4","2011_Q1",43.2793548387097,"Down",1575500000,-783700000,791800000,-579700000,-579700000,212100000,-14200000,-14200000,197900000,-8500000,189400000,-57800000,131600000,131600000,-3e+05,131300000,131300000,845600000,0.50257,0.13462,0.08334,0.56595,0.55401,6.79095
"5","2011_Q2",46.6653968253968,"Up",1518300000,-770400000,747900000,-581600000,-581600000,166300000,-13500000,-13500000,152800000,-14600000,138200000,-44400000,93800000,93800000,-2e+05,93600000,93600000,0,0.49259,0.10953,0.06165,0.40345,0.39678,6.5444
"6","2011_Q3",45.00515625,"Down",1698800000,-860800000,8.38e+08,-609600000,-609600000,228400000,-13100000,-13100000,215300000,-30100000,185200000,-5.9e+07,126200000,126200000,-3e+05,125900000,125900000,1.19209289550781e-07,0.49329,0.13445,0.07411,0.54361,0.53325,7.33506
"7","2011_Q4",48.1798412698413,"Up",1736100000,-877900000,858200000,-595300000,-595300000,262900000,-13200000,-13200000,249700000,-23300000,226400000,-71900000,154500000,154500000,-2e+05,154300000,154300000,0,0.49433,0.15143,0.08888,0.66537,0.65354,7.48642
"8","2012_Q1",53.9070967741935,"Up",1845300000,-966500000,878800000,-651600000,-651600000,227200000,-34400000,-34400000,192800000,-6.3e+07,129800000,-4.1e+07,88800000,88800000,-99999.9999999998,88700000,88700000,7636200000,0.47624,0.12312,0.04807,0.35184,0.34076,7.31971
"9","2012_Q2",57.278253968254,"Up",2810900000,-1.614e+09,1196900000,-989700000,-989700000,207200000,-86100000,-86100000,121100000,-41400000,79700000,-35600000,44100000,44100000,5600000,49700000,49700000,0,0.42581,0.07371,0.01768,0.1705,0.16683,9.64288
"10","2012_Q3",58.865873015873,"Up",2958700000,-1608900000,1349800000,-981700000,-981700000,368100000,-63900000,-63900000,304200000,-41600000,262600000,-79200000,183400000,183400000,1100000,184500000,184500000,-9.5367431640625e-07,0.45621,0.12441,0.06236,0.63207,0.61871,10.13601
"11","2012_Q4",62.5656451612903,"Up",3023300000,-1616400000,1406900000,-977700000,-977700000,429200000,-64200000,-64200000,3.65e+08,-2.8e+07,3.37e+08,-97700000,239300000,239300000,-1300000,2.38e+08,2.38e+08,0,0.46535,0.14196,0.07872,0.81312,0.79705,10.32901
"12","2013_Q1",68.195,"Up",3045800000,-1546100000,1499700000,-1069200000,-1069200000,430500000,-62500000,-62500000,3.68e+08,-34700000,333300000,-98800000,234500000,234500000,-3100000,231400000,231400000,6541900000,0.49238,0.14134,0.07597,0.78734,0.76903,10.36339
"13","2013_Q2",76.37359375,"Up",2872100000,-1539700000,1332400000,-1.021e+09,-1.021e+09,311400000,-61500000,-61500000,249900000,-49700000,200200000,-39200000,1.61e+08,1.61e+08,-1400000,159600000,159600000,0,0.46391,0.10842,0.05557,0.54028,0.53041,9.72275
"14","2013_Q3",84.39515625,"Up",3337800000,-1810200000,1527600000,-1101700000,-1101700000,425900000,-66200000,-66200000,359700000,-73600000,286100000,-70300000,215800000,215800000,-2700000,213100000,213100000,0,0.45767,0.1276,0.06384,0.7068,0.69323,11.07065
"15","2013_Q4",94.53328125,"Up",3.484e+09,-1866100000,1617900000,-1114100000,-1114100000,503800000,-6.7e+07,-6.7e+07,436800000,-27800000,4.09e+08,-101800000,307200000,307200000,8e+05,3.08e+08,3.08e+08,0,0.46438,0.1446,0.0884,1.02258,1.0026,11.56707
"16","2014_Q1",95.5360655737705,"Up",3559500000,-1945200000,1614300000,-1123500000,-1123500000,490800000,-67600000,-67600000,423200000,-20200000,4.03e+08,-113400000,289600000,289600000,-2500000,287100000,287100000,6904500000,0.45352,0.13788,0.08066,0.95224,0.93184,11.80597
"17","2014_Q2",97.961746031746,"Up",3336600000,-1819200000,1517400000,-1136900000,-1136900000,380500000,-65100000,-65100000,315400000,-29600000,285800000,-91300000,194500000,194500000,-3500000,1.91e+08,1.91e+08,0,0.45477,0.11404,0.05724,0.6354,0.62316,11.0998
"18","2014_Q3",103.17171875,"Up",3568200000,-1909400000,1658800000,-1152700000,-1152700000,506100000,-66200000,-66200000,439900000,6100000,4.46e+08,-1.31e+08,3.15e+08,3.15e+08,-3600000,311400000,311400000,-9.5367431640625e-07,0.46488,0.14184,0.08727,1.03939,1.02031,11.90988
"19","2014_Q4",100.5040625,"Down",3694900000,-1970600000,1724300000,-1145900000,-1145900000,578400000,-63300000,-63300000,515100000,-7e+06,508100000,-138700000,369400000,369400000,-4500000,364900000,364900000,0,0.46667,0.15654,0.09876,1.21633,1.19365,12.31633
"20","2015_Q1",101.024918032787,"Up",3680800000,-1979900000,1700900000,-1142100000,-1142100000,558800000,-6.2e+07,-6.2e+07,496800000,-38300000,458500000,-115200000,343300000,343300000,-7800000,335500000,335500000,6548200000,0.4621,0.15181,0.09115,1.11759,1.09569,12.26116
"21","2015_Q2",106.284126984127,"Up",3297600000,-1765300000,1532300000,-1136800000,-1136800000,395500000,-62500000,-62500000,3.33e+08,-7800000,325200000,-89800000,235400000,235400000,-2e+06,233400000,233400000,0,0.46467,0.11994,0.07078,0.7827,0.76979,11.05835
"22","2015_Q3",103.7334375,"Down",3389100000,-1806500000,1582600000,-1079200000,-1079200000,503400000,-61200000,-61200000,442200000,-65600000,376600000,-67800000,308800000,308800000,-6800000,3.02e+08,3.02e+08,1.9073486328125e-06,0.46697,0.14854,0.08911,1.01958,1.00299,11.44193
"23","2015_Q4",109.3640625,"Up",3446400000,-1.82e+09,1626400000,-1070700000,-1070700000,555700000,-57600000,-57600000,498100000,-142700000,355400000,-105300000,250100000,250100000,7700000,257800000,257800000,0,0.47191,0.16124,0.0748,0.87331,0.85933,11.6748
"24","2016_Q1",99.1068852459016,"Down",3.412e+09,-1831700000,1580300000,-1058800000,-1058800000,521500000,-62300000,-62300000,459200000,-198700000,260500000,-37600000,222900000,222900000,-1.4e+07,208900000,208900000,6465500000,0.46316,0.15284,0.06123,0.70574,0.69333,11.52703
"25","2016_Q2",109.07046875,"Up",3097400000,-1631400000,1.466e+09,-1088200000,-1088200000,377800000,-66100000,-66100000,311700000,-6300000,305400000,-73400000,2.32e+08,2.32e+08,-1200000,230800000,230800000,0,0.4733,0.12197,0.07451,0.78397,0.77372,10.52106
"26","2016_Q3",113.2846875,"Up",3317200000,-1785200000,1.532e+09,-1093300000,-1093300000,438700000,-65300000,-65300000,373400000,-26200000,347200000,-83600000,263600000,263600000,-5200000,258400000,258400000,0,0.46184,0.13225,0.0779,0.88372,0.8715,11.34473
"27","2016_Q4",110.16746031746,"Down",3386100000,-1737200000,1648900000,-1071600000,-1071600000,577300000,-64900000,-64900000,512400000,-3200000,509200000,-129700000,379500000,379500000,-5400000,374100000,374100000,0,0.48696,0.17049,0.11048,1.28292,1.26513,11.61214
"28","2017_Q1",115.429516129032,"Up",3351100000,-2380100000,9.71e+08,-455100000,-455100000,515900000,-24500000,-68300000,491400000,-3800000,487600000,-116200000,371400000,371400000,-5700000,365700000,365700000,6.687e+09,0.28976,0.15395,0.10913,1.25412,1.23422,11.49211
"29","2017_Q2",122.332063492063,"Up",3162400000,-1851800000,1310600000,-947200000,-947200000,363400000,-45700000,-62500000,317700000,-6200000,311500000,-54200000,257300000,257300000,-3300000,2.54e+08,2.54e+08,7.541e+09,0.41443,0.11491,0.08032,0.87405,0.86102,10.88231
"30","2017_Q3",124.845238095238,"Up",3.46e+09,-2045400000,1414600000,-958200000,-958200000,456400000,-42800000,-59600000,413600000,-36800000,376800000,-80500000,296300000,296300000,-1500000,294800000,294800000,7679900000,0.40884,0.13191,0.0852,1.01725,1.00204,11.93927
"31","2017_Q4",126.670793650794,"Up",3564500000,-2064600000,1499900000,-930900000,-930900000,5.69e+08,-38200000,-55100000,530800000,-4900000,525900000,-129300000,396600000,396600000,-3400000,393200000,393200000,7557500000,0.42079,0.15963,0.11031,1.36055,1.34015,12.33391
"32","2018_Q1",128.424918032787,"Up",3.649e+09,-2102400000,1546600000,-9.89e+08,-9.89e+08,557600000,-6.1e+07,-77800000,496600000,51600000,548200000,20200000,568400000,568400000,-5800000,562600000,562600000,7322700000,0.42384,0.15281,0.15418,1.94671,1.91752,12.6263
"33","2018_Q2",138.1671875,"Up",3470900000,-2082100000,1388800000,-1008500000,-1008500000,380300000,-3.7e+07,-56400000,343300000,-2.6e+07,317300000,-69100000,248200000,248200000,-9e+05,247300000,247300000,7415500000,0.40013,0.10957,0.07125,0.8569,0.84489,12.02668
"34","2018_Q3",142.427142857143,"Up",3689600000,-2156100000,1533500000,-1026800000,-1026800000,506700000,-36700000,-56300000,4.7e+08,-12100000,457900000,-104300000,353600000,353600000,-2300000,351300000,351300000,7217600000,0.41563,0.13733,0.09521,1.21641,1.19775,12.77562
"35","2018_Q4",147.08126984127,"Up",3747200000,-2200200000,1.547e+09,-955200000,-955200000,591800000,-34700000,-55700000,557100000,-75600000,481500000,-43200000,438300000,438300000,-2900000,435400000,435400000,7104200000,0.41284,0.15793,0.11619,1.50657,1.48449,12.96609
"36","2019_Q1",156.911147540984,"Up",1314400000,-436900000,877500000,-515300000,-515300000,362200000,-32800000,-52700000,329400000,1e+06,330400000,-104600000,225800000,404600000,-9500000,395100000,395100000,7045200000,0.6676,0.27556,0.30059,1.37188,1.35355,4.56389
"37","2019_Q2",180.085238095238,"Up",3505400000,-2096700000,1408700000,-1001200000,-1001200000,407500000,-28200000,-49400000,379300000,-40300000,3.39e+08,-38600000,300400000,300400000,-3900000,296500000,296500000,7140500000,0.40187,0.11625,0.08458,1.0288,1.01437,12.16308
"38","2019_Q3",194.60328125,"Up",3759400000,-2201100000,1558300000,-1009800000,-1009800000,548500000,-28600000,-49500000,519900000,-49900000,4.7e+08,-97800000,372200000,372200000,-3600000,368600000,368600000,7056500000,0.41451,0.1459,0.09805,1.28164,1.2619,13.07163
"39","2019_Q4",184.74375,"Down",2.053e+09,-938900000,1114100000,-654300000,-654300000,459800000,-24900000,-45700000,434900000,1400000,436300000,-65700000,370600000,4.69e+08,-4800000,464200000,464200000,6.746e+09,0.54267,0.22396,0.22611,1.61069,1.58376,7.12353
"40","2020_Q1",183.355161290323,"Down",3244200000,-1809100000,1435100000,-885500000,-885500000,549600000,-3.2e+07,-46100000,517600000,-31400000,486200000,-86500000,399700000,434600000,-5e+06,429600000,429600000,6353600000,0.44236,0.16941,0.13242,1.4896,1.46872,11.24896
"41","2020_Q2",189.459206349206,"Up",3020600000,-1720200000,1300400000,-908300000,-908300000,392100000,-32900000,-48300000,359200000,-15900000,343300000,-4.7e+07,296300000,287700000,-4300000,283400000,283400000,7782300000,0.43051,0.12981,0.09382,0.9813,0.96856,10.45914
"42","2020_Q3",195.99875,"Up",2685700000,-1635700000,1.05e+09,-788600000,-788600000,261400000,-43600000,-58700000,217800000,-69400000,148400000,-14100000,134300000,-2029600000,-5400000,-2.035e+09,-2.035e+09,7286900000,0.39096,0.09733,-0.75772,-7.06107,-6.98353,9.31888
"43","2020_Q4",205.38203125,"Up",3018600000,-1769600000,1.249e+09,-802600000,-802600000,446400000,-119700000,-134800000,326700000,-3.5e+07,291700000,-42400000,249300000,249300000,-3100000,246200000,246200000,6.915e+09,0.41377,0.14788,0.08156,0.86235,0.85368,10.57303
"44","2021_Q1",209.629344262295,"Up",3065300000,-1780300000,1.285e+09,-809600000,-809600000,475400000,-38100000,-48400000,437300000,-59300000,3.78e+08,-73100000,304900000,304900000,-4600000,300300000,300300000,6686600000,0.41921,0.15509,0.09797,1.05184,1.03982,10.7366
"45","2021_Q2",214.603968253968,"Up",2.885e+09,-1.712e+09,1.173e+09,-862900000,-862900000,310100000,-34700000,-51700000,275400000,-12800000,262600000,-66099999,196500001,196500001,-2900000,193600001,193600001,6710100000,0.40659,0.10749,0.06711,0.67692,0.67036,10.08741
"46","2021_Q3",216.9015625,"Up",3162700000,-1.844e+09,1318700000,-853300000,-853300000,465400000,-48100000,-45600000,417300000,-17600000,399700000,-86100001,313599999,313599999,-2800000,310799999,310799999,6726200000,0.41695,0.14715,0.09827,1.08671,1.07618,11.05839
"47","2021_Q4",224.17125,"Up",3320800000,-2016700000,1304100000,-8.32e+08,-8.32e+08,472100000,-63400000,-76400000,408700000,-6300000,402400000,-73800000,328600000,328600000,-4100000,324500000,324500000,5950500000,0.39271,0.14216,0.09772,1.13303,1.12206,11.59497
"48","2022_Q1",186.741129032258,"Down",3364600000,-2043100000,1321500000,-867900000,-867900000,453600000,-38200000,-44600000,415400000,-65900000,349500000,-44200000,305300000,305300000,-4300000,3.01e+08,3.01e+08,8758200000,0.39277,0.13482,0.08946,1.05098,1.0408,11.74791
"49","2022_Q2",165.348064516129,"Down",3266700000,-2073400000,1193300000,-914700000,-914700000,278600000,-34200000,-5.3e+07,244400000,-24100000,220300000,-45600000,174700000,174700000,-2800000,171900000,171900000,8760300000,0.36529,0.08528,0.05262,0.60063,0.59667,11.41405
