"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",16.36859375,"Down",33461000,-14506000,18955000,-35044000,-31660000,-2027000,-1357000,-16089000,-51000,-51000,-16140000,-16140000,-1545000,-17685000,-17685000,-17685000,-17685000,13017000,13017000,23103000,23103000,53411000,2148000,1712000,91679000,21086000,43499000,42837000,148000,64585000,156264000,16515000,7075000,8742000,16515000,138445000,138394000,138445000,154960000,167962779.72383,3349279.23834004,1304000,1304000,1304000,156264000,-17685000,2887000,1753000,-11278000,-24323000,-3496000,-3496000,0,0,40187000,40187000,12368000,12368000,1000,12369000,-13202000,0,-26431000,0.56648,-0.48083,-0.52853,-13.56212,-0.11317,1.49454,5.55126,118.83436,0,-1.60074,-1.60074,3.02869,0.11803,-2.39238,-0.12655,-0.18913,0.98599,0.80906
"2","2015_Q4",15.7734375,"Down",32679000,-17341000,15338000,-30007000,-26348000,-2364000,-1295000,-14669000,195000,195000,-14474000,-14474000,275000,-14199000,-14199000,-14199000,-14199000,38503000,38503000,25345000,25345000,52897000,4441000,4300000,121186000,23026000,42261000,41589000,222000,65287000,186473000,24748000,13748000,10274000,24748000,2565000,2565000,2565000,27313000,171529000,-14199000,1830000,159160000,159160000,186473000,-14199000,3277000,6807000,-1621000,-5736000,-2909000,-2909000,-1.45519152283669e-11,-1.45519152283669e-11,34061000,34061000,25416000,25416000,70000,25486000,-11392000,0,-16197000,0.46935,-0.44888,-0.4345,-0.0892099999999978,-0.07615,1.14071,4.8968,0.171610000000001,0,-1.27106,-1.27106,2.92534,14.24761,-1.44991,-0.0878,-0.10015,3.37983,2.62479
"3","2016_Q1",13.8895081967213,"Down",34724000,-16671000,18053000,-31154000,-27492000,-2380000,-1282000,-13101000,-3e+05,-3e+05,-13401000,-13401000,-349000,-13750000,-13750000,-13750000,-13750000,33429000,33429000,25326000,25326000,51271000,3696000,3696000,113722000,21958000,40709000,39632000,1077000,62667000,176389000,26035000,13689000,12346000,26035000,2687000,2687000,3015000,29050000,173897000,-27949000,1391000,147339000,147339000,176389000,-13750000,3276000,3720000,3639000,-3115000,-1729000,-1729000,0,0,-80000,-80000,-4924000,-4924000,-150000,-5074000,-9825000,328000,-7566000,0.5199,-0.37729,-0.39598,-0.09332,-0.07795,0.55025,4.36804,0.19716,0.00186,-1.21284,-1.21284,3.06289,12.9963,-0.66737,-0.09145,-0.05032,3.36906,2.5266
"4","2016_Q2",12.05890625,"Down",31399000,-14283000,17116000,-29408000,-25374000,-2753000,-1281000,-12292000,258000,258000,-12034000,-12034000,27000,-12007000,-12007000,-12007000,-12007000,28602000,28602000,22893000,22893000,50309000,2165000,2165000,103969000,21051000,38684000,37677000,1007000,59735000,163704000,23068000,11185000,11883000,23068000,2908000,2908000,3269000,26337000,175742000,-39956000,1581000,137367000,137367000,163704000,-12007000,3162000,5191000,-537000,-4191000,-983000,-983000,296216.357928983,296216.357928983,-1999.99999999627,-2000,-5176000,-5176000,349000,-4827000,-9130000,361000,-10677000,0.54511,-0.39148,-0.3824,-0.0874099999999999,-0.07335,0.88923,4.50707,0.191729999999998,0.00221,-1.07522,-1.07522,2.81177,12.30116,-0.95612,-0.08538,-0.07592,3.09321,2.29751
"5","2016_Q3",10.33375,"Down",33201000,-13930000,19271000,-31451000,-26989000,-3181000,-1281000,-12180000,-232000,-232000,-12412000,-12412000,429000,-11983000,-11983000,-11983000,-11983000,22987000,22987000,22840000,22840000,48293000,2217000,2217000,96337000,21858000,36831000,35722000,1109000,58689000,155026000,24464000,10784000,13680000,24464000,2918000,2918000,3313000,27777000,177711000,-51939000,1477000,127249000,127249000,155026000,-11983000,3086000,3463000,2125000,-3309000,-2463000,-2463000,356000,356000,0,356000,-5416000,-5416000,-199000,-5615000,-9094000,395000,-9861000,0.58043,-0.36686,-0.36092,-0.09417,-0.0773,0.82292,3.93791,0.21829,0.00255,-1.07192,-1.07192,2.96994,11.38286,-0.8821,-0.09178,-0.07553,2.48428,1.85484
"6","2016_Q4",8.44190476190476,"Down",31741000,-13881000,17860000,-27358000,-23803000,-2600000,-955000,-9498000,-59000.0000000001,-59000.0000000001,-9557000,-9557000,103000,-9454000,-9454000,-9454000,-9454000,20808000,20808000,21202000,21202000,48176000,2648000,2648000,92834000,22362000,44500000,43526000,974000,66862000,159696000,24270000,10926000,13344000,28344000,7971000,7971000,11721000,40065000,179502000,-61393000,1522000,119631000,119631000,159696000,-9454000,2736000,2703000,1109000,-2906000,-3411000,-3411000,0,0,-23000,4101000,-2216000,-2216000,36999.9999999999,-2179000,-6762000,4574000,-9167000,0.56268,-0.29923,-0.29785,-0.07903,-0.0592,0.96964,3.27526,0.3349,0.02864,-0.83879,-0.83879,2.81617,10.61405,-0.81333,-0.07153,-0.06935,2.40077,1.7092
"7","2017_Q1",7.22725806451613,"Down",32519000,-13450000,19069000,-28599000,-24899000,-2908000,-792000,-9530000,-231000,-231000,-9761000,-9761000,-7000,-9768000,-9768000,-9768000,-9768000,14566000,14566000,20982000,20982000,45299000,1813000,1813000,82660000,21863000,42642000,41785000,857000,64505000,147165000,21118000,8537000,12581000,24418000,7935000,7935000,11770000,36188000,180866000,-71161000,1272000,110977000,110977000,147165000,-9768000,2774000,2650000,480000,-3864000,-1862000,-1862000,335000,335000,-135000,-179000,-5905000,-5905000,-337000,-6242000,-6756000,4280000,-8131000,0.5864,-0.29306,-0.30038,-0.08802,-0.06637,0.83241,3.38521,0.32609,0.02908,-0.86665,-0.86665,2.88519,9.84624,-0.72141,-0.07929,-0.066,1.5225,1.07933
"8","2017_Q2",9.37507936507937,"Up",31894000,-13172000,18722000,-27812000,-23970000,-3050000,-792000,-9090000,-13000,-13000,-9103000,-9103000,3.63797880709171e-12,-9103000,-9103000,-9103000,-9103000,12726000,12726000,19388000,19388000,42993000,2307000,2307000,77414000,21122000,41108000,40277000,831000,62230000,139644000,20500000,8056000,12444000,22064000,7012000,7012000,10926000,32990000,185565000,-80264000,1353000,106654000,106654000,139644000,-9103000,2715000,3049000,2987000,-352000,-1102000,-1102000,496606.860626624,496606.860626624,-45000,-423000,-1877000,-1877000,37000,-1840000,-6375000,3981000,-4490000,0.58701,-0.28501,-0.28541,-0.08535,-0.06519,0.49324,3.50861,0.30932,0.02851,-0.78569,-0.78569,2.75281,9.20542,-0.38754,-0.07738,-0.03817,1.37176,0.96205
"9","2017_Q3",11.5701587301587,"Up",34196000,-13994000,20202000,-28385000,-24249000,-3344000,-792000,-8183000,185000,185000,-7998000,-7998000,-45000,-8043000,-8043000,-8043000,-8043000,12287000,12287000,21689000,21689000,42515000,3130000,3130000,79621000,22986000,39356000,38568000,788000,62342000,141963000,23757000,10413000,13344000,25617000,6886000,6886000,10880000,36497000,192100000,-88307000,1673000,105466000,105466000,141963000,-8043000,2727000,3645000,-1917000,-3588000,-2071000,-2071000,5054000,5054000,-1000,4986000,-673000,-673000,234000,-439000,-5456000,3994000,-9399000,0.59077,-0.2393,-0.2352,-0.07626,-0.05666,1.16859,3.10813,0.34605,0.02813,-0.67656,-0.67656,2.87651,8.87164,-0.79063,-0.06913,-0.08078,1.51998,1.01344
"10","2017_Q4",10.2568253968254,"Down",31742000,-12176000,19566000,-27300000,-23674000,-2834000,-792000,-7734000,215000,215000,-7519000,-7519000,57000,-7462000,-7462000,-7462000,-7462000,16689000,16689000,19822000,19822000,42276000,2477000,2477000,81264000,21864000,37577000,36859000,718000,59441000,140705000,22290000,7930000,14360000,23190000,6559000,6559000,6559000,29749000,204886000,-95769000,1839000,110956000,110956000,140705000,-7462000,2742000,1496000,3055000,-169000,-2545000,-2545000,10991000,10991000,-2000,6969000,4255000,4255000,147000,4402000,-4992000,0,-4539000,0.61641,-0.24365,-0.23508,-0.06725,-0.05303,0.60828,3.50427,0.26812,-3.46944695195361e-18,-0.58229,-0.58229,2.47694,8.65829,-0.35419,-0.0635,-0.03862,3.34315,2.15787
