"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2017_Q1",26.556935483871,"Up",48460000,-9854000,38606000,-43590000,-37551000,-6039000,-4984000,123000,-22000,-22000,-4861000,-4849000,-4884000,-4884000,-4884000,-4884000,61322000,60638000,23128000,23128000,17440000,2992000,2992000,104882000,32471000,5053000,5013000,40000,37524000,142406000,35499000,8506000,26993000,35499000,6010000,6010000,6010000,41509000,100897000,142406000,-4884000,974000,3040000,-2513000,-3383000,-874000,375000,0,1472000,-1536000,-1536000,-1536000,-4010000,1.13686837721616e-13,0.79666,-0.10285,-0.10078,-0.04841,-0.0343,2.95451,0.4114,8.470329472543e-22,-0.14948,-0.14948,1.48312,-0.04568,15.29227,12.30377
"25","2017_Q2",30.4739682539683,"Up",49800000,-9466000,40334000,-42201000,-36866000,-5335000,-1867000,33000,33000,0,-1834000,-1834000,-1858000,-1858000,-1858000,-1858000,58899000,58194000,24308000,24308000,16887000,1998000,1998000,102092000,31820000,4422000,4352000,70000,36242000,138334000,30451000,8763000,21688000,30451000,4939000,4939000,4939000,35390000,102944000,138334000,-1858000,1764000,3600000,-5582000,-2076000,-452000,-452000,84000,84000,-2444000,-2444000,-2444000,-103000,0,0.80992,-0.03749,-0.03731,-0.01805,-0.01343,3.35266,0.34378,0,-0.05633,-0.05633,1.50977,-0.01722,571.83495,31.5474
"26","2017_Q3",30.4153968253968,"Down",50043000,-9163000,40880000,-39798000,-33993000,-5805000,1082000,-15000,-79000,-46000,1067000,1067000,1043000,1043000,1043000,1043000,8e+07,79279000,25398000,25398000,16169000,1382000,1382000,122949000,31204000,4567000,4503000,64000,35771000,158720000,32378000,7616000,24762000,32378000,14266000,4266000,14266000,46644000,112076000,158720000,1043000,1007000,2523000,11325000,15898000,-404000,-404000,4191000,5591000,21085000,21085000,21085000,2089000,0,0.8169,0.02162,0.02084,0.00931,0.00657,3.7973,0.41618,0,0.0324,0.03179,1.55461,0.00826,-38.29584,-73.93715
"27","2017_Q4",25.2096825396825,"Down",52144000,-11139000,41005000,-42764000,-37332000,-5432000,-1759000,28000,-20000,-20000,-1731000,-1731000,-1749000,-1749000,-1749000,-1749000,103871000,103130000,27877000,27877000,16605000,3479000,3479000,151832000,30213000,4812000,4752000,60000,35025000,186857000,38650000,8813000,29837000,38650000,34725000,24725000,34725000,73375000,113482000,186857000,-1749000,1044000,2686000,680000,2661000,-481000,-481000,21671000,21671000,23851000,23851000,23851000,-715000,0,0.78638,-0.03373,-0.03354,-0.01541,-0.00936,3.92838,0.64658,0,-0.05357,-0.05357,1.59701,-0.0118,145.27413,59.05117
"28","2018_Q1",24.0388524590164,"Down",52919000,-9673000,43246000,-42244000,-35905000,-6339000,1002000,-210000,-434000,-434000,792000,792000.000000001,772000,772000,772000,772000,108616000,107912000,28472000,28472000,16897000,5074000,5074000,159059000,29696000,5185000,5056000,129000,34881000,193940000,40972000,10736000,30236000,40972000,34579000,24579000,34579000,75551000,118389000,193940000,772000,320000,2901000,-887999.999999999,3105000,-488000,-442000,-20679000,2119000,4782000,4782000,4782000,1322000,-8.88178419700125e-16,0.81721,0.01893,0.01459,0.00652,0.00398,3.88214,0.63816,6.61744490042422e-24,0.02438,0.02486,1.67101,0.00505,-82.16036,-108.3992
"29","2018_Q2",27.515625,"Up",49676000,-9202000,40474000,-42226000,-35918000,-6308000,-1752000,-192000,-432000,-432000,-1944000,-1944000,-1977000,-1977000,-1977000,-1977000,105415000,104747000,27316000,27316000,17035000,6031000,6031000,155797000,29164000,5396000,5278000,118000,34560000,190357000,36258000,10674000,25584000,36258000,33996000,23996000,33996000,70254000,120103000,190357000,-1977000,1043000,3170000,-4736000,-2500000,-1024000,-977000,312000,311999.999999998,-3165000,-3165000,-3165000,-709000,0,0.81476,-0.03527,-0.0398,-0.01646,-0.01039,4.2969,0.58495,0,-0.05997,-0.05997,1.50676,-0.01283,148.68124,60.16838
"30","2018_Q3",36.9657142857143,"Up",52628000,-9499000,43129000,-43404000,-37008000,-6396000,-275000,-105000,-430000,-430000,-380000,-380000,-413000,-413000,-413000,-413000,107981000,107345000,27861000,27861000,17401000,2556000,2556000,155799000,28729000,5536000,5386000,150000,34265000,190064000,32396000,9716000,22680000,33491000,32613000,23708000,32613000,66104000,123960000,190064000,-413000,1047000,2503000,-1462000,1675000,-867000,-675000,212999.999999996,1598000,2598000,2598000,2598000,772000,7.105427357601e-15,0.81951,-0.00523,-0.00785,-0.00333000000000001,-0.00217,4.65197,0.53327,-2.64697796016969e-23,-0.01247,-0.01247,1.58939,-0.00264,-139.87176,392.65818
"31","2018_Q4",31.7660317460317,"Down",55587000,-9969000,45618000,-45129000,-37796000,-7333000,489000,-91000,-429000,-429000,398000,398000,365000,365000,365000,365000,109891000,109305000,31941000,31941000,17002000,2350000,2350000,161184000,28165000,5410000,5148000,262000,33575000,194759000,34601000,9836000,24765000,36155000,32148000,23125000,32148000,68303000,126456000,194759000,365000,1487000,2189000,-1534000,2507000,-603000,-555000,8000,8000,1960000,1960000,1960000,1976000,0,0.82066,0.0088,0.00657,0.00289,0.00187,4.45814,0.54013,0,0.01098,0.01085,1.67242,0.0023,-55.61285,-224.72597
"32","2019_Q1",33.8931147540984,"Up",59152000,-10814000,48338000,-44566000,-37847000,-6719000,3772000,-2000,-426000,-426000,3770000,3770000,3737000,3737000,3737000,3737000,116804000,116260000,31225000,31225000,16605000,2977000,2977000,167611000,27744000,7997000,5231000,2766000,35741000,203352000,36217000,10441000,25776000,37460000,31422000,22476000,31422000,68882000,134470000,203352000,3737000,357000,2728000,1170000,7992000,-575000,-2888000,-6000,1851000,6955000,6955000,6955000,4129000,5.6843418860808e-14,0.81718,0.06377,0.06318,0.02779,0.01838,4.4744,0.51225,-4.2351647362715e-22,0.11235,0.10759,1.77836,0.02253,-28.28869,-30.96607
"33","2019_Q2",38.814126984127,"Up",56266000,-10575000,45691000,-48659000,-41242000,-7417000,-2968000,113000,-424000,-424000,-2855000,-2855000,-2888000,-2888000,-2888000,-2888000,113875000,113370000,30320000,30320000,18095000,2248000,2248000,164538000,27388000,8384000,5501000,2883000,35772000,200310000,35013000,13005000,22008000,36261000,30070000,21948000,30070000,66331000,133979000,200310000,-2888000,854000,3206000,-2446000,-1274000,-675000,-624000,-992000,-992000,-2890000,-2890000,-2890000,-2114000,0,0.81205,-0.05275,-0.05133,-0.02156,-0.01442,4.5376,0.49509,0,-0.0864,-0.0864,1.68335,-0.0176,53.86708,38.36759
"34","2019_Q3",46.988125,"Up",60206000,-11477000,48729000,-48345000,-41107000,-7238000,384000,141000,-422000,-422000,524999.999999999,524999.999999998,492000,492000,492000,492000,119206000,118772000,29906000,29906000,19679000,1944000,1944000,170735000,28230000,8222000,5307000,2915000,36452000,207187000,37470000,12998000,24472000,38989000,29600000,21900000,29600000,68589000,138598000,207187000,491999.999999999,831000,3120000,356999.999999999,4800000,-794000,-748000.000000001,-201000,1350000,5402000,5402000,5402000,1215000,-1.81898940354586e-12,0.80937,0.00638000000000003,0.00817000000000001,0.00355,0.00237,4.37906,0.49488,0,0.01468,0.01442,1.79677,0.00293000000000001,-98.1119300000001,-310.43229
"35","2019_Q4",45.53359375,"Down",63311000,-12166000,51145000,-50638000,-41356000,-9282000,507000,251000,1351000,-420000,758000,758000,672000,672000,672000,672000,115736000,115280000,34970000,34970000,19304000,2221000,2221000,172231000,27607000,11391000,5242000,6149000,38998000,211229000,38885000,12396000,26489000,40497000,29119000,21889000,29119000,69616000,141613000,211229000,672000,932000,2899000,-3121000,1382000,-817000,-4537000,-337000,-337000,-3492000,-3492000,-3492000,1439000,0,0.80784,0.00801,0.01061,0.00475,0.00318,4.25293,0.49159,0,0.02,0.02037,1.88436,0.00394,-80.42808,-228.27613
"36","2020_Q1",42.1503225806452,"Down",68234000,-13462000,54772000,-53520000,-43995000,-9229000,1252000,255000,-2189000,-418000,1507000,1507000,1469000,1469000,1469000,1469000,122672000,74237000,36015000,36015000,18058000,3330000,3330000,180075000,27324000,11178000,5105000,6073000,38502000,218577000,40581000,11194000,29387000,42345000,28288000,21747000,28288000,70633000,147944000,218577000,1469000,829000,2953000,49000,5300000,-379000,-48443000,-297000,2100000,-41043000,-41043000,-41043000,2081000,0,0.80271,0.01835,0.02153,0.00993,0.00672,4.25257,0.47743,5.42101086242752e-20,0.0437,0.0437,2.03005,0.00834,-58.94858,-97.98083
"37","2020_Q2",37.3507936507936,"Down",64490000,-12672000,51818000,-57751000,-46752000,-10765000,-5933000,191000,191000,191000,-5742000,-5742000,-5780000,-5780000,-5780000,-5780000,104967000,58939000,34624000,34624000,19489000,2858000,2858000,161938000,27367000,27760000,20991000,6769000,55127000,217065000,45191000,13106000,32085000,46897000,28094000,22018000,28094000,74991000,142074000,217065000,-5780000,974000,4392000,-5306000,-5720000,-543000,-4053000,-5525000,-5525000,-15298000,-15298000,-15298000,-4959000,0,0.8035,-0.092,-0.08963,-0.04068,-0.02663,3.45306,0.52783,0,-0.17065,-0.17065,1.90403,-0.03397,21.16697,17.69206
"38","2020_Q3",32.295625,"Down",68334000,-13718000,54616000,-57990000,-46867000,-10786000,-3374000,17000,-1163000,-1163000,-3357000,-3357000,-3401000,-3401000,-3401000,-3401000,109421000,65467000,35833000,35833000,21472000,2961000,2961000,169687000,27320000,27185000,20571000,6614000,54505000,224192000,51634000,16560000,35074000,53290000,27597000,21857000,27597000,80887000,143305000,224192000,-3401000,1090000,3883000,2368000,3940000,-537000,1300000,-399000.000000001,1288000,6528000,6528000,6528000,-2284000,-2.3283064365387e-10,0.79925,-0.04938,-0.04977,-0.02373,-0.01517,3.18422,0.56444,0,-0.09983,-0.09983,2.00573,-0.0199,47.90762,32.43065
"39","2020_Q4",37.62859375,"Up",61175000,-12225000,48950000,-51685000,-41384000,-9964000,-2735000,-107000,-501000,-501000,-2842000,-2842000,-2889000,-2889000,-2889000,-2889000,107260000,69572000,30864000,30864000,24069000,2243000,2243000,164436000,27692000,27950000,20256000,7694000,55642000,220078000,48299000,13235000,35064000,50056000,26846000,21588000,26846000,76902000,143176000,220078000,-2889000,1088000,3566000,-1409000,356000,-1058000,4129000,-380000,-380000.000000007,4105000,4105000,4105000,-1647000,0,0.80016,-0.04471,-0.04723,-0.02018,-0.01313,3.28504,0.53712,0,-0.0846,-0.0846,1.79145,-0.01699,65.12447,39.21755
"40","2021_Q1",42.5655737704918,"Up",42546000,-10144000,32402000,-47132000,-34966000,-11840000,-14730000,-334000,-5e+05,-5e+05,-15064000,-15064000,-15166000,-15166000,-15166000,-15166000,232154000,185463000,25212000,25212000,27706000,2617000,2617000,287689000,27810000,24020000,16606000,7414000,51830000,339519000,42639000,11539000,31100000,44506000,5403000,695999.999999996,26221000,70727000,268792000,339519000,-15166000,1027000,7168000,-4370000,-11341000,-1231000,-10045000,-90999.9999999995,137277000,115891000,115891000,115891000,-13703000,20818000,0.76158,-0.34621,-0.35646,-0.05642,-0.04467,6.46405,0.26313,0.06132,-0.43312,-0.43312,1.21505,-0.05141,15.42261,14.34732
"41","2021_Q2",39.1069841269841,"Down",60544000,-12564000,47980000,-49638000,-40282000,-9052000,-1658000,-355000,-499000,-499000,-2013000,-2013000,-2076000,-2076000,-2076000,-2076000,222937000,92671000,29973000,29973000,29152000,3369000,3369000,285431000,28232000,28060000,16302000,11758000,56292000,341723000,43611000,13419000,30192000,45702000,27616000,23516000,27616000,73318000,268405000,341723000,-2076000,1029000,5122000,-6237000,-2162000,-1132000,-87185000,-3445000,-3445000.00000003,-92792000,-92792000,-92792000,-629000,0,0.79248,-0.02739,-0.03429,-0.00773,-0.00608,6.24548,0.27316,0,-0.05367,-0.05367,1.5651,-0.00701,354.43084,134.4614
"42","2021_Q3",37.30609375,"Down",64169000,-13920000,50249000,-49966000,-40061000,-9601000,283000,-276000,-412000,-412000,7000,7000,-56000,-56000,-56000,-56000,225055000,73783000,32526000,32526000,32506000,2994000,2994000,293081000,28123000,27732000,15998000,11734000,55855000,348936000,46007000,13669000,32338000,48085000,27019000,23375000,27019000,75104000,273832000,348936000,-56000,1058000,4425000,-3732000,1695000,-860000,-22240000,-441000,1657000,-18888000,-18888000,-18888000,1341000,0,0.78307,0.00440999999999999,-0.000869999999999996,-0.000199999999999998,-0.000160000000000002,6.09506,0.27427,-6.93889390390723e-18,-0.00144,-0.00144,1.65346,-0.00019,-167.82625,-795.24735
"43","2021_Q4",26.69796875,"Down",63273000,-14013000,49260000,-54909000,-41442000,-13163000,-5649000,-292000,-412000,-412000,-5941000,-5941000,-6004000,-6004000,-6004000,-6004000,211067000,75333000,38056000,38056000,33367000,2855000,2855000,285345000,28157000,33433000,15694000,17739000,61590000,346935000,48185000,12644000,35541000,50447000,5374000,2471000,26037000,76484000,270451000,346935000,-6004000,1056000,7458000,-4463000,-1953000,-766000,4547000,-1044000,-1044000,1550000,1550000,1550000,-4593000,20663000,0.77853,-0.08928,-0.09489,-0.0222,-0.01731,5.65633,0.2828,0.05956,-0.15431,-0.15431,1.62618,-0.02025,41.45526,33.70579
"44","2022_Q1",19.4098387096774,"Down",70987000,-20634000,50353000,-55262000,-45713000,-9245000,-4909000,-313000,-412000,-412000,-5222000,-5222000,-5285000,-5285000,-5285000,-5285000,207038000,71070000,40033000,40033000,32313000,5285000,5285000,284669000,28894000,18347000,15376000,2971000,67898000,352567000,52250000,14061000,38189000,54650000,6363000,4169000,26959000,81609000,270958000,352567000,-5285000,1169000,4010000,1642000,1536000,-1196000,-7831000,-108000,2032000,-4263000,-4263000,-4263000,-3740000,20596000,0.70933,-0.06915,-0.07445,-0.0195,-0.01499,5.20895,0.30119,0.05842,-0.13577,-0.13577,1.82363,-0.01774,49.8508,37.9796300000001
"45","2022_Q2",17.3512903225806,"Down",58370000,-14308000,44062000,-52177000,-41851000,-10022000,-8115000,-367000,-410000,-314846.81411042,-8482000,-8482000,-8618000,-8618000,-8618000,-8618000,187617000,66864000,36449000,36449000,33127000,5944000,5944000,263137000,28788000,40345000,16772000,23573000,69133000,332270000,40550000,12911000,27639000,43038000,5513000,3945000,26040000,69078000,263192000,332270000,-8618000,1258000,6057000,-9481000,-10784000,-1103000,11606000,-5040000,-5028000,-4206000,-4206000,-4206000,-6857000,20527000,0.75487,-0.13903,-0.14764,-0.03274,-0.02594,6.11406,0.26246,0.06178,-0.22048,-0.22048,1.49332,-0.0298,24.3678,20.59026
"46","2022_Q3",14.8503125,"Down",59135000,-18073000,41062000,-49621000,-40402000,-8873000,-8559000,-345000,-409000,-33540.4423312601,-8904000,-8904000,-8967000,-8967000,-8967000,-8967000,176540000,65865000,34944000,34944000,31671000,4842000,4842000,247997000,29397000,19340000,16426000,2914000,78403000,326400000,39159000,12493000,26666000,41880000,4539000,3787000,24995000,66875000,259525000,326400000,-8967000,1287000,4629000,1520000,-1531000,-1323000,-497000,-212999.999999999,1029000,-999000,-999000,-999000,-7272000,20456000,0.69438,-0.14474,-0.15164,-0.03455,-0.02747,5.92161,0.25768,0.06267,-0.22875,-0.22875,1.50856,-0.03152,21.4637,18.23624
