"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2016_Q3",129.10625,"Up",2505000,-79003000,-14099000,-64904000,-76498000,-2853000,-3516000,-79351000,-79351000,-79351000,-79351000,-79351000,-79351000,366362000,89395000,53256000,19944000,33312000,419981000,39668000,65355000,52941000,2114000,105023000,525004000,47659000,15991000,31668000,34070000,1263000,81878000,315627000,17382000,14882000,333009000,414887000,-5.55111512312578e-17,928343000,-2450000,-806633000,-9143000,110117000,110117000,525004000,-79351000,2112000,6780000,8427000.00000001,-62032000,-5529000,24510000,18981000,374000,374000,253000.00000006,-42798000,-42798000,-42830000,-74386000,315776000,-30.53812,-31.67705,-0.72061,-0.15114,5.12935,3.76769,0.60147,-5.86135,-5.86135,0.18503,8.13392,-0.17901,0.68005,0.66127
"25","2016_Q4",29.1634920634921,"Down",3231000,-66539000,-13556000,-52983000,-63308000,-2946000,-3511000,-66254000,-66254000,-66254000,-66254000,-66254000,-66254000,300283000,119948000,53031000,21510000,31521000,353905000,40955000,64766000,52694000,2114000,105721000,459626000,44360000,16231000,28129000,31279000,1122000,75684000,315983000,18175000,15675000,334158000,409842000,0,934925000,-2450000,-872887000,-9804000,49784000,49784000,459626000,-66254000,2221000,8775000,-7098000,-62356000,-3963000,96534000,92571000,1419000,1419000,480000,30695000,30695000,30553000,-61087000,316028000,-19.59393,-20.50573,-1.33083,-0.14415,4.67609,8.2324,0.68758,-4.88844,-4.88844,0.23839,3.67323,-0.17254,-0.25775,-0.2487
"26","2017_Q1",27.5,"Down",5399000,-59444000,-8344000,-51100000,-54045000,-3064000,-3508000,-57109000,-57109000,-57109000,-57109000,-57109000,-57109000,235479000,144353000,52351000,22037000,30314000,287830000,40184000,66287000,51673000,5389000,106471000,394301000,35271000,5685000,29586000,31135000,1056000,66406000,316339000,17102000,14602000,333441000,399847000,-8.88178419700125e-16,938714000,-2450000,-929996000,-11814000,-5546000,-5546000,394301000,-57109000,2218000,2528000,-8885000,-61248000,-3193000,89098000,85905000,8999.99999999907,8999.99999999907,-54000,24603000,24603000,24405000,-51827000,316339000,-10.01019,-10.5777,10.29733,-0.14484,4.3344,-72.09647,0.80228,-4.2115,-4.2115,0.39815,-0.40899,-0.17417,-1.56019,-1.49616
"27","2017_Q2",19.6209523809524,"Down",5680000,-46506000,-8852000,-37654000,-40826000,-3028000,-3513000,-43854000,-43854000,-43854000,-43854000,-43854000,-43854000,211178000,95847000,47271000,19952000,27319000,258449000,39439000,63616000,51941000,2514000,103055000,361504000,30471000,3790000,26681000,26027000,1348000,56498000,316695000,17410000,14910000,334105000,390603000,0,959130000,-2450000,-974444000,-11335000,-29099000,-29099000,361504000,-43854000,2111000,4628000,-7382000,-44497000,-1084000,-24200000,-25284000,15382000,15382000,15364000,-54417000,-54417000,-54386000,-38715000,316695000,-7.18768,-7.72077,1.50706,-0.12131,4.57448,-13.42324,0.87605,-3.19894,-3.19894,0.41433,-2.12264,-0.14378,-2.72548,-2.58455
"28","2017_Q3",22.3879365079365,"Up",6732000,-48203000,-8941000,-39262000,-41471000,-2994000,-3516000,-44465000,-44465000,-44465000,-44465000,-44465000,-44465000,187308000,75793000,49375000,19187000,30188000,236683000,38531000,80492000,52991000,18026000,119023000,355706000,35404000,8021000,27383000,31387000,1359000,66791000,317051000,30926000,15449000,347977000,414768000,-1.4210854715202e-14,971900000,-2450000,-1018909000,-9603000,-59062000,-59062000,355706000,-44465000,2056000,6453000,23553000,-12403000,-1234000,3765000,2531000.00000001,8150000,8150000,8131000,-1741000,-1741000,-1711000,-39415000,317051000,-6.16028,-6.60502,0.75285,-0.125,3.54364,-7.02259,0.89133,-3.13748,-3.13748,0.47501,-4.16745,-0.1539,-3.29172,-3.12852
"29","2017_Q4",24.3936507936508,"Up",8352000,-49981000,-8118000,-41863000,-41629000,-2979000,-3520000,-44608000,-44608000,-44608000,-44608000,-44608000,-44608000,172566000,104245000,53429000,21007000,32422000,225995000,37299000,70783000,53746000,8899000,108082000,334077000,35423000,5242000,30181000,32854000,1390000,68277000,317407000,22544000,16434000,339951000,408228000,0,1000120000,-2450000,-1063517000,-8304000,-74151000,-74151000,334077000,-44608000,3529000,5806000,-8904000,-44177000,-1225000,43183000,41958000,23630000,23630000,23630000,21411000,21411000,21530000,-38100000,317407000,-4.98432,-5.341,0.60158,-0.13353,3.30997,-5.50536,0.9501,-3.00963,-3.00963,0.5635,-5.00285,-0.16783,-3.8016,-3.47933
"30","2018_Q1",40.1737704918033,"Up",10412000,-58196000,-8540000,-49656000,-47784000,-3058000,-3523000,-50842000,-50842000,-50842000,-50842000,-50842000,-50842000,157303000,106307000,46008000,17774000,28234000,203311000,35987000,63195000,53563000,1759000,99182000,302493000,40301000,5613000,34688000,33374000,7749000,73675000,317763000,12787000,10287000,330550000,404225000,-1.13686837721616e-13,1023694000,-2450000,-1114359000,-8617000,-101732000,-101732000,302493000,-50842000,2121000,13110000,-2008000,-37619000,-646000,17409000,16763000,17415000,17415000,17415000,-3441000,-3441000,-3479000,-45663000,317763000,-4.58932,-4.88302,0.49976,-0.16808,2.75957,-3.97343,1.05048,-3.21156,-3.21156,0.6577,-6.42615,-0.22219,-3.514,-3.35803
"31","2018_Q2",33.7984375,"Down",9653000,-53166000,-8652000,-44514000,-43513000,-2839000,-3403000,-46352000,-46352000,-46352000,-46352000,-46352000,-46352000,143760000,113402000,37274000,17726000,19548000,181034000,32422000,62611000,53286000,1750000,95033000,276067000,27026000,5770000,21256000,17878000,1501000,44904000,318119000,12413000,9913000,330532000,375436000,0,1072863000,-2450000,-1160711000,-9071000,-99369000,-99369000,276067000,-46352000,2079000,738000,-22540000,-66075000,-150000,20737000,20587000,43924000,43924000,43924000,-1564000,-1564000,-1590000,-41434000,318119000,-4.50772,-4.80182,0.46646,-0.1679,4.03158,-3.7782,1.15233,-2.75109,-2.75109,0.57293,-5.89776,-0.20052,-4.20811,-4.00706
"32","2018_Q3",28.1587301587302,"Down",10773000,-52766000,-8224000,-44542000,-41993000,-2499000,-3403000,-44492000,-44492000,-44492000,-44492000,-44492000,-44492000,167111000,88475000,27224000,17092000,10132000,194335000,30829000,60643000,51983000,1763000,91472000,285807000,33806000,6686000,27120000,9213000,1530000,43019000,318475000,12020000,9520000,330495000,373514000,0,1131119000,-2450000,-1205203000,-11173000,-87707000,-87707000,285807000,-44492000,2057000,3977000,-1513000,-39971000,-309000,-47996000,-48305000,54004000,54004000,54004000,-34272000,-34272000,-34282000,-39936000,318475000,-3.89799,-4.12995,0.50728,-0.15567,4.51742,-4.25866,1.1143,-2.36708,-2.36708,0.57315,-4.66622,-0.18325,-3.79016,-3.60451
"33","2018_Q4",38.7555555555556,"Up",7735000,-49635000,-8309000,-41326000,-41900000,-2670000,-3403000,-44570000,-44570000,-44570000,-44570000,-44570000,-44570000,127108000,56496000,33433000,15847000,17586000,160541000,29343000,60594000,52072000,1768000,89937000,250478000,29784000,6790000,22994000,16931000,1566000,46715000,318830000,11612000,9112000,330442000,377157000,0,1136570000,-2450000,-1249773000,-11026000,-126679000,-126679000,250478000,-44570000,2041000,4023000,4993000,-33513000,-396000,8392000,7996000,1020000,1020000,1020000,-24497000,-24497000,-24523000,-39859000,318830000,-5.41694,-5.76212,0.35183,-0.17794,3.4366,-2.97727,1.27289,-2.33159,-2.33159,0.40464,-6.62694,-0.21873,-4.81001,-4.5757
"34","2019_Q1",31.5718032786885,"Down",6127000,-52639000,-9224000,-43415000,-46512000,-2822000,-3403000,-49334000,-49334000,-49334000,-49334000,-49334000,-49334000,92134000,70154000,27142000,16295000,10847000,119276000,28426000,60276000,51967000,1768000,88702000,207978000,33929000,9301000,24628000,11610000,1600000,45539000,319187000,11187000,8687000,330374000,375913000,2.91038304567337e-11,1144813000,-2450000,-1299107000,-11191000,-167935000,-167935000,207978000,-49334000,1982000,4168000,-2082000,-45266000,-517000,48835000,48318000,3857000,3857000,3857000,6909000,6909000,6923000,-44530000,319187000,-7.59132,-8.0519,0.29377,-0.23721,2.61921,-2.23844,1.53472,-2.5707,-2.5707,0.31927,-8.75076,-0.30371,-5.09888,-4.8816
"35","2019_Q2",7.86984126984127,"Down",3982000,-44205000,-8732000,-35473000,-40223000,-2995000,-3403000,-43218000,-43218000,-43218000,-43218000,-43218000,-43218000,100195000,97711000,23199000,16571000,6628000,123394000,26972000,70953000,51245000,13594000,97925000,221319000,22062000,6150000,15912000,9434000,3491000,31496000,319543000,20863000,17464000,340406000,371902000,0,1206552000,-2450000,-1342325000,-12360000,-150583000,-150583000,221319000,-43218000,1939000,5988000,-15316000,-50607000,-805000,19516000,18711000,56181000,56181000,56181000,24285000,24285000,24240000,-38284000,319543000,-10.10121,-10.85334,0.287,-0.19527,3.91777,-2.46975,1.44381,-2.11416,-2.11416,0.19479,-7.3663,-0.22768,-5.7295,-5.4533
"36","2019_Q3",5.47296875,"Down",3357000,-40023000,-9606000,-30417000,-36666000,-2937000,-3403000,-39603000,-39603000,-39603000,-39603000,-39603000,-39603000,71995000,71995000,38223000,11630000,5030000,110218000,12987000,66184000,51280000,8946000,79171000,189389000,23288000,4303000,18985000,18200000,14012000,41488000,319899000,13495000,10752000,333394000,374882000,0,1211176000,-2451000,-1381928000,-12290000,-185493000,-185493000,189389000,-39603000,1925000,6260000,1404000,-30014000,-476000,2500000,2024000,2999.99999999255,2999.99999999255,3000.00000000745,-27987000,-27987000,-27964000,-34741000,319899000,-10.92225,-11.79714,0.2135,-0.20911,2.65662,-2.021,1.68911,-1.68596,-1.68596,0.14291,-7.89673,-0.26777,-7.13578,-6.76114
"37","2019_Q4",4.33703125,"Down",2507000,-26510000,-7898000,-18612000,-24003000,-3056000,-3403000,-27059000,-18043000,-18043000,-18043000,-18043000,-18043000,71167000,71167000,17855000,13500000,4355000,89022000,12244000,63544000,50305000,7770000,75788000,164810000,17794000,4210000,13584000,3781000,1191000,21575000,320255000,12818000,10318000,333073000,354648000,0,1226570000,-2583000,-1399971000,-13854000,-189838000,-189838000,164810000,-18043000,880000,-6036000,-9060000,-32259000,17973000,0,17973000,12028000,12028000,12028000,-2258000,-2258000,-2305000,-23123000,320255000,-9.57439,-7.19705,0.09504,-0.10948,4.12616,-1.86816,1.94318,-0.74096,-0.74096,0.10295,-7.7959,-0.12597,-10.7723,-10.37737
"38","2020_Q1",8.46145161290323,"Up",8816000,-37521000,-8181000,-29340000,-28705000,-3125000,-3403000,-31830000,-31830000,-31830000,-31830000,-31830000,-31830000,78823000,78823000,10924000,7977000,2947000,97247000,11445000,64265000,51154000,7530000,75710000,172957000,22855000,2910000,19945000,2940000,1262000,25795000,320611000,12568000,12568000,333179000,358974000,-45635668.9685968,1260875000,-2583000,-1431801000,-12508000,-186017000,-186017000,172957000,-31830000,932000,8201000,-1046000,-23743000,-216000,0,-216000.000000004,30172000,30172000,30172000,6213000,6213000,6250000,-27773000,320611000,-3.25601,-3.61048,0.17111,-0.18403,3.76999,-1.92979,1.8537,-1.13206,-1.13206,0.31355,-6.61582,-0.21629,-8.70587,-8.4232
