"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",38.2471428571429,"Up",3377000,-26274000,-9379000,-16895000,-22897000,-2967000,-3403000,-25864000,-25864000,-25864000,-25864000,-25864000,-25864000,237355000,179881000,17877000,10977000,6900000,255232000,10795000,62041000,49988000,7001000,72836000,328068000,14553000,2518000,12035000,4429000,1316000,18982000,320967000,12090000,9590000,333057000,352039000,0,1450818000,-2638000,-1457665000,-14486000,-23971000,-23971000,328068000,-25864000,925000,4321000,-2492000,-23110000,-122000,-57606000,-57728000,185923000,185923000,185923000,105085000,105085000,105012000,-21972000,320967000,-6.78028,-7.65887,1.07897,-0.07884,13.446,-14.68604,0.97836,-0.58225,-0.58225,0.07602,-0.53963,-0.08368,-3.80539,-3.65166
"40","2020_Q3",121.820625,"Up",35538000,-52565000,-17719000,-34846000,-17027000,-494000,-3403000,-17521000,-17521000,-17521000,-17521000,-17521000,-17521000,502297000,424395000,134084000,27316000,106768000,636381000,115375000,180471000,118849000,56372000,295846000,932227000,53010000,9242000,43768000,160321000,1470000,213331000,321323000,13225000,10725000,334548000,547879000,199822000,1699684000,-2638000,-1499325000,-13195000,384348000,384348000,932227000,-17521000,980000,6495000,125680000,115634000,-3762000,-20252000,-188218000,216795000,216795000,416617000,344033000,344033000,344382000,-16047000,321323000,-0.47912,-0.49302,-0.04559,-0.01879,2.98307,1.42548,0.34468,-0.30011,-0.30011,0.60873,3.16072,-0.02437,11.27775,10.62865
"41","2020_Q4",106.28875,"Down",157024000,-350966000,-56879000,-294087000,-193942000,-3368000,-4460000,-197310000,-197310000,-197310000,-197310000,-197310000,-197310000,504031000,334171000,154831000,83851000,70980000,671217000,131834000,140969000,126932000,8705000,272803000,944020000,95940000,15097000,80843000,87418000,5604000,239218000,321679000,76861000,74361000,398540000,637758000,199822000,1849277000,-41207000,-1696635000,-4995000,306262000,306262000,944020000,-197310000,1186000,63735000,125892000,-6497000,-8726000,-91984000,-100710000,242858000,242858000,-22388000,-129595000,-129595000,-129838000,-192756000,377539000,-1.23511,-1.25656,-0.64425,-0.20901,2.80588,2.08239,0.39993,-3.20163,-3.20163,2.54793,1.72714,-0.25939,0.65623,0.65222
"42","2021_Q1",199.27262295082,"Up",279659000,-462512000,-61313000,-401199000,-182853000,5289000,-3879000,-177564000,-177564000,-177564000,-177564000,-177564000,-177564000,711047000,553398000,275144000,181264000,93880000,1248203000,179954000,154322000,135379000,13218000,334276000,1582479000,191722000,54332000,137390000,387950000,114722000,579672000,322035000,53563000,53563000,375598000,955270000,714000,2535476000,-41806000,-1874199000,7024000,627209000,627209000,1582479000,-177564000,1794000,284265000,-237063000,-128568000,-42012000,12202000,-31122000,235429000,235429000,404610000,244920000,244920000,247002000,-181059000,322035000,-0.65384,-0.63493,-0.2831,-0.11221,2.15329,1.52305,0.2035,-2.69912,-2.69912,4.25104,9.52323,-0.17707,2.14854,2.12746
"43","2021_Q2",183.218253968254,"Down",447229000,-655861000,-63190000,-592671000,-208632000,-11070000,-4839000,-219702000,-219702000,-222719000,-222719000,-222719000,-222719000,1997732000,1995482000,192154000,114731000,77423000,2246784000,192044000,169538000,130879000,33389000,361582000,2608366000,262216000,113605000,148611000,946339000,123530000,1208555000,322390000,38294000,38294000,360684000,1569239000,745000,3180114000,-44457000,-2096918000,-357000,1039127000,1039127000,2608366000,-222719000,2317000,60373000,823114000,663085000,-13781000,155390000,141609000,588958000,588958000,576987000,1381681000,1381681000,1380332000,-206315000,322390000,-0.4665,-0.498,-0.21433,-0.08539,1.85907,1.51015,0.1236,-3.04948,-3.04948,6.12349,14.21759,-0.15911,8.12031,8.03013
"44","2021_Q3",220.39234375,"Up",298017000,-643846000,-73161000,-570685000,-345829000,-2940000,-5968000,-348769000,-348769000,-352317000,-352317000,-352317000,-352317000,2074880000,2074880000,230123000,162351000,67772000,2354992000,213186000,181409000,134294000,41834000,394595000,2749587000,323173000,73995000,249178000,1328343000,108270000,1651516000,322746000,29763000,29763000,352509000,2004025000,747000,3237085000,-47205000,-2449235000,4170000,745562000,745562000,2749587000,-352317000,2410000,62372000,431947000,144412000,-15151000,2250000,-12901000,2804000,2804000,-38843000,92668000,92668000,93669000,-343419000,322746000,-1.16043,-1.1822,-0.47255,-0.12813,1.42596,2.68794,0.11738,-4.82395,-4.82395,4.08047,10.19806,-0.32085,5.10203,5.06648
"45","2021_Q4",171.82171875,"Down",178844000,-485988000,-77793000,-408195000,-307144000,-9246000,-5182000,-316390000,-316390000,-322431000,-322431000,-322431000,-322431000,1936998000,1936998000,161900000,119047000,42853000,2174181000,214751000,177009000,131989000,39993000,391760000,2565941000,383431000,59564000,323867000,1369984000,107624000,1753415000,323102000,28088000,28088000,351190000,2104605000,760000,3310513000,-79132000,-2771666000,861000,461336000,461336000,2565941000,-322431000,4262000,48568000,127458000,-142143000,-12190000,0,-12190000,-5462000,-5462000,-15720000,-170053000,-170053000,-175913000,-302882000,323102000,-1.71738,-1.80286,-0.69891,-0.12566,1.23997,4.56198,0.12592,-4.35882,-4.35882,2.41773,6.22636,-0.39683,5.32846,5.25453
"46","2022_Q1",89.173064516129,"Down",222200000,-1047171000,-84214000,-962957000,-824971000,-4704000,-5138000,-829675000,-829675000,-846284000,-846284000,-846284000,-846284000,1515116000,1515116000,176138000,164648000,11490000,2155119000,228696000,192938000,131479000,56689000,421634000,2576753000,800781000,127050000,673731000,1589538000,166594000,2390319000,323458000,214649000,42121000,538107000,2928426000,1717660.20597278,3352731000,-85101000,-3617950000,-1353000,-351673000,-351673000,2576753000,-846284000,3672000,149105000,351099000,-342408000,-16364000,7.45058059692383e-09,-16364000,3320000.00000001,3320000.00000001,-60711000,-419483000,-419483000,-418567000,-821299000,323458000,-3.71274,-3.80866,2.40645,-0.32843,0.9016,-8.32713,0.12553,-11.18388,-11.18388,2.93643,-4.64746,-4.53932,1.45094,1.44448
"47","2022_Q2",51.7301612903226,"Down",703971000,-479475000,-95992000,-383483000,209292000,-3222000,-4876000,206070000,206070000,203408000,203408000,203408000,203408000,1570954000,1570954000,191647000,180155000,11492000,2347405000,247213000,240257000,130756000,104966000,487470000,2834875000,695004000,135128000,559876000,1242187000,147955000,2261005000,323814115.428228,508546000,66798000,508546000,2769551000,787000,3566292000,-85901000,-3414542000,-1312000,65324000,65324000,2834875000,203408000,6765000,33781000,-332464000,-88510000,-16826000,-192174868.795481,-16826000,180703000,180703000,159865000,54529000,54529000,55841000,216057000,323814000,0.2973,0.28894,3.11383,0.07175,1.03821,42.39714,0.11423,2.68809,2.68809,9.30317,0.85287,0.22659,-5.77227,-5.95885
"48","2022_Q3",43.3321875,"Down",185925000,-397808000,-108160000,-289648000,-482960000,-26107000,-6234000,-509067000,-509067000,-510485000,-510485000,-510485000,-510485000,1375587000,1375587000,309581000,299307000,10274000,2136002000,254526000,232465000,123467000,104965000,486991000,2622993000,972134000,386488000,585646000,859936000,158418000,2156239000,324170346.284685,883704000,69075000,883704000,3039943000,788000,3604614000,-86455000,-3925027000,-10870000,-416950000,-416950000,2622993000,-510485000,6720000,188929000,143933000,-170903000,-24576000,-725164606.386442,-24576000,-268000,-268000,4659000,-190820000,-190820000,-196585000,-476240000,324169000,-2.59761,-2.74565,1.22433,-0.19462,0.99061,-7.29091,0.12359,-6.5327,-6.5327,2.37929,-5.34581,-0.645429999999999,2.20775,2.17703
