"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",19.7242857142857,"Down",22369000,-11747000,10622000,-11056000,-9100000,-5189000,-3911000,-1956000,-434000,28000,28000,-406000,-406000,362000,-44000,-44000,-44000,-825000,36994758.5311256,36994758.4615189,547253.013571301,547253.013571301,-147802099.774175,12939718.4254955,-161410337.531537,-110260088.229478,8339012.80523962,-90155781.9720932,11337020.3681131,5090528.34972744,867799.437275766,-81816769.1668536,-192076857.396332,2175875.05908271,-4223383.60502135,6399258.66410406,-215601442.771394,-215601442.771394,-213425567.712311,-6801243.4814169,-6801243.48145132,-220226811.193763,19613239.3411486,8536714.44420058,28149953.7974305,28149953.7974305,-192076857.396332,-44000,1391000,-165000,-884000,298000,-1412000,-1412000,-1412000,63322000,61910000,-64346000,-64503000,-2295000,-2295000,-2295000,957000,0,-1701000,0.47485,-0.0194,-0.03688,1.00746291175072,0.157134971531096,2.06182,1.18816042683362,3.21550022370422,-1.6919004646015e-14,-0.02579,-0.02579,0.69929,9.89103115282638,-0.05318,0.969180702658372,0.829481554069061,-322.44058920864,-537.323452016908
"2","2014_Q3",21.493125,"Up",23905000,-13318000,10587000,-12998000,-10651000,-5423000,-5228000,-2347000,-2411000,22000,22000,-2389000,-2389000,877000,-1512000,-1512000,-1512000,-2293000,81176586.1770419,81176586.1538396,758084.3378571,758084.3378571,446155300.075275,6136572.80849849,439340554.156154,528089970.590174,10658337.6017465,-27523593.9906977,8923510.18405656,4062764.17486372,498266.479091922,-16865256.3889512,511224714.201223,11150291.6863609,1677205.46499288,9473086.22136802,422800185.742869,422800185.742869,433950477.42923,-406081.160472301,-406081.160483774,433544396.268746,92036079.7803829,-14355761.8519331,77680317.9324768,77680317.9324768,511224714.201223,-1512000,1533000,-719000,1292000,593999.999999998,-1375000,-1375000,-1375000,-201039000,-202414000,199506000,199350000,-2469999.99999997,-2469999.99999997,-2469999.99999997,-878000,0,-1838000,0.44288,-0.10086,-0.0959199999999999,0.323804303916907,0.051231657177032,0.801570000000001,1.14708347561121,6.03332674123474,-5.63966821533835e-15,-0.07168,-0.07168,0.74731,5.2848137176088,-0.0574600000000001,0.311423567552791,0.319907184689687,-129.16291640288,-208.836610672302
"3","2014_Q4",25.12046875,"Up",33766000,-14925000,18841000,-16708000,-14265000,-8678000,-5587000,-2443000,2133000,59000,59000,2192000,2192000,-1042000,1150000,1150000,1150000,430000,88944000,88944000,791000,791000,545577000,3160000,541723000,635312000,12142000,4144000,7251170.06135218,3377588.05828791,344000,16286000,651598000,13660000,3088000,10572000,541723000,541723000,555383000,2819000,2819000,558202000,120863000,-27467000,93396000,93396000,651598000,1150000,1620000,2619000,1796000,7185000,-2167000,-2167000,-2167000,-51020000,-53187000,50658000,132117000,86115000,86115000,86115000,3753000,0,4424000,0.55799,0.06317,0.01273,0.0046,0.00066,10.28837,1.14392,5.97672,0,0.0129,0.0129,1.01293,2.80174,0.13271,0.00447,0.04598,-23.69944,-41.69902
"4","2015_Q1",27.5060655737705,"Up",28647000,-15104000,13543000,-19849000,-16240000,-8986000,-7254000,-3609000,-6306000,54000,54000,-6252000,-6252000,-452000,-6704000,-6704000,-6704000,-6704000,78848000,78848000,756000,756000,420661000,2694000,417261000,500265000,13125000,14761000,6320000,3035000,313000,27886000,528151000,12882000,2133000,10749000,420246000,420246000,433128000,3889000,3889000,437017000,125305000,-34171000,91134000,91134000,528151000,-6704000,1792000,3695000,339000,-878000.000000001,-1713000,-1713000,-1713000,123032000,114869000,-123410000,-124087000,-10096000,-10096000,-10096000,-4514000,0,-5436000,0.47275,-0.22013,-0.23402,-0.07356,-0.01269,0.81086,1.155,4.79532,0,-0.13539,-0.13539,0.57853,1.84046,-0.10978,-0.07055,-0.05721,17.46743,12.50365
"5","2015_Q2",32.2120634920635,"Up",31109000,-15452000,15657000,-20553000,-16526000,-9078000,-7448000,-4027000,-4896000,49000,49000,-4847000,-4847000,-28000,-4875000,-4875000,-4875000,-4875000,72843000,72843000,799000,799000,436003000,3072000,432225000,509645000,14038000,15042000,6130000,3035000,303000,29080000,538725000,12307000,1520000,10787000,432825000,432825000,445132000,3823000,3823000,448955000,128816000,-39046000,89770000,89770000,538725000,-4875000,1931000,3375000,-631000,-2e+05,-2499000,-2499000,-2499000,-15876000,-20760000,14889000,14955000,-6005000,-6005000,-6005000,-2965000,0,-6067000,0.50329,-0.15738,-0.15671,-0.05431,-0.00905,1.24451,1.14493,5.00117,0,-0.09835,-0.09835,0.62763,1.81112,-0.1224,-0.05209,-0.06482,24.56762,14.87806
"6","2015_Q3",34.00296875,"Up",34313000,-18046000,16267000,-22733000,-17462000,-9401000,-8061000,-5271000,-6466000,80000,80000,-6386000,-6386000,-34000,-6420000,-6420000,-6420000,-6420000,89480000,89480000,1030000,1030000,861801000,2978000,858139000,952311000,15216000,14901000,5940000,3035000,222000,30117000,982428000,15112000,3373000,11739000,858539000,858539000,873651000,3636000,3636000,877287000,150607000,-45466000,105141000,105141000,982428000,-6420000,2229000,3914000,1326000,1049000,-1666000,-1666000,-1666000,-426581000,-428447000,425914000,444035000,16637000,16637000,16637000,-4237000,0,-4543000,0.47408,-0.18844,-0.1871,-0.06106,-0.00653,0.70763,1.09004,8.34391,1.57772181044202e-30,-0.12898,-0.12898,0.68938,2.11237,-0.09127,-0.05902,-0.04176,21.11872,13.83854
"7","2015_Q4",38.4003125,"Up",47272000,-19282000,27990000,-26285000,-21232000,-12673000,-8559000,-5053000,1705000,51000,51000,1756000,1756000,-4000,1752000,1752000,1752000,1752000,93227000,93227000,1070000,1070000,737144000,4844000,731616000,831441000,15715000,15204000,5750000,3035000,213000,30919000,862360000,18107000,2122000,15985000,731616000,731616000,749723000,3771000,3771000,753494000,152580000,-43714000,108866000,108866000,862360000,1752000,2085000,3576000,1939000,9352000,-2166000,-2166000,-2166000,125558000,122992000,-126523000,-128597000,3747000,3747000,3747000,3790000,0,3567000,0.59211,0.03607,0.03706,0.01609,0.00203,2.03596,1.109,6.9213,0,0.03468,0.03468,0.93567,2.15482,0.0706,0.01555,0.03167,-24.59815,-54.67859
"8","2016_Q1",31.1472131147541,"Down",40004000,-18116000,21888000,-26152000,-20639000,-11883000,-8756000,-5513000,-4264000,-126000,-126000,-4390000,-4390000,-39000,-4429000,-4429000,-4429000,-4429000,81258000,81258000,1115000,1115000,596410000,4416000,591219000,678783000,16061000,25704000,11941000,6003000,403000,41765000,720548000,17757000,1327000,16430000,591730000,591730000,609487000,3481000,3481000,612968000,155723000,-48143000,107580000,107580000,720548000,-4429000,2364000,2741000,228000,904000,-2689000,-2689000,-2689000,138726000,127043000,-140397000,-139916000,-11969000,-11969000,-11969000,-1900000,0,-4322000,0.54715,-0.10659,-0.11071,-0.04117,-0.00615,0.97584,1.1137,5.69779,0,-0.08745,-0.08745,0.78987,2.12416,-0.08534,-0.03988,-0.03892,42.76737,19.05675
"9","2016_Q2",37.48,"Up",45108000,-20195000,24913000,-28330000,-22901000,-12450000,-10451000,-5429000,-3417000,83000,83000,-3334000,-3334000,-101000,-3435000,-3435000,-3435000,-3435000,78691000,78691000,1328000,1328000,548052000,5051000,542612000,628071000,17195000,26697000,11561000,6003000,409000,43892000,671963000,18828000,1973000,16855000,542912000,542912000,561740000,3831000,3831000,565571000,157970000,-51578000,106392000,106392000,671963000,-3435000,2719000,3887000,-193000,2978000,-1588000,-1588000,-1588000,46564000,44793000,-48607000,-50338000,-2567000,-2567000,-2567000,-698000,0,-2378000,0.5523,-0.07575,-0.07615,-0.03229,-0.00511,0.69229,1.11808,5.31592,0,-0.06769,-0.06769,0.88893,2.09664,-0.04686,-0.03116,-0.02157,112.73782,23.02927
"10","2016_Q3",44.35046875,"Up",55184000,-24100000,31084000,-32378000,-25579000,-14340000,-11239000,-6799000,-1294000,214000,214000,-1080000,-1080000,-85000,-1165000,-1165000,-1165000,-1165000,79024000,79024000,1468000,1468000,889055000,5521000,883137000,969547000,21121000,27187000,11180000,6003000,695000,48308000,1017855000,20585000,2889000,17696000,883437000,883437000,904022000,4044000,4044000,908066000,162532000,-52743000,109789000,109789000,1017855000,-1165000,3436000,4999000,566000,7836000,-5277000,-5277000,-5277000,-342257000,-347534000,340525000,340031000,333000.000000001,333000.000000001,333000.000000001,2142000,4.33680868994202e-19,-2484000,0.56328,-0.02345,-0.02111,-0.01061,-0.00114,2.13219,1.07248,8.27101,-4.03896783473158e-28,-0.02289,-0.02289,1.08438,2.15738,-0.04881,-0.01023,-0.02182,-36.89262,61.06955
