"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2020_Q2",75.2657142857143,"Up",70098000,-38308000,31790000,-34676000,-34676000,-2886000,-682000,-704000,22000,-3568000,-3568000,-22000,-3590000,-3590000,-3590000,-3590000,169486159,149486159,20295397,20295397,16005370,13719117,2998336,219506043,195607774,16852872,16852872,212460646,431966689,40861060,20420592,20440468,42102228,50171388,588397392,-206325650,381795301,381795301,431966689,-3590000,4453000,3014000,-6376000,-2499000,-34238000,-54238000,403000,196753000,140016000,140016000,140016000,1567000,7.45058059692383e-09,-39025000,0.45351,-0.04117,-0.05121,-0.0094,-0.00831,10.87047,5.21364,0.13141,2.77555756156289e-17,-0.09588,-0.09588,1.87209,10.1965,-1.04223,-0.00921,-0.1001,-108.15964,58.72701
"23","2020_Q3",101.753125,"Up",79980000,-46047000,33933000,-33702000,-33702000,231000,-57000,-80000,23000,174000,174000,-21000,153000,153000,153000,153000,127729081,107727885,22651347,22651347,18692994,3547548,2782085,172620970,220074510,19164830,19164830,239239340,411860310,18075757,9090164,8985593,19412451,27269283,591426589,-206172555,384591027,384591027,411860310,153000,5441000,2799000,-11012000,-2619000,-39013000,-39014000,1688000,-127000,-41760000,-41760000,-41760000,5672000,0,-44332000,0.42427,0.00289,0.00191,4e-04,0.00037,-289.75163,8.89228,0.0709,0,0.00379,0.00379,1.9827,9.53398,-1.09899,0.00039,-0.11296,-22.51923,-552.93974
"24","2020_Q4",129.07328125,"Up",84190000,-47536000,36654000,-32895000,-32895000,3759000,-190000,-215000,25000,3569000,3569000,-22000,3547000,3547000,3547000,3547000,94184714,84184714,21644451,21644451,17510839,4141889,3411293,137481893,242299147,18411955,18411955,288460603,425942496,22700856,10742536,11958320,23970236,31453296,597409238,-202625523,394489200,394489200,425942496,3547000,5052000,5167000,4415000,18181000,-26673000,-44297000,2573000,2573000,-23543000,-23543000,-23543000,8811000,-1.86264514923096e-09,-13425000,0.43537,0.04465,0.04213,0.00899,0.00833,-3.78489000000002,5.73553,0.07973,0,0.08742,0.08128,2.07506,9.72312,-0.33089,0.00882,-0.0334,-10.68945,-25.0557899999999
"25","2021_Q1",150.846721311475,"Up",84522000,-53989000,30533000,-33635000,-33635000,-3102000,-196000,-213000,17000,-3298000,-3298000,0,-3298000,-3298000,-3298000,-3298000,67247000,67247000,18438000,18438000,19119000,4292000,3378000,109096000,281073000,16325000,16325000,325292000,434388000,31823000,16452000,15371000,33121000,40219000,600429000,-205924000,394169000,394169000,434388000,-3298000,6179000,4082000,1167000,8130000,-34644000,-24913000,777000,-155000,-16938000,-16938000,-16938000,3077000,0,-30400000,0.36124,-0.0367,-0.03902,-0.00837,-0.00759,9.21771,3.29386,0.10203,0,-0.08108,-0.08769,2.07795,9.69055,-0.74738,-0.00822,-0.07576,-21.85473,21.67859
"26","2021_Q2",170.556825396825,"Up",93414000,-57099000,36315000,-46033000,-46033000,-9718000,-906000,-901000,-5000,-10624000,-10872000,-16000,-10888000,-10888000,-10888000,-10888000,340967000,340967000,28818000,28818000,21825000,4432000,2496000,396042000,331371000,18901000,18901000,377930000,773972000,44525000,30955000,13570000,45823000,52576000,938285000,-216812000,721396000,721396000,773972000,-10888000,7089000,7428000,-9114000,-5485000,-49334000,-49334000,714000,328539000,273720000,273720000,273720000,-2629000,0,-61061000,0.38875,-0.10403,-0.11656,-0.01509,-0.01407,5.60809999999999,8.64286,0.07288,0,-0.26156,-0.26156,2.24407,17.33,-1.46686,-0.01495,-0.08386,129.69456,35.08613
"27","2021_Q3",143.0134375,"Down",108615000,-65525000,43090000,-49556000,-49556000,-6466000,-657000,-655000,-2000,-7123000,-7460000,-16000,-7476000,-7476000,-7476000,-7476000,280323000,280323000,33962000,33962000,24597000,5735000,3940000,344617000,391934000,19603000,19603000,438813000,783430000,55866000,39159000,16707000,57202000,63619000,944265000,-224287000,719811000,719811000,783430000,-7476000,7654000,7767000,475000,8420000,-68258000,-68258000,1026000,-806000,-60644000,-60644000,-60644000,1188000,0,-66579000,0.39672,-0.05953,-0.06883,-0.01039,-0.00954,8.9057,6.02456,0.08838,0,-0.17959,-0.17959,2.60924,17.29193,-1.59942,-0.01029,-0.09168,-235.96212,43.35339
"28","2021_Q4",124.0325,"Down",107590000,-66065000,41525000,-42365000,-42365000,-840000,-675000,-677000,2000,-1515000,-2054000,-16000,-2070000,-2070000,-2070000,-2070000,170836000,170836000,32217000,32217000,29305000,5432000,3870000,237790000,471964000,21837000,21837000,520537000,758327000,27384000,12828000,14556000,28743000,34809000,950038000,-226357000,723518000,723518000,758327000,-2069000,7746000,6998000,-18945000,-6270000,-103243000,-103243000,308000,25999.9999999404,-109487000,-109487000,-109487000,6906000,-4.65661287307739e-10,-115266000,0.38596,-0.00781,-0.01924,-0.00286,-0.00273,55.68406,8.27297,0.04811,-4.33680868994202e-19,-0.04839,-0.04839,2.51531,16.9149,-2.69477,-0.00284,-0.15799,-24.73733,203.37619
"29","2022_Q1",94.1196774193548,"Down",115870000,-74654000,41216000,-48855000,-48855000,-7639000,-631000,-649000,18000,-8270000,-9151000,-114000,-9265000,-9265000,-9265000,-9265000,72788000,72788000,34780000,34780000,35574000,7183000,5834000,150325000,583922000,24307000,24307000,634085000,784410000,57562000,42612000,14950000,58946000,64656000,955753000,-235623000,719754000,719754000,784410000,-9266000,7979000,8267000,-2998000,3982000,-101264000,-101264000,223000,-766000,-98048000,-98048000,-98048000,340000,0,-103808000,0.35571,-0.06593,-0.07996,-0.01287,-0.01181,11.20432,2.55022,0.08983,0,-0.20511,-0.20511,2.5652,15.93434,-2.29816,-0.01277,-0.14309,-214.08235,9.52847
"30","2022_Q2",77.1470967741936,"Down",132171000,-87419000,44752000,-60631000,-60631000,-15879000,-313000,-571000,258000,-16192000,-17502000,-41000,-17543000,-17543000,-17543000,-17543000,29730000,29730000,61458000,61458000,45311000,6466000,4494000,142965000,663844000,18811000,18811000,710495000,853460000,90290000,77151000,13139000,96444000,145406000,961957000,-253165000,708054000,708054000,853460000,-17542000,8007000,7916000,-33166000,-34785000,-55888000,-59182000,232000,50909000,-43058000,-43058000,-43058000,-7872000,48311000,-96885000,0.33859,-0.12014,-0.13273,-0.02478,-0.02056,5.52272,1.48236,0.20536,0.05661,-0.40423,-0.40423,3.04548,16.31498,-2.23242,-0.02303,-0.12718,-2.36039,-1.17016000000001
"31","2022_Q3",47.156875,"Down",146008000,-94927000,51081000,-69215000,-69215000,-18134000,-1693000,-1672000,-21000,-19827000,-20544000,-41000,-20585000,-20585000,-20585000,-20585000,327185000,307345000,62090000,62090000,60679000,4767000,2547000,454721000,662527000,29143000,29143000,718793000,1173514000,58944000,39507000,19437000,70839000,140846000,1305308000,-273751000,1032668000,1032668000,1173514000,-20586000,7881000,11303000,-26215000,-27617000,-38984000,-58824000,97000,364056000,277615000,277615000,277615000,-10253000,75485000,-75411000,0.34985,-0.1242,-0.14099,-0.01993,-0.01754,3.6634,6.41908,0.13639,0.06432,-0.45107,-0.45107,3.1994,22.62836,-1.65245,-0.01849,-0.06775,24.54891,13.88
