"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",19.1868253968254,"Down",2575000,-28270000,-11763000,-16507000,-25695000,153000,870000,870000,-717000,-25542000,-25542000,-25542000,-25542000,-25542000,-25542000,196123000,59614000,136509000,4122000,4122000,200245000,12244000,1314000,1314000,14418000,214663000,9255000,1558000,7697000,19840000,19840000,29095000,103596000,97308000,1006000,103596000,132691000,308328000,-226231000,-125000,81972000,81972000,214663000,-25542000,516000,8461000,-5937000,-22502000,-1326000,-1326000,-1326000,-58046000,-59372000,1117000,1117000,-80757000,-80757000,-80757000,-25179000,0,-9.97864,-9.91922,-0.31159,-0.11899,6.88245,1.61874,0,-0.80422,-0.80422,0.08108,2.58099,-0.13764,7.78915,7.63273
"12","2018_Q4",12.8322222222222,"Down",2094000,-23240000,-6609000,-16631000,-21146000,857000,941000,941000,-84000.0000000002,-20289000,-20289000,-20289000,-20289000,-20289000,-20289000,179601000,42142000,137459000,2865000,2865000,182466000,12527000,1271000,1271000,14598000,197064000,9777000,1422000,8355000,20250000,20250000,30027000,101449000,94804000,1003000,101449000,131476000,312282000,-246520000,-174000,65588000,65588000,197064000,-20289000,566000,2123000,-47000,-17647000,-849000,-849000,-849000,-344000,-1193000,1368000,1368000,-17472000,-17472000,-17472000,-20580000,0,-10.09838,-9.68911,-0.30934,-0.10296,6.07673,2.00457,0,-0.63447,-0.63447,0.06548,2.05106,-0.12146,8.72697,8.49338
"13","2019_Q1",13.0262295081967,"Up",2008000,-25169000,-8255000,-16914000,-23161000,630000,911000,911000,-281000,-22531000,-22531000,-22531000,-22531000,-22531000,-22531000,155806000,46859000,108947000,6675000,6675000,162481000,12771000,1149000,1149000,14548000,177029000,10826000,1038000,9788000,20847000,20847000,31673000,98910000,92199000,6711000,98910000,130583000,315630000,-269051000,-133000,46446000,46446000,177029000,-22531000,579000,2400000,-4796000,-24348000,-523000,-523000,-523000,29153000,28630000,435000,435000,4717000,4717000,4717000,-22582000,0,-11.53436,-11.22062,-0.4851,-0.12727,5.12995,2.8115,0,-0.6969,-0.6969,0.06211,1.43662,-0.15501,6.89957,6.72708
"14","2019_Q2",22.8833333333333,"Up",5197000,-34490000,-9659000,-24831000,-29293000,2123000,1145000,1145000,978000,-27170000,-27170000,-27170000,-27170000,-27170000,-27170000,358499000,113261000,245238000,6668000,6668000,365167000,13146000,31756000,31756000,46182000,411349000,11537000,2261000,9276000,47239000,44566000,58776000,251879000,217483000,34396000,251879000,310655000,396990000,-296221000,-75000,100694000,100694000,411349000,-27170000,616000,2391000,149325000,125162000,-982000,-1104000,-1104000,-135679000,-136661000,77901000,77901000,66402000,66402000,66402000,-28677000,0,-5.63652,-5.22802,-0.26983,-0.06605,6.21286,3.08514,0,-0.81462,-0.81462,0.15582,3.01903,-0.07706,12.50127,12.23838
"15","2019_Q3",20.99421875,"Down",46087000,-36898000,-8322000,-28576000,9189000,1964000,2097000,2097000,-133000,11153000,11153000,11153000,11153000,11153000,11153000,327462000,79885000,247577000,13313000,3250000,340775000,14493000,32044000,32044000,47817000,388592000,14012000,2230000,11782000,55134000,52291000,69146000,201042000,167436000,33606000,201042000,270188000,403371000,-285068000,101000,118404000,118404000,388592000,11153000,676000,-5743000,-37643000,-31557000,-2186000,-2064000,-2064000,-873000,-2888000,1069000,1069000,-33376000,-33376000,-33376000,9865000,0,0.19938,0.242,0.09419,0.0287,4.92834,2.28192,0,0.30449,0.30449,1.25821,3.23253,0.03491,-33.19432,-35.6363
"16","2019_Q4",14.53484375,"Down",20433000,-38240000,-8463000,-29777000,-17807000,2801000,1823000,1823000,978000,-15006000,-15006000,-15006000,-15006000,-15006000,-15006000,307400000,82640000,224760000,20197000,6164000,327597000,15292000,31307000,31307000,48623000,376220000,20614000,4026000,16588000,59558000,56542000,80172000,187892000,155093000,32799000,187892000,268064000,408245000,-300074000,-15000,108156000,108156000,376220000,-15006000,715000,-2682000,-4606000,-21579000,-1003000,-1174000,-1174000,23784000,22610000,1724000,1724000,2754999.99999999,2754999.99999999,2754999.99999999,-17092000,0,-0.87148,-0.7344,-0.13874,-0.03989,4.08618,2.47849,0,-0.42885,-0.42885,0.58395,3.09097,-0.05069,17.98502,17.26287
"17","2020_Q1",11.4775806451613,"Down",32674000,-46442000,-9891000,-36551000,-13768000,1194000,1392000,1392000,-198000,-12574000,-12574000,-12574000,-12574000,-12574000,-12574000,281533000,86042000,195491000,23126000,4630000,304659000,17986000,30195000,30195000,50101000,354760000,25586000,4070000,21516000,50426000,47233000,76012000,179236000,147260000,31976000,179236000,255248000,412264000,-312648000,-104000,99512000,99512000,354760000,-12574000,758000,17094000,-28638000,-23360000,-3375000,-3376000,-3376000,29837000,26462000,3e+05,3e+05,3402000,3402000,3402000,-13010000,0,-0.42137,-0.38483,-0.12636,-0.03544,4.00804,2.565,0,-0.34018,-0.34018,0.88396,2.69219,-0.04511,21.63974,20.44836
"18","2020_Q2",11.631746031746,"Up",18067000,-42500000,-10206000,-32294000,-24433000,170000,978000,978000,-808000,-24263000,-24263000,-24263000,-24263000,-24263000,-24263000,250931000,165227000,85704000,21545000,5262000,272476000,18586000,30116000,30116000,50134000,322610000,22308000,4815000,17493000,50229000,46923000,72537000,170316000,139227000,31089000,170316000,242853000,416247000,-336911000,421000,79757000,79757000,322610000,-24263000,842000,4660000,-10037000,-28798000,-1507000,-1507000,-1507000,110500000,108993000,33999.9999999991,34000,80229000,80229000,80229000,-23591000,0,-1.35236,-1.34295,-0.30421,-0.07521,3.75637,3.04491,0,-0.65641,-0.65641,0.48878,2.15774,-0.09702,10.63673,10.27017
"19","2020_Q3",11.73734375,"Up",28681000,-37662000,-8238000,-29424000,-8981000,3e+05,346000,346000,-46000,-8681000,-8681000,-8681000,-8681000,-8681000,-8681000,229670000,144321000,85349000,16987000,4301000,246657000,20205000,29171000,29171000,50798000,297455000,20199000,2045000,18154000,47332000,43911000,67531000,153040000,122856000,30184000,153040000,220571000,422331000,-345592000,145000,76884000,76884000,297455000,-8681000,926000,3972000,-17418000,-21201000,-1882000,-1882000,-1882000,13000,-1838000,2133000,2133000,-20906000,-20906000,-20906000,-8055000,0,-0.31313,-0.30267,-0.11291,-0.02918,3.6525,2.86888,0,-0.23443,-0.23443,0.77454,2.07629,-0.03776,28.51273,25.57288
"20","2020_Q4",9.6121875,"Down",117843000,-33316000,-8277000,-25039000,84527000,1084000,254000,254000,830000,85611000,85611000,85611000,85611000,85611000,85611000,200018000,147447000,52571000,16295000,3606000,216313000,23212000,28048000,28048000,53444000,269757000,25051000,3386000,21665000,17001000,13462000,42052000,61469000,32209000,29260000,61469000,103521000,426277000,-259981000,-60000,166236000,166236000,269757000,85611000,1062000,8574000,-119987000,-24740000,-5121000,-5152000,-5152000,32508000,27356000,510000,510000,3126000,3126000,3126000,85589000,0,0.71728,0.72648,0.515,0.31736,5.14394,0.62274,0,2.29859,2.22322,3.164,4.46332,0.37597,-2.33696,-2.36632
"21","2021_Q1",6.81868852459016,"Down",6537000,-30266000,-8270000,-21996000,-23729000,7803000,81000,81000,7722000,-15926000,-15926000,-15926000,-15926000,-15926000,-15926000,181138000,104440000,76698000,16631000,8619000,197769000,25435000,38380000,38380000,63815000,261584000,14839000,634000,14205000,11927000,7729000,26766000,80498000,36088000,44410000,80498000,107264000,430361000,-275907000,-134000,154320000,154320000,261584000,-15926000,987000,-9943000,2905000,-21977000,-3587000,-3556000,-3556000,-17929000,-21516000,486000,486000,-43007000,-43007000,-43007000,-22742000,0,-3.62995,-2.43629,-0.1032,-0.06088,7.38881,0.69508,0,-0.42468,-0.42468,0.17432,4.11508,-0.06782,7.96491,7.63361
"22","2021_Q2",4.5315873015873,"Down",6500999.99999999,-32090000,-9744000,-22346000,-25589000,3940000,19000,19000,3921000,-21649000,-21649000,-21649000,-21649000,-21649000,-21649000,161506000,117799000,43707000,14331000,10078000,175837000,24520000,37360000,37360000,61880000,237717000,13712000,3177000,10535000,11039000,6443000,24751000,76758000,33614000,43144000,76758000,101509000,433849000,-297556000,-123000,136208000,136208000,237717000,-21649000,1274000,-179000.000000004,-740000,-21294000,-375000,-375000,-375000,3.5e+07,34625000,27999.9999999999,28000.0000000002,13359000,13359000,13359000,-24315000,0,-3.93616,-3.3301,-0.15894,-0.09107,7.10424,0.74525,0,-0.57729,-0.57729,0.17336,3.6311,-0.10165,6.64224,6.31154
"23","2021_Q3",3.248125,"Down",1357000,-29942000,-10437000,-19505000,-28585000,-1535000,113000,113000,-1648000,-30120000,-30120000,-30120000,-30120000,-30120000,-30120000,142981000,117844000,25137000,5668000,3910000,148649000,23689000,36389000,36389000,60078000,208727000,11749000,790000,10959000,12939000,8069000,24688000,73503000,31656000,41847000,73503000,98191000,438300000,-327676000,-126000,110536000,110536000,208727000,-30120000,1185000,11778000,-5560000,-22717000,-227000,-227000,-227000,22632000,22405000,357000,357000,45000,45000,45000,-27400000,0,-21.06485,-22.19602,-0.27249,-0.1443,6.0211,0.88832,0,-0.80318,-0.80318,0.03619,2.94653,-0.16366,5.21828,5.00196
"24","2021_Q4",3.41203125,"Up",1482000,-26628000,-8714000,-17914000,-25146000,8999.99999999953,121000,102041.430360265,-112000,-25137000,-25137000,-25137000,-25137000,-25137000,-25137000,121499000,111475000,10024000,4705000,3540000,126204000,22992000,35578000,35578000,58570000,184774000,11916000,592000,11324000,14785000,9537000,26701000,70651000,29639000,41012000,70651000,97352000,440325000,-352813000,-128000,87422000,87422000,184774000,-25137000,1224000,-4065000,7269000,-20709000,-660000,-220243.413521769,-220243.413521769,1.5e+07,14340000,0,0,-6369000,-6369000,-6369000,-23922000,0,-16.96761,-16.96154,-0.28754,-0.13604,4.72656,1.11359,0,-0.66812,-0.66812,0.03939,2.3226,-0.15902,5.07896,4.83174
"25","2022_Q1",4.4608064516129,"Up",28075000,-22373000,-8351000,-14022000,5702000,7000,-643000,29035.4556838047,650000,5709000,5709000,5709000,5709000,5709000,5709000,132539000,117433000,15106000,4159000,3427000,136698000,21920000,35237000,35237000,57157000,193855000,11524000,574000,10950000,39457000,33886000,50981000,47819000,8210000,39609000,47819000,98800000,442297000,-347104000,-138000,95055000,95055000,193855000,5709000,1482000,1679000,2325000,11195000,-347000,82826.918667965,82826.918667965,-5117000,-5464000,227000,227000,5958000,5958000,5958000,7184000,0,0.2031,0.20335,0.06006,0.02945,2.68135,1.0394,0,0.14925,0.14925,0.73394,2.48495,0.03996,-18.44919,-23.2443
"26","2022_Q2",6.75548387096774,"Up",658000,-22008000,-7659000,-14349000,-21350000,31000,31000.0000000002,30999.9999999999,480448.176247761,-21319000,-21319000,-21319000,-21319000,-21319000,-21319000,166833000,131873000,34960000,3818000,3612000,170651000,19374000,34157000,34157000,53531000,224182000,8935000,1200000,7735000,92742000,86994000,101677000,46574000,8449000,38125000,46574000,148251000,444539000,-368423000,-223000,75931000,75931000,224182000,-21319000,2812000,2340000,50593000,34426000,-38000,-38000,-38000,-19960000,-19998000,12000,12000,14440000,14440000,14440000,-18538000,0,-32.44681,-32.3997,-0.28077,-0.0951,1.67836,1.95244,0,-0.56393,-0.56393,0.0174100000000001,2.00752,-0.17403,8.99951,7.81419
"27","2022_Q3",6.40125,"Down",713000,-20079000,-7552000,-12527000,-19366000,279000,240000,240000,39000,-19087000,-19087000,-19087000,-19087000,-19087000,-19087000,148056000,78329000,69727000,3572000,3421000,151628000,19071000,17906000,17906000,36977000,188605000,8403000,1218000,7185000,89529000,87003000,97932000,30621000,7880000,22741000,30621000,128553000,447888000,-387510000,-364000,60052000,60052000,188605000,-19087000,1204000,583000,-1186000,-18486000,-1242000,-1242000,-1242000,-34888000,-36130000,807000,807000,-53809000,-53809000,-53809000,-18162000,0,-27.16129,-26.76999,-0.31784,-0.1012,1.5483,2.14069,0,-0.49838,-0.49838,0.01862,1.56701,-0.2105,8.15197,7.64515
