"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.1431746031746,"Up",40696000,-9773000,-2563000,-7210000,17863000,-7067000,-7541000,-7544000,481000,10796000,10796000,-94000,10702000,10702000,5476950.38903047,10702000,10702000,16609000,16609000,4301000,4301000,16669000,514000,16155000,37579000,432057000,191053000,49109000,26400000,115544000,623110000,660689000,8780000,3361000,1706000,3713000,10658000,9510000,1148000,19438000,503393000,11366000,11366000,514759000,534197000,136994000,126492000,126492000,660689000,12897000,7210000,1949000,1949000,-3333000,18723000,-1911000,-1911000,-2041446388.24788,-94911000,112540000,-22251000,90289000,14101000,14101000,14101000,25073000,503393000,19923000,0.43894,0.26297,0.08461,0.0162,1.86161,1.93328,4.22317,0.76192,0.12106,0.12106,0.46036,1.4309,0.22537,0.01669,0.03107,19.41467,27.25097
"2","2010_Q3",4.7159375,"Up",45483000,-9504000,-1913000,-7591000,22484000,-9003000,-9547000,-9549000,544000,13481000,13481000,-46000,13435000,13435000,2657972.43835026,13435000,13435000,2806000,2806000,6389000,6389000,17638000,939000,16699000,26833000,430250000,188733000,49109000,25819000,113805000,618983000,645816000,15018000,3488000,7688000,3842000,11524000,10923000,601000,26542000,487479000,11984000,11984000,499463000,526005000,130933000,119811000,119811000,645816000,13435000,7591000,954000,954000,4483000,26463000,-2575999.99999999,-2576000,-978595715.693266,51384000,-69960000,-21690000,-91650000,-13803000,-13803000,-13803000,30075000,487479000,32028000,0.49434,0.29539,0.11213,0.0208,2.38392,1.01096,4.39029,0.75483,0.15198,0.15198,0.51451,1.35533,0.36231,0.02169,0.05172,16.11548,21.55635
"3","2010_Q4",5.10734375,"Up",46549000,-8745000,-1508000,-7237000,24172000,-7837000,-8416000,-8417000,570000,16335000,16335000,-76000,16259000,16259000,913388.975340104,16259000,16259000,706000,706000,3720000,3720000,18720000,1121000,17599000,23146000,424806000,186632000,49109000,25513000,112010000,611438000,634584000,8815000,2978000,1532000,4305000,12723000,11681000,1042000,21538000,489564000,12534000,12534000,502098000,523636000,122773000,110948000,110948000,634584000,16259000,7237000,737000,737000,-3290000,20943000,-3567000,-3567000,-296188486.277306,-53000,-1514000,-21476000,-22990000,-2100000,-2100000,-2100000,31409000,489564000,24628000,0.51928,0.34929,0.14655,0.02562,1.51473,1.07466,4.71965,0.77147,0.18393,0.18393,0.52657,1.25507,0.2786,0.02652,0.04017,15.56427,20.22414
"4","2011_Q1",5.57661290322581,"Up",49409000,-66006000,-1735000,-9325000,23590000,-7677000,-8490000,-8484000,798000,15913000,15913000,-80000,15833000,15833000,24000,15857000,15927000,403000,403000,3544000,3544000,19739000,775000,18964000,23686000,434950000,184637000,49109000,25437000,110091000,619587000,643273000,19745000,6347000,7517000,5881000,11699000,10437000,1262000,31444000,491648000,10809000,10809000,502457000,533901000,119398000,109372000,109372000,643273000,15833000,9325000,1528000,1528000,11921000,38607000,-98471000,-98471000,80500000,-17971000,1913999.99999999,-22207000,-20293000,343000.000000001,343000.000000001,343000.000000001,32915000,491648000,-53555000,0.47744,0.32235,0.14562,0.02476,-3.36253,0.75328,4.88151,0.76429,0.36068,0.36068,1.11891,2.47683,-1.2128,0.02603,-0.08753,14.92465,20.82429
"5","2011_Q2",5.59984126984127,"Up",45017000,-9003000,-1363000,-7640000,23218000,-7821000,-8549000,-8549000,740000,15397000,15397000,-228000,15169000,15169000,-229394.487670052,15169000,15169000,1502000,1502000,3102000,3102000,20919000,546000,20373000,25523000,440523000,186104000,49109000,25802000,111193000,626627000,652150000,13604000,5991000,1541000,6072000,10412000,9333000,1079000,24016000,514733000,9511000,9511000,524244000,548260000,112633000,103890000,103890000,652150000,15169000,7640000,305000,305000,-7892000,15222000,-11475000,-11475000,226194443.138653,-11475000,2.3e+07,-25648000,-2648000,1099000,1099000,1099000,30858000,514733000,11719000,0.51576,0.33696,0.14601,0.02326,0.77256,1.06275,5.27731,0.78929,0.1716,0.1716,0.50924,1.17523,0.13257,0.02415,0.01866,16.63202,22.10488
"6","2011_Q3",5.3021875,"Down",50940000,-9286000,-1573000,-7713000,27288000,-8257000,-8724000,-8724000,467000,19031000,19031000,-18000,19013000,19013000,-65994.4876700521,19013000,19013000,1402000,1402000,2600000,2600000,17194000,1038000,16156000,21196000,445986000,183969000,49109000,25519000,109341000,629955000,651151000,16947000,3924000,7521000,5502000,6275000,5319000,956000,23222000,518818000,9164000,9164000,527982000,551204000,108419000,99947000,99947000,651151000,19013000,7713000,693000,693000,3648000,31067000,-11425000,-11425000,215619543.138653,-11425000,4e+06,-23742000,-19742000,-1e+05,-1e+05,-1e+05,35001000,518818000,27242000,0.53569,0.37324,0.19023,0.0292,1.43281,0.91276,5.51496,0.79677,0.21315,0.21315,0.57108,1.12048,0.3054,0.03028,0.04338,14.78289,18.9613
"7","2011_Q4",5.75952380952381,"Up",48952000,-11286000,-2012000,-9274000,21024000,-8167000,-8828000,-8828000,641000,12857000,12857000,77000,12934000,12934000,295000,13229000,16744000,1802000,1802000,4105000,4105000,21361000,1645000,19716000,27268000,448597000,181838000,49109000,25348000,107381000,630435000,657703000,12023000,3858000,1540000,6625000,7658000,6520000,1138000,19681000,534902000,8144000,8144000,543046000,562727000,102354000,94976000,94976000,657703000,12934000,9274000,725000,725000,-1833000,21100000,-126985000,-126985000,123500000,-3485000,1.6e+07,-23364000,-7364000,10251000,10251000,10251000,30298000,534902000,-98597000,0.42948,0.34205,0.1763,0.02546,-5.8885,1.3855,5.92494,0.81329,0.18941,0.18941,0.55376,1.07439,-1.11535,0.02624,-0.15454,17.59522,25.35674
"8","2012_Q1",6.25338709677419,"Up",69359000,-78480000,-1628000,-12331000,34683000,-9145000,-9858000,-9858000,704000,25538000,25538000,-65000,25473000,25473000,564000,26037000,28873000,6369000,6369000,6130000,6130000,35651000,3729000,31922000,48150000,960499000,390547000,256498000,25302000,108747000,1351046000,1399196000,35325000,18375000,8280000,8670000,6224000,4447000,1777000,41549000,605888000,14081000,8653000,619969000,661518000,645140000,638676000,737678000,1399196000,25473000,12331000,1576000,1576000,-7862000,31518000,-56424000,-56424000,33135000,-23289000,-79100000,-17877000,-21162000,-12933000,-12933000,-12933000,47014000,605888000,-17207000,0.50005,0.41628,0.03914,0.02064,-0.595949999999999,1.15887,0.89676,0.43303,0.63218,0.63218,1.51863,13.98397,-0.37675,0.02127,-0.01267,12.75192,17.28567
"9","2012_Q2",6.22444444444444,"Down",68415000,-16339000,-2039000,-14300000,31601000,-9574000,-10405000,-10405000,831000,22027000,19431000,-75000,19356000,19356000,557000,19913000,21774000,12402000,12402000,3884000,3884000,33303000,2403000,30900000,49589000,534244000,389005000,256498000,25382000,107125000,923249000,972838000,16202000,6368000,1808000,8026000,5333000,3440000,1893000,48774000,597956000,4635000,4635000,602591000,651365000,327017000,321473000,321473000,972838000,19356000,14300000,2953000,2953000,-12506000,24103000,-17011000,-17011000,14962000,-2049000,17039000,-32314000,-15275000,6779000,6779000,6779000,45901000,625195000,16459000,0.4619,0.31826,0.06773,0.02238,0.7559,1.01671,2.02619,0.64265,0.19903,0.19903,0.62537,2.93851,0.15045,0.02289,0.0173,13.35032,19.39157
"10","2012_Q3",7.31015873015873,"Up",68660000,-16637000,-2487000,-14150000,30116000,-10530000,-11324000,-11324000,794000,19586000,19203000,-75000,19128000,19128000,683000,19811000,22003000,4216000,4216000,3836000,3836000,29743000,3410000,26333000,37795000,532548000,389355000,256498000,25427000,107430000,921903000,959698000,21260000,4983000,9655000,6622000,6184000,3603000,2581000,27444000,613195000,6195000,6195000,619390000,646834000,318643000,312864000,312864000,959698000,19128000,14150000,2500000,2500000,9885000,45663000,-9363000,-9363000,38000,-9325000,-10189000,-35081000,-45270000,-8932000,-8932000,-8932000,44266000,613195000,44863000,0.43863,0.32046,0.07033,0.02293,2.03895,1.37717,2.06746,0.63895,0.20112,0.20112,0.62761,2.85982,0.41008,0.0236,0.04812,13.75726,20.22111
