"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",28.5234920634921,"Down",205001000,-112256000,92745000,-61205000,-61205000,31540000,-1925000,-2081000,156000,29615000,29615000,-2552000,27063000,27063000,27063000,27063000,90385185.7765892,90385185.7765892,330058977.629468,330058977.629468,144138898.541575,-77042208.2434105,-9974848.99605048,487540853.704222,60678100.1633929,463667527.512029,253565766.28823,154417464.556903,38244797.6623364,65718738.5785966,524345627.675422,1011886481.37964,260116845.153014,41038363.7265642,219872623.151556,128450217.735827,105984244.611209,182594028.315508,11590280.6077152,-28190568.8173515,44833785.0055934,194184308.923223,300168553.534432,123519963.05778,593210339.068506,-5012374.28107406,711717927.845212,711717927.845212,1011886481.37964,27063000,4109000,858000,-10210000,21820000,-1033000,-933000,0,667000,667000,667000,21554000,21554000,21554000,35649000,0,26958000,0.45241,0.15385,0.13201,0.0882380624659027,0.0544195007008807,0.99612,2.50892835471314,0.459423176601297,0.272976333501172,0.88326,0.86483,6.69063,22.9078827029599,0.87983,0.0647982604790171,0.0903860610985833,2.03630680693371,1.3529182449977
"2","2012_Q1",33.0732258064516,"Up",237066000,-133268000,103798000,-72321000,-72321000,31477000,-3229000,-3316000,87000.0000000001,28248000,26588000,-2206000,24382000,24382000,24382000,24382000,27193000,27193000,188404000,188404000,217230000,27624000,5149000,460451000,82487000,697586000,356242000,304705000,19273898.8311682,36639000,780073000,1240524000,214941000,73321000,141620000,5.3e+07,338941000,1.78e+08,38034000,23216000,14818000,216034000,554975000,133099000,560300000,-7850000,685549000,685549000,1240524000,24382000,6087000,5533000,17829000,53831000,-1582000,-268772000,1.71e+08,4310000,4310000,171511000,-43430000,-43430000,-43430000,37564000,2.31e+08,56017000,0.43784,0.13278,0.10285,0.03557,0.01965,2.29747,1.3585,0.80953,0.18621,0.79276,0.77303,7.70796,22.28993,1.82134,0.02554,0.05868,5.42559,6.47479
"3","2012_Q2",32.7212698412698,"Down",271467000,-161554000,109913000,-79259000,-79259000,30654000,-3286000,-3429000,143000,27368000,27368000,-2763000,24605000,24605000,24605000,24605000,13292188.0744703,13292188.0744703,164636424.123511,164636424.123511,250655700.486142,57793652.7478035,9808782.99868349,486377965.431926,87583216.6122024,727198574.162657,373891744.57059,329176428.481032,8071632.94372273,20815587.1404678,814781790.774859,1301159756.20679,214770551.615662,95269878.7578119,119323958.949481,15349927.4213911,389522751.796264,175718657.228164,41165989.7974283,33378189.6057838,3446154.99813553,216884647.025592,606407398.821856,140547595.647407,562334720.310498,-8129958.57297531,694752357.384929,694752357.384929,1301159756.20679,24605000,7094000,2098000,-29374000,4423000,-2012000,1038000,-17800000,1182000,1182000,-16617000,-11156000,-11156000,-11156000,37748000,0,9125000,0.40489,0.11292,0.09064,0.0231923125113658,0.0118268330997064,0.37086,1.20204804842895,0.863678107799568,0.147830388832943,0.79739,0.77716,8.79758,22.4725924323467,0.29572,0.017138913173661,0.0388996463004722,5.58640106435543,6.92847725166743
"4","2012_Q3",31.7592063492063,"Down",277420000,-165138000,112282000,-81933000,-81933000,30349000,-3923000,-3265000,-658000,26426000,26426000,-2833000,23593000,23593000,23593000,23593000,25138000,25138000,200649000,200649000,257610000,44913000,8530000,528310000,85127000,669569000,356202000,296196000,2640000,14531000,754696000,1283006000,232416000,104715000,127701000,2999999.99999999,345378000,1.75e+08,36783000,25040000,4859000,211783000,557161000,146373000,586457000,-6985000,725845000,725845000,1283006000,23593000,6597000,3076000,-8403000,24863000,-3529000,-3479000,-1200000,1437000,1437000,-12283000,9101000,9101000,9101000,36946000,1.78e+08,27847000,0.40474,0.1094,0.08504,0.0325,0.01839,1.18031,1.52966,0.7676,0.13874,0.75396,0.74353,8.86552,23.19586,0.88991,0.02508,0.0296,4.13744,5.03681
"5","2012_Q4",30.755,"Down",338785000,-205603000,133182000,-91354000,-91354000,41828000,-2768000,-2958000,190000,39060000,39060000,-6181000,32879000,32879000,32879000,32879000,35419000,35419000,229221000,229221000,251760000,23983000,6358000,540383000,86713000,673883000,367409000,291308000,981000,14185000,760596000,1300979000,236725000,96648000,140077000,3e+06,314925000,1.75e+08,46849000,27222000,13920000,221849000,536774000,150704000,619288000,-5787000,764205000,764205000,1300979000,32879000,7375000,3305000,-16672000,26887000,-4163000,15158000,-3.5e+07,3212000,3212000,-31764000,10281000,10281000,10281000,49203000,1.78e+08,34549000,0.39312,0.12346,0.09705,0.04302,0.02527,1.05079,1.71591,0.7024,0.13682,1.04074,1.03831,10.72376,24.18983,1.0936,0.03324,0.03493,2.89781,3.40875
"6","2013_Q1",36.3563333333333,"Up",294004000,-170897000,123107000,-86552000,-86552000,36555000,-3317000,-3265000,-52000.0000000001,33238000,33238000,-3941000,29297000,29297000,29297000,29297000,21846000,21846000,195283000,195283000,246142000,25265000,7645000,488536000,100690000,846497000,452350000,377150000,976000,16021000,947187000,1435723000,201829000,69845000,131632000,3e+06,378889000,1.75e+08,85105000,60576000,24529000,260105000,638994000,154174000,648144000,-5589000,796729000,796729000,1435723000,29297000,9112000,227000,9071000,47707000,-4008000,-164741000,101100000,2857000,2857000,103461000,-13573000,-13573000,-13573000,45667000,1.78e+08,54671000,0.41873,0.12434,0.09965,0.03677,0.02041,1.8661,1.28939,0.80202,0.12398,0.92656,0.92236,9.29833,25.19779,1.72906,0.02764,0.05158,3.41941,4.27175
"7","2013_Q2",37.98359375,"Up",300211000,-179063000,121148000,-9e+07,-9e+07,31148000,-3289000,-3312000,23000,27859000,27859000,-4387000,23472000,23472000,23472000,23472000,20880000,20880000,188264000,188264000,259989000,22817000,8093000,491950000,100830000,840498000,452285000,371709000,627000,15877000,941328000,1433278000,186860000,72911000,113451000,3e+06,348747000,1.75e+08,82061000,58261000,23800000,257061000,605808000,160788000,671146000,-4464000,827470000,827470000,1433278000,23472000,9100000,-374000,-23177000,9021000,-3361000,-2624000,-13100000,5537000,5537000,-7363000,-966000,-966000,-966000,40248000,1.78e+08,18097000,0.40354,0.10375,0.07819,0.02837,0.01638,0.771,1.41062,0.73212,0.12419,0.74046,0.73719,9.47068,26.10398,0.5709,0.02158,0.01664,3.9038,5.0443
"8","2013_Q3",42.0859375,"Up",287411000,-170381000,117030000,-86189000,-86189000,30841000,-3099000,-3130000,31000,27742000,27742000,-4774000,22968000,22968000,22968000,22968000,21767000,21767000,208284000,208284000,318697000,25401000,7939000,574149000,99615000,835298000,452253000,366651000,734000,15660000,934913000,1509062000,238920000,106475000,124753000,12715990.720794,401088000,1.75e+08,80614000,57265000,23349000,255614000,656702000,163058000,694049000,-4747000,852360000,852360000,1509062000,22968000,8695000,-1869000,-28062000,1732000,-2379000,-2379000,0,1376000,1376000,1534000.00000003,887000,887000,887000,39536000,1.75e+08,13869000,0.40719,0.10731,0.07991,0.02695,0.01522,0.60384,1.43148,0.77045,0.11597,0.72356,0.72122,9.05431,26.8519,0.43692,0.02073,0.01252,3.87578,4.96848
"9","2013_Q4",46.88109375,"Up",374599000,-226146000,148453000,-101401000,-101401000,47052000,-3248000,-3232000,-16000,43804000,43804000,-6085000,37719000,37719000,37719000,37719000,16122000,16122000,258124000,258124000,306290000,25124000,7777000,605660000,97117000,831570000,452253000,361153000,2652000,15512000,928687000,1534347000,243938000,86262000,152758000,23190778.8416753,388627000,1.75e+08,80453000,53805000,26648000,255453000,644080000,164019000,730210000,-3962000,890267000,890267000,1534347000,37719000,8796000,-4089000,-28852000,13574000,-639000,-639000,-17600000,-1147000,612000,-18580000,-5645000,-5645000,-5645000,55848000,1.75e+08,32442000,0.3963,0.12561,0.10069,0.04237,0.02458,0.8601,1.55846,0.72347,0.11406,1.18707,1.17982,11.78911,28.01784,1.02099,0.03292,0.02832,2.84483,3.37665
"10","2014_Q1",60.8116393442623,"Up",326042000,-194462000,131580000,-91848000,-91848000,39732000,-3623000,-3671000,48000,36109000,36109000,-4602000,31507000,31507000,31507000,31507000,12842000,12842000,219719000,219719000,280872000,31772000,8442000,545205000,101716000,827083000,453241000,355628000,2401000,15813000,928799000,1474004000,206326000,72263000,134063000,2e+07,308665000,1.55e+08,83733000,57991000,25742000,238733000,547398000,167658000,761677000,-2729000,926606000,926606000,1474004000,31507000,7834000,1450000,22440000,63231000,-8283000,-8283000,-61400000,2867000,2867000,-58228000,-3280000,-3280000,-3280000,47566000,1.75e+08,66325000,0.40357,0.12186,0.09663,0.034,0.02138,2.10509,1.76633,0.59076,0.11872,0.99082,0.98189,10.25322,29.13947,2.08576,0.02658,0.05595,3.40912,4.08129
