"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",38.8131147540984,"Down",531211000,-434546000,96665000,-38316000,-29243000,-9073000,58349000,-8456000,-8456000,49893000,-19456000,30437000,-3467000,26970000,26970000,26970000,26970000,6895000,6895000,82499000,82499000,272898000,22875000,22875000,385167000,177145000,668919000,382982000,281734000,4203000,846064000,1231231000,149005000,89803000,59202000,157755000,621751000,42971000,20272000,664722000,822477000,186560000,224874000,-2680000,408754000,408754000,1231231000,26970000,15159000,6205000,24266000,72600000,-1950000,-53295000,-60370000,27082000,-32542000,-181000.000000001,-5641000.00000001,6589000,6589000,6589000,73508000,630501000,99291000,0.18197,0.10984,0.05077,0.06598,0.0219,3.68154,2.44155,2.01216,0.51209,1.16531,1.15202,22.95243,17.66134,4.29014,0.02492,0.09175,8.48351,10.68752
"35","2019_Q2",43.9114285714286,"Up",608218000,-501670000,106548000,-46681000,-37692000,-8989000,59867000,-8983000,-8983000,50884000,-24041000,26843000,-5994000,20849000,20849000,20849000,20849000,8454000,8454000,137318000,137318000,264994000,17757000,17757000,428523000,180331000,746330000,370233000,292113000,83984000,926661000,1355184000,181932000,124640000,57292000,217806000,613599000,94690000,71066000,708289000,926095000,187073000,245723000,-3707000,429089000,429089000,1355184000,20849000,15543000,-47522000,39014000,27884000,-8633000,-1222000,-9855000,-8582000,0,-7888000,-16470000,1559000,1559000,1559000,75410000,623599000,111785000,0.17518,0.09843,0.03428,0.04859,0.01538,5.36165,1.96745,2.15828,0.46016,0.90494,0.89681,26.3995,18.62446,4.85199,0.01817,0.09743,8.15734,10.27519
"36","2019_Q3",38.89109375,"Down",613218000,-500557000,112661000,-41162000,-32894000,-8268000,71499000,-8636000,-8636000,62863000,-26270000,36593000,-9177000,27416000,27416000,27416000,27416000,23572000,23572000,114722000,114722000,252646000,20744000,20744000,411684000,181523000,737706000,349479000,301938000,86289000,919229000,1330913000,169276000,118147000,51129000,205098000,569844000,97354000,76511000,667198000,872296000,191210000,273139000,-5732000,458617000,458617000,1330913000,27416000,14704000,26983000,-3173000,65930000,-5187000,-23999.9999999925,-5210999.99999999,-45501000,-3.72529029846191e-09,-100000.000000002,-45601000,15118000,15118000,15118000,86203000,579844000,87020000,0.18372,0.1166,0.04471,0.05978,0.0206,3.17406,2.00726,1.90201,0.43567,1.18669,1.17584,26.54279,19.85097,3.76661,0.02414,0.07661,6.45305,7.78014
"37","2019_Q4",45.5996875,"Up",566186000,-461851000,104335000,-43008000,-33817000,-9191000,61327000,-8603000,-8603000,52724000,-23917000,28807000,-7490000,21317000,21317000,21317000,21317000,116712000,116712000,129837000,129837000,262558000,18897000,18897000,528004000,179884000,743242000,350216000,308358000,84668000,923126000,1451130000,171285000,117862000,53423000,202275000,670928000,97989000,78254000,768917000,971192000,194240000,291651000,-5953000,479938000,479938000,1451130000,21317000,16202000,37142000,-46442000,28219000,-3898000,-21104000,-25002000,100501000,-3577000,-7001000,89923000,93140000,93140000,93140000,77529000,675928000,34679000,0.18428,0.10832,0.03765,0.04442,0.01469,1.62682,2.61033,2.02358,0.46579,0.92373,0.91595,24.53464,20.79724,1.50275,0.017,0.02766,7.21299,9.11859
"38","2020_Q1",44.895,"Down",549460000,-450133000,99327000,-39523000,-30063000,-9460000,59804000,-10394000,-10394000,49410000,-23827000,25583000,-5599000,19984000,19984000,19984000,19984000,139390000,139390000,87536000,87536000,253870000,36038000,36038000,516834000,180849000,773310000,357014000,319349000,96947000,954159000,1470993000,154241000,96208000,58033000,186935000,670354000,116223000,88939000,786577000,973512000,197676000,305503000,-5698000,497481000,497481000,1470993000,19984000,16346000,9786000,24261000,70377000,-5541000,-33603000,-39144000,-2500000,-230999.999999999,-26000.0000000009,-8554999.99999999,22678000,22678000,22678000,76150000,675354000,100469000,0.18077,0.10884,0.03637,0.04017,0.01359,5.02747,2.76478,1.95688,0.45911,0.86838,0.85831,23.87607,21.61739,4.36575,0.02,0.07794,7.03827,8.96201
"39","2020_Q2",42.9874603174603,"Down",589232000,-479751000,109481000,-45470000,-35869000,-9601000,64011000,-10492000,-10492000,53519000,-24732000,28787000,-7600000,21187000,21187000,21187000,21187000,94523000,94523000,154571000,154571000,273545000,26275000,26275000,548914000,189129000,784115000,356633000,325916000,101566000,973244000,1522158000,203035000,138146000,64889000,236203000,672235000,118344000,91798000,790579000,1026782000,195160000,308957000,-8741000,495376000,495376000,1522158000,21187000,17175000,6784000,-31982000,13164000,-7559000,-24281000,-31840000,0,-15550000,-4804000,-26191000,-44867000,-44867000,-44867000,81186000,677235000,49245000,0.1858,0.10863,0.03596,0.04277,0.01392,2.3243,2.32391,2.07273,0.44492,0.92053,0.9106,25.60097,21.52311,2.1396,0.02093,0.03815,7.17749,9.10331
"40","2020_Q3",57.04203125,"Up",424045000,-350324000,73721000,-41406000,-31628000,-9778000,32315000,-10821000,-10821000,21494000,-20209000,1285000,-571000,714000,714000,714000,714000,111062000,111062000,143614000,143614000,261691000,21086000,21086000,537453000,184797000,770546000,344905000,326478000,99163000,955343000,1492796000,184970000,115838000,69132000,218537000,673138000,107853000,88797000,780991000,999528000,197712000,303848000,-8292000,493268000,493268000,1492796000,714000,17514000,-1262000,9242000,26208000,-3620000,442999.999999996,-3177000,-1250000,642000.000000006,-113999.999999999,-6492000,16539000,16539000,16539000,49829000,678138000,56022000,0.17385,0.07621,0.00168000000000001,0.00145,0.000480000000000001,78.46218,2.45932,2.02634,0.45427,0.0315,0.0311400000000002,18.71007,21.76438,2.47185,0.00507,0.04379,11.38044,17.54838
"41","2020_Q4",60.68421875,"Up",700707000,-567210000,133497000,-48405000,-38184000,-10221000,85092000,-10507000,-10507000,74585000,-25263000,49322000,-11986000,37336000,37336000,37336000,37336000,62347000,62347000,175533000,175533000,281374000,12580000,12580000,531834000,197415000,845690000,380919000,356433000,108338000,1043105000,1574939000,218384000,117088000,101296000,252949000,673852000,122309000,96209000,796161000,1049110000,201748000,331324000,-7243000,525829000,525829000,1574939000,37336000,18266000,10421000,7363000,73386000,-10863000,-99544000,-110407000,-1250000,-4736000,-50000,-11694000,-48715000,-48715000,-48715000,103358000,678852000,111844000,0.19052,0.12144,0.05328,0.071,0.02371,2.99561,2.10253,1.99515,0.43103,1.64679,1.61852,30.90627,23.19288,4.93313,0.0324,0.08428,5.96475,7.24516
"42","2021_Q1",75.2322950819672,"Up",772613000,-630295000,142318000,-51963000,-40695000,-11268000,90355000,-11181000,-11181000,79174000,-28196000,50978000,-13154000,37824000,37824000,37824000,37824000,44767000,44767000,132505000,132505000,312809000,37982000,37982000,528063000,251493000,973879000,456276000,395800000,121803000,1225372000,1753435000,188988000,105786000,83202000,227389000,810907000,155698000,116182000,966605000,1193994000,205279000,360214000,-6052000,559441000,559441000,1753435000,37824000,20315000,19286000,-30030000,47395000,-9847000,-182613000,-192460000,137500000,-2819000,-831000,127485000,-17580000,-17580000,-17580000,110670000,818407000,83947000,0.1842,0.11695,0.04896,0.06761,0.02157,2.21941,2.32229,2.13426,0.46674,1.676,1.63854,34.23489,24.78913,3.71974,0.02881,0.05474,6.99051,8.56223
"43","2021_Q2",82.4671428571429,"Up",850483000,-688951000,161532000,-63138000,-51232000,-11906000,98394000,-11179000,-11179000,87215000,-29913000,57302000,-9789000,47513000,47513000,47513000,47513000,6171000,6171000,211974000,211974000,345244000,28446000,28446000,591835000,256213000,986830000,451269000,405382000,130179000,1243043000,1834878000,259836000,154291000,105545000,299849000,785849000,153905000,112907000,939754000,1239603000,199307000,401104000,-5136000,595275000,595275000,1834878000,47513000,22521000,7662000,-27404000,50292000,-14181000,-28864000,-45045000,-2.7e+07,4194000,-14464000,-43843000,-38596000,-38596000,-38596000,120915000,793349000,89119000,0.18993,0.11569,0.05587,0.07982,0.02589,1.87568,1.97378,2.0824,0.43237,2.08968,2.04041,37.40524,26.18089,3.91956,0.03506,0.05777,6.51018,8.00026
"44","2021_Q3",77.450625,"Down",1019953000,-815476000,204477000,-74396000,-60365000,-14031000,130081000,-14580000,-14580000,115501000,-34815000,80686000,-21701000,58985000,58985000,58985000,58985000,58402000,58402000,264296000,264296000,406235000,34691000,34691000,763624000,298022000,1163061000,563288000,453537000,146236000,1461083000,2224707000,285341000,164646000,120695000,328792000,1076950000,175694000,126960000,1252644000,1581436000,215518000,453432000,-4129000,643271000,643271000,2224707000,58985000,26194000,16743000,-73469000,28453000,-12052000,-223796000,-235848000,294500000,-21167000,-7219000,259626000,52231000,52231000,52231000,156275000,1084450000,92455000,0.20048,0.12754,0.05783,0.0917,0.02651,1.56743,2.32251,2.45843,0.48746,2.59423,2.53307,44.85873,28.29182,4.06628,0.0344,0.04857,6.56566,7.88776
"45","2021_Q4",77.955625,"Up",1060177000,-852016000,208161000,-79003000,-64245000,-14758000,129158000,-15436000,-15436000,113722000,-35885000,77837000,-20440000,57397000,57397000,57397000,57397000,44882000,44882000,292932000,292932000,485766000,39205000,39205000,862785000,309170000,1186503000,558040000,478955000,149508000,1495673000,2358458000,365018000,219153000,145865000,409473000,1077664000,179273000,129929000,1256937000,1666410000,219383000,475689000,-3024000,692048000,692048000,2358458000,57397000,27583000,6614000,-22922000,68672000,-17782000,-45041000,-62823000,-1420000,-10070000,-1453000,-19369000,-13520000,-13520000,-13520000,156741000,1085164000,136477000,0.19635,0.12183,0.05414,0.08294,0.02434,2.37777,2.10706,2.40794,0.46012,2.51863,2.45255,46.52144,30.36763,5.98872,0.03262,0.06976,6.63695,8.05434
"46","2022_Q1",67.2004838709677,"Down",1147479000,-920455000,227024000,-93339000,-77705000,-15634000,133685000,-16695000,-16695000,116990000,-38993000,77997000,-16977000,61020000,61020000,61020000,61020000,122849000,122849000,172392000,172392000,614356000,64478000,64478000,974075000,319493000,1357163000,640456000,551377000,165330000,1676656000,2650731000,384976000,203537000,181439000,432777000,1278989000,171408000,134955000,1450397000,1883174000,256051000,513734000,-2228000,767557000,767557000,2650731000,61020000,28510000,1466000,13717000,104713000,-20592000,-210426000,-231018000,298222000,-16947000,-69466000,204272000,77967000,77967000,77967000,162195000,1286489000,172297000,0.19785,0.1165,0.05318,0.0795,0.02302,2.82362,2.25076,2.45346,0.48533,2.67761,2.60736,50.35232,33.68103,7.56053,0.03081,0.07742,7.17433,8.70434
"47","2022_Q2",57.9854838709677,"Down",1342175000,-1046830000,295345000,-92421000,-75560000,-16861000,202924000,-14886000,-14886000,188038000,-41169000,146869000,-34196000,112673000,112673000,112673000,112673000,63846000,63846000,354489000,354489000,698712000,57358000,57358000,1174405000,328003000,1468972000,690610000,600119000,178243000,1796975000,2971380000,445974000,240694000,205280000,496315000,1489811000,185282000,144767000,1675093000,2171408000,188433000,612981000,-1442000,799972000,799972000,2971380000,112673000,30201000,1756000,-167669000,-23039000,-11522000,-131597000,-143119000,1.54e+08,-24778000,-13779000,107155000,-59003000,-59003000,-59003000,233125000,1497311000,88130000,0.22005,0.15119,0.08395,0.14085,0.03792,0.78217,2.36625,2.71436,0.50391,5.00391,4.52829,59.60719,35.52747,3.91393,0.04872,0.0355,6.14891,7.06405
"48","2022_Q3",53.56359375,"Down",1475693000,-1148589000,327104000,-109030000,-90485000,-18545000,218074000,-14802000,-14802000,203272000,-44047000,159225000,-42701000,116524000,116524000,116524000,116524000,77025000,77025000,355352000,355352000,738908000,52087000,52087000,1223372000,339624000,1461835000,683989000,605086000,172760000,1801459000,3024831000,422700000,219315000,203385000,473411000,1474743000,179087000,138572000,1653830000,2127241000,191295000,707812000,-1517000,897590000,897590000,3024831000,116524000,32774000,8057000,-60020000,97335000,-25649000,-18792000,-44441000,-15875000,-15426000,-1036000,-39715000,13179000,13179000,13179000,250848000,1482243000,207880000,0.22166,0.14778,0.07896,0.12982,0.03852,1.78401,2.58416,2.36995,0.49003,5.24175,4.76698,66.38295,40.37742,9.35133,0.04842,0.08124,5.60187,6.44377
