"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",33.8266666666667,"Up",192004000,-133776000,58228000,-50845000,-38921000,-7314000,-4610000,7383000,-2002000,-2002000,5381000,5381000,-1981000,3400000,3400000,-139000,3261000,3261000,57331000,57331000,161808000,161808000,88466000,39511000,347116000,680055000,244616000,84779000,75012000,84825000,924671000,1271787000,170994000,73226000,97768000,170994000,301924000,25438000,25438000,327362000,498356000,561427000,221868000,95000,769547000,3884000,773431000,1271787000,3400000,25027000,7465000,2786000,38678000,-45157000,-45157000,-41306000,-45157000,-3e+07,4382000,6198000,-1816000,-25618000,-32097000,-32097000,-203000,-32300000,32410000,301924000,-7980000,0.30326,0.03845,0.01698,0.00422,0.00256,-2.4471,2.02999,0.64434,0.2374,0.08159,0.07741,4.80394,19.25408,-0.19966,4,0.00296,-0.00725,7.54684,33.12922
"2","2010_Q3",35.85484375,"Up",197889000,-130148000,67741000,-54668000,-41952000,-7622000,-5094000,13073000,-887000,-887000,12186000,12186000,-4385000,7801000,7801000,-15000,7786000,7786000,53781000,53781000,171944000,171944000,88215000,40929000,354869000,720237000,258545000,91383000,83341000,83821000,978782000,1333651000,181939000,73250000,108689000,182410000,319281000,30200000,30200000,349481000,531891000,580239000,229654000,1879000,797861000,3899000,801760000,1333651000,7801000,25676000,10761000,13170000,57408000,-72788000,-72788000,-68212000,-86244000,1.5e+07,9968000,10036000,-68000,24968000,-3868000,-3868000,318000,-3550000,38749000,319752000,-16484000,0.34232,0.06606,0.03935,0.00971,0.00584,-2.11713,1.94545,0.6634,0.23976,0.19158,0.18189,4.86932,19.63241,-0.40561,4,0.00676,-0.01431,6.86394,20.34506
"3","2010_Q4",41.905,"Up",195941000,-136932000,59009000,-51997000,-40413000,-6661000,-4923000,7012000,-14000,-14000,6998000,6998000,5929000,12927000,12927000,-3000,12924000,12924000,45364000,45364000,175949000,175949000,95747000,42675000,359735000,733988000,262178000,86311000,82559000,93308000,996166000,1355901000,177201000,55023000,122178000,177961000,324163000,30309000,30309000,354472000,532433000,592773000,242578000,1747000,819566000,3902000,823468000,1355901000,12927000,25905000,548000,-12154000,27226000,-45309000,-45309000,-42212000,-45309000,5e+06,4536000,8157000,-3621000,9536000,-8547000,-8547000,130000,-8417000,32917000,324923000,-30475000,0.30116,0.03579,0.06596,0.01569,0.00953,-2.35802,2.02143,0.64657,0.23964,0.31366,0.29734,4.75539,19.89045,-0.73961,4.82959962171824,0.01096,-0.02585,8.49285,39.86865
"4","2011_Q1",41.8056451612903,"Down",216372000,-149712000,66660000,-54875000,-42979000,-7114000,-4782000,11785000,72000,72000,11857000,11857000,439000,12296000,12296000,-152000,12144000,12144000,40490000,40490000,191889000,191889000,98555000,39946000,370880000,766139000,268729000,81889000,83532000,103308000,1034868000,1405748000,202295000,71712000,130583000,203423000,334242000,23842000,23842000,358084000,561507000,601033000,254722000,2277000,840125000,4116000,844241000,1405748000,12296000,26445000,2070000,5494000,46305000,-61017000,-61017000,-56555000,-61017000,1e+07,1632000,2007000,-375000,9724000,-4988000,-4988000,114000,-4874000,38230000,335370000,-17732000,0.30808,0.05447,0.05613,0.01438,0.00864,-1.46014,1.8232,0.6651,0.23857,0.29178,0.27701,5.19875,20.18561,-0.42605,5,0.01009,-0.01473,7.71331,25.02164
"5","2011_Q2",40.737619047619,"Down",195101000,-141601000,53500000,-52199000,-41733000,-5694000,-4772000,1301000,26000,26000,1327000,1327000,267000,1594000,1594000,165000,1759000,1759000,26113000,26113000,177066000,177066000,124439000,42871000,370489000,776420000,267336000,77088000,83702000,106546000,1043756000,1414245000,179669000,64545000,115124000,181035000,349130000,24546000,24546000,373676000,554711000,616717000,256481000,2457000,855583000,3951000,859534000,1414245000,1594000,30481000,5757000,-28923000,8909000,-40686000,-40686000,-36567000,-40686000,1.5e+07,2304000,4469000,-2165000,17304000,-14473000,-14473000,96000,-14377000,31782000,350496000,-38094000,0.27422,0.00667,0.00902,0.00205,0.00124,-21.65662,2.0465,0.64536,0.24783,0.04208,0.04021,4.66715,20.46702,-0.91127,4,0.00142,-0.03086,10.2065,249.33359
"6","2011_Q3",37.94203125,"Down",223024000,-162113000,60911000,-55955000,-44379000,-6809000,-4767000,4956000,-198000,-198000,4758000,4758000,3411000,8169000,8169000,-194000,7975000,7975000,36007000,36007000,198488000,198488000,122343000,62881000,419719000,834900000,270948000,72079000,83345000,115524000,1105848000,1525567000,183203000,65894000,117309000,184415000,443945000,24422000,24422000,468367000,652782000,623479000,264456000,862000,868640000,4145000,872785000,1525567000,8169000,29426000,3529000,-26247000,14877000,-100922000,-100922000,-96746000,-100922000,94535000,1613000,1698000,-85000.0000000005,96148000,10103000,10103000,-209000,9894000,34382000,445157000,-96198000,0.27311,0.02222,0.03576,0.00914,0.00523,-12.06245,2.27595,0.74793,0.2918,0.18925,0.18137,5.29233,20.6127,-2.28277,4,0.00594,-0.07166,11.90012,82.5565
"7","2011_Q4",43.3166666666667,"Up",204964000,-146781000,58183000,-56391000,-45640000,-5999000,-4752000,1792000,-311000,-311000,1481000,1481000,3637000,5118000,5118000,22000,5140000,5140000,45842000,45842000,184299000,184299000,129763000,69992000,429896000,872834000,276933000,67226000,83151000,126556000,1149767000,1579663000,202240000,62880000,139360000,203466000,443756000,45242000,45242000,488998000,692464000,637620000,269596000,758000,883076000,4123000,887199000,1579663000,5118000,29331000,2696000,4034000,41179000,-34663000,-34663000,-25854000,-34663000,-297000,3461000,8202000,-4741000,3164000,9680000,9680000,155000,9835000,31123000,444982000,-3143000,0.28387,0.00874,0.02508,0.00579,0.00325,-0.61148,2.11286,0.78051,0.28169,0.12108,0.11596,4.82814,20.80175,-0.07404,3.08570050287153,0.00373,-0.00228,12.8246,222.73438
"8","2012_Q1",46.4995161290323,"Up",240538000,-185486000,55052000,-60907000,-49976000,-6490000,-4441000,-5855000,-7764000,-7764000,-13619000,-13619000,6336000,-7283000,-7283000,-94999.9999999999,-7378000,-7378000,172583000,172583000,211690000,211690000,127646000,51233000,563152000,880704000,283297000,63041000,83461000,136795000,1164001000,1727153000,234802000,75040000,159762000,236042000,548565000,50353000,50353000,598918000,834960000,649676000,262218000,1439000,887975000,4218000,892193000,1727153000,-7283000,36273000,3677000,43817000,76484000,-52751000,-52751000,-45806000,-52751000,105762000,4512000,4972000,-460000,103182000,126915000,126915000,-174000,126741000,30418000,549805000,15148000,0.22887,-0.02434,-0.03067,-0.00827,-0.00427,-2.05313,2.38581,0.93585,0.31833,-0.17197,-0.16447,5.60642,20.69679,0.35307,3,-0.00494,0.01015,12.40128,-64.42733
"9","2012_Q2",43.1377777777778,"Down",241763000,-187618000,54145000,-67934000,-56501000,-7369000,-4064000,-13789000,-11486000,-11486000,-25275000,-25275000,10842000,-14433000,-14433000,13000,-14420000,-14420000,129892000,129892000,221894000,221894000,137837000,52686000,542309000,882626000,296682000,58815000,83171000,154696000,1179308000,1721617000,223995000,75731000,148264000,225250000,548369000,54634000,54634000,603003000,828253000,668001000,247798000,738000,889159000,4205000,893364000,1721617000,-14433000,36717000,-1272000,-20221000,791000,-43209000,-43209000,-36882000,-43209000,152052057.468024,2615000,4635000,-2020000,-160000,-42578000,-42578000,-113000,-42691000,22928000,549624000,-51344000,0.22396,-0.05704,-0.05965,-0.01614,-0.00838,3.56061,2.40759,0.92712,0.31925,-0.33394,-0.33394,5.5987,20.59096,-1.18901,5,-0.00963,-0.03428,18.30652,-30.43963
"10","2012_Q3",38.3515873015873,"Down",282822000,-216803000,66019000,-66878000,-54079000,-8758000,-4041000,-859000,-11508000,-11508000,-12367000,-12367000,4510000,-7857000,-7857000,-50000,-7907000,-7907000,136118000,136118000,231606000,231606000,132890000,55009000,555623000,886566000,301180000,55059000,83537000,162584000,1187746000,1743369000,235052000,80646000,154406000,236322000,548170000,57060000,57060000,605230000,841552000,683405000,239891000,1766000,897562000,4255000,901817000,1743369000,-7857000,39676000,5194000,4283000,41296000,-43794000,-43794000,-37770000,-43794000,99623163.7329864,9298000,9420000,-122000,8605000,6107000,6107000,119000,6226000,38817000,549440000,-5204000.00000001,0.23343,-0.00303999999999999,-0.02796,-0.00877,-0.00454,0.65815,2.35113,0.93317,0.31516,-0.18129,-0.18129,6.48436,20.57873,-0.11931,5,-0.00524,-0.00344999999999999,10.64796,-481.16647
