"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.65952380952381,"Down",183801000,-158573000,25228000,-13901000,-13901000,11327000,750000,750000,12077000,12077000,-4649000,7428000,7428000,7428000,7428000,151277837.379074,109168197.313656,42109640.065418,101271088.121766,22162716.5760412,21732006.6697644,6361720.28821084,296443648.746647,5198102.80801046,29956929.138656,16954980.9778629,-663856.243153263,5063894.33929939,38337091.9869768,334780740.733623,116036058.228286,19137899.2619057,97324819.3325554,118040125.004405,5548820.99385938,5548820.99385938,5.5186609977752e-10,4105326.61303769,122145451.617442,97428504.2576589,-19183340.9081321,135540622.477495,-1150496.71084041,212635289.116181,212635289.116181,334780740.733623,7428000,923000,447000,-11059000,-2261000,-608000,7858000,7250000,-9225000,848000,848000,735000,-7642000,-2653000,-2653000,-2653000,12250000,0,5232000,0.13726,0.06163,0.04041,0.0426766626377047,0.0253354117761323,0.70436,-9.88444850049702,0.575295567201896,-0.0172582034217607,0.1128,0.11088,2.79125,3.4765695818802,0.07945,0.14009,0.0813609074637547,0.653012481184318,1.24192,-6.05297748001855,-6.35162758127904
"2","2010_Q3",10.0959375,"Up",192954000,-165239000,27715000,-13150000,-13150000,14565000,-384000,-384000,14181000,14181000,-5460000,8721000,8721000,8721000,8721000,79067000,34968000,44099000,107253000,18347000,5368000,4862000,210035000,4931000,45423000,16955000,8990000,11280000,56519000,266554000,32542000,7743000,24355000,32542000,11479000,11479000,2.94328586548011e-10,23856000,56398000,96209000,-19169000,133085000,31000,210156000,210156000,266554000,8721000,917000,1192000,5643000.00000001,16473000,-807000,-363000.000000001,-1170000,-9676000,545000,545000,148000,-8983000,6320000,6320000,6320000,15482000,12377000,25778000,0.14364,0.07548,0.0452,0.0415,0.03272,2.95585,6.45427,0.26836,0.04643,0.06615,0.0651,1.46349,1.59396,0.19552,0.07339,0.07862,0.11016,1.10951,-4.30758,-4.57878
"3","2010_Q4",11.38390625,"Up",195113000,-168384000,26729000,-14488000,-14488000,12241000,1183000,1183000,13424000,13424000,-4255000,9169000,9169000,9169000,9169000,70607000,26109000,44498000,108363000,18858000,5492000,4825000,203320000,5591000,47277000,16955000,10040000,12552000,58952000,262272000,24218000,7636000,16367000,24218000,12837000,12837000,1.10373219955504e-10,26911000,51129000,97934000,-19073000,132130000,152000,211143000,211143000,262272000,9169000,885000,-831000,-7759000,1464000,-1078000,-666000,-1744000,-10124000,1077000,1077000,468000,-8579000,-8859000,-8859000,-8859000,13126000,14074000,8544000,0.13699,0.06274,0.04699,0.04343,0.03496,0.93184,8.39541,0.24215,0.05366,0.09256,0.09112,1.96959,2.1314,0.08625,0.1022,0.08104,0.03589,1.10416,-4.30695,-4.61833
"4","2011_Q1",11.9854838709677,"Up",202088000,-172953000,29135000,-15771000,-15771000,13364000,1073000,1073000,14437000,14437000,-5314000,9123000,9123000,9123000,9123000,83129000,39692000,43437000,108426000,20614000,9606000,5628000,221775000,6656000,44448000,16955000,8109000,12122000,56159000,277934000,39927000,11434000,28493000,40531000,12479000,12479000,0,24324000,64855000,100831000,-18667000,130993000,-78000,213079000,213079000,277934000,9123000,1039000,3839000,8070000,22071000,-1637000,381000,-1256000,-10260000,2320000,2320000,708000,-7232000,13583000,13583000,13583000,14403000,11845000,26150000,0.14417,0.06613,0.04514,0.04282,0.03282,2.86638,5.47174,0.30437,0.04262,0.1384,0.13615,3.06579,3.23253,0.39671,0.15565,0.08165,0.11015,1.12463,-4.94925,-5.33403
"5","2011_Q2",12.1795238095238,"Up",208390000,-179985000,28405000,-16780000,-16780000,11625000,714000,714000,12339000,12339000,-4572000,7767000,7767000,7767000,7767000,77891000,36692000,41199000,111364000,20844000,6525000,6525000,216624000,7592000,45164000,16955000,8425000,12990000,57687000,274311000,33952000,12029000,21243000,34453000,13094000,13094000,-3.67910733185013e-11,26241000,60694000,103110000,-17863000,128358000,12000,213617000,213617000,274311000,7767000,1004000,1249000,-4078000,5942000,-1473000,1950000,477000,-10402000,921000,921000,62000,-9419000,-3e+06,-3e+06,-3e+06,12629000,13147000,11650000,0.13631,0.05578,0.03727,0.03636,0.02831,1.49994,6.28752,0.28413,0.04793,0.11697,0.11515,3.13836,3.21708,0.17545,0.15665,0.07575,0.04857,1.33926,-5.12661,-5.56938
"6","2011_Q3",11.18234375,"Down",211507000,-181742000,29765000,-15511000,-15511000,14254000,463000,463000,14717000,14717000,-4889000,9828000,9828000,9828000,9828000,76280000,35498000,40782000,117204000,21416000,6150000,6150000,221050000,8178000,45868000,16955000,9085000,13502000,57839000,278889000,37119000,9680000,27252000,37204000,13728000,13728000,0,27443000,64647000,103951000,-17692000,127686000,297000,214242000,214242000,278889000,9828000,1045000,33000,-1330000,9576000,-1162000,349000,-813000,-10500000,420000,420000,123000,-9957000,-1194000,-1194000,-1194000,15299000,13715000,17696000,0.14073,0.06739,0.04647,0.04587,0.03524,1.80057,5.94157,0.30175,0.04918,0.14775,0.14551,3.17974,3.22086,0.26604,0.15785,0.08411,0.07322,1.06838,-4.08948,-4.38929
"7","2011_Q4",12.8585714285714,"Up",218929000,-188041000,30888000,-14344000,-14344000,16544000,-1355000,-1355000,15189000,15189000,-5193000,9996000,9996000,9996000,9996000,68302000,27128000,41174000,117292000,22195000,7943000,6808000,215732000,9373000,45767000,16955000,8472000,12426000,57583000,273315000,29560000,10025000,19535000,29752000,12786000,12786000,0,26467000,56219000,105618000,-15985000,127090000,373000,217096000,217096000,273315000,9996000,1074000,3770000,-10971000,3869000,-1776000,-698000,-3474000,-10592000,739000,739000,1088000,-8765000,-8370000,-8370000,-8370000,17618000,13681000,10064000,0.14109,0.07557,0.04566,0.04604,0.03657,1.0068,7.25101,0.25896,0.05006,0.14983,0.14802,3.28161,3.25413,0.15085,0.15877,0.08453,0.04132,1.05962,-3.1003,-3.30156
"8","2012_Q1",14.3966129032258,"Up",250239000,-217190000,33049000,-18671000,-18671000,14378000,1189000,1189000,15567000,15567000,-5002000,10565000,10565000,10565000,10565000,69976000,38639000,31337000,130744000,25144000,6257000,5852000,232121000,9763000,46328000,16955000,8181000,13820000,57574000,289695000,44436000,10650000,33786000,45387000,14224000,14224000,2.58493941422821e-26,26582000,71969000,106422000,-15960000,126921000,343000,217726000,217726000,289695000,10565000,1264000,1414000,318000,13561000,-1112000,9436000,8324000,-10734000,283000,283000,77000,-10374000,11511000,11511000,11511000,15642000,12358000,19850000,0.13207,0.05746,0.04222,0.04852,0.03647,1.87885,5.11426,0.33055,0.04266,0.15788,0.1558,3.7396,3.25372,0.29664,0.16041,0.08718,0.08125,1.016,-3.68354,-4.00737
"9","2012_Q2",15.0406349206349,"Up",260607000,-227496000,33111000,-20982000,-20982000,12129000,1653000,1653000,13782000,13782000,-5204000,8578000,8578000,8578000,8578000,69606000,48256000,21350000,128123000,25966000,8821000,8821000,232516000,9869000,48392000,16955000,9027000,15580000,62446000,294962000,45227000,21962000,20610000,46135000,15724000,15724000,0,29202000,75337000,110546000,-15743000,124652000,170000,219625000,219625000,294962000,8578000,1248000,-734000,349000,9441000,-813000,9672000,8859000,-10847000,1840000,1840000,324000,-8683000,9617000,9617000,9617000,13377000,13478000,18117000,0.12705,0.04654,0.03292,0.03906,0.02908,2.11203,5.0399,0.34303,0.04569,0.12787,0.12599,3.88479,3.27388,0.27006,0.16169,0.07807,0.07281,1.26451,-4.19586,-4.62759
"10","2012_Q3",16.2503174603175,"Up",267108000,-230205000,36903000,-18524000,-18524000,18379000,-95000,-95000,18284000,18284000,-6963000,11321000,11321000,11321000,11321000,76997000,55599000,21398000,135795000,27050000,10482000,10482000,250324000,10132000,48995000,16955000,9919000,15833000,62100000,312424000,59054000,20860000,34859000,59438000,16132000,16132000,0,30929000,90367000,112493000,-15606000,125017000,153000,222057000,222057000,312424000,11321000,1280000,314000,5026000,17941000,-1002000,-250000,-1252000,-10956000,824000,824000,786000,-9346000,7343000,7343000,7343000,19659000,14797000,30646000,0.13816,0.06881,0.04238,0.05098,0.03624,2.707,4.21151,0.40695,0.04736,0.16823,0.16594,3.96927,3.2998,0.4554,0.16281,0.08806,0.12114,0.96776,-3.16395,-3.3843
