"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",22.8052380952381,"Up",1430379000,-1188699000,241680000,-151189000,-151189000,90491000,-30152000,-30727000,60339000,47715000,-16390000,31325000,31325000,31325000,31325000,39995000,39995000,879277000,879277000,1070837000,17532000,17532000,2007641000,117942000,1371569000,576822000,754038000,40709000,1489511000,3497152000,654472000,547083000,100298000,724547000,1355122000,299525000,282321000,17204000,1654647000,2379194000,0,1621286000,-467932000,-35396000,1117958000,1117958000,3497152000,31325000,16858000,23797000,-136909000,-64929000,-9684000,-25936000,-265120000,68121000,-22744000,-22744000,-22744000,107349000,1355122000,-22854000,0.16896,0.06326,0.0219,0.02802,0.00896,-0.72958,2.77089,2.12816,0.38749,0.31866,0.31728,14.55072,11.37257,-0.23249,0.0113,-0.00824,12.25095,14.53324
"2","2012_Q4",25.431935483871,"Up",1451114000,-1173916000,277198000,-154955000,-154955000,122243000,-26945000,-28177000,95298000,85821000,-30280000,55541000,55541000,55541000,55541000,36839000,36839000,929740000,929740000,1035861000,17563000,17563000,2020003000,120885000,1362354000,580367000,743418000,38569000,1483239000,3503242000,674304000,521818000,134550000,742539000,1267971000,304927000,288234000,16693000,1572898000,2315437000,-4163.2478805313,1623221819.76895,-455016464.906169,-27003151.8809593,1141203446.9777,1187805000,3503242000,55541000,17058000,9638000,30144000,112381000,-5604000,-6595000,-100248000,-100505000,5281000,5281000,5281000,139301000,1267971000,194121000,0.19102,0.08424,0.03827,0.04676,0.01585,3.49509,2.7204,1.94934,0.36194,0.54686,0.54415,14.28768,11.3284504849021,1.91132,0.02012,0.07032,8.83793,10.07119
"3","2013_Q1",30.4456666666667,"Up",1306733000,-1048429000,258304000,-154225000,-154225000,104079000,-22266000,-19898000,81813000,-10487000,4045000,-6442000,-6442000,-6442000,-6442000,37090000,37090000,823236000,823236000,970228000,20020000,20020000,1850574000,122458000,1396695000,610392000,749272000,37031000,1519153000,3369727000,563943000,438344000,125599000,650104000,1250089000,283612000,261448000,22164000,1533701000,2183805000,0,1626916000,-418830000,-22164000,1185922000,1185922000,3369727000,-6442000,17687000,52155000,110905000,174305000,-5366000,-70616000,-735927000,-103699000,-10000,-10000,-10000,121766000,1256589000,223260000,0.19767,0.07965,-0.00493,-0.00543,-0.00191,-34.65694,2.84658,1.84144,0.37291,-0.06343,-0.06307,12.86712,11.67752,2.19839,-0.00236,0.0819,10.0151,11.71705
"4","2013_Q2",29.69171875,"Down",1305100000,-1058529000,246571000,-160757000,-160757000,85814000,-15186000,-15302000,70628000,71195000,-25012000,46183000,46183000,46183000,46183000,27421000,27421000,806723000,806723000,955468000,25177000,19916000,1814789000,120964000,1381842000,610222000,735672000,35948000,1502806000,3317595000,649986000,519218000,105856000,741966000,1066570000,278190000,255993000,22197000,1344760000,2086726000,0,1630746000,-372647000,-27230000,1230869000,1230869000,3317595000,46183000,18635000,-4809000,114398000,174407000,-4838000,-4542999.99999999,-180918000,-179181000,-9317000,-9317000,-9317000,104449000,1073070000,239021000,0.18893,0.06575,0.03539,0.03752,0.01392,5.17552,2.44592,1.69533,0.32345,0.45452,0.45089,12.84433,12.11378,2.35236,0.01789,0.09257,10.0111,12.18506
"5","2013_Q3",26.63578125,"Down",1267778000,-1023845000,243933000,-153975000,-153975000,89958000,-28723000,-15223000,61235000,63085000,-19233000,43852000,43852000,43852000,43852000,37812000,37812000,801772000,801772000,937136000,32273000,32273000,1808993000,118100000,1361693000,608393000,718810000,34490000,1479793000,3288786000,593746000,488225000,105521000,683023000,1077329000,267379000,246603000,20776000,1344708000,2027731000,0,1633385000,-328795000,-43535000,1261055000,1261055000,3288786000,43852000,18555000,-3806000,-51108000,7493000,-5577000,-6246000,11009000,10945000,12192000,12192000,12192000,108513000,1083829000,71061000,0.19241,0.07096,0.03459,0.03477,0.01333,1.62047,2.64851,1.60796,0.32955,0.43122,0.42775,12.46672,12.40061,0.69878,0.01679,0.0272,9.63955,11.62784
"6","2013_Q4",30.08296875,"Up",1313711000,-1075418000,238293000,-160910000,-160910000,77383000,-15550000,-15463000,61833000,60005000,-21248000,38757000,38757000,38757000,38757000,33439000,33439000,841545000,841545000,929529000,31954000,31954000,1836467000,118445000,1368645000,623714000,711574000,33357000,1487090000,3323557000,620671000,498797000,121874000,709984000,1037264000,259749000,241090000,18659000,1297013000,2006997000,0,1638020000,-290038000,-31422000,1316560000,1316560000,3323557000,38757000,18720000,-5485000,7483000,59475000,-461999.999999999,-24113000,-40765000,-40101000,-4739000,-4739000,-4739000,96103000,1043764000,124372000,0.18139,0.0589,0.0295,0.02944,0.01166,3.20902,2.58663,1.52443,0.31405,0.38103,0.37841,12.91535,12.94336,1.22273,0.01479,0.04747,10.51294,13.05616
"7","2014_Q1",27.9695081967213,"Down",1344203000,-1118241000,225962000,-167352000,-167352000,58610000,-15395000,-14697000,43215000,42626000,-19323000,23303000,23303000,23303000,23303000,25188000,25188000,812147000,812147000,971567000,37091000,37091000,1845993000,118923000,1370766000,632284000,708009000,30473000,1489689000,3335682000,675318000,550393000,124925000,762097000,978899000,256418000,241116000,15302000,1235317000,1997414000,5.82076609134674e-11,1645425000,-266735000,-40422000,1338268000,1338268000,3335682000,23303000,18500000,7248000,33162000,82213000,-6608000,-34507000,-58160000,-56654000,-8948000,-8948000,-8948000,77110000,986834000,122987000,0.1681,0.0436,0.01734,0.01741,0.00699,5.27773,2.42225,1.49254,0.29584,0.22884,0.22685,13.20059,13.14231,1.20778,0.00903,0.04764,12.47109,16.40754
"8","2014_Q2",28.4173015873016,"Up",1305679000,-1073547000,232132000,-171389000,-171389000,60743000,-24021000,-15148000,36722000,36722000,-13202000,23520000,23520000,23520000,23520000,30140000,30140000,904838000,904838000,1053594000,36895000,36895000,2025467000,120650000,1574203000,779513000,767122000,27568000,1694853000,3720320000,685960000,535842000,150118000,771581000,1306292000,276316000,256566000,19750000,1582608000,2354189000,0,1647440000,-243215000,-38094000,1366131000,1366131000,3720320000,23520000,20907000,620000.000000002,-119365000,-74318000,-1406000,-249341000,327322000,327552000,3893000,3893000,3893000,81650000,1314227000,-25919000,0.17779,0.04652,0.01801,0.01722,0.00632,-1.102,2.62509,1.72325,0.35326,0.23076,0.22893,12.81032,13.40343,-0.2543,0.00795,-0.00876999999999999,15.72672,21.13967
"9","2014_Q3",25.6946875,"Down",1497295000,-1237873000,259422000,-185287000,-185287000,74135000,-9774000,-15363000,64361000,60101000,-20801000,39300000,39300000,39300000,39300000,36491000,36491000,1008369000,1008369000,1110618000,43411000,43411000,2198889000,120980000,1648622000,865512000,756372000,26738000,1769602000,3968491000,802901000,652912000,149989000,888660000,1389908000,274230000,245974000,28256000,1664138000,2552798000,-9.31322574615479e-10,1650900000,-203915000,-31292000,1415693000,1415693000,3968491000,39300000,23547000,-4185000,-36198000,22464000,-2344000,-101855000,83328000,84388000,4997000,4997000,4997000,97682000,1397843000,79941000,0.17326,0.04951,0.02625,0.02776,0.0099,2.03412,2.47439,1.80321,0.35224,0.38535,0.38138,14.68138,13.88125,0.78384,0.01273,0.02589,13.93657,18.36315
"10","2014_Q4",19.44671875,"Down",1618146000,-1340103000,278043000,-184842000,-184842000,93201000,-19602000,-14925000,73599000,76192000,-26058000,50134000,50134000,50134000,50134000,31130000,31130000,1089507000,1089507000,1080857000,48553000,48553000,2250047000,116421000,1602711000,834336000,739338000,29037000,1719132000,3969179000,790399000,617369000,173030000,876146000,1408998000,258801000,234388000,24413000,1667799000,2543945000,0,1654722000,-153781000,-75707000,1425234000,1425234000,3969179000,50134000,25830000,1308000,-94054000,-16782000,-5070000,-3273999.99999999,20158000,17593000,-2463000,-2463000,-2463000,119031000,1416933000,45965000,0.17183,0.0576,0.03098,0.03518,0.01263,0.91684,2.56812,1.78493,0.35698,0.49134,0.4875,15.85858,13.96795,0.45048,0.01617,0.01482,11.64237,14.86897
