"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.86079365079365,"Up",17077004,-10211860,6865144,-6243528,-5024653,-1218875,621616,107277,107277,728893,728893,-298846,430047,430047,430047,430047,-31168668.8867771,24693446.4186166,61043950.7456691,61043950.7456691,5226611.93221228,10450466.1450634,8642983.31859252,45552359.9361676,2916012.96856124,3729365.29951917,977380.181697588,2548103.56027697,6645378.26808041,52197738.2042481,-15587061.7334272,-13184562.9139969,-6291197.41670071,9035799.38334492,2157563.79327696,6363229.27825615,-6551262.35008291,-819422.239411237,-3220117.17788022,903171.786102169,-819417.2947676,-7370679.64485051,25846263.5259393,4325947.79000216,39880253.3608808,-10484046.8277237,59568417.8490986,59568417.8490986,52197738.2042481,430047,394655,1630612,-1963089,492225,-233646,-464607,401043,-289002,-261384,-261384,-261384,1016271,0,-881618,0.40201,0.0364,0.02518,0.393822483408839,0.33227545897414,-2.05005,18.3303339740538,-0.152028154039859,6.35659285598929e-08,0.05978,0.05753,2.37369,8.23546515985226,-0.12254,0.379319507923269,-1.15381105531812,372.871956028436,827.626925375632
"2","2010_Q3",5.6084375,"Down",17753056,-10728926,7024130,-6476008,-5340671,-1135337,548122,-1041.99999999997,-1041.99999999997,547080,547080,-224303,322777,322777,322777,322777,-1520987.44338857,14794512.2093083,32102053.3728345,32102053.3728345,10322567.4661061,6822434.07253172,4115726.65929626,47726067.4680838,8234475.48428062,3216955.64975958,1657050.59084879,1283310.28013849,11451431.1340402,59177498.602124,-3888257.86671361,-4080142.95699845,-1438903.20835036,5231578.19167246,1381807.39663848,3592267.63912808,1343320.32495854,1517069.88029438,-288304.588940112,1056612.89305108,1517072.3526162,2860392.67757474,31988295.2629696,-3495048.60499892,32535013.1804404,-4711153.91386183,56317105.9245493,56317105.9245493,59177498.602124,322777,415142,82413.9999999998,-1111097,-290764,-1131718,-1631718,91653,-418697,-2341179,-2341179,-2341179,963264,0,-1055248,0.39566,0.03087,0.01818,0.17415624170442,0.14688772948707,-3.26928,11.7326269870269,0.0465409229800708,3.17829642799464e-08,0.04421,0.04303,2.43149,7.77383257992613,-0.14453,0.172654753961635,-0.48628052765906,154.685783014218,350.225292687816
"3","2010_Q4",5.6953125,"Up",18329000,-10928429,7400571,-6693565,-5310868,-1382697,707006,24157,24157,731163,731163,61137,792300,792300,792300,792300,14419878.5188705,9533329.40310277,16786742.7909448,16786742.7909448,13226511.488702,4571599.02417724,1778678.55309875,49004731.8226946,11250529.8280935,2904034.54991986,2110164.1969496,474773.426712829,14154564.3780134,63159296.200708,2454761.0444288,846362.681000518,1159581.26388321,3242128.06389082,964300.798879493,2191992.87970936,5696889.10831951,2749443.29343146,1372487.13701996,1127368.96435036,2749444.11753873,8446333.22585825,35461251.7543232,-7900738.20166631,28477843.3934801,-1325393.97128728,54712962.9748498,54712962.9748498,63159296.200708,792300,369881,43055,-357169,848067,-560224,-660224,-81686,-869707,-681864,-681864,-681864,1076887,0,98357,0.40376,0.03857,0.04323,0.0554954139014732,0.0467492431623568,0.12414,8.10550232900897,0.154370307660024,1.05943214266488e-08,0.10802,0.1058,2.49887,7.54687085997538,0.01341,0.0610282513205449,-0.124310175886353,32.9265110047393,84.1948842292721
"4","2011_Q1",6.20338709677419,"Up",17857051,-10480655,7376396,-6597641,-5314530,-1283111,778755,-106725,-155765,672030,776478,-259833,516645,516645,516645,516645,20630367,7720135,11111974,11111974,14404914,3553094,975928,49700349,12541955,2756909,2336721,88799,15298864,64999213,4964720,2748293,2179448,2538503,787988,1750515,7503223,3207396,2060418,1146978,3207396,10710619,37019243,-9840052,26842890,266513,54288594,54288594,64999213,516645,396257,-335718,-279148,298036,-164270,-2646981,23006,-801589,-3150534,-3150534,-3150534,1175012,0,991427,0.41308,0.04361,0.02893,0.00952,0.00795,1.91897,6.62387,0.19729,0,0.07121,0.06968,2.46131,7.48281,0.13665,0.01779,0.01724,-17.55758,-26.49147
"5","2011_Q2",6.38142857142857,"Up",18859989,-11358701,7501288,-6944331,-5476470,-1467861,556957,150320,150320,707277,707277,-275838,431439,431439,431439,431439,21086916,8165166,11091702,11091702,14324245,3622052,1051564,50124915,12686530,2741886,2336721,91693,15428416,65553331,5164344,2778987,2295889,2591757,735813,1855944,7756101,3220626,2073648,1146978,3220626,10976727,37416379,-10261921,26764299,657847,54576604,54576604,65553331,431439,405116,97546,564140,1498241,-443408,-442316,-100864,-610894,445031,445031,445031,962073,0,1358643,0.39774,0.02953,0.02288,0.00791,0.00658,3.1491,6.46264,0.20113,0,0.05937,0.05817,2.59518,7.50988,0.18695,0.01629,0.02351,-21.91821,-37.86094
"6","2011_Q3",6.33203125,"Down",20335676,-12434649,7901027,-6677728,-5490321,-1187407,1223299,296962,296962,1520261,1520261,-474422,1045839,1045839,1045839,1045839,20228597,9540061,12499775,12499775,13902781,3840861,1270148,50472014,12444934,2741829,2336721,109553,15186763,65658777,4649595,2167971,2153523,2764574,710600,2053974,7414169,3221318,2074340,1146978,3221318,10635487,37477697,-10261921,27299572,507942,55023290,55023290,65658777,1045839,411135,-260622,-1501443,-305091,-188019,2044864,145688,-364878,1374895,1374895,1374895,1634434,5.55111512312578e-17,419394,0.38853,0.06016,0.05143,0.01901,0.01593,0.40101,6.80751,0.19329,0,0.1434,0.14074,2.78834,7.54456,0.05751,0.02672,0.0072,-12.37652,-16.5361
"7","2011_Q4",6.23396825396825,"Down",19568599,-11554870,8013729,-6825652,-5564021,-1261631,1188077,-68663,-68663,1119414,1119414,-319428,799986,799986,799986,799986,22031848,10655057,11350148,11350148,13606992,4064654,975769,51053642,12394946,2723045,2336721,108685,15117991,66171633,4943198,2068584,2427542,2528008,595293,1932715,7471206,3539170,2360654,1178516,3539170,11010376,37957307,-10788983,27582855,410078,55161257,55161257,66171633,799986,376215,112835,1593182,2882218,-339440,-1035091,-215428,-732131,1114996,1114996,1114996,1564292,0,3137462,0.40952,0.06071,0.04088,0.0145,0.01209,3.9219,6.83339,0.1996,-3.30872245021211e-24,0.10899,0.1078,2.66599,7.51508,0.42744,0.02243,0.05345,-14.08423,-18.54412
"8","2012_Q1",6.74983870967742,"Up",1959736,-3304780,-1345044,-614289,-208188,-406101,-1959333,-62619,-144619,-2021952,-2702952,1166688,-1536264,854736,854736,854736,23040000,11704000,9339000,9339000,10639000,9460000,830000,52478000,11171000,3413000,795000,2618000,14584000,67062000,5584000,2282000,3229000,2688000,298000,1807000,8272000,3127000,193000,1233000,3127000,11399000,38412000,-10790000,27920000,121000,55663000,55663000,67062000,854736,383534,462241,-303879,1396632,-183133,-137457,1603.99999999994,-210097,1049078,1049078,1049078,-1575799,-8.88178419700125e-16,-3229499,-0.68634,-0.99979,0.43615,0.01536,0.01275,-3.77836,6.34405,0.20479,0,0.11551,0.11477,0.26485,7.52254,-0.43645,0.02334,-0.05493,14.62115,11.7591
"9","2012_Q2",6.90730158730159,"Up",14336000,-8837000,5499000,-5071000,-4087000,-984000,428000,-13000,-13000,415000,415000,144000,559000,837000,837000,837000,23148137,10861141,10832018,10832018,13823976,3659507,972542,51463638,11037353,3413555,2336721,1076834,14450908,65914546,4827510,2445226,2263514,2370244,582178,1788066,7197754,2624816,1783155,841661,2624816,9822570,38654162,-10966237,28236566,167485,56091976,56091976,65914546,837000,342000,175000,-246000,1108000,-491000,-1449000,19000,-501000,-842000,-842000,-842000,770000,0,-111000,0.38358,0.02985,0.05838,0.01492,0.0127,-0.13262,7.14996,0.17512,5.29395592033938e-23,0.11273,0.1118,1.93081,7.55463,-0.01495,0.02311,-0.00189,-30.06252,-54.08443
"10","2012_Q3",6.90396825396825,"Down",14664000,-9107000,5557000,-4993000,-4107000,-886000,564000,-89000,-89000,475000,475000,-187000,288000,987000,987000,987000,22515988,11149600,11577674,11577674,13946054,3650901,962769,51690617,10763175,3350088,2336721,1013367,14113263,65803880,4684793,2142600,2456958,2131693,566525,1565168,6816486,2633229,1774568,858661,2633229,9449715,38754799,-10966237,28701885,-136282,56354165,56354165,65803880,987000,345000,61000,-1396000,-3000,-127000,790000,22000,-499000,288000,288000,288000,909000,0,-427000,0.37896,0.0384600000000001,0.06731,0.01751,0.015,-0.43262,7.58318,0.16768,0,0.13267,0.13175,1.97111,7.57503,-0.0573999999999999,0.02556,-0.00724,-24.77006,-39.92196
