"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",24.8567213114754,"Up",408619000,-310209000,98410000,-170909000,-153174000,-18483000,-72499000,44000,128000,-84000,-72455000,-72455000,-99000,-72554000,-72554000,-72554000,-58122000,415859000,355859000,6e+07,5949000,5949000,19798000,45262000,45262000,486868000,60639000,8016000,1538000,68655000,555523000,190208000,147873000,42384000,15600000,232592000,17392000,17392000,17392000,249984000,364027000,-58122000,-366000,305539000,305539000,555523000,-72554000,7565000,54963000,64988000,54962000,-687000,65114000,39427000,282905000,230404000,324793000,324793000,759000,325552000,-64934000,0,-534000,0.24084,-0.17742,-0.14224,-0.19023,-0.10463,0.00919,2.09323,0.81817,0,-0.72294,-0.72294,5.08252,3.80038,-0.00664,-0.10407,-0.00165,6.40433,5.73607
"2","2015_Q2",32.3642857142857,"Up",424371000,-321536000,102835000,-130081000,-114103000,-15978000,-27246000,156000,264000,-108000,-27090000,-27090000,-46000,-27136000,-27136000,-27136000,-27136000,280295000,206082000,74213000,7958000,7958000,20011000,60980000,60980000,369244000,74983000,7674000,1559000,161964000,531208000,171063000,123336000,49146000,17247000,220209000,28425000,28425000,28425000,248634000,368008000,-85258000,-176000,282574000,282574000,531208000,-27136000,6744000,7873000,-22683000,-35202000,-12051000,6187000,-110097000,15000,-4236000,-149535000,-149535000,-242000,-149777000,-20502000,0,-55190000,0.24232,-0.0642,-0.06394,-0.09603,-0.05108,2.03383,1.67679,0.87989,0,-0.32611,-0.32611,5.1,3.39591,-0.66326,-0.08725,-0.17746,13.67159,10.28757
"3","2015_Q3",38.3553125,"Up",491752000,-370951000,120801000,-140274000,-121944000,-18330000,-19473000,212000,308000,-96000,-19261000,-19261000,-73000,-19334000,-19334000,-19334000,-19334000,287999000,236574000,51425000,7064000,7064000,21321000,65254000,65254000,381638000,76367000,7250000,1378000,162347000,543985000,190788000,148447000,61662000,21743000,252450000,24688000,24688000,24688000,277138000,371855000,-104592000,-416000,266847000,266847000,543985000,-19334000,7400000,7110000,33277000,28453000,-13153000,22689000,5458000,257000,-3329000,30582000,30582000,-90000,30492000,-12073000,0,8124000,0.24565,-0.0396,-0.03932,-0.07245,-0.03554,-0.42019,1.51174,1.03857,0,-0.23126,-0.23126,5.88199,3.19184,0.09717,-0.06632,0.02787,23.8548,14.78966
"4","2015_Q4",42.32046875,"Up",593972000,-452586000,141386000,-160023000,-138914000,-21109000,-18637000,3071000,325000,2746000,-15566000,-15566000,88000,-15478000,-15478000,-15478000,-15478000,325344000,278690000,46654000,9719000,9719000,22552000,75486000,75486000,433101000,88642000,5141000,1242000,168243000,601344000,244635000,192552000,69097000,24070000,313732000,32916000,32916000,32916000,346648000,374878000,-120070000,-112000,254696000,254696000,601344000,-15478000,9207000,5156000,52619000,51504000,-11491000,37034000,-4595000,102000,-4960000,41949000,41949000,167000,42116000,-9430000,-5.82076609134674e-11,31610000,0.23803,-0.03138,-0.02606,-0.06077,-0.02574,-2.04225,1.38048,1.36103,1.0842021724855e-19,-0.18451,-0.18451,7.0807,3.03622,0.37682,-0.05382,0.10991,34.50095,17.45689
"5","2016_Q1",41.4103278688525,"Down",739790000,-564088000,175702000,-191696000,-165883000,-25813000,-15994000,563000,387000,176000,-15431000,-15431000,-64000,-15495000,-15495000,-15495000,-15495000,386071000,334176000,51895000,9906000,9906000,19900000,76446000,76446000,492323000,112325000,10050000,6348000,202258000,694581000,322473000,270913000,74553000,23669000,397026000,55010000,55010000,55010000,452036000,378246000,-135565000,-136000,242545000,242545000,694581000,-15495000,9095000,10906000,85860000,90366000,-7953000,45453000,-28494000,121000,-6091000,55781000,55781000,-295000,55486000,-6899000,0,71072000,0.2375,-0.02162,-0.02095,-0.06389,-0.02231,-4.58677,1.24003,1.86372,0,-0.18402,-0.18402,8.78558,2.88041,0.84404,-0.05207,0.23885,55.96043,24.13849
"6","2016_Q2",39.89015625,"Down",747348000,-568292000,179056000,-221165000,-193815000,-27350000,-42109000,1221000,552000,669000,-40888000,-40888000,-317000,-41205000,-41205000,-41205000,-41205000,309454000,248798000,60656000,11854000,11854000,17763000,85170000,85170000,424241000,162594000,10277000,6772000,243186000,667427000,311623000,251023000,76504000,27813000,388127000,74294000,74294000,74294000,462421000,381748000,-176770000,28000,205006000,205006000,667427000,-41205000,10487000,9559000,-30045000,-51204000,-23927000,24169000,-28247000,51000.0000000002,-6570000,-86021000,-86021000,643000,-85378000,-31622000,9.31322574615479e-10,-85277000,0.23959,-0.05634,-0.05513,-0.20099,-0.06174,2.06958,1.09305,2.25565,-1.73472347597681e-18,-0.48795,-0.48795,8.85012,2.42769,-1.00985,-0.14753,-0.30532,9.78603999999999,7.34888
"7","2016_Q3",40.411875,"Up",786928000,-598414000,188514000,-237244000,-207180000,-30064000,-48730000,777000,531000,246000,-47953000,-47953000,-321000,-48274000,-48274000,-48274000,-48274000,303011000,220299000,82712000,14163000,14163000,17396000,88117000,88117000,422687000,179142000,11612000,8303000,241281000,663968000,339275000,265775000,85866000,32344000,425141000,46887000,46887000,76743000,501884000,387271000,-225044000,-143000,162084000,162084000,663968000,-48274000,12578000,11311000,49288000,24903000,-37509000,31463000,-46612000,79000,-5674000,-27383000,-27383000,-1116000,-28499000,-36152000,29856000,-24052000,0.23956,-0.06192,-0.06134,-0.29783,-0.07271,0.49824,0.99423,3.09644,0.04497,-0.56936,-0.56936,9.28134,1.91168,-0.28368,-0.20213,-0.10071,7.55574,5.60548
"8","2016_Q4",35.9546031746032,"Down",861525000,-659864000,201661000,-263281000,-229409000,-33872000,-61620000,597000,-292000,889000,-61023000,-61023000,83000,-60940000,-60940000,-60940000,-60940000,292815000,208344000,84471000,16689000,16689000,19188000,87417000,87417000,416109000,211285000,15007000,10477000,268010000,684119000,380595000,312306000,92397000,37014000,472992000,71723000,71723000,100623000,573615000,397034000,-285984000,-546000,110504000,110504000,684119000,-60940000,15463000,14184000,46914000,15621000,-20408000,3984000,-22319000,36000,-6016000,-12714000,-12714000,759000,-11955000,-46157000,28900000,-19734000,0.23407,-0.07152,-0.07074,-0.55147,-0.08908,0.32383,0.87974,5.1909,0.04224,-0.71606,-0.71606,10.12308,1.29844,-0.23188,-0.28864,-0.0934700000000001,5.71777,4.28294
"9","2017_Q1",39.5216129032258,"Up",984559000,-745979000,238580000,-282338000,-245741000,-36597000,-43758000,-145000,-97000,-48000,-43903000,-43903000,-53000,-43956000,-43956000,-43956000,-43956000,348583000,279840000,68743000,19113000,19113000,18550000,90845000,90845000,477091000,239354000,14271000,10041000,284592000,761683000,447300000,379493000,109920000,44028000,557220000,96179000,96179000,125079000,682299000,409311000,-329940000,13000,79384000,79384000,761683000,-43956000,17044000,14679000,85727000,73494000,-14863000,27815000,1298000,43000,-2623000,72169000,72169000,-673000,71496000,-26714000,28900000,44203000,0.24232,-0.04444,-0.04465,-0.55371,-0.05771,-1.00562,0.8562,8.59492,0.03794,-0.51367,-0.51367,11.50562,0.92769,0.51656,-0.21498,0.21619,11.96687,7.3057
"10","2017_Q2",59.2863492063492,"Up",960825000,-723942000,236883000,-293089000,-258031000,-35058000,-56206000,-123000,-299000,176000,-56329000,-56329000,-210000,-56539000,-56539000,-56539000,-56539000,276685000,212408000,64277000,21770000,21770000,14457000,119450000,119450000,432362000,263315000,13204000,9255000,309761000,742123000,433348000,362719000,133236000,44911000,566584000,97535000,97535000,139077000,705661000,431898000,-395191000,-245000,36462000,36462000,742123000,-56539000,20352000,13383000,-23294000,-46098000,-11952000,7355000,-20822000,54000,-538000.000000004,-67458000,-67458000,26000,-67432000,-35854000,41542000,-70890000,0.24654,-0.0585,-0.05884,-1.55063,-0.07619,1.25382,0.7631,19.35333,0.05598,-0.65716,-0.65716,11.16771,0.4238,-0.82396,-0.32209,-0.40384,6.55835,4.18359
