"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",46.4332786885246,"Up",543700000,-325100000,218600000,-125900000,-125900000,92700000,-9100000,-8800000,-3e+05,83600000,83600000,-72600000,1.1e+07,9300000,1400000,10700000,10700000,227400000,227400000,2.6e+08,187500000,271900000,233800000,946800000,200200000,853600000,146100000,504900000,124100000,1053800000,2000600000,394700000,211300000,183400000,71900000,71900000,490500000,1.272e+09,273100000,75800000,1545100000,2035600000,29500000,1e+06,-95600000,-66100000,31100000,-3.5e+07,2000600000,1.1e+07,9300000,11900000,66300000,33500000,-8200000,-64600000,-31100000,-5200000,1339100000,1300000,0,-1503700000,-168500000,-133300000,-133300000,-7800000,-141100000,104600000,1343900000,0.40206,0.1705,0.01968,-0.30571,0.00535,1.93028,-58.16,0.67175,0.11146,0.111,5.66354,-0.68854,0.05417,0.01005,0.48598,10.674,12.04423
"2","2014_Q2",48.6806349206349,"Up",466600000,-274400000,192200000,-124400000,-124400000,67800000,-1.3e+07,-13100000,1e+05,54800000,54800000,-16400000,38400000,37600000,-1800000,35800000,35800000,205400000,205400000,284100000,167200000,257200000,257200000,913900000,208900000,855100000,143500000,507100000,204500000,1.064e+09,1977900000,3.91e+08,213600000,177400000,70500000,70500000,461500000,1264400000,280300000,280300000,1544700000,2006200000,21400000,1e+06,-81800000,-60400000,32100000,-28300000,1977900000,38400000,37600000,12200000,-9e+05,-9200000,-9200000,2e+05,-14300000,-7200000,-8000000.00000024,0,-7.45058059692383e-09,11799999.9999998,-3400000,-18600000,-18600000,-3400000,-2.2e+07,8e+07,1334900000,0.41192,0.14531,0.07673,-1.26502,0.0181,1.98028,-70.8904599999999,0.67491,0.37175,0.36756,4.84528,-0.62721,0.07477,0.0271,0.20112,14.11875,16.65929
"3","2014_Q3",48.575625,"Down",531500000,-305500000,2.26e+08,-136700000,-136700000,89300000,-11500000,-12500000,1e+06,77800000,77800000,-23100000,54700000,46700000,-3500000,43200000,43200000,193200000,193200000,295600000,174100000,224700000,220800000,887600000,210300000,870200000,144900000,517800000,207500000,1080500000,1968100000,406700000,219800000,186900000,30700000,30700000,437400000,1256900000,2.85e+08,2.85e+08,1541900000,1979300000,6600000,1e+06,-48800000,-42200000,3.1e+07,-11200000,1968100000,54700000,46700000,12200000,64700000,-16800000,-16800000,40600000,6100000,-7700000,-47200000,-30300000,-30300000,2800000,-82400000,-11600000,-11600000,-6e+05,-12200000,101500000,1287600000,0.42521,0.16802,0.08128,-3.85714,0.02195,2.02926,-176.72321,0.65424,0.4486,0.44399,5.51921,-0.43821,0.07996,0.0326,0.17824,10.78227,12.25532
"4","2014_Q4",48.18890625,"Down",546700000,-310100000,236600000,-130500000,-130500000,106100000,-10700000,-12700000,2e+06,95400000,95400000,-27300000,68100000,66100000,-5300000,60800000,60800000,251400000,251400000,287300000,180700000,214600000,214600000,9.34e+08,212500000,845700000,133100000,509900000,202700000,1058200000,1992200000,433900000,222900000,2.11e+08,30300000,30300000,464200000,1249200000,272800000,272800000,1.522e+09,1986200000,3600000,1e+06,-34300000,-30700000,36700000,6e+06,1992200000,68100000,66100000,12100000,108200000,-13800000,-13800000,1100000,-12700000,-7700000,-7899999.99999999,-2e+07,-2e+07,8e+05,-34800000,60700000,60700000,-2500000,58200000,118200000,1279500000,0.43278,0.19407,0.11121,10.13333,0.03052,2.01206,331.03333,0.64225,0.63399,0.62745,5.70073,-0.32013,0.08029,0.04396,0.12664,8.69797,9.68992
"5","2015_Q1",53.1368852459016,"Up",573500000,-374600000,198900000,-135800000,-135800000,63100000,-23200000,-15500000,-7700000,39900000,39900000,-17400000,22500000,22200000,13200000,35400000,35400000,290500000,290500000,230400000,169300000,311500000,22900000,1001700000,207200000,8.07e+08,125400000,484400000,1.25e+08,1014200000,2015900000,449400000,175600000,273800000,49600000,49600000,532500000,1.215e+09,249900000,70900000,1464900000,1997400000,1e+06,1e+06,-5800000,-4800000,23300000,18500000,2015900000,22500000,22200000,12300000,83900000,-11200000,-11700000,-1700000,-13900000,-11900000,-14900000,14100000,0,-16700000,-29400000,40600000,40600000,-1500000,39100000,75400000,1264600000,0.34682,0.11003,0.06173,1.91351,0.01756,1.88113,107.96757,0.62731,0.36913,0.3642,5.98019,-0.05005,0.12409,0.03085,0.33616,12.9191,15.4374
"6","2015_Q2",57.1,"Up",458700000,-271600000,187100000,-116100000,-116100000,7.1e+07,-14700000,-11600000,-3100000,56300000,56300000,-12400000,43900000,43700000,1700000,45400000,45400000,229600000,229600000,255800000,184900000,233400000,233400000,903700000,206300000,817400000,111700000,498600000,207100000,1023700000,1927400000,432700000,231500000,201200000,49400000,49400000,482100000,1202700000,241100000,241100000,1443800000,1925900000,6100000,1e+06,-25900000,-19800000,21300000,1500000.00000001,1927400000,43900000,43700000,12100000,4400000,-9400000,-9400000,4e+06,-14400000,-9500000,-12400000,-3e+07,-3e+07,5200000,-46700000,-56700000,-56700000,-4200000,-60900000,83100000,1252100000,0.40789,0.15479,0.09898,30.26667,0.02356,1.87451,1283.93333,0.64963,0.47341,0.46852,4.78311,-0.20647,0.09906,0.03673,0.20925,12.30445,14.40141
"7","2015_Q3",56.89109375,"Down",519500000,-297700000,221800000,-126100000,-126100000,95700000,-11700000,-11300000,-4e+05,8.4e+07,8.4e+07,-1.9e+07,6.5e+07,6.5e+07,-1100000,63900000,63900000,2.01e+08,2.01e+08,274700000,205900000,241600000,241600000,923200000,207800000,858600000,122500000,527500000,208600000,1066400000,1989600000,417200000,233800000,183400000,61800000,61800000,4.79e+08,1190500000,247400000,247400000,1437900000,1916900000,13300000,1e+06,3.4e+07,47300000,25400000,72700000,1989600000,6.5e+07,6.5e+07,12700000,28800000,-9200000,-9200000,1e+05,-52100000,-9600000,2e+05,0,0,3500000,-5900000,-29200000,-29200000,6e+05,-28600000,108400000,1252300000,0.42695,0.18422,0.123,0.87895,0.03212,1.92735,26.36726,0.62942,0.66701,0.66081,5.42276,0.49374,0.10021,0.04674,0.15023,9.69834,10.98537
"8","2015_Q4",59.88015625,"Up",544500000,-304500000,2.4e+08,-129600000,-129600000,110400000,-10500000,-13700000,3200000,99900000,-6800000,-19400000,-26200000,-26400000,-9e+05,-27300000,-27300000,175200000,175200000,273100000,216300000,211100000,56800000,875700000,227900000,1305400000,260300000,823400000,221700000,1533300000,2.409e+09,458200000,180200000,2.78e+08,5.9e+07,5.9e+07,517200000,1575900000,287900000,287900000,1863800000,2.381e+09,18900000,1e+06,-4400000.00000001,14500000,13500000,2.8e+07,2.409e+09,-26200000,-26400000,12700000,92300000,-8700000,-8700000,-1400000,-467900000,-9600000,379600000,0,0,-16500000,353500000,-22100000,-22100000,-3700000,-25800000,123100000,1634900000,0.44077,0.20275,-0.05014,-0.975000000000008,-0.01133,1.69316,85.0357099999998,0.67866,-0.28467,-0.28467,5.67779,0.1512,0.1001,-0.00907000000000001,-0.35165,11.85784,13.22192
"9","2016_Q1",57.2055737704918,"Down",545400000,-325200000,220200000,-138700000,-138700000,81500000,-8200000,-16300000,8100000,73300000,75800000,-3800000,7.2e+07,7.2e+07,-1e+05,71900000,71900000,199700000,199700000,303400000,204100000,27900000,17400000,735100000,224800000,1303100000,372400000,714100000,124700000,1527900000,2.263e+09,372400000,175100000,197300000,65600000,65600000,447100000,1457500000,328700000,63300000,1786200000,2233300000,25400000,1e+06,2e+05,25600000,4100000,29700000,2.263e+09,7.2e+07,7.2e+07,15700000,131500000,-7600000,-7900000,-2700000,6e+05,-29600000,-89100000,1.1e+07,0,1800000,-105900000,26200000,26200000,-1700000,24500000,97200000,1523100000,0.40374,0.14943,0.13183,2.42088,0.03177,1.64415,75.19529,0.67304,0.74896,0.73293,5.68125,0.26667,0.30833,0.05395,0.41168,13.61523,16.23804
"10","2016_Q2",62.294375,"Up",502300000,-2.86e+08,216300000,-133800000,-133800000,82500000,-7500000,-16300000,8800000,7.5e+07,7.5e+07,-16200000,58800000,58800000,-1100000,57700000,57700000,125500000,125500000,325800000,216500000,42600000,42600000,710400000,226100000,1333500000,384500000,727200000,221800000,1559600000,2.27e+09,3.57e+08,162300000,194700000,49100000,49100000,406100000,1446900000,339300000,339300000,1786200000,2192300000,2100000,1e+06,71600000,73700000,4e+06,77700000,2.27e+09,58800000,58800000,16400000,-799999.999999985,-7400000,-7400000,-2e+06,-2800000,-11400000,-28300000,-3e+07,-3e+07,-5100000,-74800000,-78400000,-78400000,4200000,-74200000,98900000,1.496e+09,0.43062,0.16424,0.11487,0.7426,0.02542,1.74932,28.21493,0.65903,0.60167,0.59546,5.23775,0.76851,0.11887,0.03612,0.19757,13.85743,16.61212
