"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.6171428571429,"Down",1480784000,-1397807000,82977000,-21865000,-21865000,61112000,5107000,-975000,4378000,1704000,66219000,66219000,-16465000,49754000,49867000,-4085000,45782000,45782000,-5319120558.82263,-5319120558.82263,1193502278.3594,1193502278.3594,1876248670.1585,-334628477.072015,543755808.867882,-2249369610.30473,216417561.77301,-1128820249.37193,8706791.68709865,-311884616.277532,-846666884.746754,-6376951.42448629,27401411.4140284,-912402687.598917,-3161772297.90364,-2672539216.67343,-1744219010.44253,-928320206.230899,-64035282.2297874,552459791.685933,552459791.685933,-2184114707.21729,-3184633659.25682,207732978.707826,140063832.94066,-2976900680.54899,-5161015387.76628,1961179158.2568,378399779.94464,-425067533.91448,1934548587.09647,64694502.7661657,1999243089.86263,-3161772297.90364,49867000,22340000,9332000,-111885000,-34573000,-14520000,4768000,-23553000,14955000,2845000,4067000,-1222000,-205000,17595000,-40531000,-40531000,2703000,-37828000,83452000,0,-26488000,0.05604,0.04127,0.03092,-0.0363675337180685,0.0139281458701863,-0.57857,2.20969060820302,-2.67305368914999,-0.682173724827802,0.40443,0.39984,13.08113,14.0726414107067,-0.23399,0.0268768832836383,0.0530430847849739,15.6850761704672,31.1371589665561
"2","2010_Q3",23.71203125,"Down",1601166000,-1493271000,107895000,-27898000,-27898000,79997000,2895000,-2385000,3451000,1829000,82892000,82892000,-21048000,61844000,61654000,-3165000,58489000,58489000,-1464683852.94088,-1464683852.94088,1569480759.45313,1569480759.45313,698997223.386168,6600840.97599506,190611602.955961,803794129.898424,206420187.25767,366106916.876024,22826263.8956995,463685461.240823,-171748961.582251,12477016.1918379,38867137.1380095,572527104.133694,1376321234.03212,-13859072.2244768,-293260670.14751,279401597.923034,-6171427.40992912,402695930.561978,402695930.561978,382665430.927572,-1146876553.08561,182101326.235942,163595944.313553,-964775226.849664,-582109795.922092,1634821719.41893,496364259.981547,-229733177.971493,1909913195.69882,48517834.2553886,1958431029.95421,1376321234.03212,61654000,18164000,-268000,-131458000,-51908000,-12947000,422999.999999996,-13524000,12255000,-7505000,3278000,-10783000,14423000,19173000,-46259000,-46259000,-140999.999999998,-46400000,98161000,0,-25195999.9999999,0.06739,0.04996,0.03653,0.0135074887606438,0.0173460486233954,-0.43078,1.67023020273434,-0.279867896383331,-0.223414574942601,0.51396,0.5086,14.07,15.9931738035689,-0.22141,0.0301089610945461,0.088191028261658,1.99986539015573,5.73592298885204
"3","2010_Q4",26.4890625,"Up",1635183000,-1520118000,115065000,-28327000,-28327000,86738000,4562000,-1126000,5941000,-253000,91300000,91300000,-22665000,68635000,68635000,-3793000,64842000,64842000,241843000,241843000,1902633000,1902633000,233469000,145241000,52039000,2377945000,226143000,1395752000,62514000,1148629000,92805000,33194000,58610000,1621895000,3999840000,1207504000,397920000,809584000,15151000,343828000,343828000,1566483000,173640000,244118000,244118000,417758000,1984241000,1541497000,583355000,-156599000,1970694000,44905000,2015599000,3999840000,68635000,17241000,-10421000,54775000,130230000,-7711000,797000,-36314000,-11527000,5399000,5724000,-325000,6870000,742000,94658000,94658000,-7325000,87333000,103979000,188791000,173708000,0.07037,0.05304,0.03965,0.03217,0.01621,2.67894,1.51802,0.98444,0.0472,0.56631,0.56092,14.28107,17.18998,1.5171,0.02648,0.07094,-0.51022,-0.61164
"4","2011_Q1",27.8006451612903,"Up",1828658000,-1704324000,124334000,-32373000,-32373000,91961000,8745000,-5442000,7217000,6970000,100706000,100706000,-31518000,69188000,69188000,-1414000,67774000,67774000,570521000,570521000,2170188000,2170188000,205790000,157840000,42336000,2946499000,258784000,2037626000,108645000,1690386000,105030000,53235000,80330000,2296410000,5242909000,1493860000,589076000,904784000,16441000,341959000,341959000,1852260000,914686000,337494000,337494000,1252180000,3104440000,1586197000,651105000,-147521000,2090012000,48457000,2138469000,5242909000,69188000,21154000,36913000,-12369000,114886000,-33312000,-22464000,-541136000,734437000,-4098000,743000.000000001,-4841000,2730000,733069000,306819000,306819000,12156000,318975000,113115000,931127000,98952000,0.06799,0.05029,0.03706,0.03169,0.01293,1.46003,1.59076,1.45171,0.1776,0.58488,0.5805,15.78116,18.03463,0.85395,0.01989,0.02904,3.18796,3.92129
"5","2011_Q2",27.0373015873016,"Down",1936183000,-1830848000,105335000,-23262000,-23262000,82073000,513000,-9872000,8097000,2288000,82586000,82586000,-20503000,62083000,62083000,-5215000,56868000,56868000,349120000,349120000,2315592000,2315592000,319552000,126608000,72118000,2984264000,282436000,2353340000,137863000,2007684000,40319000,69674000,97800000,2635776000,5620040000,1372763000,553619000,819144000,18893000,358262000,358262000,1749918000,1187591000,393135000,387988000,1580726000,3330644000,1663931000,707971000,-135285000,2236617000,52779000,2289396000,5620040000,62083000,29843000,-144444000,-126827000,-179345000,-16019000,-35492000,-350242000,329636000,-54478000,8983000,-63461000,58989000,334147000,-195440000,-195440000,3821000,-191619000,111916000,1206484000,-10427000,0.0544,0.04239,0.02937,0.02484,0.01012,-0.18335,1.70537,1.45481,0.21468,0.48193,0.47748,16.40833,18.95438,-0.08836,0.01462,-0.00268,7.66078,10.44636
"6","2011_Q3",22.0121875,"Down",1936421000,-1836686000,99735000,-23608000,-23608000,76127000,2772000,-10014000,11330000,1456000,78899000,78899000,-19239000,59660000,59660000,-1945000,57715000,57715000,347701000,347701000,2316074000,2316074000,300881000,128093000,55683000,2964656000,280297000,2420405000,131043000,2047963000,56707000,79972000,104720000,2700702000,5665358000,1346523000,551302000,795221000,39016000,358840000,358840000,1744379000,1130125000,354752000,351464000,1484877000,3229256000,1679691000,765686000,-61747000,2383630000,52472000,2436102000,5665358000,59660000,27311000,38943000,-92604000,33310000,-16088000,1068000,-19427000,-40073000,1122999.99999999,4292000,-3169000,1245999.99999999,-37704000,-23821000.0000001,-23821000.0000001,5967000,-17854000,103438000,1169141000,13985000,0.0515,0.03931,0.0298,0.02369,0.01019,0.24231,1.69955,1.32558,0.20637,0.49203,0.48787,16.50828,20.3208,0.11922,0.01457,0.00353,7.94138,10.79039
"7","2011_Q4",19.9504761904762,"Down",2046725000,-1925486000,121239000,-23560000,-23560000,97679000,211000,-10452000,12248000,-1585000,97890000,97890000,-23959000,73931000,73931000,-97000,73834000,73834000,354724000,354724000,2474039000,2474039000,263622000,129850000,26743000,3092385000,303331000,2490915000,128386000,2120527000,55358000,83655000,102989000,2794246000,5886631000,1424275000,596420000,827855000,30628000,361796000,361796000,1816699000,1165363000,368343000,366809000,1533706000,3350405000,1694324000,839520000,-52534000,2481310000,54916000,2536226000,5886631000,73931000,28091000,12772000,-98883000,15911000,-15176000,-3706000,-11975000,-34649000,5318000,5366000,-48000,-88000,-29419000,-25483000,-25483000,3566000,-21917000,125770000,1195991000,35670000,0.05924,0.04772,0.03607,0.02911,0.01254,0.48311,1.7022,1.32102,0.20317,0.62624,0.62098,17.35984,21.04589,0.30254,0.01801,0.0087,6.68893,8.61257
"8","2012_Q1",22.5482258064516,"Up",2118045000,-1977652000,140393000,-19868000,-19868000,120525000,4280000,-11713000,13144000,2849000,124805000,124805000,-36389000,88416000,88416000,-1033000,87383000,87383000,349868000,349868000,2380181000,2380181000,260017000,100575000,107072000,2990066000,323826000,2475436000,119140000,2086330000,82966000,71124000,115876000,2799262000,5789328000,1471801000,679111000,792690000,17746000,324899000,324899000,1814446000,1144723000,435022000,435022000,1579745000,3394191000,1700339000,826946000,-187574000,2339711000,55426000,2395137000,5789328000,88416000,25061000,-16460000,165119000,262136000,-30708000,-7951000,-40273000,-31657000,-30663000,2659000,-33322000,-67244000,-129564000,92299000,92299000,-16826000,75473000,145586000,1162469000,316386000,0.06628,0.0569,0.04126,0.03648,0.01509,3.62068,1.64792,1.41712,0.2008,0.75082,0.74635,18.19876,20.10337,2.71847,0.02189,0.07924,5.58159,6.74218
"9","2012_Q2",18.2831746031746,"Down",2029180000,-1938834000,90346000,-22611000,-22611000,67735000,267000,-10614000,8962000,1919000,68002000,68002000,-19578000,48424000,48424000,-493000,47931000,47931000,420837000,420837000,2513914000,2513914000,253164000,104819000,86649000,3187915000,333585000,2473115000,113514000,2097855000,73666000,66888000,121192000,2806700000,5994615000,1477703000,739394000,738309000,23806000,381448000,381448000,1882957000,1217729000,419954000,419954000,1637683000,3520640000,1713595000,867605000,-168894000,2412306000,61669000,2473975000,5994615000,48424000,25548000,9860000,-90258000,-6426000,-18284000,363000,-21621000,78970000,-317000,6954000,-7271000,-5955000,72698000,44651000,44651000,5895000,50546000,93283000,1241535000,4319000,0.04452,0.03338,0.02362,0.01937,0.008,0.09011,1.69304,1.42307,0.20711,0.42045,0.41825,17.79982,21.16058,0.03789,0.01159,0.00104,8.79794,12.11631
"10","2012_Q3",18.3639682539683,"Up",2010951000,-1934834000,76117000,-19857000,-19857000,56260000,10165000,-11935000,16898000,5202000,66425000,66425000,-16769000,49656000,49656000,-662000,48994000,48994000,378494000,378494000,2554224000,2554224000,234758000,109196000,87168000,3167476000,331375000,2514381000,108796000,2125304000,73614000,83489000,123178000,2845756000,6013232000,1460100000,712939000,747161000,88689000,387465000,387465000,1936254000,1172279000,414397000,414397000,1586676000,3522930000,1726032000,849169000,-141371000,2433830000,56472000,2490302000,6013232000,49656000,25260000,-7355000,-56137000,11424000,-13921000,4213000,-19776000,17508000,-57747000,3508000,-61255000,2754999.99999999,-37484000,-45836000,-45836000,4012000,-41824000,81520000,1260968000,28231000,0.03785,0.02798,0.02436,0.01967,0.00815,0.57621,1.63588,1.41466,0.2097,0.43205,0.42864,17.73325,21.46235,0.24895,0.01176,0.00678,10.82525,15.68564
