"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",19.3057142857143,"Up",105538000,-74026000,31512000,-15267000,-10583000,-2446000,-8137000,-3505000,-1179000,16245000,-155000,-179000,-179000,24000,16090000,16090000,-5005000,11085000,11048000,11048000,11048000,3048000,3048000,9800000,9800000,7569000,2201000,2201000,22618000,104745000,69461000,35073000,24293000,9382000,713000,174206000,196824000,28506000,8672000,19834000,42341000,31405000,10936000,70847000,1.4e+07,24221000,24221000,38221000,109068000,96132000,-8376000,87756000,87756000,196824000,11048000,3505000,2172000,4978000,21703000,-7170000,-7170000,-1.1e+07,-1468000,-15273000,-740000,-740000,-740000,19750000,1.4e+07,22563000,0.29858,0.15393,0.10468,0.12589,0.05613,2.04227,0.31925,1.24286,0.07113,0.36134,0.3535,3.45175,2.87017,0.73795,7,0.11042,0.1791,0.55453,0.67418
"30","2017_Q3",18.5980952380952,"Down",100015000,-73119000,26896000,-15351000,-11447000,-3413000,-8034000,-3731000,-173000,11545000,-130000,-145000,-145000,15000,11415000,11415000,-3611000,7804000,7811000,7811000,7811000,5228000,5228000,8786000,8786000,7554000,2669000,2669000,24237000,103431000,69015000,35050000,24293000,9008000,664000,172446000,196683000,26870000,8542000,18328000,38044000,28957000,9087000,64914000,2.1e+07,24212000,24212000,45212000,110126000,89984000,-3427000,86557000,86557000,196683000,7811000,3731000,2205000,-4266000,9481000,-3479000,-3479000,7e+06,-309000,-3822000,2180000,2180000,2180000,15276000,2.1e+07,11142000,0.26892,0.11543,0.0781,0.09024,0.03971,1.42645,0.37337,1.27229,0.10677,0.25569,0.24989,3.274,2.83345,0.36473,8,0.081,0.08456,1.03247,1.36613
"31","2017_Q4",19.4190476190476,"Up",85167000,-67913000,17254000,-14267000,-10293000,-3197000,-7096000,-3853000,-121000,2987000,-203000,-197000,-197000,-6000,2784000,2784000,-1016000,1768000,1697000,1697000,1697000,4862000,4862000,9789000,9789000,7247000,2232000,2232000,24130000,103518000,65424000,35036000,24293000,5452000,643000,168942000,193072000,25896000,7642000,18254000,32445000,27483000,4962000,58341000,3e+07,24362000,24362000,54362000,112703000,84944000,-4575000,80369000,80369000,193072000,1697000,3853000,5288000,-6932000,3906000,-3677000,-3677000,9e+06,-715000,-595000,-366000,-366000,-366000,6840000,3e+07,-2753000,0.20259,0.03507,0.01993,0.02112,0.00879,-1.62227,0.4136,1.40232,0.15538,0.05592,0.05544,2.80633,2.64823,-0.09071,6,0.0337,-0.02043,3.67515,8.4158
"32","2018_Q1",21.8591803278689,"Up",124103000,-86747000,37356000,-17547000,-13101000,-3668000,-9433000,-3906000,-540000,19809000,-280000,-3e+05,-3e+05,20000,19529000,15625000,-6037000,9588000,9581000,9581000,9581000,4051000,4051000,21626000,21626000,8688000,2680000,2680000,37045000,112212000,92839000,50726000,36522000,4947000,644000,205051000,242096000,37616000,10510000,27106000,50909000,42596000,8313000,88525000,5e+07,24067000,24067000,74067000,162592000,77313000,2191000,79504000,79504000,242096000,9581000,3906000,6121000,13995000,33603000,-6929000,-42286000,2e+07,-1.16415321826935e-10,7872000,-811000,-811000,-811000,23715000,5e+07,36818000,0.30101,0.15962,0.0772,0.12051,0.03958,3.84281,0.41847,2.04508,0.20653,0.32026,0.31368,4.14834,2.65754,1.2307,5,0.08072,0.23975,1.93755,2.3196
"33","2018_Q2",25.09921875,"Up",116526000,-83084000,33442000,-17054000,-12453000,-3477000,-8976000,-4461000,-140000,16388000,-368000,-380000,-380000,12000,16020000,16020000,-2384000,13636000,13646000,13646000,13646000,2168000,2168000,13127000,13127000,8368000,2476000,2476000,26139000,112474000,93198000,50210000,36522000,5843000,623000,205672000,231811000,29089000,7384000,21705000,44679000,36579000,8100000,73768000,4.3e+07,27454000,27454000,70454000,144222000,77467000,10122000,87589000,87589000,231811000,13646000,4461000,1732000,-4140000,15699000,-5505000,-5505000,-7e+06,-1696000,-12077000,-1883000,-1883000,-1883000,20849000,4.3e+07,13588000,0.28699,0.14064,0.11711,0.1558,0.05887,0.99575,0.35434,1.64658,0.1855,0.45962,0.44912,3.92477,2.95013,0.45766,6,0.10779,0.08598,1.95846,2.49158
"34","2018_Q3",28.0655555555556,"Up",109634000,-79072000,30562000,-18857000,-13912000,-4640000,-9272000,-4673000,-272000,11705000,-381000,-403000,-403000,22000,11324000,11324000,-1763000,9561000,9573000,9573000,9573000,3045000,3045000,10800000,10800000,8105000,2971000,2971000,24921000,114748000,93727000,50848000,36522000,5754000,603000,208475000,233396000,29489000,8118000,21371000,38563000,33812000,4751000,68052000,5e+07,27555000,27555000,77555000,145607000,71491000,16298000,87789000,87789000,233396000,9573000,4673000,2157000,-3569000,12834000,-6384000,-7555000,7e+06,-2063000,-4402000,877000,877000,877000,16378000,5e+07,8188000,0.27876,0.10676,0.08732,0.10905,0.04102,0.85532,0.36621,1.6586,0.21423,0.32217,0.31521,3.68966,2.95448,0.27556,6,0.07844,0.04952,2.86696,4.01153
"35","2018_Q4",24.8055555555556,"Down",99015000,-76066000,22949000,-18095000,-12621000,-3813000,-8808000,-4628000,-846000,4854000,-535000,-470000,-470000,-65000,4319000,4319000,-726000,3593000,3601000,3601000,3601000,4877000,4877000,11332000,11332000,7989000,2393000,2393000,26591000,120813000,92367000,50314000,36522000,4949000,582000,213180000,239771000,28446000,6537000,21909000,40335000,36794000,3541000,68781000,5.4e+07,27704000,27704000,81704000,150485000,72776000,16510000,89286000,89286000,239771000,3601000,4628000,2717000,1063000,12009000,-10224000,-10224000,4e+06,-583000,47000,1832000,1832000,1832000,9482000,5.4e+07,1047000,0.23177,0.04902,0.03637,0.04033,0.01502,0.29075,0.3866,1.68543,0.22521,0.12116,0.11862,3.33154,3.00419,0.03523,7,0.04088,0.00612,5.18066,10.12011
"36","2019_Q1",23.0447540983607,"Down",127159000,-88148000,39011000,-20299000,-14906000,-4709000,-10197000,-4776000,-617000,18712000,-528000,-486000,-486000,-42000,18184000,18184000,-3374000,14810000,14860000,14860000,14860000,5062000,5062000,19476000,19476000,9296000,2528000,2528000,36362000,125991000,92260000,49781000,36522000,5353000,603999.999999996,218251000,254613000,40283000,10273000,30010000,54989000,48370000,6619000,95272000,4.1e+07,28209000,28209000,69209000,164481000,62112000,28020000,90132000,90132000,254613000,14860000,4776000,1543000,16573000,37752000,-9794000,-8623000,-1.3e+07,-1.16415321826935e-10,-28944000,185000,185000,185000,23488000,4.1e+07,33641000,0.30679,0.14715,0.11686,0.16487,0.05836,2.26386,0.38167,1.82489,0.16103,0.5035,0.49558,4.30848,3.05391,1.13984,7,0.11429,0.21113,1.53006,1.92059
"37","2019_Q2",23.167619047619,"Up",119741000,-85451000,34290000,-17447000,-12380000,-3629000,-8751000,-4969000,-98000,16843000,-403000,-405000,-405000,2000,16440000,16440000,-2529000,13911000,13911000,13911000,13911000,3116000,3116000,12211000,12211000,8476000,3068000,3068000,26871000,125637000,257515000,48508000,36522000,5671000,166814000,383152000,410023000,28212000,9129000,19083000,62848000,42506000,20342000,91060000,3.9e+07,181314000,181314000,220314000,311374000,61946000,36703000,98649000,98649000,410023000,13911000,4969000,2149000,-8950000,12079000,-5860000,-5860000,-2e+06,-1630000,-8165000,-1946000,-1946000,-1946000,21812000,3.9e+07,9531000,0.28637,0.14066,0.11618,0.14102,0.03393,0.68514,0.29509,3.15638,0.09512,0.47518,0.4652,4.09014,3.36968,0.32556,4,0.05605,0.02988,1.64515,2.1305
"38","2019_Q3",19.86984375,"Down",110243000,-80179000,30064000,-18418000,-13052000,-4122000,-8930000,-5123000,-243000.000000002,11646000,-404000,-417000,-417000,13000,11242000,11242000,-1933000,9309000,9309000,9309000,9309000,3148000,3148000,15576000,15576000,8545000,3099000,3099000,30368000,129010000,282613000,48029000,36522000,5642000,192420000,411623000,441991000,32330000,8819000,23511000,56080000,40108000,15972000,88410000,4.5e+07,210470000,210470000,255470000,343880000,56030000,42081000,98111000,98111000,441991000,9309000,5123000,2150000,-5506000,11076000,-5095000,-5095000,6e+06,-1446000,-5949000,32000.0000000005,32000.0000000005,32000.0000000005,16769000,4.5e+07,8101000,0.27271,0.10564,0.08444,0.09488,0.02106,0.87023,0.34349,3.50501,0.10181,0.31823,0.31413,3.76865,3.35392,0.27693,5,0.03745,0.02291,2.4958,3.59368
"39","2019_Q4",21.1059375,"Up",103009000,-80032000,22977000,-17405000,-11509000,-3174000,-8335000,-5361000,-535000,5572000,-620000,-638000,-638000,18000,4952000,4952000,-424000,4528000,4528000,4528000,4528000,3308000,3308000,16584000,16584000,8873000,2568000,2568000,31333000,137771000,301605000,55026000,45549000,4806000,196224000,439376000,470709000,29492000,8860000,20632000,57897000,40999000,16898000,87389000,8.3e+07,213609000,213609000,296609000,383998000,43955000,42756000,86711000,86711000,470709000,4528000,5361000,2871000,-5101000,7659000,-8909000,-27522000,3.8e+07,-679000,20023000,160000,160000,160000,10933000,8.3e+07,-2653000,0.22306,0.05409,0.04396,0.05222,0.00962,-0.58591,0.35855,4.42848,0.17633,0.1564,0.15532,3.55797,2.99503,-0.09164,5,0.02187,-0.00692,7.28912,14.30223
"40","2020_Q1",16.7303225806452,"Down",135033000,118065000,253098000,-234698000,-13134000,-4507000,-8627000,-5901000,-215663000,18400000,-655000,-737000,-737000,82000,17745000,17745000,-3287000,14458000,14458000,14458000,14458000,5567000,5567000,23769000,23769000,9623000,3052000,3052000,42011000,142962000,311903000,54365000,45549000,4929000,207060000,454865000,496876000,41475000,13598000,27877000,71406000,52856000,18550000,112881000,6.4e+07,225850000,225850000,289850000,402731000,40746000,53399000,94145000,94145000,496876000,14458000,5901000,1910000,19827000,42096000,-11804000,-11804000,-1.9e+07,-1000,-28033000,2259000,2259000,2259000,24301000,6.4e+07,35611000,1.87434,0.13626,0.10707,0.15357,0.0291,2.46307,0.37217,4.27777,0.1288,0.50705,0.5017,4.73571,3.30174,1.24891,6,0.04758,0.09274,2.40455,3.17571
"41","2020_Q2",8.47111111111111,"Down",108536000,-86180000,22356000,-17768000,-11469000,-3438000,-8031000,-5822000,-477000,4588000,-595000,-628000,-628000,33000,3993000,-4704000,886000,-3818000,-3818000,-3818000,-3818000,70792000,70792000,8642000,8642000,8450000,2913000,2913000,90797000,140967000,304096000,50379000,45549000,6901000,201267000,445063000,535860000,23583000,7616000,15967000,67756000,47403000,20353000,91339000,1.45e+08,225440000,225440000,370440000,461779000,28928000,45153000,74081000,74081000,535860000,-3818000,5822000,8813000,-4252000,6565000,-3928000,-3928000,8.1e+07,-758000,62588000,65225000,65225000,65225000,10410000,1.45e+08,1344000,0.20598,0.04227,-0.03518,-0.05154,-0.00712,-0.35202,0.99407,6.23343,0.27059,-0.13497,-0.13497,3.83692,2.61888,0.04751,4,0.00137,0.00302,7.12853,16.17437
"42","2020_Q3",8.776875,"Up",28417000,-34304000,-5887000,-14378000,-8551000,-1487000,-7064000,-5523000,-304000.00000006,-20265000,-1288000,-1291000,-1291000,2999.99999999999,-21553000,-25348000,7750000,-17598000,-17598000,-17598000,-17598000,96127000,96127000,11441000,11441000,7754000,4155000,4155000,119477000,134890000,312662000,49786000,45549000,8085000,209242000,447552000,567029000,28901000,6648000,22253000,65268000,48226000,17042000,94169000,135200000,230032000,230032000,365232000,459401000,80073000,27555000,107628000,107628000,567029000,-17598000,5523000,5117000,-2339000,-9296999.99999999,-4274000,-4274000,-9799999.99999999,-876000,38906000,25335000,25335000,25335000,-14742000,135200000,-29105000,-0.20716,-0.71313,-0.61928,-0.16351,-0.03104,1.65388,1.26875,4.26842,0.23844,-0.58755,-0.58755,0.94877,3.59343,-0.97174,2,-0.03722,-0.06155,-2.65045,-1.9281
"43","2020_Q4",13.64890625,"Up",63423000,-51303000,12120000,-13652000,-7933000,-360000,-7573000,-5315000,-404000,-1532000,-1470000,-1422000,-1422000,-48000,-3002000,-6585000,1284000,-5301000,-5301000,-5301000,-5301000,103107000,103107000,14395000,14395000,7278000,3159000,3159000,127939000,124093000,300475000,49191000,45549000,8130000,197605000,424568000,552507000,32307000,6002000,26305000,65211000,48416000,16795000,97518000,135200000,215251000,215251000,350451000,447969000,82284000,22254000,104538000,104538000,552507000,-5301000,5315000,6090000,2226000,8330000,-805000,-805000,0,-521000,-545000,6980000,6980000,6980000,3783000,135200000,3920000,0.1911,-0.02416,-0.08358,-0.05071,-0.00959,-0.73948,1.31195,4.28523,0.2447,-0.15482,-0.15482,1.85229,3.05307,0.11448,3,-0.01165,0.00862,8.48348,-20.94843
"44","2021_Q1",20.6462295081967,"Up",77372000,95956000,173328000,-168326000,-12154000,-1574000,-10580000,-5304000,-150868000,5002000,-1302000,-1340000,-1340000,38000,3700000,3433000,-2010000,1423000,1423000,1423000,1423000,95402000,95402000,24309000,24309000,6930000,3653000,3653000,130294000,119887000,292493000,44484000,45549000,8616000,189730000,412380000,542674000,25894000,4101000,21793000,82427000,59030000,23397000,108321000,1.15e+08,211909000,211909000,326909000,435230000,83767000,23677000,107444000,107444000,542674000,1423000,5304000,1447000,6313000,14487000,-1613000,-1613000,-20200000,-379000,-20579000,-7705000,-7705000,-7705000,10306000,1.15e+08,17016000,2.24019,0.06465,0.0183900000000001,0.01324,0.00262,11.95784,1.20285,4.05076,0.21191,0.04154,0.04154,2.25859,3.13643,0.49672,5,0.00328,0.03918,1.90161,3.91803
"45","2021_Q2",23.7285714285714,"Up",87283000,-22921000,64362000,-52280000,-9189000,-1993000,-7196000,-5063000,-38028000,12082000,-1259000,-1303000,-1303000,44000,10823000,10823000,-1698000,9125000,9125000,9125000,9125000,112318000,112318000,16296000,16296000,7188000,2860000,2860000,138662000,115745000,288707000,43923000,45549000,8009000,187144000,404452000,543114000,25222000,6262000,18960000,77929000,54569000,23360000,103151000,1.15e+08,208631000,208631000,323631000,426782000,83530000,32802000,116332000,116332000,543114000,9125000,5063000,2279000,2741000,19208000,-359000,-359000,-51107125.1186133,-1933000,-1933000,16916000,16916000,16916000,17145000,1.15e+08,21225000,0.73739,0.13842,0.10454,0.07844,0.0168,2.32603,1.34426,3.66866,0.21174,0.26617,0.26373,2.54598,3.39331,0.61912,7,0.02074,0.04824,0.15643,0.22198
"46","2021_Q3",19.936875,"Down",110910000,-31607000,79303000,-62649000,-12006000,-3232000,-8774000,-5084000,-45559000,16654000,-1092000,-1128000,-1128000,36000,15562000,15168000,-2757000,12411000,12411000,12411000,12411000,87339000,87339000,15915000,15915000,7360000,4337000,4337000,114951000,114830000,273602000,43361000,45549000,7320000,173323000,388432000,503383000,33314000,8556000,24758000,77058000,53727000,23331000,110372000,7e+07,193701000,193701000,263701000,374073000,84097000,45213000,129310000,129310000,503383000,12411000,5084000,2444000,2857000,22796000,-2145000,-2145000,-4.5e+07,-630000,-45630000,-24979000,-24979000,-24979000,21738000,7e+07,25207000,0.71502,0.15016,0.1119,0.09598,0.02466,2.03102,1.04149,2.89284,0.13906,0.36202,0.3587,3.23516,3.77187,0.73527,7,0.03158,0.06414,-0.79764,-1.04113
"47","2021_Q4",18.6196875,"Down",104187000,-33401000,70786000,-61753000,-10157000,-4281803.21328508,-10134237.0914576,-4985000,-46611000,9033000,-696000,-678000,-849431.82549973,-18000,8337000,8337000,-1398000,6939000,6939000,6939000,6939000,83779000,83779000,16833000,16833000,7541000,3253000,3253000,111406000,118162000,271770000,42800000,45549000,7105000,171294000,389932000,501338000,31438000,7568000,23870000,75210000,52184000,23026000,106648000,7e+07,191576000,191576000,261576000,368224000,80619000,52152000,133114000,133114000,501338000,6939000,4984000,1348000,-6754000,6517000,-5914000,-5914000,0,-335000,-4163000,-3560000,-3560000,-3560000,14017000,7e+07,2747000,0.67941,0.0867,0.0666,0.05213,0.01384,0.39588,1.04461,2.76623,0.13963,0.20191,0.20051,3.03155,3.86327,0.07993,6,0.01758,0.00696,-0.98302,-1.52541
"48","2022_Q1",21.0541935483871,"Up",126743000,-40521000,86222000,-71365000,-14643000,-4797138.40845414,-9876841.785473,-5355000,-51367000,14857000,-329000,-369000,-554511.161681646,40000,14528000,12010000,1790000,13800000,13800000,13800000,13800000,92133000,92133000,41588000,41588000,8554000,3919000,3919000,146194000,121706000,268079000,42239000,45549000,6483016.88831405,175301000,389785000,535979000,41706000,11685000,30021000,93709000,69029000,24680000,135415000,7e+07,195353000,194954000,265353000,400768000,69259000,65952000,135211000,135211000,535979000,13800000,5356000,10072000,3642000,32870000,-11233000,-11233000,-3.72529029846191e-09,-525000,-13283000,8354000,8354000,8354000,20213000,7e+07,10832000,0.68029,0.11722,0.10888,0.10206,0.02575,0.784930000000001,1.0796,2.96402,0.1306,0.39903,0.3994,3.66482,3.90967,0.31321,6,0.03445,0.02704,-1.09499,-1.48974
"49","2022_Q2",18.8561290322581,"Down",126132000,-38611000,87521000,-74470000,-14156000,-4915000,-9241000,-4793000,-55521000,13051000,-296000,-324000,-324000,28000,12755000,12755000,-2342000,10413000,10413000,10413000,10413000,66786000,66786000,26828000,26828000,7890000,3108000,3108000,104612000,128113000,282158000,41677000,45549000,4491116.88831405,189974000,410271000,514883000,27001000,6903000,20098000,83677000,61298000,22063000,110678000,5e+07,211657000,211657000,261657000,372335000,70292000,72256000,142548000,142548000,514883000,10413000,4793000,1725000,-7398000,9533000,-10050000,-10050000,-2e+07,-721000,-24830000,-25347000,-25347000,-25347000,17844000,5e+07,2738000,0.69388,0.10347,0.08256,0.07305,0.02022,0.26294,0.94519,2.612,0.09711,0.30698,0.30553,3.71837,4.20231,0.08072,6,0.03593,0.00677,-0.94071,-1.28618
"50","2022_Q3",17.50015625,"Down",128647000,-35962000,92685000,-74193000,-14074000,-4747000,-9327000,-5135000,-54984000,18492000,-205000,-239000,-239000,34000,18287000,12287000,-1952000,10335000,10335000,10335000,10335000,44866000,44866000,34263000,34263000,8199000,4543000,4543000,91871000,135879000,286062000,41116000,45549000,221000,194114000,421941000,513812000,35969000,8780000,27189000,78962000,58689000,20273000,114931000,4e+07,218233000,218233000,258233000,373164000,62737000,77911000,140648000,140648000,513812000,10335000,5135000,1633000,-1630000,15473000,-13043000,-13043000,-1e+07,-128000,-24350000,-21920000,-21920000,-21920000,23627000,4e+07,10906000,0.72046,0.14374,0.08034,0.07348,0.02011,1.05525,0.79936,2.65318,0.07785,0.30468,0.30324,3.79251,4.1463,0.32151,7,0.03764,0.02734,-0.20595,-0.26314
