"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.94661290322581,"Up",84334000,-70707000,13627000,-11898000,-8176000,-2206000,-5970000,-3576000,-146000,1729000,-530000,-680000,-680000,150000,1199000,1199000,-320000,879000,803000,803000,803000,3912000,3912000,8949000,8949000,6886000,4034000,2414000,23781000,96740000,110468000,49032000,22097000,36319000,3020000,207208000,230989000,27274000,10479000,16795000,28226000,22392000,5834000,55500000,6.9e+07,28521000,28521000,97521000,153021000,166977000,-89009000,77968000,77968000,230989000,803000,3576000,674000,415000,5468000,-4050000,-4050000,-2e+06,-324000,-1996000,-578000,-578000,-578000,5305000,6.9e+07,1990000,0.16158,0.0205,0.00952,0.0103,0.00348,2.47821,0.42849,1.96261,0.29872,0.02336,0.02336,2.45345,2.26825,0.05789,7,0.00458,0.01134,12.26918,37.64488
"12","2013_Q1",7.29533333333333,"Up",28575000,-9278000,19297000,-9745000,-9344000,-2814000,-6530000,-127000,-274000,9552000,-987000,-605000,-605000,-382000,8565000,5986000,-2559000,3427000,3649000,3649000,3649000,7909000,7909000,11295000,11295000,7921000,4871000,1863000,31996000,89979000,107727000,48907000,22097000,33820000,2903000,197706000,229702000,36246000,13126000,23120000,38403000,31214000,7189000,74649000,4.5e+07,29320000,29320000,74320000,148969000,167748000,-87015000,80733000,80733000,229702000,3649000,3633000,5720000,17507000,30509000,-2593000,-2593000,-2.4e+07,15999.9999999981,-23919000,3997000,3997000,3997000,13185000,4.5e+07,30658000,0.67531,0.33428,0.1277,0.0452,0.01589,8.40175,0.42862,1.84521,0.19591,0.10606,0.10606,0.83054,2.34653,0.89108,7,0.02353,0.19773,2.81312,3.88305999999999
"13","2013_Q2",9.4090625,"Up",105978000,-80013000,25965000,-12825000,-9227000,-1974000,-7253000,-3597000,-1000,13140000,-482000,-516000,-516000,34000,12658000,12658000,-3842000,8816000,7661000,7661000,7661000,6324000,6324000,9878000,9878000,7410000,4318000,2225000,27930000,88657000,107160000,48803000,22097000,33464000,2796000,195817000,223747000,29991000,9901000,20090000,31145000,23780000,7365000,61136000,4.3e+07,28871000,28871000,71871000,133007000,168440000,-77700000,90740000,90740000,223747000,7661000,3605000,2564000,-12229000,1601000,-1221000,-1221000,-2e+06,0,-1965000,-1585000,-1585000,-1585000,16745000,4.3e+07,7137000,0.245,0.12399,0.07229,0.08443,0.03424,0.9316,0.45685,1.4658,0.19218,0.22234,0.21577,3.07571,2.63347,0.20713,7,0.04711,0.04389,2.19027,2.79117
"14","2013_Q3",10.5596875,"Up",100493000,-75339000,25154000,-14183000,-10911000,-3572000,-7339000,-3130000,-142000,10971000,-412000,-415000,-415000,2999.99999999994,10559000,10559000,-2643000,7916000,7766000,7766000,7766000,5530000,5530000,8938000,8938000,7202000,4515000,2248000,26185000,90936000,105039000,48767000,22097000,31485000,2690000,195975000,222160000,30605000,9527000,21078000,26295000,20430000,5865000,56900000,4e+07,28285000,28285000,68285000,125185000,166908000,-69933000,96975000,96975000,222160000,7766000,3138000,2651000,-5701000,7854000,-3412000,-3412000,-3e+06,-872000,-5236000,-793999.999999999,-793999.999999999,-793999.999999999,14109000,4e+07,7639000,0.25031,0.10917,0.07728,0.08008,0.03496,0.98365,0.46019,1.2909,0.18005,0.22411,0.21774,2.89998,2.79846,0.22044,8,0.05565,0.04622,2.44312,3.14192
"15","2013_Q4",11.3765625,"Up",85184000,-69978000,15206000,-12579000,-9212000,-1955000,-7257000,-3051000,-316000,2627000,-509000,-415000,-415000,-94000,2118000,4274000,-1392000,2882000,2887000,2887000,2887000,5277000,5277000,10224000,10224000,7038000,3960000,1926000,26499000,91957000,104871000,48740000,22097000,31677000,2357000,196828000,223327000,31742000,9508000,22234000,27970000,20289000,7681000,59712000,3.7e+07,27738000,27738000,64738000,124450000,168777000,-69900000,98877000,98877000,223327000,2887000,3064000,670000,2728000,9349000,-5145000,-5145000,-3e+06,-117000,-4457000,-253000,-253000,-253000,5691000,3.7e+07,4666000,0.17851,0.03084,0.03389,0.0292,0.01293,1.61621,0.44378,1.25863,0.16568,0.08259,0.08016,2.43687,2.82858,0.13348,8,0.0262,0.02852,5.57424,12.07575
"16","2014_Q1",10.9745901639344,"Down",30699000,-13720000,16979000,-8482000,-7799000,-1840000,-5959000,-451000,-232000,8497000,-314000,-294000,-294000,-20000,8183000,7746000,-2867000,4879000,4175000,4175000,4175000,10586000,10586000,13409000,13409000,7913000,7082000,2484000,38990000,91470000,97621000,48280000,22097000,24984000,2260000,189091000,228081000,41550000,14965000,26585000,39053000,31836000,7217000,80603000,1.9e+07,27825000,27825000,46825000,127428000,169457000,-68804000,100653000,100653000,228081000,4175000,3253000,6363000,15201000,28992000,-4429000,-4429000,-1.8e+07,147000,-19254000,5309000,5309000,5309000,11750000,1.9e+07,25389000,0.55308,0.27678,0.136,0.04148,0.0183,6.0812,0.48373,1.26601,0.0833,0.11936,0.11614,0.87764,2.87753,0.72584,7,0.03813,0.17215,0.71609,0.99023
"17","2014_Q2",10.7153968253968,"Down",90354000,-65510000,24844000,-10890000,-7971000,-1746000,-6225000,-2510000,-409000,13954000,-278000,-287000,-287000,9000,13676000,13676000,-4686000,8990000,8865000,8865000,8865000,3723000,3723000,10419000,10419000,7721000,9030000,2095000,30893000,91088000,96907000,48465000,24293000,21994000,2155000,187995000,218888000,31225000,12063000,19162000,33966000,26093000,7873000,65191000,2.2e+07,27229000,27229000,49229000,114420000,166205000,-61737000,104468000,104468000,218888000,8865000,3127000,1324000,-11466000,1850000,-3330000,-6130000,3e+06,-825000,-2583000,-6863000,-6863000,-6863000,17081000,2.2e+07,6971000,0.27496,0.15444,0.09811,0.08486,0.0405,0.78635,0.47388,1.09526,0.10051,0.2526,0.24747,2.57458,2.97675,0.19863,6,0.06938,0.04536,1.07002,1.3098
"18","2014_Q3",9.9575,"Down",83006000,-62570000,20436000,-10603000,-7770000,-1923000,-5847000,-2714000,-119000,9833000,-286000,-298000,-298000,12000,9547000,9547000,-2880000,6667000,6903000,6903000,6903000,3212000,3212000,9691000,9691000,7676000,9275000,2236000,29854000,92395000,95357000,48300000,24293000,20705000,2059000,187752000,217606000,29822000,10500000,19322000,31796000,23913000,7883000,61618000,2.2e+07,27200000,27200000,49200000,110818000,163420000,-56632000,106788000,106788000,217606000,6903000,3383000,2230000,-4622000,7894000,-3032000,-3032000,1.86264514923096e-09,5000.00000000035,-5373000,-511000.000000002,-511000.000000002,-511000.000000002,13216000,2.2e+07,8442000,0.2462,0.11846,0.08316,0.06464,0.03172,1.22295,0.4845,1.03774,0.1011,0.19654,0.19399,2.36335,3.04048,0.24036,6,0.05578,0.05412,1.42161,1.91071
"19","2014_Q4",11.00171875,"Up",73795000,-59402000,14393000,-10431000,-7341000,-1989000,-5352000,-2694000,-396000,3962000,-292000,-296000,-296000,4000,3670000,3670000,-1472000,2198000,-7298000,-7298000,-7298000,3486000,3486000,13617000,13617000,7506000,7519000,1891000,32128000,87173000,93553000,40884000,24293000,26421000,1955000,180726000,212854000,30408000,9202000,21206000,30720000,24797000,5923000,61128000,3e+07,27309000,27309000,57309000,118437000,160125000,-65708000,94417000,94417000,212854000,-7298000,3320000,11757000,-4411000,3368000,-5273000,-5273000,8e+06,-462000,2179000,274000,274000,274000,7282000,3e+07,-930000,0.19504,0.05369,-0.0989,-0.0773,-0.03429,0.12743,0.52559,1.2544,0.14094,-0.20896,-0.20676,2.11292,2.70338,-0.02663,6,-0.03638,-0.00613,3.64103,6.69207
"20","2015_Q1",13.3572131147541,"Up",98942000,-72019000,26923000,-15010000,-11305000,-4418000,-6887000,-2999000,-706000,11913000,-266000,-278000,-278000,12000,11647000,11647000,-2792000,8855000,7985000,7985000,7985000,4301000,4301000,20458000,20458000,7206000,16410000,1291000,48375000,80354000,89838000,35012000,24293000,28829000,1704000,170192000,218567000,39783000,13414000,26369000,46698000,34552000,12146000,86481000,1.3e+07,22775000,22775000,35775000,122256000,155800000,-59489000,96311000,96311000,218567000,7985000,3355000,4618000,14278000,30236000,-5581000,-5581000,-1.7e+07,29000,-23840000,815000,815000,815000,15268000,1.3e+07,26757000,0.27211,0.1204,0.0807,0.08291,0.03653,3.35091,0.55937,1.26939,0.05948,0.23024,0.22841,2.85294,2.77708,0.77152,8,0.07381,0.20257,0.56975,0.73021
"21","2015_Q2",13.4871428571429,"Up",97344000,-69801000,27543000,-11335000,-8040000,-1593000,-6447000,-2919000,-376000,16208000,-211000,-226000,-226000,15000,15997000,15997000,-5229000,10768000,10411000,10411000,10411000,3424000,3424000,20657000,20657000,7123000,5764000,1829000,36968000,80779000,72232000,34952000,24293000,11448000,1539000,153011000,189979000,28068000,8884000,19184000,33803000,28454000,5349000,61871000,3e+06,23054000,23054000,26054000,87925000,153212000,-51158000,102054000,102054000,189979000,10411000,2919000,14548000,-18719000,9159000,5379000,5379000,-1e+07,-533000,-15415000,-877000,-877000,-877000,19127000,3e+06,11016000,0.28295,0.1665,0.10695,0.10201,0.0548,1.05811,0.5975,0.86155,0.01579,0.30427,0.30163,2.84496,2.98261,0.32195,8,0.09752,0.08599,-0.02217,-0.02616
"22","2015_Q3",14.565625,"Up",91050000,-66427000,24623000,-13218000,-9892000,-2447000,-7445000,-3187000,-139000,11405000,-158000,-174000,-174000,16000,11247000,11247000,-3578000,7669000,7517000,7517000,7517000,5130000,5130000,16265000,16265000,7112000,6141000,2251000,34648000,82252000,73011000,34955000,24293000,12331000,1432000,155263000,189911000,29855000,9545000,20310000,30745000,25556000,5189000,60600000,1343506.68855136,23284000,23284000,23284000,83884000,151759000,-45732000,106027000,106027000,189911000,7517000,3187000,84000,1780000,12568000,-3500000,-3500000,-3e+06,-12000,-7362000,1706000,1706000,1706000,14592000,-4.65661287307739e-10,16450000,0.27043,0.12526,0.08256,0.0709,0.03958,2.18837,0.57175,0.79116,0,0.21888,0.21622,2.65114,3.08723,0.47898,9,0.0743,0.12721,-0.35156,-0.4498
"23","2015_Q4",14.56375,"Down",80291000,-63029000,17262000,-13107000,-9754000,-2312000,-7442000,-3241000,-112000,4155000,-179000,-188000,-188000,9000,3976000,3976000,-1338000,2638000,2565000,2565000,2565000,2792000,2792000,13562000,13562000,7065000,5521000,1813000,28940000,84909000,74630000,34933000,24293000,14082000,1322000,159539000,188479000,30555000,9600000,20955000,28756000,23801000,4955000,59311000,5e+06,22951000,22951000,27951000,87262000,146491000,-45274000,101217000,101217000,188479000,2565000,3241000,-195000,2167000,7778000,-6473000,-6473000,5e+06,-144000,-3643000,-2338000,-2338000,-2338000,7396000,5e+06,4428000,0.21499,0.05175,0.03195,0.02534,0.01361,1.72632,0.48794,0.86213,0.02653,0.07546,0.07471,2.36224,2.9779,0.13028,8,0.03617,0.03428,0.29854,0.53141
"24","2016_Q1",14.9944262295082,"Up",104748000,-74691000,30057000,-17059000,-13481000,-4573000,-8908000,-3173000,-405000,12998000,116000,-202000,-202000,318000,13114000,13114000,-4023000,9091000,9511000,9511000,9511000,3095000,3095000,18501000,18501000,7479000,1509000,1259000,30584000,87984000,80029000,35211000,24293000,19309000,1216000,168013000,198597000,36362000,10018000,26344000,41510000,35202000,6308000,77872000,13023217.5553251,22823000,22823000,22823000,100695000,135734000,-37832000,97902000,97902000,198597000,9511000,3173000,-410000,12808000,25082000,-5698000,-5698000,-5e+06,38999.9999999999,-19081000,302999.999999999,302999.999999999,302999.999999999,16171000,0,27304000,0.28695,0.12409,0.0908,0.09715,0.04789,2.87078,0.39275,1.02853,-6.93889390390723e-18,0.2837,0.27871,3.12448,2.92028,0.81444,8,0.09592,0.22617,-0.19139,-0.23811
"25","2016_Q2",15.295,"Up",101890000,-72367000,29523000,-13089000,-9634000,-1970000,-7664000,-3101000,-354000,16434000,-206000,-213000,-213000,7000,16228000,16228000,-5346000,10882000,10762000,10762000,10762000,2661000,2661000,9922000,9922000,7511000,1987000,1987000,22081000,90717000,76976000,35189000,24293000,16385000,1109000,167693000,189774000,28694000,9405000,19289000,34731000,28799000,5932000,71425000,22473204.4139514,23218000,23218000,23218000,94643000,124551000,-29420000,95131000,95131000,189774000,10762000,3101000,4359000,-5865000,12357000,-5928000,-5928000,8e+06,-913000,-6863000,-434000,-434000,-434000,19535000,8e+06,13088000,0.28975,0.16129,0.10562,0.11313,0.05671,1.21613,0.30915,0.99487,0.04216,0.32985,0.32539,3.12291,2.91575,0.40114,8,0.10378,0.10359,0.2733,0.32488
"26","2016_Q3",13.8240625,"Down",92654000,-68409000,24245000,-13783000,-9674000,-2617000,-7057000,-3371000,-738000,10462000,-109000,-253000,-253000,144000,10353000,10353000,-3396000,6957000,6908000,6908000,6908000,3553000,3553000,9460000,9460000,7254000,2513000,2513000,22780000,94671000,74728000,35139000,24293000,14309000,987000,169399000,192179000,25670000,7742000,17928000,32007000,25996000,6011000,87677000,29911582.4949152,23576000,23576000,23576000,111253000,105775000,-24849000,80926000,80926000,192179000,6908000,3371000,3450000,-5587000,8142000,-6739000,-6739000,2.2e+07,-179000,-511000,892000,892000,892000,13833000,3e+07,4903000,0.26167,0.11291,0.07456,0.08536,0.03595,0.70976,0.25982,1.37475,0.1561,0.21494,0.21243,2.88293,2.51801,0.15256,5,0.06874,0.03645,1.91188,2.52791
"27","2016_Q4",14.9506349206349,"Up",83774000,-64272000,19502000,-13902000,-9894000,-2547000,-7347000,-3435000,-573000,5600000,-424000,-333000,-333000,-91000,5176000,5176000,-1668000,3508000,3583000,3583000,3583000,3954000,3954000,8738000,8738000,7138000,3272000,3272000,23102000,95874000,73357000,35117000,24293000,13244000,703000,169231000,192333000,25695000,7556000,18139000,29575000,23466000,6109000,93270000,31899973.7172526,23623000,23623000,23623000,116893000,98988000,-23548000,75440000,75440000,192333000,3583000,3435000,2702000,-1094000,8626000,-5625000,-5625000,8e+06,-16000,-2600000,401000,401000,401000,9035000,3.8e+07,3984000,0.23279,0.06685,0.04277,0.04749,0.01863,1.11192,0.24769,1.54948,0.19757,0.11445,0.11296,2.67598,2.40977,0.12726,8,0.04279,0.02907,3.76823,6.07964
"28","2017_Q1",16.3895161290323,"Up",107629000,-75026000,32603000,-17540000,-13692000,-4272000,-9420000,-3527000,-321000,15063000,-405000,-355000,-355000,-50000,14658000,14658000,-5250000,9408000,9212000,9212000,9212000,3788000,3788000,20790000,20790000,7396000,2446000,2446000,34420000,103041000,70011000,35095000,24293000,9924000,699000,173052000,207472000,33638000,7064000,26574000,45777000,38155000,7622000,79415000,2.5e+07,24048000,24048000,49048000,128463000,95571000,-16562000,79009000,79009000,207472000,9212000,3527000,5020000,9410000,27169000,-7117000,-7117000,-1.3e+07,-32000.0000000001,-20218000,-166000,-166000,-166000,18590000,2.5e+07,26133000,0.30292,0.13995,0.08559,0.11659,0.0444,2.83684,0.43342,1.62593,0.1205,0.30095,0.29597,3.51622,2.58121,0.85376,7,0.08932,0.20407,1.14104,1.40822
