"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.39015625,"Up",45229000,-37849000,7380000,-3121000,-3121000,4259000,22000,29000,4281000,4281000,-1821000,2460000,1535000,1535000,1535000,131300250.976985,131300250.41827,38943579.3493477,38943311.4830451,46352622.6063269,29156219.5040802,216596452.932659,-871865.996715691,22637448.4847092,18475999.9783109,21765582.4879935,238362035.420653,102784116.191594,37645908.6911768,28864162.0367056,67500583.7784715,67500583.7784715,170284699.970065,590054.11126393,619917.097403856,590054.11126393,170874754.081329,89472523.6164279,-22446930.6390898,66992592.9747339,-11045.4301523111,67487281.3393236,238362035.420653,2460000,1535000,220000,1857000,1439000,5194000,-213000,-213000,0,0,-5e+05,4481000,4481000,4481000,4479000,0,7526000,0.16317,0.09417,0.03394,-0.048410231142157,-0.0367865706582667,4.90293,0.832098079084637,1.97834393311459,0,0.1129,0.1123,3.32664,4.94195184561917,0.55355,-0.169266121447826,0.152003798004537,22.2507552743013,26.9456557008357
"2","2011_Q1",6.35177419354839,"Down",31809000,-25620000,6189000,-3370000,-3370000,2819000,21000,-11000,2840000,2840000,-1605000,1235000,915000,915000,915000,83292000,83292000,13099000,13099000,9651000,2686000,106042000,1478000,23022000,18476000,24500000,130542000,21590000,8555000,13035000,11278000,11278000,32868000,630000,601000,630000,33498000,90601000,6476000,97044000,0,97044000,130542000,1235000,915000,3e+05,1430000,6172999.99999999,7003999.99999999,-3000.00000000023,-7000,38000,38000,-318000,6679000,6679000,6679000,3119000,0,10894000,0.19457,0.08862,0.02877,0.00943,0.00701,11.90601,3.2263,0.34518,0,0.06731,0.06674,2.3401,7.13926,0.80144,0.00937,0.11153,-26.70471,-29.54665
"3","2011_Q2",6.56190476190476,"Up",15993000,-12095000,3898000,-2759000,-2759000,1139000,22000,22000,1161000,1161000,-416000,745000,606000,606000,606000,81552249.6743384,81552249.8605766,6758306.88355077,6758396.1723183,-283457.535442313,-3823489.83469339,88027099.0224469,1829205.33223856,22832350.5050969,18476000.0072297,24661555.8373355,112688654.859782,3292711.26946873,4710280.4362744,6137779.32109813,4258972.07384285,4258972.07384285,7551683.34331158,632981.962912024,591944.300865381,632981.962912024,8184665.30622361,90983325.4611907,13643310.2130299,104593635.675089,-21622.7419086133,104503989.553559,112688654.859782,745000,606000,204000,1468000,-7946000,-5764000,1360000,1360000,18000,18000,18000,-4386000,-4386000,-4386000,1343000,0,-4827000,0.24373,0.07122,0.03789,0.0255367437140523,0.0189921902194222,-7.96535,3.52303814030512,0.0338711889618038,0,0.04456,0.0443,1.17587,7.69031438479361,-0.3549,0.048912873815942,0.182395400665154,-44.6576659247671,-49.6132044002786
"4","2011_Q3",7.15953125,"Up",26342000,-21695000,4647000,-2374000,-2374000,2273000,29000,29000,2302000,2302000,-782000,1520000,2070000,2070000,2070000,106890000,106890000,11367000,11367000,4599000,560000,122856000,1306000,22363000,18476000,23669000,146525000,19614000,14700000,4914000,26166000,26166000,45780000,617000,590000,617000,46397000,91009000,9152000,100128000,-77763.6558781511,100128000,146525000,1520000,2070000,202000,291000,25001000,26933000,1025000,1025000,26000,26000,26000.0000000001,27984000,27984000,27984000,2475000,0,29283000,0.17641,0.08629,0.07858,0.02067,0.01413,14.14638,2.68362,0.46338,0,0.15217,0.15089,1.93648,7.36073,2.15269,0.02055,0.29066,-43.18788,-47.02596
"5","2011_Q4",9.16507936507936,"Up",43597000,-37130000,6467000,-2735000,-2735000,3732000,33000,33000,3765000,3765000,-1460000,2305000,2012000,2012000,2012000,138048000,138048000,17185000,17185000,11218000,5661000,166451000,1268000,21965000,18476000,23233000,189684000,39754000,26733000,6217000,53855000,53855000,93609000,6e+05,590000,6e+05,94209000,91148000,4360000,95475000,-170272.741908613,95475000,189684000,2305000,2012000,2e+05,-60000,28423000,31169000,-18000,-18000,7000,7000,7000,31158000,31158000,31158000,3932000,0,33797000,0.14834,0.0856,0.04615,0.02107,0.01061,16.79771,1.77815,0.98674,0,0.14782,0.14636,3.20307,7.01455,2.48307,0.02094,0.35178,-35.10885,-36.99035
"6","2012_Q1",10.971935483871,"Up",55918000,-47828000,8090000,-3318000,-3318000,4772000,-36000,-36000,4736000,4736000,-1898000,2838000,4282000,4584000,4584000,156524000,156524000,16053000,16053000,8e+06,2781000,180577000,2761000,21914000,18476000,24675000,205252000,36275000,29524000,6751000,68004000,68004000,104279000,6e+05,590000,6e+05,104879000,91763000,8944000,100674000,-301000,100373000,205252000,2838000,4282000,183000,130000,24546000,26377000,-1577000,-1577000,480000,480000,-6324000,18476000,18476000,18476000,4955000,0,29822000,0.14468,0.08534,0.08198,0.04567,0.02233,6.50567,1.73167,1.04489,0,0.33624,0.32689,4.10167,7.38458,2.18749,0.11278,0.29535,-31.5891,-32.8005
"7","2012_Q2",10.5377777777778,"Down",63690000,-53589000,10101000,-3028000,-3028000,7073000,-9000,-9000,7064000,7064000,-2517000,4547000,4262000,4438000,4438000,175309000,175309000,18516000,18516000,5357000,2466000,199182000,3775000,21732000,18476000,25507000,224689000,33123000,28198000,4925000,85997000,85997000,119120000,585000,576000,585000,119705000,92112000,13382000,105461000,-477000,104984000,224689000,4547000,4262000,178000,257000,14918000,19822000,-1164000,-1164000,127000,127000,127000,18785000,18785000,18785000,7251000,0,23522000,0.1586,0.11105,0.06968,0.04227,0.01975,5.30014,1.67211,1.14022,0,0.32482,0.31814,4.66149,7.71873,1.72158,0.04204,0.22281,-24.17722,-24.78566
"8","2012_Q3",11.6071428571429,"Up",82619000,-69740000,12879000,-3297000,-3297000,9582000,-10000,-10000,9572000,9572000,-3591000,5981000,5981000,6201000,6201000,186834000,186834000,22065000,22065000,8635000,4790000,217534000,6269000,21660000,18476000,27929000,245463000,52759000,44579000,8180000,80279000,80279000,133038000,365000,354000,365000,133403000,93207000,19583000,112757000,-697000,112060000,245463000,5981000,5981000,192000,360000,7136000,13669000,-2627000,-2627000,483000,483000,483000,11525000,11525000,11525000,9774000,0,17874000,0.15588,0.11598,0.07506,0.05534,0.02526,2.88244,1.63513,1.19046,0,0.45273,0.44439,6.0319,8.23224,1.30496,0.05516,0.15899,-19.11541,-19.49843
"9","2012_Q4",13.3845161290323,"Up",74485000,-61349000,13136000,-3780000,-3780000,9356000,-10000,-10000,9346000,9346000,-3633000,5713000,5713000,6065000,6065000,196056000,196056000,25761000,25761000,3907000,1e+06,225724000,8270000,20991000,18476000,29261000,254985000,60464000,43790000,8315000,82558000,82558000,143022000,25000,15000,25000,143047000,95731000,17289000,112987000,-1049000,111938000,254985000,5713000,5713000,197000,695000,3097000,9702000,-2137000,-2137000,1657000,1657000,1657000,9222000,9222000,9222000,9553000,0,14146000,0.17636,0.12561,0.08143,0.05418,0.02379,2.3324,1.57825,1.27791,0,0.43873,0.4235,5.38809,8.17325,1.02329,0.05417,0.12635,-20.52298,-20.95511
"10","2013_Q1",13.0686666666667,"Down",57841000,-43822000,14019000,-4650000,-4650000,9369000,-14000,-14000,9355000,9355000,-3779000,5576000,5861000,6561000,6561000,175142000,175142000,24879000,24879000,4087000,1178000,204108000,9468000,21148000,18476000,30616000,234724000,42187000,32699000,9488000,73359000,73359000,115546000,10000,2.91038304567337e-11,10000,115556000,97100000,23850000,120917000,-1749000,119168000,234724000,5576000,5861000,198000,-255000,-17956000,-12359000,-1335000,-1335000,409000,409000,-7220000,-20914000,-20914000,-20914000,9567000,0,-5945000,0.24237,0.16198,0.11343,0.05506,0.02795,-0.90611,1.76647,0.96969,0,0.47026,0.46078,4.14571,8.66664,-0.4261,0.12519,-0.04988,-18.30689,-18.69378
