"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.50079365079365,"Up",7.131e+09,-5.501e+09,1.63e+09,-1.236e+09,-2.98e+08,-2.01e+08,-9.7e+07,-9.38e+08,3.94e+08,7e+06,4e+06,-7e+06,1.1e+07,3e+06,4.01e+08,4.01e+08,-1e+08,-2e+06,2.99e+08,2.99e+08,2.99e+08,2.99e+08,5.063e+09,1.844e+09,3.219e+09,1.82e+09,7.98e+09,1.436e+09,2.626e+09,1.234e+09,1.392e+09,4.062e+09,1.2042e+10,5.193e+09,3.619e+09,1.574e+09,5.193e+09,1.1e+09,1.1e+09,1.231e+09,6.424e+09,5.892e+09,5e+06,5.887e+09,-6e+08,4.71e+08,-1.45e+08,5.618e+09,5.618e+09,1.2042e+10,2.99e+08,1.19e+08,-2.26e+08,-1.29e+09,4.54e+08,3.21e+08,-1.892e+09,-1.73e+08,-1.098e+09,-1.4e+08,-1.4e+08,-3.83e+08,8.72e+08,-1.255e+09,-1.9e+07,-5.42e+08,1e+06,1e+06,-6.1e+07,6.2e+07,8.7e+07,-1.553e+09,-1.553e+09,-4.7e+07,-1.6e+09,5.13e+08,1.31e+08,-8.17e+08,0.22858,0.05525,0.04193,0.05322,0.02483,-2.73244,1.53668,1.14347,0.01088,0.0336,0.03293,0.80124,0.63124,-0.0918,2,0.04366,-0.11929,-9.61404,-12.51777
"2","2010_Q3",6.52234375,"Up",6.566e+09,-4.957e+09,1.609e+09,-1.338e+09,-3.24e+08,-2.11e+08,-1.13e+08,-1.014e+09,2.71e+08,2.7e+07,3e+06,-9e+06,1.2e+07,2.4e+07,2.98e+08,2.98e+08,-8.9e+07,-2999999.99999999,2.06e+08,2.06e+08,2.06e+08,2.06e+08,5.108e+09,1.629e+09,3.479e+09,1.94e+09,8.147e+09,1.704e+09,2.546e+09,1.229e+09,1.317e+09,4.25e+09,1.2397e+10,5.25e+09,3.545e+09,1.705e+09,5.25e+09,1.158e+09,1.158e+09,1.29e+09,6.54e+09,6.061e+09,5e+06,6.056e+09,-6e+08,6.78e+08,-2.82e+08,5.857e+09,5.857e+09,1.2397e+10,2.06e+08,1.3e+08,-1.84e+08,9.8e+07,-4.2e+07,-1.41e+08,-8e+07,3.61e+08,2.5e+08,-1.96e+08,-1.96e+08,-2.58e+08,1.208e+09,-1.466e+09,-2.1e+07,-4.75e+08,-3.2e+07,-3.2e+07,-3.7e+07,4999999.99999999,4.3e+07,-1.82e+08,-1.82e+08,-3.3e+07,-2.15e+08,4.01e+08,1.32e+08,3.92e+08,0.24505,0.04127,0.03137,0.03517,0.01662,1.90291,1.55181,1.11661,0.01065,0.02304,0.02264,0.73445,0.65515,0.0438499999999999,6,0.02882,0.05485,-12.40898,-18.36162
"3","2010_Q4",8.47578125,"Up",7.56e+09,-5.786e+09,1.774e+09,-1.507e+09,-3.58e+08,-2.41e+08,-1.17e+08,-1.149e+09,2.67e+08,2.4e+07,1e+06,-1.2e+07,1.3e+07,2.3e+07,2.91e+08,2.91e+08,-7.8e+07,1.8e+07,2.31e+08,2.31e+08,2.31e+08,2.31e+08,5.885e+09,1.539e+09,4.346e+09,2.515e+09,9.602e+09,2.099e+09,2.461e+09,1.277e+09,1.184e+09,4.56e+09,1.4162e+10,6.375e+09,4.614e+09,1.761e+09,6.375e+09,1.226e+09,1.226e+09,1.39e+09,7.765e+09,6.22e+09,5e+06,6.215e+09,-6e+08,9.08e+08,-1.31e+08,6.397e+09,6.397e+09,1.4162e+10,2.31e+08,1.5e+08,-1.95e+08,6.69e+08,-6.4e+07,-5.06e+08,8.94e+08,3.45e+08,8.55e+08,-3.15e+08,-3.15e+08,-7.71e+08,1.059e+09,-1.83e+09,-4.2e+07,-1.128e+09,1.9e+07,1.9e+07,-2.4e+07,4.3e+07,9.4e+07,-1.79e+08,-1.79e+08,8.9e+07,-9e+07,4.17e+08,1.64e+08,8.49e+08,0.23466,0.03532,0.03056,0.03611,0.01631,3.67532,1.5062,1.21385,0.01158,0.02578,0.02533,0.84375,0.71395,0.09475,6,0.02966,0.10903,-13.71942,-21.42697
"4","2011_Q1",8.84693548387097,"Up",1.2947e+10,-1.0317e+10,2.63e+09,-2.156e+09,-5.19e+08,-3.76e+08,-1.43e+08,-1.637e+09,4.74e+08,3.3e+07,4e+06,-1.1e+07,1.5e+07,2.9e+07,5.07e+08,5.07e+08,-8.5e+07,-6e+06,4.16e+08,4.16e+08,4.16e+08,4.16e+08,8.762e+09,3.777e+09,4.985e+09,3.202e+09,1.3769e+10,2.414e+09,2.614e+09,1.349e+09,1.265e+09,5.028e+09,1.8797e+10,1.0372e+10,8.051e+09,2.321e+09,1.0372e+10,1.561e+09,1.561e+09,1.561e+09,1.1933e+10,6.33e+09,5e+06,6.325e+09,-6e+08,1.324e+09,-1.9e+08,6.864e+09,6.864e+09,1.8797e+10,4.16e+08,1.69e+08,-1.06e+08,3.009e+09,-6.43e+08,-6.93e+08,3.451e+09,8.94e+08,3.488e+09,-3.28e+08,-3.28e+08,-6.17e+08,1.111e+09,-1.728e+09,-2.7e+08,-1.215e+09,-6.6e+07,-6.6e+07,-9.9e+07,3.3e+07,-4.3e+07,2.23e+09,2.23e+09,8e+06,2.238e+09,6.43e+08,0,3.409e+09,0.20314,0.03661,0.03213,0.06061,0.02213,8.19471,1.32752,1.73849,0,0.04643,0.04532,1.44498,0.76607,0.38047,3,0.04938,0.40463,-13.62675,-18.48523
"5","2011_Q2",9.57888888888889,"Up",9.857e+09,-7.608e+09,2.249e+09,-1.927e+09,-4.6e+08,-3.27e+08,-1.33e+08,-1.467e+09,3.22e+08,-1.5e+07,3e+06,-1.2e+07,1.5e+07,-1.8e+07,3.07e+08,3.07e+08,-8.9e+07,-1.7e+07,2.01e+08,2.01e+08,2.01e+08,2.01e+08,6.881e+09,2.641e+09,4.24e+09,2.888e+09,1.1316e+10,2.902e+09,2.664e+09,1.513e+09,1.151e+09,5.566e+09,1.6882e+10,7.73e+09,5.54e+09,2.19e+09,7.73e+09,1.805e+09,1.805e+09,1.805e+09,9.535e+09,6.488e+09,5e+06,6.483e+09,-6e+08,1.525e+09,-6.6e+07,7.347e+09,7.347e+09,1.6882e+10,2.01e+08,2.02e+08,-6.9e+07,-1.92e+09,3.59e+08,3.43e+08,-2.649e+09,2.7e+07,-1.586e+09,-2.98e+08,-2.98e+08,8.27e+08,1.939e+09,-1.112e+09,-1.39e+08,3.9e+08,-2.2e+07,-2.2e+07,-1.11e+08,8.9e+07,2.4e+07,-1.172e+09,-1.172e+09,3.6e+07,-1.136e+09,5.24e+08,0,-1.605e+09,0.22816,0.03267,0.02039,0.02736,0.01191,-7.98507,1.46391,1.29781,0,0.02219,0.02185,1.08797,0.81093,-0.17715,2,0.02196,-0.17537,-13.13168,-21.36957
"6","2011_Q3",10.60953125,"Up",9.913e+09,-7.525e+09,2.388e+09,-2.187e+09,-5.07e+08,-3.4e+08,-1.67e+08,-1.68e+09,2.01e+08,2.3e+07,1e+06,-1.5e+07,1.6e+07,2.2e+07,2.24e+08,2.24e+08,-4.9e+07,1.5e+07,1.9e+08,1.9e+08,1.9e+08,1.9e+08,6.355e+09,2.047e+09,4.308e+09,3.229e+09,1.1309e+10,3.47e+09,3.162e+09,1.909e+09,1.253e+09,6.632e+09,1.7941e+10,8.045e+09,5.721e+09,2.324e+09,8.045e+09,2.131e+09,2.131e+09,2.131e+09,1.0176e+10,6.68e+09,5e+06,6.675e+09,-6e+08,1.715e+09,-3e+07,7.765e+09,7.765e+09,1.7941e+10,1.9e+08,2.44e+08,-9.9e+07,87999999.9999995,-7.3e+07,-2.74e+08,1.14e+08,3.21e+08,4.23e+08,-4.33e+08,-4.33e+08,-49000000.0000001,2.028e+09,-2.077e+09,-4.69e+08,-9.51e+08,-1.06e+08,-1.06e+08,-1.4e+08,3.4e+07,-9.1e+07,-6.19e+08,-6.19e+08,2.5e+07,-5.94e+08,4.45e+08,0,1.49e+08,0.2409,0.02028,0.01917,0.02447,0.01059,0.78421,1.40572,1.3105,0,0.02106,0.02074,1.099,0.86086,0.0165199999999999,4,0.0192,0.01506,-14.2809,-31.61692
"7","2011_Q4",10.2711111111111,"Down",1.0876e+10,-8.324e+09,2.552e+09,-2.473e+09,-5.44e+08,-3.7e+08,-1.74e+08,-1.929e+09,7.9e+07,5.1e+07,-2e+06,-1.8e+07,1.6e+07,5.3e+07,1.3e+08,1.3e+08,-6.7e+07,0,6.3e+07,6.3e+07,6.3e+07,6.3e+07,6.326e+09,2.823e+09,3.503e+09,3.77e+09,1.1931e+10,3.999e+09,3.124e+09,1.934e+09,1.19e+09,7.123e+09,1.9054e+10,8.978e+09,6.552e+09,2.426e+09,8.978e+09,2.31e+09,2.31e+09,2.31e+09,1.1288e+10,6.829e+09,5e+06,6.824e+09,-6e+08,1.778e+09,-2.41e+08,7.766e+09,7.766e+09,1.9054e+10,6.3e+07,2.78e+08,-8e+07,5.36e+08,-7.5e+07,-5.86e+08,8.48e+08,3.49e+08,7.97e+08,-5.3e+08,-5.3e+08,6.78e+08,1.964e+09,-1.286e+09,-4.8e+07,1e+08,-8.2e+07,-8.2e+07,-9e+07,8e+06,-8.2e+07,8.15e+08,8.15e+08,-3.9e+07,7.76e+08,3.57e+08,0,4.3e+08,0.23465,0.00726,0.00579,0.00811,0.00331,6.8254,1.32892,1.45352,0,0.00697,0.00697,1.2031,0.85907,0.04757,6,0.00625,0.04268,-17.71989,-80.07595
"8","2012_Q1",9.30241935483871,"Down",1.7431e+10,-1.3831e+10,3.6e+09,-3.34e+09,-7.77e+08,-5.93e+08,-1.84e+08,-2.563e+09,2.6e+08,1.3e+07,-6e+06,-2e+07,1.4e+07,1.9e+07,2.73e+08,2.73e+08,-8.6e+07,-1e+07,1.77e+08,1.77e+08,1.77e+08,1.77e+08,9.576e+09,5.269e+09,4.307e+09,4.992e+09,1.7518e+10,4.417e+09,3.343e+09,1.955e+09,1.388e+09,7.76e+09,2.5278e+10,1.4896e+10,1.1145e+10,3.751e+09,1.4896e+10,2.37e+09,2.37e+09,2.625e+09,1.7521e+10,6.995e+09,5e+06,6.99e+09,-8.77e+08,1.955e+09,-3.16e+08,7.757e+09,7.757e+09,2.5278e+10,1.77e+08,3.59e+08,-4.8e+07,3.781e+09,-1.077e+09,-1.26e+09,4.684e+09,1.434e+09,4.269e+09,-5.5e+08,-5.5e+08,-8.7e+08,9.12e+08,-1.782e+09,-4.9e+07,-1.469e+09,-5.7e+07,-5.7e+07,-1.03e+08,4.6e+07,-3.33e+08,2.467e+09,2.467e+09,-2.1e+07,2.446e+09,6.19e+08,2.55e+08,3.936e+09,0.20653,0.01492,0.01015,0.02282,0.007,22.23729,1.17602,2.25873,0.01009,0.01941,0.01867,1.91129,0.85055,0.43158,4,0.01705,0.37912,-15.05816,-35.85
"9","2012_Q2",10.6107936507937,"Up",1.3185e+10,-1.0027e+10,3.158e+09,-2.966e+09,-6.8e+08,-4.8e+08,-2e+08,-2.286e+09,1.92e+08,-1.08e+08,-9e+06,-2.1e+07,1.2e+07,-9.9e+07,8.4e+07,8.4e+07,-4.3e+07,8.9e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,5.715e+09,2.288e+09,3.427e+09,4.255e+09,1.2181e+10,4.653e+09,3.505e+09,1.97e+09,1.535e+09,8.158e+09,2.0339e+10,1.0488e+10,6.886e+09,3.602e+09,1.0488e+10,2.58e+09,2.58e+09,2.58e+09,1.3068e+10,7.197e+09,5e+06,7.192e+09,-1.837e+09,2.085e+09,-1.74e+08,7.271e+09,7.271e+09,2.0339e+10,1.3e+08,4.57e+08,-1.28e+08,-2.897e+09,7.46e+08,7.47e+08,-4.258e+09,-1.32e+08,-2.438e+09,-3.86e+08,-3.86e+08,8.86e+08,1.738e+09,-8.52e+08,-5e+07,4.5e+08,-8.5e+07,-8.5e+07,-1.53e+08,6.8e+07,-1.005e+09,-2.993e+09,-2.993e+09,1.2e+07,-2.981e+09,6.49e+08,0,-2.591e+09,0.23951,0.01456,0.00986,0.01788,0.00639,-19.93077,1.16142,1.79728,0,0.01435,0.01413,1.4553,0.80254,-0.28598,3,0.0132,-0.26302,-8.80586,-29.76562
"10","2012_Q3",11.9528571428571,"Up",1.2834e+10,-9.488e+09,3.346e+09,-3.24e+09,-7.69e+08,-5.37e+08,-2.32e+08,-2.471e+09,1.06e+08,3.9e+07,-1.1e+07,-2.1e+07,1e+07,5e+07,1.45e+08,1.45e+08,-1.08e+08,-3e+07,6999999.99999999,6999999.99999999,6999999.99999999,6999999.99999999,4.97e+09,2.335e+09,2.635e+09,4.38e+09,1.1819e+10,5.097e+09,4.106e+09,2.521e+09,1.585e+09,9.203e+09,2.1022e+10,1.0964e+10,7.072e+09,3.892e+09,1.0964e+10,2.553e+09,2.553e+09,2.553e+09,1.3517e+10,7.578e+09,5e+06,7.573e+09,-1.837e+09,2.092e+09,-3.28e+08,7.505e+09,7.505e+09,2.1022e+10,6999999.99999999,4.85e+08,-2.28e+08,329999999.999999,-1.66e+08,-1.25e+08,1.8e+08,4.41e+08,5.94e+08,-6.57e+08,-6.57e+08,6.86e+08,1.251e+09,-5.65e+08,-6.23e+08,-5.94e+08,-17999999.9999999,-17999999.9999999,-1.4e+08,1.22e+08,67000000.0000004,6.7e+07,6.7e+07,-2e+07,4.7e+07,5.91e+08,0,372000000.000001,0.26071,0.00826,0.00055,0.00093,0.00033,53.14286,1.07798,1.80107,1.73472347597681e-18,0.00078,0.00076,1.42284,0.83204,0.04124,5,0.000699999999999999,0.03699,-8.40948,-46.88679
