"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"40","2020_Q1",22.0654838709677,"Down",-204946000,183203000,-21743000,7526000,4317000,3209000,-14217000,-5143000,-26846000,-19360000,-12024000,2372000,-9652000,-266864000,-266864000,-266864000,211151000,211151000,125883000,125883000,77187000,316104000,30526000,730325000,56729000,337220000,260415000,52375000,24430000,393949000,1124274000,108173000,76914000,31259000,184728000,40965000,300401000,452945000,69749000,20213000,20213000,1564000,47972000,522694000,823095000,197597000,16384000,181213000,915466000,-171672000,301179000,301179000,1124274000,-9652000.00000001,-266864000,-5387000,-1260000,629000,6084000,-7973000,56011000,20050000,14902000,8225000,12834000,52654000,8909000,113000,113000,8796000,-2743000,0,-1.5e+07,-2.15e+08,-23833000,-1352000,-36994000,12917000,12917000,-3100000,9817000.00000001,-19604000,460445000,42944000,0.10609,0.06937,1.30212,-0.88606,-0.23737,-0.16092,2.43117,2.73291,0.40955,-4.38143,-4.35163,-3.36485,4.94482,0.70506,-3.46944695195361e-18,-0.32099,0.05165,0,-12.71649,-17.53492
"41","2020_Q2",16.7865079365079,"Down",146674000,-77986000,68688000,-53703000,-51831000,-1872000,14985000,-7047000,-318000,7938000,7322000,-950000,6372000,2121000,2121000,2121000,206780000,206780000,122027000,122027000,79508000,44417000.0000001,42720000,452732000,56094000,399686000,263969000,51235000,84482000,455780000,908512000,100924000,68790000,32134000,56346000,56346000,157270000,286236000,111753000,19806000,19806000,1567000,90380000,397989000,555259000,204222000,16450000,187772000,921460000,-114412000,353253000,353253000,908512000,6372000,2121000,4779000,2182000,2820000,-522000,-116000,-17428000,3151000,-5767000,-6086000,-8726000,-22927000,-3025000,162000,162000,-3187000,213342000,-2419000,-1.75e+08,-1.75e+08,-15165000,2640000,-195222000,-4807000,-4807000,436000,-4371000,19764000,286236000,261000,0.4683,0.10217,0.01446,0.00600000000000012,0.00232999999999989,0.12306,2.87869,1.57185,0.31506,0.0353,0.035,2.44127,5.87961,0.00434,0.04026,0.00603999999999999,0.00035000000000001,1.1405,4.02024,5.30236999999999
"42","2020_Q3",19.82296875,"Up",133386000,-71292000,62094000,-52366000,-50245000,-2121000,9728000,7515000,786000,17243000,4724000,-806000,3918000,2162000.00000003,2162000.00000003,2162000.00000003,163437000,163437000,113294000,113294000,78046000,43386000,43386000,398163000,63065000,418114000,271828000,66501000,79785000,481179000,879342000,85874000,62291000,23583000,43687000,43687000,129561000,286367000,109049000,19742000,19742000,1782000,87525000,395416000,524977000,206224000,16508000,189716000,923622000,-117464000,354365000,354365000,879342000,3918000,2162000.00000003,5277000,2581000,3125000,-572000,28000,-15985000,10805000,3869000,-8278000,-22381000,-5814000,-3492000,288000,288000,-3780000,-36761000,0,2.98023223876953e-08,0,248000,248000,-1177000.00000003,-43752000,-43752000,409000,-43343000,15005000,286367000,-3666000,0.46552,0.07293,0.0162099999999999,0.0061,0.00246,-1.69565,3.07317,1.48146,0.32566,0.0359500000000003,0.0357299999999999,2.21826,5.89322,-0.06097,6.93889390390723e-18,0.00288,-0.00489,-2.22044604925031e-16,8.1926,12.63672
"43","2020_Q4",20.79140625,"Up",101879000,-59933000,41946000,-42940000,-40766000,-2174000,-994000,-14697000,-14697000,-15691000,-5337000,407000,-4930000,-4999000,-4999000,-4999000,163603000,163603000,93796000,93796000,78914000,43515000,43515000,379828000,60671000,411036000,271169000,62833000,77034000,471707000,851535000,73014000,52091000,20923000,49525000,49525000,122539000,286497000,106217000,19649000,19649000,2466000,84102000,392714000,515253000,209441000,16513000,192928000,918623000,-124050000,336282000,336282000,851535000,-4930000,-4999000,5317000,5403000,3184000,2312000,-93000,7875000,18789000,-2268000,-9882000,1236000,13038000,-2156000,185000,185000,-2341000,-646000,0,0,0,-12603000,-2888000,-9999000,2393000,2393000,-2227000,166000,4323000,286497000,9635000,0.41172,-0.00976,-0.04907,-0.01487,-0.00587,-1.92739,3.09965,1.53221,0.33645,-0.08356,-0.08337,1.70298,5.62119,0.16106,0,-0.00686,0.01322,0,28.42794,-123.63581
"44","2021_Q1",23.6913114754098,"Up",111353000,-66888000,44465000,-39827000,-37671000,-2156000,4638000,-2103000,-2103000,2535000,1140000,-943000,196999.999999999,1439000,1439000,1439000,152170000,152170000,84170000,84170000,69171000,35621000,35621000,341132000,61405000,421757000,281154000,62382000,78221000,483162000,824294000,64799000,45069000,19730000,40723000,40723000,105522000,2.55e+08,104546000,20190000,20190000,1708000,82648000,359546000,465068000,210011000,16519000,193492000,917671000,-100724000,359226000,359226000,824294000,196999.999999999,1439000,2841000,-4608000,495000,-9037000,3934000,14208000,12004000,13126000,-7835000,-3087000,12544000,-2672000,72999.9999999999,72999.9999999999,-2745000,138000,0,-32559000,2.55e+08,0,-1702967.6564399,-32528000,-19846000,-19846000,8413000,-11433000,7479000,2.55e+08,19958000,0.39932,0.04165,0.01292,0.00401,0.00175,13.86935,3.2328,1.29464,0.30936,0.02407,0.02398,1.86296,6.00994,0.3339,0,0.002,0.02777,0,13.74916,22.17119
"45","2021_Q2",26.5904761904762,"Up",119430000,-64166000,55264000,-45846000,-43710000,-2136000,9418000,-1989000,-1989000,7429000,7080000,-2258000,4822000,4598000,4598000,4598000,158568000,158568000,90531000,90531000,70701000,38015000,38015000,357815000,60219000,420541000,280977000,60097000,79467000,480760000,838575000,67733000,46954000,20779000,41971000,41971000,109704000,2.55e+08,105925000,19507000,19507000,1707000,84711000,360925000,470629000,212504000,16525000,195979000,922269000,-99095000,367946000,367946000,838575000,4822000,4598000,5458000,2802000,2581000,-264000,485000,-4190000,-6268000,-1387000,1847000,1618000,8667000,-1858000,47000,47000,-1905000,-1858000,-2394000,0,0,101000,101000,-1818000,4991000,4991000,1407000,6398000,14876000,2.55e+08,11086000,0.46273,0.07886,0.0385,0.0125,0.00548,2.41105,3.26164,1.27907,0.30409,0.07688,0.07652,1.99679,6.15181,0.18535,0.04003,0.00959,0.01521,0.52066,6.48239,10.23912
"46","2021_Q3",24.79765625,"Down",120654000,-65878000,54776000,-48019000,-45883000,-2136000,6757000,-2124000,-2124000,4633000,3584000,0,3584000,3182000,3182000,3182000,115254000,115254000,94984000,94984000,71774000,43431000,43431000,325443000,61258000,422300000,284731000,58980000,78589000,483558000,809001000,75450000,49736000,25714000,39805000,39805000,115255000,2.1e+08,102353000,19164000,19164000,1731000,81458000,312353000,427608000,213612000,16576000,197036000,925451000,-89938000,381393000,381393000,809001000,3584000,3182000,5508000,3264000,2647000,-134000,751000,-7748000,-3652000,-117999.999999998,2267000,-6245000,4579000,-3177000,548000.000000001,548000.000000001,-3725000,-3177000,0,-4.5e+07,-4.5e+07,81000,81000,-46625000,-45223000,-45223000,1909000,-43314000,12265000,2.1e+08,1340000,0.45399,0.056,0.02637,0.00834,0.00393,0.421120000000001,2.82368,1.12117,0.25958,0.05309,0.0528,2.01301,6.36323,0.02236,0,0.00459,0.00193,1.11022302462516e-16,7.72491,14.0219
"47","2021_Q4",21.443125,"Down",143149000,-76302000,66847000,-42529000,-40468000,-2061000,24318000,-1880000,-1880000,22438000,20867000,4390000,25257000,25031000,25031000,25031000,136279000,136279000,112590000,112590000,74743000,48205000,48205000,371817000,50147000,420738000,286933000,57626000,76179000,470885000,842702000,89690000,59898000,29792000,44753000,44753000,134443000,1.95e+08,96348000,19200000,19200000,2514000,74634000,291348000,425791000,217561000,16598000,200963000,950482000,-83400000,416911000,416911000,842702000,25257000,25031000,5472000,501000,2157000,7873000,-9529000,-19361000,-16772000,-2162000,9981000,-10408000,11643000,17932000,21806000,21806000,-3874000,20843000,0,-1.5e+07,-1.5e+07,2123000,2123000,-13233000,19253000,19253000,1772000,21025000,29790000,1.95e+08,23971000,0.46697,0.16988,0.17486,0.06004,0.0297,0.95765,2.76561,1.0213,0.2314,0.41806,0.41594,2.39084,6.96314,0.40036,0,0.03534,0.03384,0,1.97116,2.41471
"48","2022_Q1",18.8764516129032,"Down",145427000,-79158000,66269000,-47059000,-45216000,-1843000,19210000,-1145000,-1145000,18065000,12444000,-5895000,6549000,5266000,5266000,5266000,140352000,140352000,103233000,103233000,75347000,38503000,38503000,357435000,48590000,414222000,277593000,54545000,82084000,462812000,820247000,89229000,61958000,21597000,45535000,45535000,134764000,1.75e+08,98285000,17783000,18446816.9936011,4397000,76105000,273285000,408049000,219575000,16604934.7792264,205150226.173601,953339000,-92984000,412198000,412198000,820247000,6549000,5266000,10759000,3595000,1830000,2164000,-399000,8588000,7579000,-2190000,2600000,599000,29294000,-2507000,8000,8000,-2515000,-2507000,1.16415321826935e-10,-2e+07,-2e+07,-2305000,-2305000,-19840000,6947000.00000001,6947000.00000001,-2874000,4073000.00000001,29969000,1.75e+08,41945000,0.45569,0.13209,0.03621,0.01278,0.00642,7.96525,2.6523,0.98993,0.21335,0.0874699999999999,0.08679,2.41553,6.84657,0.6967,0,0.00768,0.06119,0,1.15613,1.80364
"49","2022_Q2",20.0970967741935,"Up",130903000,-71277000,59626000,-50482000,-48477000,-2005000,9144000,-1441000,-1441000,7703000,4966000,-1781000,3185000,2788000,2788000,2788000,126533000,126533000,112293000,112293000,83614000,38649000,38649000,361089000,47732000,403647000,273297000,51400000,78950000,451379000,812468000,86564000,63474000,23090000,45072000,45072000,131636000,1.75e+08,96026000,17356000,17356000,4354000,74316000,271026000,402662000,224439000,16622000,207817000,956127000,-103028000,409806000,409806000,812468000,3185000,-126779994.352703,5175000,6677000,2146187.0555329,-42012959.1209187,61094703.466408,-18978000,128849066.409229,8019915.67307971,-45054771.0003287,37024898.0726339,-4726000,-3160000,133000,133000,-3293000,-3160000,-2409000,0,-26945066.301186,85000,85000,-3717000,-11603000,-11603000,-2216000,-13819000,14319000,1.75e+08,-6038000,0.4555,0.06985,0.0213,0.0068,0.00343,-2.16571,2.74309,0.98257,0.21539,0.04631,0.04595,2.17429,6.80684,-0.10029,0.04001,0.00763,-0.00887,0.86406,3.3848,5.30042
"50","2022_Q3",19.41203125,"Down",136599000,-76618000,59981000,-52549000,-50668000,-1881000,7432000,-1026000,-1026000,6406000,3458000,-1337000,2121000,1221000,1221000,1221000,133430000,133430000,113460000,113460000,89479000,37694000,37694000,374063000,46480000,400919000,273437000,48608000,78874000,447399000,821462000,93544000,66422000,27122000,46772000,46772000,140316000,1.75e+08,93123000,16805000,16805000,5540000,70778000,268123000,408439000,224691000,16669000,208022000,957348000,-101284000,413023000,413023000,821462000,2121000,-435985983.058109,4987000,3132000,3824561.16659869,-146250877.362756,204908110.399224,-1058000,400245199.227688,33796747.0192391,-155372313.000986,110339694.217902,9403000,-1507000,30000,30000,-1537000,-1507000,0,-3.72529029846191e-09,-7.45058059692383e-09,67000.0000000005,67000,-1915000,5981000,5981000,916000,6897000,12419000,1.75e+08,11191000,0.4391,0.05441,0.00894,0.00296,0.00149,9.16544,2.66586,0.9889,0.21303,0.02028,0.02012,2.2689,6.86028,0.18588,0,0.00179,0.01643,0,3.34729,5.59338
