"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",42.2287301587302,"Down",34986000,-7467000,27519000,-15896000,-4107000,-9810000,-1979000,11623000,16458000,-538000,-20000,28081000,28081000,0,28081000,28081000,28081000,28081000,3132000,3132000,38667000,38667000,3110000,-18999804.3569157,44909000,258326000,5176000,5176000,263502000,308411000,51124000,51124000,4667000,4667000,55791000,3e+07,7830000,4136000,37830000,93621000,191606000,23111000,73000,214790000,214790000,308411000,28081000,9810000,-16029000,-12720000,9142000,-17741000,-17741000,5e+06,-30000,4970000,-3629000,-3629000,-3629000,21433000,3e+07,-9028000,0.78657,0.33222,0.80264,0.13074,0.09105,-0.3215,0.80495,0.43587,0.09727,1.87307,1.85647,2.33364,14.32697,-0.60219,0.11116,-0.03574,1.25358,2.31162
"2","2017_Q3",38.2447619047619,"Down",36282000,-7925000,28357000,-16897000,-3702000,-11076000,-2119000,11460000,9869000,-1274000,82000,21329000,21329000,4.65661287307739e-10,21329000,21329000,21329000,21329000,10105000,10105000,42807000,42807000,5772000,2672000,58684000,272461000,6007000,5423000,278468000,337152000,59263000,59263000,1.86264514923096e-09,1.86264514923096e-09,59263000,3.7e+07,4193000,4103000,41193000,100456000,192509000,44114000,73000,236696000,236696000,337152000,21329000,11076000,-9259000,3729000,26875000,-25842000,-25842000,6999999.99999999,-1059999.99999988,5940000,6973000,6973000,6973000,22536000,3.7e+07,423000,0.78157,0.31586,0.58787,0.09011,0.06326,0.01983,0.99023,0.42441,0.10974,1.42269,1.41721,2.42009,15.78815,0.0282199999999999,0.07675,0.00152,1.19342,2.34686
"3","2017_Q4",37.9765079365079,"Down",34459000,-7653000,26806000,-19259000,-6932000,-10659000,-1668000,7547000,-13494000,-1202000,-17000,-5947000,-5947000,0,-5947000,-5947000,-5947000,-5947000,7487000,7487000,48096000,48096000,9255000,6140000,64838000,486060000,11343000,8823000,497403000,562241000,62236000,62236000,13634000,13634000,75870000,245055000,9554000,4631000,254609000,330479000,193522000,38167000,73000,231762000,231762000,562241000,-5947000,10659000,13674000,-4109000,14277000,-24261000,-224423000,2e+07,187528000,207528000,-2618000,-2618000,-2618000,18206000,245055000,-10164000,0.77791,0.21901,-0.17258,-0.02566,-0.01058,1.7091,0.85459,1.42594,0.43585,-0.39663,-0.39663,2.29819,15.45698,-0.67787,-0.01223,-0.0209,13.04888,31.47847
"4","2018_Q1",39.6747540983607,"Up",54327000,-9473000,44854000,-23612000,-3460000,-17104000,-3048000,21242000,-36986000,-3378000,13000,-15744000,-15744000,4943000,-10801000,-10801000,-10801000,-10801000,11017000,11017000,69821000,69821000,6250000,-1842027.46278625,87088000,529059000,13450000,8507000,542509000,629597000,96181000,96181000,27777000,27777000,123958000,265267000,18733000,4833000,2.84e+08,407958000,194273000,27366000,0,221639000,221639000,629597000,-10801000,17104000,30518000,-5405000,31416000,-46974000,-47661000,2.16e+08,-196225000,19775000,3530000,3530000,3530000,38346000,265267000,-18976000,0.82563,0.391,-0.19881,-0.04873,-0.01716,1.75687,0.70256,1.84064,0.42133,-0.71978,-0.71615,3.62035,14.77003,-1.26456,-0.02136,-0.03753,6.63042,11.96921
"5","2018_Q2",59.68203125,"Up",77211000,-10655000,66556000,-32644000,-6471000,-22081000,-4092000,33912000,-23454000,-4601000,-58000,10458000,10458000,-163000,10295000,10295000,10295000,10295000,7319000,7319000,55957000,55957000,6756000,-8596997.91771173,70032000,691283000,8085000,3273000,699368000,769400000,97134000,97134000,36820000,36820000,133954000,383766000,21416000,5308000,405182000,539136000,195262000,35002000,0,230264000,230264000,769400000,10295000,22081000,21268000,-14962000,38682000,-76288000,-159626000,1.18e+08,-754000,117246000,-3698000,-3698000,-3698000,55993000,383766000,-35094000,0.862,0.43921,0.13334,0.04471,0.01338,-3.40884,0.52281,2.34138,0.49879,0.68442,0.68265,5.13303,15.30807,-2.33307,0.0162,-0.05523,6.72311,11.1007
"6","2018_Q3",81.7071428571429,"Up",111580000,-13304000,98276000,-42390000,-5322000,-31273000,-5795000,55886000,-58407000,-6150000,-16000,-2521000,-2521000,0,-2521000,-2521000,-2521000,-2521000,11521000,11521000,71572000,71572000,5227000,33000.0000000075,88320000,791624000,7790000,2956000,799414000,887734000,127982000,127982000,63257000,63257000,191239000,432824000,35059000,5493000,467883000,659122000,196131000,32481000,0,228612000,228612000,887734000,-2521000,31273000,53973000,-988999.999999996,81736000,-122537000,-126034000,48500000,2.98023223876953e-08,48500000,4202000,4202000,4202000,87159000,432824000,-36367000,0.88077,0.50086,-0.0225900000000001,-0.01103,-0.00284,14.42562,0.46183,2.88315,0.48756,-0.16742,-0.16742,7.41001,15.1821,-2.41513,-0.00362,-0.05221,4.83373,7.53861
"7","2018_Q4",64.8612698412698,"Down",127185000,-14826000,112359000,-48323000,-6155000,-35016000,-7152000,64036000,-47770000,-7322000,241000,16266000,16266000,10000,16276000,16276000,16276000,16276000,8011000,8011000,72045000,72045000,7446000,27562434.3535703,87502000,858766000,7368000,2578000,866134000,953636000,111962000,111962000,80641000,80641000,192603000,472344000,42781000,5211000,515125000,707728000,197151000,48757000,0,245908000,245908000,953636000,16276000,35016000,42575000,-21380000,72487000,-116445000,-114997000,3.9e+07,0,3.9e+07,-3510000,-3510000,-3510000,99052000,472344000,-38783000,0.88343,0.50349,0.12797,0.06619,0.01707,-2.38283,0.45431,2.87802,0.49531,1.0806,1.06074,8.4441,16.32638,-2.57489,0.02139,-0.05096,4.68777,7.25112
"8","2019_Q1",53.3173770491803,"Down",124856000,-15720000,109136000,-54215000,-8116000,-39591000,-6508000,54921000,105435000,-8389000,2099000,160356000,201105000,-370000,200735000,200735000,200735000,200735000,17864000,17864000,66038000,66038000,42528000,34932000,126430000,927994000,14530000,2481000,942524000,1068954000,103700000,103700000,991000,991000,104691000,511375000,5533000,5533000,516908000,621599000,197781000,249492000,82000,447355000,447355000,1068954000,200735000,39591000,-195607000,34508000,79227000,-107639000,-107639000,38500000,-235000,38265000,9853000,9853000,9853000,94512000,511375000,21751000,0.87409,0.43987,1.60773,0.44872,0.18779,0.108359999999998,1.20765,1.3895,0.47839,13.31664,12.7979,8.28287,29.67726,1.44295,0.20817,0.02256,5.22168,8.98583
"9","2019_Q2",37.0884126984127,"Down",105228000,-14933000,90295000,-51627000,-7065000,-38870000,-5692000,38668000,-77389000,-9478000,106000,-38721000,-38721000,24000,-38697000,-38697000,-38697000,-38697000,4655000,4655000,70148000,70148000,10918000,2658000,85721000,989830000,5521000,4555000,995351000,1081072000,117268000,117268000,25107000,25107000,142375000,515919000,13834000,7684000,529753000,672128000,198162000,210701000,81000,408944000,408944000,1081072000,-38697000,38870000,71176000,-2090000,69259000,-86468000,-86468000,4e+06,0,4e+06,-13209000,-13209000,-13209000,77538000,515919000,-11044000,0.85809,0.36747,-0.36774,-0.09463,-0.0358,0.2854,0.60208,1.64357,0.47723,-2.56305,-2.56305,6.96966,27.08597,-0.73149,-0.04122,-0.01177,6.59372,13.22189
"10","2019_Q3",30.9090625,"Down",122767000,-16770000,105997000,-58109000,-6232000,-44298000,-7579000,47888000,4554999.99999997,-9056000,8000,52443000,52443000,-818000,51625000,51625000,51625000,51625000,12796000,12796000,52471000,52471000,15622000,7182000,80889000,1038687000,10168000,7412000,1048855000,1129744000,111993000,111993000,14203000,14203000,126196000,531476000,10518000,8236000,541994000,668190000,199148000,262326000,80000,461554000,461554000,1129744000,51625000,44298000,-10944000,124000,85103000,-89444000,-89444000,1.5e+07,-2518000,12482000,8141000,8141000,8141000,92186000,531476000,3684000,0.8634,0.39007,0.42051,0.11185,0.0457,0.0713600000000002,0.64098,1.4477,0.47044,3.41752,3.38525,8.12704,30.55435,0.24388,0.05144,0.00367,5.62645,10.83111
