"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.8052380952381,"Up",164721000,-75426000,89295000,-56589000,-47115000,-9474000,32706000,-1241000,-1080000,-161000,31465000,31465000,-10900000,20565000,20565000,20565000,20565000,11633000,11633000,119109000,119109000,66410000,24997000,3874000,222149000,136150000,146984000,91740000,37183000,10014000,8047000,283134000,505283000,51640000,24021000,12025000,15594000,14051000,51697000,51697000,117388000,8e+07,77391000,74391000,157391000,274779000,261245000,19618000,-50359000,230504000,230504000,505283000,20565000,8578000,-1846000,-11256000,16041000,-2915000,-16702.5403898793,-6704061.01059254,-2915000,-12002000,-3369000,7932000,7984000,-52000,7e+05,-6739000,6387000,6387000,-166000,6221000,41284000,94051000,38013000,0.5421,0.19855,0.12485,0.08922,0.0407,1.84843,1.89243,1.19208,0.18614,0.12109,0.11382,0.96989,1.35723,0.22382,0.07067,0.08102,0.09457,0.58361,1.99637,2.51997
"2","2010_Q3",8.2990625,"Down",192088000,-90168000,101920000,-62711000,-53239000,-9472000,39209000,-773000,-1041000,268000,38436000,38436000,-13600000,24836000,24836000,24836000,24836000,40077955.6733398,40155670.1998968,149084048.045872,149084048.045872,78822893.3484373,19083862.8498987,-3068993.54376791,287068759.917548,131555693.657295,139553472.951291,91667996.1718772,34188137.8993276,5814821.39723627,7882517.48284995,271109166.608586,558177926.526134,59003451.0343361,31769783.2000941,11481786.2291503,15751881.6050917,14877041.7083119,51498802.881225,51498802.881225,125379295.623873,129518105.609922,60739441.4561858,60005590.7665677,190257547.066108,315636842.689981,263511719.208182,22748096.0016318,-43718731.37366,242541083.836154,242541083.836154,558177926.526134,24836000,8741000,826000,-22399000,12004000,-3087000,0,-1499000,-4586000,-12120000,113000,-2579000,831000,-3410000,2e+05,-14386000,-6967999.99999999,-6967999.99999999,213000,-6755000,47950000,2.98023223876953e-08,36064000,0.53059,0.20412,0.12929,0.137282682201991,0.0607957300231924,1.45209,2.29286796869794,1.28615622783147,0.257405216268435,0.13531,0.13531,1.0465,1.23639555979421,0.19648,0.06603,0.104087945096339,0.111435570664041,0.488,1.87361428633932,2.19166094570696
"3","2010_Q4",10.0615625,"Up",189963000,-85405000,104558000,-61135000,-51872000,-9263000,43423000,-1292000,-1038000,-254000,42131000,42131000,-11700000,30431000,30431000,30431000,30431000,9666000,9666000,135583000,135583000,85342000,23077000,2636000,253668000,132324000,141148000,91740000,31274000,9618000,8516000,273472000,527140000,65905000,24869000,11977000,29059000,11066000,46338000,46338000,123309000,9e+07,65977000,65977000,155977000,279286000,265221000,30035000,-47402000,247854000,247854000,527140000,30431000,8177000,3511000,-7725000,34394000,-3576000,0,2.3283064365387e-10,-3576000,-12049000,6662000,-19904000,852000,-20756000,1e+05,-25191000,5627000,5627000,-839000,4788000,51600000,101066000,51999000,0.55041,0.22859,0.16019,0.12278,0.05773,1.70875,2.05717,1.12682,0.19173,0.16732,0.16732,1.04449,1.36279,0.28591,0.06625,0.10239,0.12533,0.39594,1.77132,2.10488
"4","2011_Q1",11.5461290322581,"Up",197293000,-89621000,107672000,-69869000,-60379000,-9490000,37803000,-1295000,-1025000,-270000,36508000,36508000,-9500000,27008000,27008000,27008000,27008000,9591000,9591000,124593000,124593000,91620000,26604000,7957000,252408000,134185000,143881000,91740000,28338000,14696000,9107000,278066000,530474000,67186000,19669000,12610000,34907000,8183000,44385000,44385000,119754000,70255000,76351000,76351000,146606000,266360000,272121000,44436000,-52443000,264114000,264114000,530474000,27008000,8477000,1297000,1902000,38684000,-7042000,0,-650000,-7692000,-11975000,-22616000,3127000,3127000,0,988000,-30476000,516000,516000,-591000,-75000,46280000,78438000,50640000,0.54575,0.19161,0.13689,0.10226,0.05091,1.875,2.10772,1.0085,0.14786,0.15903,0.14806,1.16168,1.55513,0.29817,0.07051,0.09306,0.12089,0.44339,1.48762,1.8212
"5","2011_Q2",13.4255555555556,"Up",217679000,-93282000,124397000,-67328000,-57397000,-9931000,57069000,-616000,-616000,0,56453000,56453000,-19200000,37253000,37253000,37253000,37253000,102509000,102509000,153541000,153541000,102785000,21690000,2418000,380525000,133389000,141508000,91740000,25461000,15267000,9040000,274897000,655422000,59913000,28930000,12621000,18362000,11192000,50658000,50658000,121763000,1.5e+08,77437000,77437000,227437000,349200000,288448000,69066000,-51292000,306222000,306222000,655422000,37253000,8427000,-337000,-31163000,14180000,-4374000,774949.783425963,-2637448.84984272,-4374000,-12612000,82386000,12437000,12437000,0,1200000,83411000,93217000,93217000,-299000,92918000,65496000,161192000,49159000,0.57147,0.26217,0.17114,0.12165,0.05684,1.3196,3.12513,1.14035,0.24594,0.20237,0.20237,1.18252,1.66353,0.26705,0.06851,0.09152,0.09022,0.33855,0.89598,1.02828
"6","2011_Q3",11.611875,"Down",234663000,-102217000,132446000,-74191000,-63837000,-10354000,58255000,-2056000,-1732000,-324000,56199000,56199000,-18100000,38099000,38099000,38099000,38099000,119267000,119267000,159807000,159807000,113494000,24568000,3616000,417136000,132938000,142195000,93400000,23250000,15550000,9995000,275133000,692269000,64519000,27418000,12751000,24350000,13935000,42832000,42832000,121286000,1.5e+08,78246000,78246000,228246000,349532000,298832000,94305000,-50400000,342737000,342737000,692269000,38099000,9115000,701000,-18204000,29711000,-5922000,-2139000,0,-8061000,-12730000,2581000.00000001,6268000,6268000,-1.86264514923096e-09,-631000,-4512000,17138000,17138000,-380000,16758000,67370000,163935000,61344000,0.56441,0.24825,0.16236,0.11116,0.05503,1.61012,3.43928,1.01983,0.23681,0.2046,0.2046,1.26021,1.84059,0.32943,0.06836,0.0869,0.10488,0.33413,0.66303,0.76677
"7","2011_Q4",11.4544444444444,"Down",227347000,-100998000,126349000,-69547000,-59124000,-10423000,56802000,-3450000,-3125000,-325000,53352000,53352000,-16800000,36552000,36552000,36552000,36552000,274832000,274832000,156430000,156430000,111727000,22209000,3305000,565198000,134425000,139986000,93400000,20646000,15230000,10710000,274411000,839609000,71777000,29889000,12608000,29280000,8088000,48618000,48618000,128483000,3e+08,77564000,77564000,377564000,506047000,298348000,84648000,-49434000,333562000,333562000,839609000,36552000,8766000,4163000,15398000,64879000,-7361000,0,-1499000,-8860000,-12774000,144591000,-33392000,1858000,-35250000,1e+05,98525000,154544000,154544000,1021000,155565000,65568000,308088000,90405000,0.55575,0.24985,0.16078,0.10958,0.04353,2.47333,4.39901,1.5171,0.36694,0.19839,0.19839,1.23394,1.81043,0.49068,0.06933,0.06858,0.1257,0.34947,0.5072,0.58547
"8","2012_Q1",13.6559677419355,"Up",215594000,-98581000,117013000,-69625000,-58779000,-10846000,47388000,-3664000,-3658000,-5999.99999999994,43724000,43724000,-13300000,30424000,30424000,30424000,30424000,303150000,303150000,150912000,150912000,105347000,23561000,5887000,582970000,138248000,153091000,93400000,18118000,29752000,11821000,291339000,874309000,73028000,27402000,13445000,32181000,8658000,49596000,49596000,131282000,3e+08,120287000,120287000,420287000,551569000,301754000,97467000,-76481000,322740000,322740000,874309000,30424000,6175000,2458000,14217000,53274000,-6197000,-7.45058059692383e-09,-505000,-6702000.00000001,-12530000,683999.99999997,-6331999.99999999,1668000,-8000000.00000001,395000,-17783000,28789000,28789000,-471000,28318000,53563000,308658000,74883000,0.54275,0.2198,0.14112,0.09427,0.0348,2.46131,4.44059,1.70902,0.35303,0.16725,0.16725,1.1852,1.77422,0.41166,0.06888,0.05714,0.09962,0.41185,0.10283,0.11623
"9","2012_Q2",14.4326984126984,"Up",234122000,-101943000,132179000,-74210000,-62572000,-11638000,57969000,-3988000,-3689000,-299000,53981000,53981000,-18600000,35381000,35381000,35381000,35381000,326771000,326771000,172158000,172158000,110071000,23056000,4139000,632056000,138697000,154941000,93400000,15590000,31762000,14189000,293638000,925694000,63197000,30921000,13495000,18781000,10520000,59843000,59843000,133560000,3e+08,121112000,121112000,421112000,554672000,326903000,119104000,-74985000,371022000,371022000,925694000,35381000,8075000,-2777000,-17225000,23454000,-6513000,-165796929.600962,-1357000,-7870000,-13451000,1735000,19842000,20114000,-272000,-321000,7805000,23389000,23389000,232000,23621000,66044000,310520000,60906000,0.56457,0.2476,0.15112,0.09536,0.03822,1.72143,4.73237,1.49498,0.33545,0.19227,0.19227,1.27231,2.01627,0.33099,0.0731,0.06084,0.07588,0.38018,-0.24606,-0.28034
"10","2012_Q3",13.8046031746032,"Down",268184000,-128654000,139530000,-87055000,-74553000,-12502000,52475000,-2123000,-5359000,3236000,50352000,50352000,-1.6e+07,34352000,34352000,34352000,34352000,449901000,23088000,192614000,192614000,124428000,26984000,6694000,793927000,154269000,371525000,167316000,156634000,33293000,14282000,525794000,1319721000,71269000,31730000,13634000,25905000,6336000,76314000,76314000,153919000,627180000,147234000,130059000,774414000,928333000,334525000,139724000,-82861000,391388000,391388000,1319721000,34352000,10306000,-360999.999999999,-3084000,41213000,-3664000,-227323000,-427239000,-658226000,-13592000,323198000,3272000,3272000,0,4e+05,313278000,-303735000,-303735000,52000,-303683000,62781000,633516000,72033000,0.52028,0.19567,0.12809,0.08777,0.02603,2.09691,5.15808,2.3719,0.48004,0.18527,0.18527,1.44642,2.11091,0.3885,0.07331,0.0409,0.06145,0.39567,2.92469,3.49909
"11","2012_Q4",14.2232258064516,"Up",256472000,-116539000,139933000,-83602000,-71117000,-12485000,56331000,-2e+06,-5233000,3233000,54331000,54331000,-17200000,37131000,37131000,37131000,37131000,454128000,27315000,174939000,174939000,120586000,26353000,6124000,776006000,152866000,371096000,171883000,154697000,30001000,14515000,523962000,1299968000,73676000,28587000,13634000,31455000,7611000,62511000,62511000,143798000,589620000,139069000,121314000,728689000,872487000,342491000,162880000,-77890000,427481000,427481000,1299968000,37131000,10063000,5210000,14930000,67334000,-3603000,-12745000,-333000,-16681000,-13611000,-36429000,3261000,3671000,-410000,1300000,-45479000,5174000,5174000,-947000,4227000,66394000,597231000,94921000,0.54561,0.21964,0.14478,0.08686,0.02856,2.55638,5.3965,2.041,0.45942,0.20035,0.20035,1.38384,2.30654,0.51216,0.07344,0.0436,0.08156,0.36657,2.15536,2.5404
"12","2013_Q1",16.5028333333333,"Up",253678000,-114790000,138888000,-80986000,-68690000,-12296000,57902000,760000,-4992000,5752000,58662000,58662000,-16400000,42262000,42262000,42262000,42262000,457933000,31120000,172143000,172143000,121549000,25371000,7629000,776996000,151544000,393194000,181228000,151773000,38550000,21643000,544738000,1321734000,78145000,28938000,15206000,34001000,8133000,65393000,65393000,151671000,556480000,159469000,137779000,715949000,867620000,348562000,189297000,-83745000,454114000,454114000,1321734000,42262000,10318000,-4666000,9767000,57681000,-4454000,-2.98023223876953e-08,-7289000,-11743000,-13648000,-32643000,2441000,3137000,-696000,917000,-42933000,3005000,3005000,8e+05,3805000.00000003,68220000,564613000,89933000,0.5475,0.22825,0.1666,0.09306,0.03197,2.12799,5.1229,1.91058,0.42718,0.22749,0.22749,1.36553,2.44447,0.4841,0.07347,0.04745,0.07633,0.32294,1.56376,1.84242
"13","2013_Q2",17.63140625,"Up",269046000,-118402000,150644000,-79147000,-66726000,-12421000,71497000,-367000,-4762000,4395000,71130000,71130000,-1.9e+07,52130000,52130000,52130000,52130000,462948000,36970000,183969000,183969000,130276000,26299000,7026000,803492000,148767000,380993000,177334000,143332000,38397000,21930000,529760000,1333252000,69670000,32121000,15231000,22318000,6618000,70634000,70634000,146922000,520990000,158422000,137778000,679412000,826334000,371363000,226209000,-90654000,506918000,506918000,1333252000,52130000,9272000,-896000,-21307000,39199000,-1720000,0,702000,-1018000,-15192000,-36770000,17718000,17718000,0,1700000,-32544000,5637000,5637000,213000,5850000,80769000,527608000,76742000,0.55992,0.26574,0.19376,0.10284,0.0391,1.47213,5.46883,1.63011,0.39573,0.27844,0.27844,1.43703,2.70755,0.40989,0.08114,0.05643,0.06433,0.29143,0.80055,0.90437
"14","2013_Q3",20.59046875,"Up",286020000,-127281000,158739000,-83522000,-71055000,-12467000,75217000,6226000,-4625000,10851000,81443000,81443000,-23600000,57843000,57843000,57843000,57843000,453547000,27569000,196679000,196679000,133304000,27046000,7568000,810576000,149030000,380894000,178211000,141521000,39505000,21657000,529924000,1340500000,78396000,34312000,15416000,28668000,7798000,68677000,68677000,154871000,465790000,159722000,138764000,625512000,780383000,384707000,261944000,-86534000,560117000,560117000,1340500000,57843000,9365000,285000,-6531000,60962000,-6103000,9.31322574615479e-10,20999.9999999963,-6082000.00000001,-15312000,-54092000,1923000,8257000,-6334000,1600000,-65881000,-11001000,-11001000,1600000,-9401000,84582000,473588000,95548000,0.55499,0.26298,0.20223,0.10327,0.04315,1.65185,5.23388,1.39325,0.35329,0.30683,0.30683,1.51719,2.97113,0.50683,0.08122,0.0613,0.08006,0.26472,0.23694,0.26644
