"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2017_Q4",13.8142857142857,"Up",325489000,-183514000,141975000,-136034000,-129122000,-6348000,-564000,5941000,-5774000,-6350000,576000,167000,167000,-5000,162000,162000,162000,162000,92913000,92913000,39044000,39044000,423540000,50574000,48934000,1640000,606071000,129955000,384454000,2.57e+08,1.1e+08,17454000,514409000,1120480000,160340000,160340000,103886000,103886000,264226000,487197000,105960000,91392000,14568000,593157000,857383000,346473000,-72010000,-11366000,263097000,263097000,1120480000,162000,6348000,2015000,-83137000,-74612000,-8920000,-8920000,-1288000,-45000,-1333000,-84865000,-84865000,-837000,-85702000,12289000,487197000,-79763000,0.43619,0.01825,5e-04,0.00062,0.00014,-492.3642,2.29376,3.25881,0.43481,0.00505,0.00504,10.14142,8.19745,-2.48522,0.00019,-0.09315,32.0843,66.3666
"16","2018_Q1",18.4732786885246,"Up",510633000,-312212000,198421000,-168731000,-161135000,-5879000,-1717000,29690000,-11807000,-7287000,-4520000,17883000,17883000,21869000,39752000,39752000,39752000,39752000,195581000,195581000,49860000,49860000,332297000,29015000,26659000,2356000,606753000,136501000,380881000,2.57e+08,1.1e+08,13881000,517382000,1124135000,155874000,155874000,100257000,100257000,256131000,486248000,74663000,59137000,15526000,560911000,817042000,347495000,-29810000,-10592000,307093000,307093000,1124135000,39752000,5879000,-31199000,101812000,116244000,-8934000,-7990000,-1287000,-1588000,-2875000,105379000,105379000,-1051000,104328000,35569000,486248000,106578000,0.38858,0.05814,0.07785,0.12945,0.03536,2.68106999999998,2.36892,2.66057,0.43255,1.23519,1.23083,15.86654,9.54209,3.31162,0.0458,0.12279,8.17192000000001,9.79006000000021
"17","2018_Q2",22.15625,"Up",299825000,-166800000,133025000,-130498000,-1.24e+08,-6161000,-337000,2527000,-10776000,-6912000,-3864000,-8249000,-8249000,5619000,-2630000,-2630000,-2630000,-2630000,141616000,141616000,48610000,48610000,304543000,43676000,41595000,2081000,538445000,138495000,375557000,2.57e+08,1.1e+08,8557000,514052000,1052497000,97405000,97405000,95550000,95550000,192955000,485299000,69389000,58708000,10681000,554688000,747643000,348462000,-31380000,-12228000,304854000,304854000,1052497000,-2630000,6161000,1844000,-46572000,-41197000,-10748000,-10748000,-1288000,-610000,-1898000,-53843000,-53843000,-397000,-54240000,8688000,485299000,-54251000,0.44368,0.00843,-0.00877,-0.00863,-0.0025,20.62776,2.79052,2.45246,0.46109,-0.08187,-0.08187,9.33307,9.48962,-1.68875,-0.00306,-0.06312,39.55836,136.00435
"18","2018_Q3",23.5360317460317,"Up",307945000,-171179000,136766000,-135891000,-129041000,-6897000,46999.9999999998,875000.000000004,-6589000,-7001000,412000,-5714000,-5714000,428999.999999998,-5285000,-5285000,-5285000,-5285000,194391000,194391000,25925000,25925000,349597000,42920000,40967000,1953000,612833000,142261000,375349000,2.57e+08,1.1e+08,8349000,517610000,1130443000,186207000,186207000,91747000,91747000,277954000,484350000,68914000,58420000,10494000,553264000,831218000,349658000,-36665000,-13768000,299225000,299225000,1130443000,-5285000,6897000,2229000,62188000,66029000,-11455000,-11455000,-1287000,77000,-1210000,53363999.9999999,53363999.9999999,-717000,52647000,7772000,484350000,58076000,0.44412,0.00284,-0.01716,-0.01766,-0.00468,-10.98884,2.2048,2.7779,0.42846,-0.16407,-0.16407,9.55995,9.28924,1.80293,-0.0062,0.06813,37.30816,331.38171
"19","2018_Q4",16.2130158730159,"Down",341570000,-190608000,150962000,-142478000,-135274000,-7362000,158000,8484000,-9168000,-7303000,-1865000,-684000,-684000,3978000,3294000,3294000,3294000,3294000,105933000,105933000,41496000,41496000,431950000,51070000,49001000,2069000,630449000,145808000,372461000,2.57e+08,1.1e+08,5461000,518269000,1148718000,179036000,179036000,116367000,116367000,295403000,483401000,65708000,58462000,7246000,549109000,844512000,351384000,-33371000,-13807000,304206000,304206000,1148718000,3294000,7362000,2054000,-89790000,-77080000,-10830000,-10830000,-1290000,-10000,-1300000,-89210000,-89210000,868000,-88342000,15846000,483401000,-88752000,0.44197,0.02484,0.00964,0.01083,0.00287,-26.94353,2.1342,2.77612,0.42082,0.10226,0.10194,10.60414,9.44417,-2.75533,0.00386,-0.10401,23.82103,44.49175
"20","2019_Q1",17.0495081967213,"Up",502252000,-306949000,195303000,-164590000,-157275000,-7138000,-177000,30713000,-6435000,-7693000,1258000,24278000,24278000,-8067000,16211000,16211000,16211000,16211000,193405000,193405000,34549000,34549000,321905000,38522000,36574000,1948000,588381000,149894000,372636000,2.57e+08,1.1e+08,5636000,522530000,1110911000,123827000,123827000,117424000,117424000,241251000,482453000,64496000,58670000,5826000,546949000,788200000,353053000,-17159000,-13183000,322711000,322711000,1110911000,16211000,7138000,2290000,74809000,100448000,-11363000,-11363000,-1285000.00000001,-60000,-1345000,87740000,87740000,-389000,87351000,37851000,482453000,109364000,0.38885,0.06115,0.03228,0.05023,0.01459,6.74628,2.43887,2.44243,0.43429,0.50326,0.48459,15.59208,10.01835,3.39513,0.01864,0.12575,7.63647,9.41126000000003
"21","2019_Q2",15.1098412698413,"Down",262433000,-142559000,119874000,-124610000,-116844000,-7618000,-148000,-4736000,-6967000,-7834000,867000,-11703000,-11703000,4885000,-6818000,-6818000,-6818000,-6818000,40221000,40221000,27510000,27510000,319319000,37125000,35304000,1821000,424175000,152405000,401800000,2.57e+08,1.1e+08,34800000,554205000,978380000,98623000,98623000,98108000,98108000,196731000,381504000,84940000,56108000,28832000,466444000,663175000,354340000,-25718000,-13417000,315205000,315205000,978380000,-6818000,7485000,-148000,-36809000,-36290000,-15042000,-15042000,-101287000,-687000,-101974000,-153306000,-153306000,-5000,-153311000,2749000,381504000,-53987000,0.45678,-0.01805,-0.02598,-0.02163,-0.00697,7.9183,2.15612,2.10395,0.38993,-0.21134,-0.21134,8.13468,9.77047,-1.67344,-0.00872,-0.06907,124.14805,-72.06144
"22","2019_Q3",10.5528125,"Down",298267000,-169182000,129085000,-129646000,-122260000,-7408000,22000,-560999.999999996,-5627000,-6235000,608000,-6188000,-6188000,3174000,-3014000,-3014000,-3014000,-3014000,82616000,82616000,24632000,24632000,405793000,41217000,39391000,1826000,554258000,153933000,401313000,2.57e+08,1.1e+08,34313000,555246000,1109504000,230158000,230158000,94804000,94804000,330112000,380555000,86572000,55516000,31056000,467127000,797239000,356648000,-28732000,-15651000,312265000,312265000,1109504000,-3014000,7541000,4127000,44674000,53328000,-9801000,-9801000,-1287999.99999999,-20999.9999999998,-1309000,42218000,42218000,182000,42400000,6980000,385705000,38679000,0.43278,-0.00188,-0.01011,-0.00965,-0.00272,-12.83311,1.679,2.55308,0.34764,-0.0931200000000001,-0.09312,9.21516,9.64763,1.19501,-0.00384,0.0493,43.42249,-540.2656
"23","2019_Q4",13.08390625,"Up",340023000,-185848000,154175000,-143267000,-135417000,-8075000,225000,10908000,-5956000,-6121000,165000,4952000,4952000,-1346000,3606000,3606000,3606000,3606000,15859000,15859000,38125000,38125000,499855000,49368000,47538000,1830000,603207000,155051000,403584000,2.57e+08,1.1e+08,36584000,558635000,1161842000,174312000,174312000,109740000,109740000,369202000,379606000,92549000,56109000,36440000,472155000,841357000,358972000,-25126000,-13361000,320485000,320485000,1161842000,3606000,8075000,3785000,-157455000,-141989000,-3644000,-3644000,78712000,-5000,78707000,-66926000,-66926000,173000,-66753000,18983000,464756000,-140770000,0.45343,0.03208,0.01061,0.01125,0.0031,-39.03771,1.63381,2.62526,0.40002,0.1114,0.1114,10.50394,9.90037,-4.34865,0.00411,-0.16037,23.64732,41.15301
"24","2020_Q1",10.7125806451613,"Down",549478000,-330720000,218758000,-178932000,-169441000,-8035000,-1456000,39826000,-5525000,-5797000,272000,34301000,34301000,-8785000,25516000,25516000,25516000,25516000,77148000,77148000,50953000,50953000,375670000,41607000,39458000,2149000,545378000,157665000,410586000,2.57e+08,1.1e+08,43586000,568251000,1113629000,158436000,158436000,119980000,119980000,283566000,378657000,103024000,57651000,45373000,481681000,765247000,360980000,390000,-12988000,348382000,348382000,1113629000,25516000,8035000,3561000,115128000,152240000,-9485000,-9485000,-81287000,-50000,-81337000,61418000,61418000,190000,61608000,47861000,383807000,162289000,0.39812,0.07248,0.04644,0.07324,0.02291,6.36028000000001,1.92328,2.19657,0.34465,0.78819,0.78799,16.97334,10.7615,5.0131,0.03055,0.19431,6.40728,7.69996999999996
