"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2020_Q2",7.19063492063492,"Down",217008000,-122853000,94155000,-118867000,-105796000,-8786000,-4285000,-24712000,-5138000,-5311000,173000,-29850000,-29850000,9207000,-20643000,-20643000,-20643000,-20643000,59134000,59134000,35381000,35381000,383163000,48174000,46221000,1953000,525852000,155511000,406972000,2.57e+08,106700000,43272000,562483000,1088335000,101445000,101445000,88771000,88771000,648074000,365159356.805974,112363000,65446000,46917000,112363000,760437000,362398000,-20253000,-14247000,327898000,327898000,1088335000,-20643000,8786000,15352000,-83693000,-80198000,-10789000,-10789000,73712000,-410000,73302000,-17685000,-17685000,-525000,-18210000,-15926000,457858000,-119615000,0.43388,-0.11388,-0.09513,-0.06296,-0.01897,5.79446,0.81141,2.31913,0.4207,-0.63619,-0.63619,6.68787,10.10534,-3.68636,-0.02298,-0.13318,-25.03604,-16.13483
"26","2020_Q3",11.234375,"Up",312083000,-176661000,135422000,-124229000,-111480000,-9378000,-3371000,11193000,-6249000,-4916000,-1333000,4944000,4944000.00000001,-568000.000000002,4376000,4376000,4376000,4376000,62624000,62624000,24367000,24367000,441510000,49938000,48095000,1843000,578439000,153003000,405882000,2.57e+08,106700000,42182000,558885000,1137324000,202629000,202629000,104692000,104692000,307321000,381909000,111737000,65619000,46118000,493646000,800967000,365099000,-15877000,-12865000,336357000,336357000,1137324000,4376000,9378000,3286000,71141999.9999999,88182000.0000001,-8969000,-8969000,-76287000,-12999.9999999998,-76300000,2913000.00000001,2913000.00000001,467000,3380000,20571000,381909000,83311999.9999999,0.43393,0.03587,0.01402,0.01301,0.00385,19.03839,1.8822,2.3813,0.3358,0.13423,0.13423,9.5731,10.3177,2.55558,0.00527,0.10038,15.52112,28.52542
"27","2020_Q4",18.3746875,"Up",359982000,-196527000,163455000,-144772000,-134888000,-9627000,-257000,18683000,-8755000,-9005000,250000,9928000,9928000,-2752000,7176000,7176000,7176000,7176000,56137000,56137000,34238000,34238000,499759000,54866000,52731000,2135000,6.45e+08,149342000,405812000,2.57e+08,106700000,42112000,555154000,1200154000,174061000,174061000,153262000,153262000,341073000,403700000,110456000,65800000,44656000,514156000,855229000,367285000,-8701000,-13659000,344925000,344925000,1200154000,7176000,9627000,2995000,-53846000,-34048000,-5880000,-5880000,38937000,-5095000,33842000,-6086000,-6086000,-109000,-6195000,28310000,417450000,-28664000,0.45406,0.0519,0.01993,0.0208,0.00598,-3.99443,1.89109,2.47946,0.34783,0.22009,0.22009,11.0407,10.5789,-0.87913,0.00822,-0.03284,12.76273,19.33913
"28","2021_Q1",29.3290163934426,"Up",538375000,-325554000,212821000,-176843000,-166733000,-9552000,-558000,35978000,-8408000,-8522000,114000,27570000,27570000,-7643000,19927000,19927000,19927000,19927000,33933000,33933000,37574000,37574000,382106000,42217000,40356000,1861000,495830000,145288000,404390000,2.57e+08,106700000,40690000,549678000,1045508000,134007000,134007000,167165000,167165000,314922000,270632000,90251000,47346000,42905000,360883000,675805000,369698000,11226000,-11221000,369703000,369703000,1045508000,19927000,9552000,-13637000,101855000,117697000,-4511000,-4511000,-133437000,-482000,-133919000,-20733000,-20733000,-1745000,-22478000,45530000,284382000,150517000,0.3953,0.06683,0.03701,0.0539,0.01906,7.55342,1.57445,1.82797,0.272,0.61105,0.60467,16.509,11.33676,4.61553,0.02677,0.20222,5.50075,6.96117
"29","2021_Q2",27.307619047619,"Down",321297000,-173560000,147737000,-135869000,-125522000,-9904000,-443000,11868000,-8893000,-9060000,167000,2975000,2975000,-336000,2639000,2639000,2639000,2639000,36181000,36181000,41350000,41350000,394287000,38854000,36527000,2327000,510672000,139991000,402014000,2.57e+08,106700000,38314000,542005000,1052677000,105597000,105597000,150168000,150168000,269515000,322790000,90219000,47441000,42778000,413009000,682524000,367198000,13865000,-10910000,370153000,370153000,1052677000,2639000,9904000,4015000,-55260000,-38702000,-4942000,-4942000,51562000,-5048000,46514000,2870000,2870000,-156000,2714000,21772000,336540000,-38094000,0.45981,0.03694,0.00821,0.00713,0.00251,-14.43501,1.89478,1.8439,0.3197,0.08104,0.08082,9.86603,11.36624,-1.16975,0.00331,-0.0478,13.79565,25.30831
"30","2021_Q3",34.3490625,"Up",384109000,-206320000,177789000,-146440000,-136649000,-9791000,0,31349000,-8714000,-8837000,123000,22635000,22635000,-6414000,16221000,16221000,16221000,16221000,39223000,39223000,30203000,30203000,464291000,33229000,31127000,2102000,566946000,136714000,402036000,2.57e+08,106700000,38336000,538750000,1105696000,211916000,211916000,135722000,135722000,361388000,265020000,89465000,47469000,41996000,354485000,715873000,370683000,30086000,-10946000,389823000,389823000,1105696000,16221000,9791000,4334000,38881000.0000001,69227000,-7019000,-7019000,-58437000,-968000,-59405000,2803000,2803000,14000,2817000,41140000,278770000,79416000,0.46286,0.08161,0.04223,0.04161,0.01467,4.89588,1.5688,1.83641,0.25212,0.49341,0.48119,11.68392,11.85773,2.4157,0.0214,0.10476,5.82273,7.64129999999999
"31","2021_Q4",23.236875,"Down",375843000,-209028000,166815000,-147336000,-137408000,-9788000,-140000,19479000,-8163000,-8334000,171000,11316000,11316000,-3917000,7399000,7399000,7399000,7399000,37926000,37926000,44078000,44078000,479793000,43401000,41418000,1983000,605198000,133572000,400994000,2.57e+08,106700000,37294000,534566000,1139764000,184569000,184569000,148437000,148437000,346756000,307245000,87251000,47325000,39926000,394496000,741252000,372643000,37485000,-11616000,398512000,398512000,1139764000,7399000,9788000,1618000,-55684000,-36879000,-6778000,-6778000,41562000,-243000,41319000,-2338000,-2338000,922000,-1416000,29267000,320995000,-29278000,0.44384,0.05183,0.01969,0.01857,0.00649,-3.95702,1.74531,1.86005,0.28163,0.22506,0.21949,11.43249,12.12204,-0.89059,0.00917,-0.03629,9.67195,14.53201
"32","2022_Q1",17.8832258064516,"Down",555375000,-356256000,199119000,-182029000,-172188000,-9683000,-158000,17090000,-8047000,-8214000,167000,9043000,9043000,-1933000,7110000,7110000,7110000,7110000,34301000,34301000,49668000,49668000,384241000,38739000,36905000,1834000,506949000,129791000,399894000,2.57e+08,106700000,36194000,529685000,1036634000,145802000,145802000,151880000,151880000,311432000,234474000,84032000,46191000,37841000,318506000,629938000,374743000,44595000,-12642000,406696000,406696000,1036634000,7110000,9683000,2681000,57449000,76923000,-6499000,-6499000,-73437000,-84000.0000000002,-73521000,-3097000,-3097000,-677000,-3774000,26773000,248224000,79656000,0.35853,0.03077,0.0128,0.01748,0.00686,11.20338,1.6278,1.54892,0.23945,0.21833,0.21775,17.05383,12.48836,2.44599,0.00962,0.1078,7.99025,12.51744
"33","2022_Q2",13.1232258064516,"Down",303665000,-174490000,129175000,-125277000,-115693000,-9584000,-87294.2872472907,3898000,-8008000,-8169000,161000,-4110000,-4110000,1739000,-2371000,-2371000,-2371000,-2371000,22027000,22027000,52134000,52134000,436859000,41342000,39197000,2145000,552362000,127430000,401772000,2.57e+08,106700000,38072000,529202000,1081564000,130955000,130955000,96334000,96334000,241039000,356703000,85417000,45612000,39805000,442120000,683159000,371917000,42224000,-15736000,398405000,398405000,1081564000,-2371000,9584000,2261000,-131884000,-122410000,-6965000,-6965000,121562000,-4310000,117252000,-12123000,-12123000,160000,-11963000,13482000,370453000,-127106000,0.42539,0.01284,-0.00781,-0.00595,-0.00219,53.6086,2.29159,1.71474,0.34252,-0.0715,-0.0715,9.15674,12.01354,-3.83277,-0.00278,-0.14879,25.84379,89.38584
"34","2022_Q3",12.29796875,"Down",351178000,-207141000,144037000,-138495000,-128573000,-9883000,-39000,5542000,-8647000,-8813000,166000,-3105000,-3105000,926000,-2179000,-2179000,-2179000,-2179000,23505000,23505000,40917000,40917000,569174000,41358000,39267000,2091000,674954000,124626000,399575000,2.57e+08,106700000,35875000,524201000,1199155000,236015000,236015000,107735000,107735000,357500000,363948000,82762000,45516000,37246000,446710000,804210000,371577000,39947000,-16579000,394945000,394945000,1199155000,-2179000,9883000,2725000,-5544000,4885000,-7811000,-7811000,6563000,0,4206000.00000006,1280000,1280000,144000,1424000,15425000,377698000,1144000,0.41015,0.01578,-0.0062,-0.00552,-0.00182,-0.525010000000002,1.88798,2.03626,0.31497,-0.06532,-0.06532,10.5266,11.83852,0.0342900000000004,-0.00255,0.00134000000000001,22.96227,63.91068
