"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",9.4546875,"Down",18917000,17883000,505000,529000,6000,6000,523000,-9813000,-4605000,-3325000,1174000,-181000,-181000,993000,1097000,48000,1145000,1145000,1326000,1326000,108133000,13581000,17323000,11582000,22006000,172625000,78278000,3760000,9750000,92461000,80199000,-727000,692000,80164000,80164000,172625000,1145000,99000,-2567000,-3648000,-4971000,-1461000,-746000,-18462000,10700000,4983000,4983000,4983000,1273000,9750000,0.06206,0.0701,0.01654,0.00768,1.1534,0.05648,0.23256,0.23256,3.31773,14.05943,0.00923,-3.00943,-3.2632
"2","2016_Q1",7.25983606557377,"Down",19886000,19274000,442000,170000,46999.9999999999,47000,123000,-11523000,-6344000,-4170000,-2151000,-105000,-105000,-2256000,-2256000,-48000,-2304000,-2304000,-2304000,-2304000,117724000,12703000,18010000,12102000,17388000,177927000,83338000,3827000,12750000,100665000,80111000,-3031000,182000,77262000,77262000,177927000,-2304000,91000,1999000,6904000,6690000,-25457000,-10277000,250000,2709000,-878000,-878000,-878000,-2060000,12750000,-0.10817,-0.11586,-0.02982,-0.01295,1.3029,0.07166,-0.29972,-0.29972,2.58692,10.05082,-0.01323,-0.0228199999999998,-0.0218500000000001
"3","2016_Q2",6.61875,"Down",20970000,20109000,537000,324000,-8000,-8000,332000,-12699000,-6003000,-4139000,-1871000,-157000,-157000,-2028000,-2028000,0,-2028000,-2028000,-2028000,-2028000,119193000,15843000,19321000,12221000,17446000,184024000,88251000,5137000,13250000,107275000,80084000,-5059000,1724000,76749000,76749000,184024000,-2028000,92000,2001000,2911000,2976000,3733000,-105000,-5e+05,269000,3140000,3140000,3140000,-1779000,13250000,-0.08922,-0.09671,-0.02642,-0.01102,1.39774,0.072,-0.26549,-0.26549,2.7452,10.04729,-0.01134,1.45756,1.38589
"4","2016_Q3",7.765,"Up",23098000,21675000,528000,895000,541000,541000,354000,-13541000,-6014000,-4536000,-993000,-143000,-143000,-1136000,-1136000,623000,-513000,-513000,-513000,-513000,133216000,14166000,21950000,13182000,17548000,200062000,96062000,12501000,14750000,124061000,80069000,-5572000,1504000,76001000,76001000,200062000,-513000,105000,3241000,-565000,2268000,-2449000,-5225000,-5e+05,1280000,-1677000,-1677000,-1677000,-888000,14750000,-0.04299,-0.02221,-0.00675,-0.00256,1.63236,0.07373,-0.06755,-0.06755,3.04127,10.0069,-0.00274,-0.65766,-0.58812
"5","2016_Q4",7.65396825396825,"Down",24265000,23380000,560000,325000,71000,71000,254000,-14582000,-6265000,-4709000,-1291000,-168000,-168000,-1459000,-1459000,-16000,-1475000,-1475000,-1475000,-1475000,132394000,8540000,19762000,13203000,22020000,195919000,101469000,5094000,14250000,121415000,80107000,-7047000,1444000,74504000,74504000,195919000,-1475000,101000,1554000,790000,970000,3221000,-5922000,-5e+05,-674000,-5626000,-5626000,-5626000,-1190000,14250000,-0.0532,-0.06079,-0.0198,-0.00753,1.62964,0.07273,-0.19387,-0.19387,3.18929,9.79248,-0.00773,-4.79832,-4.42293
"6","2017_Q1",7.13951612903226,"Down",26079000,24463000,548000,1068000,761000,761000,307000,-18181000,-6998000,-4212000,-3312000,-179000,-179000,-3491000,-3891000,-530000,-4421000,-4421000,-4421000,-4421000,128530000,12493000,24538000,13290000,24850000,203701000,112777000,5380000,17750000,135907000,80342000,-11468000,-1080000,67794000,67794000,203701000,-4421000,103000,2429000,1841000,-48000,-15256000,501000,-5e+05,3500000,3953000,3953000,3953000,-3209000,17750000,-0.127,-0.16952,-0.06521,-0.0217,2.00471,0.08714,-0.57924,-0.57924,3.41687,8.88237,-0.02229,-1.63821,-1.58726
"7","2017_Q2",7.42968253968254,"Up",25167000,24140000,577000,450000,-8000,-8000,458000,-15733000,-6472000,-4530000,-1568000,-224000,-224000,-1792000,-1792000,-6000,-1798000,-1798000,-1798000,-1798000,133826000,10196000,23189000,12956000,27799000,207966000,118471000,5315000,17125000,141393000,80585000,-13266000,-746000,66573000,66573000,207966000,-1798000,1e+05,-926000,6550000,3926000,-5598000,-5598000,-625000,-625000,-2297000,-2297000,-2297000,-1468000,17125000,-0.0623,-0.07144,-0.02701,-0.00865,2.12388,0.08235,-0.23555,-0.23555,3.2971,8.72166,-0.00887,-4.72003,-4.41901
"8","2017_Q3",6.70952380952381,"Down",25592000,24497000,663000,432000,0,0,432000,-16674000,-6428000,-4370000,-1880000,-219000,-219000,-2099000,-1349000,281000,-1068000,-1068000,-1068000,-1068000,136189000,10863000,23018000,12649000,28684000,211403000,121896000,7165000,16375000,145436000,80808000,-14334000,-507000,65967000,65967000,211403000,-1068000,99000,-982000,5379000,3428000,-2011000,-2011000,-2750000,-750000,667000,667000,667000,-1781000,16375000,-0.0734599999999999,-0.04173,-0.01619,-0.00505,2.20468,0.07746,-0.13992,-0.13992,3.35278,8.64226,-0.00523,-3.09489,-2.93191
"9","2017_Q4",6.21730158730159,"Down",18867000,17658000,768000,441000,39000,39000,402000,-26468000,-6655000,-4474000,-18730000,-302000,-302000,-19032000,-19032000,135000,-18897000,-18897000,-18897000,-18897000,145855000,30846000,22233000,12753000,24622000,236309000,138425000,16380000,29010000,183815000,85979000,-33231000,-254000,52494000,52494000,236309000,-18897000,97000,913000,28039000,10152000,-7166000,-7166000,-16375000,16997000,19983000,19983000,19983000,-18633000,29010000,-0.99274,-1.00159,-0.35998,-0.07997,3.50164,0.12276,-2.46184,-2.46184,2.45794,6.83876,-0.08592,0.09853,0.09802
"10","2018_Q1",5.92459016393443,"Down",26526000,25434000,720000,372000,39000,39000,333000,-15042000,-6690000,-3993000,801000.000000004,-617000,-617000,184000,184000.000000004,37000,220999.999999996,220999.999999996,221000,221000,157650000,11868000,22845000,12781000,33888000,239032000,145568000,11611000,29027000,186206000,86199000,-33010000,-363000,52826000,52826000,239032000,220999.999999996,76000,1923000,-10636000,-8416000,-11179000,-11179000,0,617000,-18978000,-18978000,-18978000,877000,29027000,0.0301999999999998,0.00833000000000017,0.00417999999999996,0.000920000000000004,3.52489,0.12144,0.0259200000000002,0.0259200000000002,3.11072,6.19494,0.000969999999999999,19.56556,21.42197
