"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.6466666666667,"Up",602983000,-234507000,368476000,-219362000,-88481000,-130881000,149114000,-847000,-358000,-489000,148267000,148267000,-28667000,119600000,120459000,120459000,120459000,2178964000,914268000,313288000,313288000,243275000,105428000,29951000,2840955000,464456000,2040948000,-1576492000,1459000,391300000,4465000,253510000,76639000,56686000,857215000,3698170000,272961000,113746000,21293000,137922000,451431000,381425000,101161000,45912000,48048000,482586000,934017000,282919000,49616000,233303000,2496035000,-14801000,2764153000,2764153000,3698170000,120459000,31082000,17185000,45047000,213773000,-17179000,-17179000,-17179000,-25782000,-42961000,-58870000,163487000,53000,104670000,275482000,275482000,-943000,274539000,180196000,381425000,236731000,0.61109,0.24729,0.19977,0.04358,0.03257,1.96524,6.29322,0.3379,0.10314,0.40769,0.3953,2.04077,9.35514,0.8012,0.19924,16.8259051269617,0.05523,0.07291,0.48871,-9.97547,-12.0548
"2","2010_Q3",21.94125,"Up",668240000,-233725000,434515000,-220440000,-97660000,-122780000,214075000,-54999.9999999998,-543000,488000,214020000,214020000,-46880000,167140000,167140000,167140000,167140000,2386739000,1008372000,332157000,332157000,247662000,111750000,38466000,3078308000,453344000,2040067000,-1586723000,1640000,394805000,2580000,255538000,79906000,56781000,849789000,3928097000,356429000,104183000,84787000,167459000,564717000,383306000,89824000,34079000,48333000,473130000,1037847000,301347000,49665000,251682000,2603619000,-14716000,2890250000,2890250000,3928097000,167140000,30692000,-721000,81209000,278320000,-17490000,-17490000,-17490000,-112602000,-130092000,-59556000,5666000.00000003,72000.0000000001,-53818000,94410000,94410000,-305999.999999999,94104000,244767000,383306000,355366000,0.65024,0.32036,0.25012,0.05783,0.04255,2.12616,5.45106,0.35909,0.09758,0.5612,0.5465,2.24373,9.70452,1.1932,0.19997,12.3477250705343,0.0674,0.10566,0.35632,-8.18506,-9.35856
"3","2010_Q4",26.079375,"Up",720290000,-240088000,480202000,-229057000,-102070000,-126987000,251145000,176000,592000,-416000,251321000,251321000,-51830000,199491000,199491000,199491000,199491000,2508315000,993429000,357479000,357479000,265266000,103478000,32696000,3234538000,463751000,2073788000,-1610037000,1140000,404639000,1891000,250834000,83268000,68646000,869530000,4104068000,373652000,129967000,84017000,159668000,588379000,395756000,85458000,28749000,48711000,481214000,1069593000,315241000,49683000,265558000,2737161000,-17927000,3034475000,3034475000,4104068000,199491000,29191000,6464000,-10340000,224806000,-39125000,-39125000,-39125000,-133771000,-172896000,-65949000,802000,530000,-64617000,-12707000,-12707000,-2236000,-14943000,280336000,395756000,282701000,0.66668,0.34867,0.27696,0.06574,0.04861,1.41711,5.49737,0.35248,0.09643,0.66937,0.65157,2.41686,10.18188,0.94858,0.22129,9.13909002821372,0.0755,0.08041,0.33059,-7.53581,-8.41171
"4","2011_Q1",29.376935483871,"Up",769990000,-253761000,516229000,-230489000,-102349000,-128140000,285740000,2317000,-283000,2600000,288057000,288057000,-63063000,224994000,224994000,224994000,224994000,2687768000,1.07e+09,387169000,387169000,277478000,126584000,51874000,3478999000,472665000,2101545000,-1628880000,1317000,375850000,1343000,255580000,52765000,66162000,849832000,4328831000,400619000,133111000,60421000,207087000,643467000,400635000,85012000,1800000,74522000,485647000,1129114000,336746000,49777000,286969000,2896566000,-33595000,3199717000,3199717000,4328831000,224994000,29946000,19931000,-595000,274276000,-37763000,-37763000,-37763000,-102113000,-139876000,-65589000,6344000,372000,-58873000,75527000,75527000,1044000,76571000,315686000,400635000,340391000,0.67044,0.3711,0.2922,0.07032,0.05198,1.51289,5.40665,0.35288,0.09255,0.75444,0.73357,2.58189,10.72913,1.14138,0.21993,7,0.07885,0.09236,0.29151,-7.24496,-8.00425
"5","2011_Q2",29.6901587301587,"Up",728504000,-246331000,482173000,-222767000,-100022000,-122745000,259406000,-586000,-545000,-41000,258820000,258820000,-43214000,215606000,222106000,222106000,222106000,2961116000,1570321000,384276000,384276000,282980000,108657000,39382000,3737029000,468541000,2123431000,-1654890000,3283000,388052000,921000,256243000,54582000,76306000,859876000,4596905000,340737000,125876000,73304000,141557000,608491000,523046000,100941000,1597000,74492000,623987000,1232478000,347062000,49936000,297126000,3052862000,-35497000,3364427000,3364427000,4596905000,222106000,29885000,354000,-35594000,216751000,-25547000,-25547000,-25547000,233683000,208136000,-65810000,-11638000,8183000,75735000,500622000,500622000,-301000,500321000,289291000,537546000,271364000,0.66187,0.35608,0.30488,0.06602,0.04832,1.22178,6.14147,0.36633,0.11694,0.74229,0.71914,2.43469,11.24407,0.90691,0.21994,5.73045498589314,0.07193,0.06779,0.2963,-8.37762,-9.34277
"6","2011_Q3",25.8015625,"Down",790780000,-256566000,534214000,-235728000,-105268000,-130460000,298486000,-1730000,-1881000,151000,296756000,296756000,-54930000,241826000,241826000,241826000,241826000,3431365000,1894761000,414579000,414579000,293780000,153014000,60961000,4292738000,473662000,2100470000,-1626808000,3561000,390438000,644000,260639000,46926000,82229000,867661000,5160399000,304128000,121451000,1999000,180678000,588158000,892432000,97811000,1531000,70350000,990243000,1578401000,380018000,49940000,330078000,3228689000,-26709000,3581998000,3581998000,5160399000,241826000,29806000,-28311000,-46683000,196638000,-34141000,-34141000,-34141000,-149896000,-184037000,-65999000,-21440000,30606000,310049000,322650000,322650000,1790000,324440000,328292000,906932000,302398000,0.67555,0.37746,0.30581,0.06751,0.04686,1.25048,7.29861,0.44065,0.17575,0.80629,0.78104,2.63661,11.94306,1.00825,0.22005,5.13045498589314,0.06711,0.06593,0.27292,-7.6896,-8.45746
"7","2011_Q4",26.9473015873016,"Up",757902000,-248262000,509640000,-230799000,-102323000,-128476000,278841000,-3970000,-3764000,-206000,274871000,274871000,-54936000,219935000,219935000,219935000,219935000,3514538000,1357821000,375011000,375011000,299332000,150250000,41601000,4339131000,481596000,2125802000,-1644206000,3319000,427335000,12475000,280868000,46942000,87050000,912250000,5251381000,264259000,106009000,17236000,141014000,556287000,875766000,103611000,1223000,75440000,979377000,1535664000,371746000,49907000,321839000,3373631000,-29660000,3715717000,3715717000,5251381000,219935000,29480000,17163000,-9598000,256980000,-36977000,-36977000,-36977000,-619407000,-670372000,-74993000,-25123000,-1128000,-122386000,-535778000,-535778000,-1162000,-536940000,308321000,890266000,316682000,0.67244,0.36791,0.29019,0.05919,0.04188,1.43989,7.80017,0.41329,0.16953,0.73406,0.71235,2.52958,12.4016,1.05696,0.2503,5,0.06262,0.06724,0.34098,-8.51149,-9.41136
"8","2012_Q1",30.1482258064516,"Up",716134000,-255620000,460514000,-225222000,-99094000,-126128000,235292000,-4292000,-3896000,-396000,2.31e+08,2.31e+08,-47473000,183527000,183527000,183527000,183527000,3592462000,1405100000,348416000,348416000,295081000,150389000,46216000,4386348000,478839000,2136901000,-1658062000,2951000,409497000,12200000,275087000,37645000,84565000,891287000,5277635000,277256000,113056000,6584000,157616000,525005000,871876000,85341000,1260000,57653000,957217000,1482222000,339248000,49661000,289587000,3482334000,-26169000,3795413000,3795413000,5277635000,183527000,29048000,14253000,3332000,230160000,-26331000,-26331000,-26331000,-31134000,-57465000.0000001,-74824000,-54891000,8554000,-124786000,47909000,47909000,-630000,47279000.0000001,264340000,886376000,288814000,0.64306,0.32856,0.25627,0.04835,0.03477,1.57369,8.35487,0.39053,0.16795,0.61399,0.60029,2.39581,12.69747,0.96622,0.25032,5,0.05419,0.06058,0.4077,-10.23714,-11.50097
"9","2012_Q2",29.098253968254,"Down",648058000,-238668000,409390000,-226018000,-99045000,-126973000,183372000,-3286000,-3334000,48000,180086000,180086000,-40704000,139382000,139382000,139382000,139382000,3667398000,1097442000,301999000,301999000,297160000,128611000,43182000,4395168000,475689000,2159957000,-1684268000,3230000,403747000,12200000,274139000,33105000,84303000,882666000,5277834000,256294000,111749000,19793000,124752000,498055000,855662000,81682000,1713000,52245000,937344000,1435399000,326553000,49640000,276913000,3547300000,-31418000,3842435000,3842435000,5277834000,139382000,28243000,15650000,31545000,214820000,-25289000,-25289000,-25289000,-380914000,-406203000,-74416000,-29733000,5071000,-114703000,-306086000,-306086000,-1572000,-307658000,211615000,870162000,258575000,0.63172,0.28296,0.21508,0.03627,0.02641,1.85515,8.82466,0.37356,0.16487,0.46806,0.4562,2.17624,12.90326,0.86832,0.2499,5,0.04459,0.05393,0.5339,-13.21851,-15.25443
"10","2012_Q3",30.7293650793651,"Up",675094000,-234639000,440455000,-227529000,-99992000,-127537000,212926000,-1472000,-2923000,1451000,211454000,211454000,-48555000,162899000,162899000,162899000,162899000,3752625000,695066000,330282000,330282000,303742000,135880000,46857000,4522529000,478959000,2184654000,-1705695000,1816000,409186000,28882000,280210000,35364000,64730000,889961000,5412490000,299924000,125746000,24991000,149187000,558574000,847983000,80793000,1547000,50853000,928776000,1487350000,337564000,49724000,287840000,3620797000,-33221000,3925140000,3925140000,5412490000,162899000,26889000,-476000,36657000,225969000,-30137000,-30137000,-30137000,-490216000,-544511000,-89402000,-5265000,13967000,-84325000,-402867000,-402867000,491000,-402376000,239815000,862483000,294890000,0.65244,0.3154,0.2413,0.0415,0.0301,1.81026,8.09656,0.37893,0.15935,0.5464,0.53249,2.26443,13.16587,0.98913,0.29988,6,0.05182,0.06057,0.54882,-12.05155,-13.57346
