"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.4330158730159,"Down",1.308e+09,-6.08e+08,-5.73e+08,-3.5e+07,7e+08,-5e+06,-1.5e+07,1e+07,16490863.3454982,6.95e+08,6.95e+08,-2.4e+08,4.55e+08,4.55e+08,4.55e+08,4.55e+08,3.101e+09,2.119e+09,9.82e+08,5.05e+08,5.05e+08,1.5e+09,2.78e+08,9.46e+08,5.106e+09,4.33e+08,1.388e+09,2.93e+08,4.08e+08,1.82e+08,1.59e+08,2.18e+09,7.286e+09,1.792e+09,2.51e+08,1.541e+09,1.03e+09,1.03e+09,2.822e+09,6.11e+08,7.4e+07,5.37e+08,6.32e+08,3.454e+09,3.403e+09,-1.25e+09,1.583e+09,8.8e+07,3.824e+09,8e+06,3.832e+09,7.286e+09,4.55e+08,3.5e+07,-1.34e+08,-2.61e+08,9.5e+07,-3e+06,-2e+06,-1.7e+07,-2.3e+07,-2e+07,6e+06,9.1e+07,7.7e+07,1.49e+08,1.49e+08,-8.5e+07,6.4e+07,7.35e+08,2.1e+07,7.11e+08,0.53517,0.34786,0.11874,0.06245,1.56264,1.80936,0.90136,0.00288,0.35,0.34733,1.00615,2.94154,0.54692,0.01538,0.10641,0.15927,0.04396,-4.19048,-4.4
"2","2010_Q3",19.5765625,"Down",1.365e+09,-6.48e+08,-6.13e+08,-3.5e+07,7.17e+08,-4e+06,-1.7e+07,1.3e+07,6830287.78183274,7.13e+08,7.13e+08,-2.55e+08,4.58e+08,4.58e+08,4.58e+08,4.58e+08,3.453e+09,2.323e+09,1.13e+09,5.17e+08,5.17e+08,1.573e+09,3.32e+08,9.7e+08,5.543e+09,4.35e+08,1.284e+09,2.67e+08,3.9e+08,1.31e+08,1.48e+08,1.889e+09,7.432e+09,1.758e+09,2.44e+08,1.514e+09,1.06e+09,1.06e+09,2.818e+09,4.7e+08,7.4e+07,3.96e+08,4.89e+08,3.307e+09,3.417e+09,-1.25e+09,2.022e+09,-7.2e+07,4.117e+09,8e+06,4.125e+09,7.432e+09,4.58e+08,3.5e+07,8.9e+07,-2.39e+08,3.43e+08,-2.2e+07,5e+07,-2.3e+07,3e+06,-1.9e+07,3e+06,-2000000.00000001,-1.8e+07,3.28e+08,3.28e+08,-1.24e+08,2.04e+08,7.52e+08,1.9e+07,7.46e+08,0.52527,0.33553,0.11103,0.06163,1.62882,1.967,0.8017,0.00256,0.34697,0.34962,1.03409,3.11894,0.56515,0.01439,0.10338,0.16168,0.04148,-4.56649,-4.7894
"3","2010_Q4",22.36640625,"Up",1.428e+09,-6.62e+08,-6.26e+08,-3.6e+07,7.66e+08,1e+06,-1.1e+07,1.1e+07,1e+06,7.67e+08,7.67e+08,-2.48e+08,5.19e+08,5.19e+08,5.18e+08,5.18e+08,3.616e+09,2.479e+09,1.137e+09,5.8e+08,5.8e+08,2.037e+09,3.05e+08,1.479e+09,6.233e+09,4.33e+08,1.346e+09,2.97e+08,4.12e+08,1.02e+08,1.6e+08,1.933e+09,8.166e+09,1.805e+09,2.43e+08,1.562e+09,1.027e+09,1.027e+09,2.832e+09,4.82e+08,9e+07,3.92e+08,4.83e+08,3.315e+09,3.431e+09,-1.25e+09,2.52e+09,1.41e+08,4.842e+09,9e+06,4.851e+09,8.166e+09,5.19e+08,3.6e+07,8e+07,-5.73e+08,6.2e+07,-1.2e+07,1.4e+07,-2.9e+07,-3.6e+07,-2e+07,1e+06,-4e+06,-2.3e+07,3e+06,3e+06,1.53e+08,1.56e+08,8.02e+08,1e+06,4.65e+08,0.53641,0.36275,0.10678,0.06343,0.89768,2.20092,0.68336,0.00012,0.39542,0.39542,1.09008,3.69618,0.35496,0.01527,0.10086,0.08718,0.03861,-4.50748,-4.71932
"4","2011_Q1",22.8856451612903,"Up",1.438e+09,-8.69e+08,-8.27e+08,-4.2e+07,5.69e+08,1.3e+07,-9e+06,2.3e+07,-1e+06,5.82e+08,5.82e+08,-1.67e+08,4.15e+08,4.15e+08,4.15e+08,4.15e+08,4.198e+09,3.067e+09,1.131e+09,6.5e+08,6.5e+08,1.606e+09,4e+08,9.9e+08,6.454e+09,4.39e+08,1.802e+09,6.77e+08,5.3e+08,5e+06,5.9e+08,2.383e+09,8.837e+09,1.587e+09,2.72e+08,1.315e+09,1.556e+09,1.556e+09,3.143e+09,4.78e+08,7.4e+07,4.04e+08,4.78e+08,3.621e+09,3.445e+09,-1.25e+09,2.915e+09,9.5e+07,5.205e+09,1.1e+07,5.216e+09,8.837e+09,4.15e+08,4.2e+07,1.06e+08,6.34e+08,1.197e+09,-2.4e+07,1.6e+07,-2.4e+07,-5.85e+08,-2e+07,1e+06,2e+06,-1.7e+07,5.95e+08,5.95e+08,-7000000.00000003,5.88e+08,6.11e+08,0,1.388e+09,0.39569,0.2886,0.07956,0.04696,3.34458,2.05345,0.69421,-3.11708124589583e-19,0.32171,0.32171,1.11473,4.03488,1.07597,0.0155,0.0764,0.24377,0.04819,-6.8707,-7.37786
"5","2011_Q2",25.818253968254,"Up",1.501e+09,-6.65e+08,-6.23e+08,-4.2e+07,8.36e+08,0,-1e+07,1.2e+07,-2e+06,8.36e+08,8.36e+08,-2.74e+08,5.62e+08,5.62e+08,5.62e+08,5.62e+08,3.939e+09,2.954e+09,9.85e+08,6.42e+08,6.42e+08,1.492e+09,2.65e+08,1.053e+09,6.073e+09,4.36e+08,1.864e+09,7.1e+08,5.39e+08,1.3e+07,2.37e+08,2.429e+09,8.502e+09,1.631e+09,2.83e+08,1.348e+09,1.16e+09,1.16e+09,2.791e+09,5.09e+08,9.5e+07,4.14e+08,5.09e+08,3.3e+09,3.435e+09,-1.902e+09,3.457e+09,2.01e+08,5.191e+09,1.1e+07,5.202e+09,8.502e+09,5.62e+08,4.2e+07,3.7e+07,-2.86e+08,3.55e+08,-1e+07,1.6e+08,-1.5e+07,1.35e+08,-2e+07,-6.52e+08,7e+06,-6.65e+08,-1.75e+08,-1.75e+08,6.2e+07,-1.13e+08,8.78e+08,0,8.56e+08,0.55696,0.37442,0.10804,0.0661,1.52313,2.17592,0.63437,0,0.43566,0.43566,1.16357,4.02403,0.66357,0.0155,0.10191,0.14989,0.03559,-4.48633,-4.71172
"6","2011_Q3",30.2625,"Up",1.667e+09,-7.82e+08,-7.33e+08,-4.9e+07,8.85e+08,7e+06,-2e+06,1.1e+07,-2e+06,8.92e+08,8.92e+08,-2.84e+08,6.08e+08,6.08e+08,6.08e+08,6.08e+08,3.604e+09,2.764e+09,8.4e+08,7.13e+08,7.13e+08,1.694e+09,4.01e+08,1.159e+09,6.011e+09,4.54e+08,2.443e+09,1.068e+09,7e+08,2.3e+07,2.79e+08,3.014e+09,9.025e+09,1.624e+09,3.36e+08,1.288e+09,1.34e+09,1.34e+09,2.964e+09,5.8e+08,1.3e+08,4.5e+08,5.8e+08,3.544e+09,3.465e+09,-2.289e+09,4.047e+09,2.47e+08,5.47e+09,1.1e+07,5.481e+09,9.025e+09,6.08e+08,4.9e+07,6.4e+07,-1.83e+08,5.38e+08,-2.5e+07,1.6e+08,-2.2e+07,-3.49e+08,-1.9e+07,-3.81e+08,3e+06,-4.18e+08,-2.29e+08,-2.29e+08,3.9e+07,-1.9e+08,9.34e+08,1.16415321826935e-10,1.01e+09,0.53089,0.36473,0.11093,0.06737,1.66118,2.028,0.6466,0,0.47132,0.47132,1.29225,4.24031,0.78295,0.01473,0.10345,0.16664,0.03125,-3.85867,-4.07232
"7","2011_Q4",33.3139682539683,"Up",1.818e+09,-8.16e+08,-7.65e+08,-5.1e+07,1.002e+09,2.8e+07,-6e+06,1.7e+07,1.7e+07,1.03e+09,1.03e+09,-3.14e+08,7.16e+08,7.16e+08,7.17e+08,7.17e+08,4.392e+09,3.753e+09,6.39e+08,7.63e+08,7.63e+08,1.598e+09,2.8e+08,1.223e+09,6.753e+09,4.5e+08,2.357e+09,1.032e+09,6.77e+08,2.3e+07,2.59e+08,2.921e+09,9.674e+09,1.746e+09,2.89e+08,1.457e+09,1.359e+09,1.359e+09,3.105e+09,5.87e+08,1.25e+08,4.62e+08,5.87e+08,3.692e+09,3.489e+09,-2.366e+09,4.745e+09,1.04e+08,5.972e+09,1e+07,5.982e+09,9.674e+09,7.16e+08,5.1e+07,5.1e+07,1.89e+08,1.007e+09,-1.6e+07,2e+08,-1.9e+07,1.59e+08,-1.9e+07,-7e+07,1e+06,-8.8e+07,1.078e+09,1.078e+09,-8.9e+07,9.89e+08,1.053e+09,0,1.54e+09,0.55116,0.39439,0.11986,0.07412,2.14784,2.17488,0.61718,0,0.55581,0.55581,1.4093,4.62946,1.1938,0.01473,0.11204,0.23443,0.0265,-4.17094,-4.38323
"8","2012_Q1",36.7701612903226,"Up",1.728e+09,-9.68e+08,-9.16e+08,-5.2e+07,7.6e+08,0,-7e+06,1.2e+07,-5e+06,7.6e+08,-1e+07,3e+07,19999999.9999999,19999999.9999999,19000000.0000001,19000000.0000001,4.949e+09,3.734e+09,1.215e+09,8.08e+08,8.08e+08,1.984e+09,4.04e+08,1.237e+09,7.741e+09,4.49e+08,2.503e+09,1.014e+09,6.65e+08,8.8e+07,7.36e+08,2.952e+09,1.0693e+10,2.74e+09,3.6e+08,2.38e+09,1.477e+09,1.477e+09,4.217e+09,5.99e+08,1.13e+08,4.86e+08,5.99e+08,4.816e+09,3.519e+09,-2.394e+09,4.745e+09,-1999999.99999999,5.868e+09,9e+06,5.877e+09,1.0693e+10,19999999.9999999,5.2e+07,-2.75e+08,9.87e+08,7.84e+08,-2.6e+07,-5.71e+08,-3e+07,-6.93e+08,-1.9e+07,-2.6e+07,-2e+07,-4.4e+07,4.7e+07,4.7e+07,-6.6e+07,-1.9e+07,8.12e+08,0,1.743e+09,0.43981,0.011,0.00323000000000001,0.00178,91.73684,1.83567,0.81947,8.470329472543e-22,0.01473,0.01473,1.33953,4.54884,1.35116,0.01473,0.00587,0.26915,1,-6.09483,-6.51184
"9","2012_Q2",40.1939682539683,"Up",1.758e+09,-7.58e+08,-7.04e+08,-5.4e+07,1e+09,0,-6e+06,9e+06,-3e+06,1e+09,1e+09,-3.18e+08,6.82e+08,6.82e+08,6.82e+08,6.82e+08,5.141e+09,3.684e+09,1.457e+09,8.12e+08,8.12e+08,2.16e+09,5.1e+08,1.303e+09,8.113e+09,4.5e+08,2.568e+09,1.042e+09,6.82e+08,9.3e+07,7.51e+08,3.018e+09,1.1131e+10,2.619e+09,2.74e+08,2.345e+09,1.473e+09,1.473e+09,4.092e+09,6.6e+08,1.12e+08,5.48e+08,6.6e+08,4.752e+09,3.546e+09,-2.642e+09,5.389e+09,7.8e+07,6.371e+09,8e+06,6.379e+09,1.1131e+10,6.82e+08,5.4e+07,-5.9e+07,-2.5e+08,4.27e+08,-1.2e+07,-2.44e+08,-3.9e+07,-3.02e+08,-1.9e+07,-2.34e+08,3.3e+07,-2.2e+08,-9.5e+07,-9.5e+07,4.5e+07,-5e+07,1.054e+09,0,1.11e+09,0.56883,0.38794,0.10691,0.06127,1.62757,1.98265,0.74494,0,0.52868,0.52868,1.36279,4.93876,0.86047,0.01473,0.09959,0.15769,0.02786,-4.87761,-5.141
"10","2012_Q3",40.8368253968254,"Up",1.82e+09,-8.26e+08,-7.7e+08,-5.6e+07,9.94e+08,-1e+06,-3e+06,9e+06,-7e+06,9.93e+08,9.73e+08,-2.73e+08,7e+08,7e+08,7e+08,7e+08,4.956e+09,3.153e+09,1.803e+09,8.44e+08,8.44e+08,2.483e+09,5.92e+08,1.533e+09,8.283e+09,4.58e+08,2.499e+09,1.009e+09,6.56e+08,1.16e+08,7.18e+08,2.957e+09,1.124e+10,2.595e+09,3.3e+08,2.265e+09,1.712e+09,1.712e+09,4.307e+09,6.57e+08,1.05e+08,5.52e+08,6.57e+08,4.964e+09,3.571e+09,-3.311e+09,6.052e+09,-4.7e+07,6.265e+09,1.1e+07,6.276e+09,1.124e+10,7e+08,5.6e+07,-3e+06,-1.12e+08,6.41e+08,-2.8e+07,-3.2e+08,-2.8e+07,-3.88e+08,-3.8e+07,-6.67e+08,3e+06,-7.02e+08,-4.49e+08,-4.49e+08,-8.2e+07,-5.31e+08,1.05e+09,-1.45519152283669e-11,1.183e+09,0.54615,0.38462,0.11154,0.06228,1.69000000000001,1.92315,0.79095,1.6940658945086e-21,0.57377,0.57236,1.4918,5.13525,0.96967,0.03115,0.10645,0.17063,0.05429,-4.72,-4.98592
