"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.82671875,"Down",2301000,-6543000,-1578000,-4965000,-4242000,15000,15000,-4227000,-4227000,-4227000,-4227000,-4227000,-4227000,24866699.560756,8188771.9846875,16677927.5760685,247113.016879022,247118.178513478,25113812.5775956,705918.718427297,247702.284390528,247702.286060605,953617.672013924,26067430.2496095,7456281.03043852,2412652.65657103,5043628.37386748,8080451.23626847,2537135.86378441,115762.00439734,2537135.86378441,10617587.1000529,329552882.396299,-315354765.374448,1251726.31458762,15449843.1495566,15449843.1495566,26067430.2496095,-4227000,101000,341000,1263000,-2522000,0,2943000,2943000,378000,378000,318000,739000,739000,845000,-4141000,0,-1.84355,-1.83703,2.90857461298086,2.26713302031148,2.13282881084729,0.457499622127323,0.00372826765354962,-0.10953,-0.10917,0.05962,0.734152934939547,2.66026617398893,-6.9376583781903,-6.9733960500411
"2","2011_Q1",1.60887096774194,"Up",35404000,-6275000,-1518000,-4757000,29129000,12000,12000,29141000,29141000,29141000,29141000,29141000,29141000,37087000,6849000,30238000,762000,762000,37849000,426000,119000,119000,545000,38394000,5191000,1972000,3219000,5959000,2747000,124000,2747000,8706000,353282000,-324106000,512000,29688000,29688000,38394000,29141000,194000,421000,-25152000,4604000,0,-7761000,-7761000,401000,401000,359000,-2798000,-2798000,-2807000,29323000,78000,0.822759999999999,0.823099999999999,0.98158,0.759,6.35157,0.29325,0.00203,0.75509,0.75261,0.91737,0.76926,0.89629,-1.26212,-1.27052
"3","2011_Q2",1.9731746031746,"Up",435000,-6296000,-1884000,-4412000,-5861000,28000,28000,-5833000,-5833000,-5833000,-5833000,-5833000,-5833000,41499850.1464147,7175909.3384375,34323940.8079772,817545.661040326,817543.940495507,42317395.8074681,274443.760524234,80515.9052031572,80515.9046464649,354960.775995359,42672356.5834635,4689156.32318716,1493615.78114299,3195540.54204417,5502349.58791051,2705954.71207186,104412.665200887,2705954.71207186,8208304.29998237,365236872.534567,-330910328.208517,137507.895137461,34464052.2834811,34464052.2834811,42672356.5834635,-5833000,189000,526000,11000,-5107000,-2436.617066759,-8735000,-8735000,13853000,13853000,13810000,-32000,-32000,-20000,-5672000,0,-13.47356,-13.4092,0.0636201290063794,0.042843993229506,7.54898622971757,0.238728459290892,0.00121141078215013,-0.15114,-0.15065,0.01127,0.727204021686818,0.0556837753370247,3.20666612606344,3.19536201668037
"4","2011_Q3",1.44984375,"Down",460000,-7044000,-2729000,-4315000,-6584000,28000,28000,-6556000,-6556000,-6556000,-6556000,-6556000,-6556000,40361000,8020000,32341000,654000,654000,41015000,208000,86000,86000,294000,41309000,5154000,1139000,4015000,5947000,2541000,60000,2541000,8488000,369306000,-336495000,9999.99999999988,32821000,32821000,41309000,-6556000,36000,1288000,-48000,-5280000,-4471.82681919272,6422000,6422000,61000.0000000019,61000.0000000019,47000,1189000,1189000,1191000,-6548000,40000,-14.31304,-14.25217,-0.19975,-0.15871,6.89675,0.25861,0.00097,-0.12721,-0.12721,0.00892999999999988,0.63687,-0.18519,6.15776,6.12409
"5","2011_Q4",1.08746031746032,"Down",584000,-5677000,-1519000,-4158000,-5093000,17000,17000,-5076000,-5076000,-5076000,-5076000,-5076000,-5076000,36150000,8317000,27833000,613000,613000,36763000,181000,78000,78000,259000,37022000,5664000,1262000,4402000,6409000,2469000,28000,2469000,8878000,369709000,-341571000,6000,28144000,28144000,37022000,-5076000,30000,423000,451000,-4172000,-3000,4481000,4478000,2000,2000,-10000,296000,296000,297000,-5063000,37000,-8.72089,-8.69178,-0.18036,-0.13711,5.73615,0.31545,0.001,-0.0961,-0.0961,0.01106,0.53284,-0.16561,7.13273,7.09071
"6","2012_Q1",1.68387096774194,"Up",588000,-5902000,-1478000,-4424000,-5314000,14000,14000,-5300000,-5300000,-5300000,-5300000,-5300000,-5300000,31048000,6889000,24159000,901000,901000,31949000,151000,14000,14000,165000,32114000,5464000,1960000,3504000,6165000,2587000,7.27595761418343e-12,2587000,8752000,370224000,-346871000,9000,23362000,23362000,32114000,-5300000,30000,272000,-340000,-5338000,0,3815000,3815000,106000,106000,97000.0000000005,-1426000,-1426000,-1428000,-5284000,32000,-9.03741,-9.01361,-0.22686,-0.16504,5.18232,0.37463,0.001,-0.1003,-0.1003,0.01113,0.4421,-0.204,5.8698,5.83666
"7","2012_Q2",1.52063492063492,"Down",450000,-6681000,-1660000,-5021000,-6231000,13000,13000,-6218000,-6218000,-6218000,-6218000,-6218000,-6218000,25924000,5558000,20366000,463000,463000,26387000,121000,11000,11000,132000,26519000,5728000,1035000,4693000,6433000,2501000,0,2501000,8934000,370668000,-353089000,6000,17585000,17585000,26519000,-6218000,59761.5964866332,355000,633000,-5230000,9000,3868000,3877000,31000,31000,22000,-1331000,-1331000,-1331000,-3156420.73523732,22000,-13.84667,-13.81778,-0.3536,-0.23447,4.10182,0.50805,0.00083,-0.11754,-0.11754,0.00851,0.3324,-0.30923,4.76431945174812,4.15696
"8","2012_Q3",1.8484126984127,"Up",599000,-6028000,-1556000,-4472000,-5429000,10000,10000,-5419000,-5419000,-5419000,-5419000,-5419000,-5419000,21349000,9208000,12141000,426000,426000,21775000,92000,7000,7000,99000,21874000,5982000,757000,5225000,6760000,2406000,0,2406000,9166000,371213000,-358508000,3000,12708000,12708000,21874000,-5419000,97669.1966780535,336000,283000,-4800000,94000,8299000,8393000,67000,67000,57000,3650000,3650000,3650000,-1024514.92405868,13000,-9.06344,-9.04674,-0.42642,-0.24774,3.22115,0.72128,0.00059,-0.10232,-0.10232,0.01131,0.23995,-0.35823,5.6307768607019,3.93001
"9","2012_Q4",3.27354838709677,"Up",3478000,-5885000,-1485000,-4400000,-2407000,5000,5000,-2402000,-2402000,-2402000,-2402000,-2402000,-2402000,23058000,8016000,15042000,627000,627000,23685000,63000,2000,2000,65000,23750000,5817000,1131000,4686000,6086000,0,0,0,6086000,378570000,-360910000,4000,17664000,17664000,23750000,-2402000,88000,275000,-3267000,-5306000,149000,-2893000,-2744000,6869000,6869000,6860000,-1190000,-1190000,-1192000,-2319000,3000,-0.69206,-0.69063,-0.13598,-0.10114,3.89172,0.34454,0.00013,-0.04455,-0.04455,0.0645,0.32758,-0.13596,9.94179,9.57831
"10","2013_Q1",6.1465,"Up",380000,-7199000,-2298000,-4901000,-6819000,9000,9000,-6810000,-6810000,-6810000,-6810000,-6810000,-6810000,107967000,57899000,50068000,581000,581000,108548000,42000,3844.43920493048,3843.3777782545,42000,108590000,5514000,1375000,4139000,5948000,17658000,17658000,17658000,23606000,452700000,-367720000,4000,84984000,84984000,108590000,-6810000,21000,579000,-87000,-6297000,0,-35054000,-35054000,91237000,91237000,91233000,49882000,49882000,49883000,-6798000,9.09494701772928e-13,-17.94474,-17.92105,-0.08013,-0.06271,18.2495,0.27777,2.71050543121376e-20,-0.11223,-0.11223,0.00626,1.40057,-0.06635,15.88217,15.83326
"11","2013_Q2",13.7740625,"Up",417000,-6581000,-2151000,-4430000,-6164000,41000,41000,-6123000,-6123000,-6123000,-6123000,-6123000,-6123000,101463000,18436000,83027000,1522000,1522000,102985000,30000,19156.953157188,19155.1765664545,30000,103015000,5555000,1396000,4159000,5695000,17658000,17658000,17658000,23353000,453490000,-373843000,15000,79662000,79662000,103015000,-6123000,12000,720000,-1194000,-6585000,7999.99999999999,-33094000,-33086000,208000,208000,208000,-39463000,-39463000,-39463000,-6152000,0,-14.78177,-14.68345,-0.07686,-0.05944,18.08341,0.29315,0,-0.07775,-0.07775,0.0053,1.01161,-0.06292,16.49269,16.46058
"12","2013_Q3",20.90515625,"Up",451000,-9608000,-2496000,-7112000,-9157000,76000,76000,-9081000,-9081000,-9081000,-9081000,-9081000,-9081000,205451000,24247000,181204000,1310000,1310000,206761000,92000,56000,56000,148000,206909000,7665000,1177000,6488000,7776000,17658000,17658000,17658000,25434000,564425000,-382924000,-26000,181475000,181475000,206909000,-9081000,12000,1388000,2237000,-5444000,-71000,-98545000,-98616000,109871000,109871000,109871000,5811000,5811000,5811000,-9145000,0,-20.30377,-20.13525,-0.05004,-0.04389,26.58963,0.14015,-4.2351647362715e-22,-0.1088,-0.1088,0.0054,2.17434,-0.0456,22.46594,22.4365
"13","2013_Q4",23.591875,"Up",240000,-11052000,-3797000,-7255000,-10812000,117000,117000,-10695000,-10695000,-10695000,-10695000,-10695000,-10695000,196180000,11803000,184377000,2495000,2495000,198675000,490000,120000,120000,610000,199285000,7790000,1120000,6670000,7870000,10661000,10661000,10661000,18531000,574289000,-393619000,84000,180754000,180754000,199285000,-10695000,16000,2357000,-1153000,-9475000,-415000,-3528000,-3943000,974000,974000,974000,-12444000,-12444000,-12444000,-10796000,0,-45.05,-44.5625,-0.05917,-0.05367,25.2446,0.10252,0,-0.11933,-0.11933,0.00268,2.01671,-0.05587,18.17155,18.14465
"14","2014_Q1",25.2970491803279,"Up",37000,-12201000,-4276000,-7925000,-12164000,115000,115000,-12049000,-12049000,-12049000,-12049000,-12049000,-12049000,185790000,11707000,174083000,2570000,1820000,188360000,579000,179000,179000,758000,189118000,6924000,372000,6552000,6979000,8000,8000,8000,6987000,587751000,-405668000,48000,182131000,182131000,189118000,-12049000,39000,2764000,-1019000,-10265000,-128000,9669000,9540999.99999999,629000,629000,628999.99999997,-95000,-95000,-96000,-12125000,0,-328.75676,-325.64865,-0.06616,-0.06371,26.98954,0.03836,0,-0.13237,-0.13237,0.00041,2.00096,-0.06615,15.32289,15.27376
"15","2014_Q2",20.8771428571429,"Down",30000,-17988000,-6320000,-11668000,-17958000,130000,130000,-17828000,-17828000,-17828000,-17828000,-17828000,-17828000,369285000,96455000,272830000,3535000,1893000,372820000,543000,143000,143000,686000,373506000,7991000,1562000,6429000,8033000,13000,13000,13000,8046000,788956000,-423496000,52346.8910598758,365460000,365460000,373506000,-17828000,43000,3473000,130000,-14182000,-6000,-99106000,-99112000,198042000,198042000,198042000,84748000,84748000,84748000,-17915000,0,-598.6,-594.26667,-0.04878,-0.04773,46.41105,0.02202,0,-0.19176,-0.19176,0.00032,3.93103,-0.04878,20.61317,20.56382
"16","2014_Q3",23.386875,"Up",28000,-21751000,-7952000,-13799000,-21723000,228000,228000,-21495000,-21495000,-21495000,-21495000,-21495000,-21495000,354453000,13698000,340755000,4401000,3081000,358854000,5e+05,111000,111000,611000,359465000,9310000,1104000,8206000,9339000,18000,18000.0000000002,18000,9357000,795005000,-444991000,94000,350108000,350108000,359465000,-21495000,42000,4009000,477000,-16967000,0,-67510000,-67510000,1720000,1720000,1720000,-82757000,-82757000,-82757000,-21681000,0,-775.82143,-767.67857,-0.0614,-0.0598,38.42531,0.02673,0,-0.21687,-0.21687,0.00028,3.53231,-0.06139,16.34855,16.31695
