"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",48.043125,"Up",1.95e+09,-3.49e+08,1.601e+09,-1.318e+09,-9.7e+07,-9.1e+07,-1.13e+09,2.83e+08,-1.21e+08,-9.9e+07,-1.4e+07,-8e+06,1.62e+08,1.63e+08,-6.3e+07,1e+08,2.44e+08,-5e+06,2.39e+08,2.39e+08,8.1e+08,8.1e+08,1.005e+09,1.005e+09,6.56e+08,1.86e+08,4.52e+08,2.93e+09,9.107e+09,1.3816e+10,5.988e+09,5.862e+09,5.43e+08,7.6e+07,1.218e+09,2.2923e+10,2.5853e+10,2.477e+09,2.37e+09,1.86e+08,2.663e+09,1.0257e+10,6.587e+09,1.61e+08,4.533e+09,1.893e+09,1.6844e+10,1.9507e+10,1.0185e+10,-2.984e+09,-8.26e+08,6.375e+09,6.346e+09,2.5853e+10,2.44e+08,1.71e+08,-8e+07,3.35e+08,-9.3e+07,-3.3e+07,-1.26e+08,-3.2e+07,-2e+06,-1.03e+08,1.06e+08,1.06e+08,2e+06,1.08e+08,4.54e+08,1.0443e+10,0.82103,0.14513,0.12256,0.03766,0.00924,1.10026,3.0739,0.40394,0.72644,0.72424,5.92705,19.3769,0.01318,21.21806,34.03887
"12","2016_Q4",50.2420634920635,"Up",1.867e+09,-3.25e+08,1.542e+09,-1.267e+09,-1.07e+08,-9e+07,-1.07e+09,2.75e+08,-1.17e+08,-9.7e+07,-1e+07,-1e+07,1.58e+08,1.58e+08,-6.9e+07,8.9e+07,1.92e+08,-5e+06,1.87e+08,1.87e+08,8.59e+08,8.59e+08,1.021e+09,1.021e+09,6.36e+08,1.71e+08,4.48e+08,3.024e+09,9.02e+09,1.3827e+10,5.952e+09,5.855e+09,5.25e+08,7.5e+07,1.288e+09,2.2847e+10,2.5871e+10,2.417e+09,2.354e+09,1.81e+08,2.598e+09,1.022e+10,6.562e+09,9.6e+07,4.487e+09,1.979e+09,1.6782e+10,1.938e+10,1.0208e+10,-2.866e+09,-8.26e+08,6.516e+09,6.491e+09,2.5871e+10,1.92e+08,1.69e+08,-6.6e+07,2.95e+08,-7.5e+07,-3.5e+07,-1.1e+08,-3e+07,-3.7e+07,-1.36e+08,4.9e+07,4.9e+07,1e+06,5e+07,4.44e+08,1.0401e+10,0.82592,0.1473,0.10016,0.02881,0.00723,1.16397,2.98567,0.40203,0.56839,0.56495,5.67477,19.80547,0.01091,21.49099,34.69818
"13","2017_Q1",56.1785483870968,"Up",1.033e+09,-2.98e+08,7.35e+08,-5.7e+08,-1.22e+08,-8e+07,-3.68e+08,1.65e+08,-3.8e+07,-4.8e+07,2e+07,-1e+07,1.27e+08,1.49e+08,-5.46e+08,-3.97e+08,-3.92e+08,-5e+06,-3.97e+08,-3.97e+08,1.062e+09,1.062e+09,7.55e+08,7.55e+08,1.74e+09,8.9e+07,1.6e+08,3.557e+09,3.41e+08,2.2313e+10,5.811e+09,5.218e+09,4.47e+08,8.2e+07,4.08e+08,2.2654e+10,2.6211e+10,1.877e+09,1.821e+09,3.3e+07,2.684e+09,6.583e+09,1.1095e+10,4.2e+07,1.778e+09,2.381e+09,1.7678e+10,2.0362e+10,1.0223e+10,-3.323e+09,-1.001e+09,5.899e+09,5.849e+09,2.6211e+10,-3.92e+08,1.64e+08,5.5e+07,3.96e+08,-1.11e+08,-2.1e+07,-1.32e+08,4.5e+08,-6.9e+07,3.11e+08,5.75e+08,5.75e+08,-2.2e+07,5.53e+08,3.29e+08,6.616e+09,0.71152,0.15973,-0.38432,-0.06787,-0.01515,1.32526,3.48128,0.25241,-1.20669,-1.22154,3.13982,17.93009,-0.01388,16.88146,33.66061
"14","2017_Q2",60.7953968253968,"Up",1.896e+09,-2.68e+08,1.628e+09,-1.388e+09,-1.06e+08,-8.6e+07,-1.196e+09,2.4e+08,-1.14e+08,-8.9e+07,-4e+06,-2.1e+07,1.26e+08,6.6e+07,-17999999.9999999,4.8e+07,4.8e+07,-1e+06,4.7e+07,4.7e+07,8.62e+08,8.62e+08,9.11e+08,9.11e+08,2.96e+08,1.29e+08,1.67e+08,2.069e+09,340999999.999999,1.1877e+10,5.786e+09,5.135e+09,4.31e+08,8.2e+07,4.43e+08,1.2218e+10,1.4287e+10,1.926e+09,1.798e+09,4.1e+07,1.967e+09,6.588e+09,4.136e+09,2.2e+07,1.723e+09,2.391e+09,1.0724e+10,1.2691e+10,1.0217e+10,-7.631e+09,-9.18e+08,1.598e+09,1.596e+09,1.4287e+10,4.8e+07,8.6e+07,-7.1e+07,6.3e+07,-2.2e+07,-2.8e+07,-5e+07,-1e+06,-5.96e+08,-7.16e+08,-7.03e+08,-7.03e+08,5000000.00000001,-6.98e+08,3.26e+08,6.629e+09,0.85865,0.12658,0.02479,0.02945,0.00329,1.05186,7.95175,0.46399,0.14242,0.14199,5.74545,4.84242,0.00777,17.69018,24.02917
"15","2017_Q3",62.4049206349206,"Up",2.076e+09,-3.27e+08,1.749e+09,-1.414e+09,-1.18e+08,-8.3e+07,-1.213e+09,3.35e+08,-8.5e+07,-8.6e+07,5e+06,-4e+06,2.5e+08,2.5e+08,-9.9e+07,1.51e+08,1.51e+08,-1e+06,1.5e+08,1.5e+08,7.84e+08,7.84e+08,9.21e+08,9.21e+08,2.94e+08,1.23e+08,1.71e+08,1.999e+09,3.38e+08,1.1932e+10,5.802e+09,5.164e+09,4.32e+08,8.2e+07,4.52e+08,1.227e+10,1.4269e+10,1.941e+09,1.879e+09,4.8e+07,1.989e+09,6.572e+09,4.193e+09,9.9e+07,1.673e+09,2.421e+09,1.0765e+10,1.2754e+10,1.0248e+10,-7.514e+09,-8.67e+08,1.515e+09,1.515e+09,1.4269e+10,1.51e+08,8.3e+07,7.9e+07,3.13e+08,-2.8e+07,-1.9e+07,-4.7e+07,-1.2e+07,-2e+06,-3.45e+08,-7.9e+07,-7.9e+07,2e+06,-7.7e+07,4.18e+08,6.62e+09,0.84249,0.16137,0.07225,0.09901,0.01051,1.00503,8.41848,0.46394,0.45872,0.45593,6.34862,4.63303,0.01614,13.96172,17.4209
"16","2017_Q4",72.7885714285714,"Up",2.091e+09,-3.4e+08,1.751e+09,-1.412e+09,-1.06e+08,-8.3e+07,-1.223e+09,3.39e+08,-8.3e+07,-8.5e+07,2e+06,0,2.56e+08,2.56e+08,-96000000.0000001,1.6e+08,1.6e+08,-2e+06,1.58e+08,1.58e+08,6.7e+08,6.7e+08,9.28e+08,9.28e+08,3.07e+08,1.3e+08,1.72e+08,1.905e+09,3.46e+08,1.1972e+10,5.811e+09,5.183e+09,4.28e+08,8.2e+07,4.68e+08,1.2318e+10,1.4223e+10,1.984e+09,1.911e+09,4.9e+07,2.033e+09,6.564e+09,4.178e+09,95000000.0000001,1.65e+09,2.433e+09,1.0742e+10,1.2775e+10,1.0276e+10,-7.384e+09,-8.2e+08,1.447e+09,1.448e+09,1.4223e+10,1.6e+08,8.3e+07,2.7e+07,2.7e+08,-3.7e+07,-1.2e+07,-4.9e+07,-1.2e+07,-1e+06,-3.35e+08,-1.14e+08,-1.14e+08,1e+06,-1.13e+08,4.22e+08,6.613e+09,0.8374,0.16212,0.07556,0.10912,0.01111,0.93704,8.82251,0.46495,0.49068,0.48615,6.49379,4.49379,0.01691,14.08294,17.53097
"17","2018_Q1",80.7027868852459,"Up",2.068e+09,-3.34e+08,1.734e+09,-1.46e+09,-1.09e+08,-8.4e+07,-1.267e+09,2.74e+08,-9.3e+07,-9.1e+07,0,-2e+06,1.81e+08,1.81e+08,5.49e+08,7.3e+08,7.3e+08,-1e+06,7.29e+08,7.29e+08,5.7e+08,5.7e+08,1.005e+09,1.005e+09,4.32e+08,1.27e+08,2.69e+08,2.007e+09,3.53e+08,1.1868e+10,5.843e+09,5.19e+09,4.33e+08,1.11e+08,2.91e+08,1.2221e+10,1.4228e+10,1.428e+09,1.416e+09,4.6e+07,2.462e+09,6.556e+09,3.519e+09,8.29e+08,9.31e+08,1.759e+09,1.0075e+10,1.2537e+10,1.0301e+10,-6.981e+09,-7.41e+08,1.688e+09,1.691e+09,1.4228e+10,7.3e+08,8.4e+07,-5.48e+08,2.78e+08,-4.6e+07,-3e+07,-7.6e+07,-1.1e+07,-3e+06,-3.28e+08,-1.26e+08,-1.26e+08,0,-1.26e+08,3.58e+08,6.602e+09,0.83849,0.1325,0.35251,0.43111,0.05124,0.81519,7.41396,0.46401,2.29968,2.25697,6.52366,5.32492,0.06578,16.84916,22.0146
"18","2018_Q2",80.1234375,"Down",2.074e+09,-3.2e+08,1.754e+09,-1.461e+09,-1.04e+08,-8.2e+07,-1.275e+09,2.93e+08,-7.2e+07,-8.3e+07,1.1e+07,-9.31322574615479e-10,2.21e+08,2.21e+08,-58000000.0000001,1.63e+08,1.63e+08,-2e+06,1.61e+08,1.61e+08,6.1e+08,6.1e+08,9.8e+08,9.8e+08,4.18e+08,1.61e+08,2.57e+08,2.008e+09,3.58e+08,1.1894e+10,5.83e+09,5.211e+09,4.28e+08,1.11e+08,3.14e+08,1.2252e+10,1.426e+10,1.407e+09,1.344e+09,4.7e+07,2.488e+09,6.558e+09,3.467e+09,8.28e+08,9.01e+08,1.738e+09,1.0025e+10,1.2513e+10,1.0291e+10,-6.868e+09,-6.8e+08,1.742e+09,1.747e+09,1.426e+10,1.63e+08,8.2e+07,1.2e+07,2.57e+08,-2.4e+07,-1.6e+07,-4e+07,-1.4e+07,-4e+07,-2.11e+08,6e+06,6e+06,7e+06,1.3e+07,3.75e+08,6.605e+09,0.84571,0.14127,0.07763,0.09216,0.01129,0.80707,7.16256,0.46318,0.50949,0.5047,6.56329,5.51266,0.0176,15.98667,20.46075
"19","2018_Q3",77.7628571428571,"Down",2.291e+09,-3.52e+08,1.939e+09,-1.521e+09,-1.15e+08,-7.9e+07,-1.327e+09,4.18e+08,-1.2e+08,-9.5e+07,-1.2e+07,-1.3e+07,2.98e+08,2.98e+08,-8.1e+07,2.17e+08,2.17e+08,0,2.17e+08,2.17e+08,4.23e+08,4.23e+08,1.041e+09,1.041e+09,3.8e+08,1.51e+08,2.18e+08,1.844e+09,3.51e+08,1.1791e+10,5.771e+09,5.174e+09,4.19e+08,1.11e+08,3.16e+08,1.2142e+10,1.3986e+10,1.334e+09,1.312e+09,1.1e+07,2.378e+09,7.564e+09,3.484e+09,8.19e+08,9.08e+08,1.757e+09,1.1048e+10,1.3426e+10,1.0324e+10,-6.697e+09,-7.42e+08,5.55e+08,5.6e+08,1.3986e+10,2.17e+08,7.9e+07,1.7e+07,3.13e+08,-4.2e+07,-3.1e+07,-7.3e+07,9.92e+08,-2.3e+07,-4.05e+08,-1.65e+08,-1.65e+08,-1.3e+07,-1.78e+08,4.97e+08,7.575e+09,0.84636,0.18245,0.09472,0.3875,0.01552,0.77544,23.975,0.54161,0.72093,0.71617,7.6113,1.84385,0.02255,14.39034,17.11005
"20","2018_Q4",71.4431746031746,"Down",2.253e+09,-3.31e+08,1.922e+09,-1.527e+09,-1.09e+08,-8.1e+07,-1.337e+09,3.95e+08,-1.02e+08,-9.9e+07,-6e+06,3e+06,2.93e+08,2.93e+08,-1.29e+08,1.64e+08,1.64e+08,-2e+06,1.62e+08,1.62e+08,6.21e+08,6.21e+08,1.051e+09,1.051e+09,3.63e+08,1.66e+08,1.58e+08,2.035e+09,3.61e+08,1.1747e+10,5.768e+09,5.17e+09,4.17e+08,1.11e+08,2.81e+08,1.2108e+10,1.4143e+10,1.376e+09,1.358e+09,1.5e+07,2.413e+09,7.559e+09,3.591e+09,8.14e+08,9.8e+08,1.797e+09,1.115e+10,1.3563e+10,1.0352e+10,-6.58e+09,-7.46e+08,5.74e+08,5.8e+08,1.4143e+10,1.64e+08,8.1e+07,1.81e+08,4.26e+08,-6.7e+07,1.8e+07,-4.9e+07,-2999999.99999976,-4e+06,-1.74e+08,2.03e+08,2.03e+08,-8e+06,1.95e+08,4.76e+08,7.574e+09,0.85308,0.17532,0.0719,0.27931,0.01145,0.84335,23.38448,0.53553,0.54545,0.54,7.58586,1.93266,0.01762,14.60714,17.60253
