"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",62.4492063492063,"Up",155243000,-50407000,104836000,-50789000,-50789000,54047000,238000,238000,54285000,54285000,-18142000,36143000,36143000,36143000,36143000,797027.616586804,3264865.93468064,199747793.489497,199747793.489497,307878036.579228,508422857.685312,71789774.0970916,381646819.115103,81527885.7213233,281525358.474004,-9241985.49906274,453436593.212194,961859450.897506,621420640.16406,-116756776.071064,-12263904.6643567,980550043.943812,48399963.9206064,48399963.9207747,669820604.084666,131044470.081806,6673869.14130819,124370600.940498,131044470.285406,800865074.370073,53413759.8941875,516383.020873729,52897376.8733138,-793128458.015614,768211696.080397,132497378.568462,160994376.527434,160994376.527434,961859450.897506,36143000,9149000,-12603000,-7454000,25235000,-6738000,-22010982.2537764,-6738000,-9282000,-23589000,15082000,-17789000,708000,708000,833000,1541000,63196000,0,67146000,0.6753,0.34814,0.23282,0.260082932761815,0.137229803099043,1.85779,-11.7738775313958,1.72777128936298,3.05577120201633e-10,0.76646,0.73948,3.29212,3.73034048158559,1.42391,0.19684,0.26901567299069,1.91346425634488,0.25681,-4.77132818294236,-7.09151676438937
"2","2010_Q3",66.07375,"Up",157281000,-50870000,106411000,-51938000,-51938000,54473000,151000,151000,54624000,54624000,-18505000,36119000,36119000,36119000,36119000,105629013.808293,106862932.96734,115580396.744748,115580396.744748,133371018.289614,354580428.842656,75243887.0485458,335043909.557551,65861942.8606617,246557179.237002,-537492.749531372,410287796.606097,764868225.448753,337202320.08203,-38919388.0355321,1056047.66782165,476557521.971906,34783981.9603032,34783981.9603873,371986302.042333,76113735.040903,5010434.5706541,71103300.4702489,76113735.1427031,448100037.185036,193848379.947094,558191.510436864,193290188.436657,-673246729.007807,754651848.040199,41514689.2842313,316768188.263717,316768188.263717,764868225.448753,36119000,9062000,-3210000,2927000,44898000,-2313000,-13206589.3522658,-2313000,-9360000,-45207000,3765000,-50802000,-8217000,-8217000,-5049000,-13266000,63535000,0,82654000,0.67657,0.34634,0.22965,0.156651466380907,0.0908499015495212,2.28838,-4.46868876569789,0.965940644681488,1.52788560100817e-10,0.75769,0.75145,3.29937,7.00732024079279,1.73388,0.19635,0.170082836495345,1.01146212817244,0.25914,-3.64228909147118,-4.94470838219469
"3","2010_Q4",78.1584375,"Up",160301000,-51355000,108946000,-53262000,-53262000,55684000,86000,86000,55770000,55770000,-17112000,38658000,38658000,38658000,38658000,167055337.936098,167466644.322447,72912798.9149162,72912798.9149162,41962672.7632047,281930809.614219,77756295.6828486,309752636.519184,56675314.2868872,228244059.745667,4214835.75015621,387508932.202032,669439741.816251,167404773.360677,5000203.98815596,8028682.55594055,183874507.323969,27547993.9867677,27547993.9867958,194952767.347444,45629578.3469677,4097811.52355137,41531766.8234163,45629578.380901,240582345.728345,287438459.982365,585397.170145621,286853062.812219,-616190909.669269,763330949.346733,-5721103.57192292,428857396.087906,428857396.087906,669439741.816251,38658000,9213000,-1270000,24095000,70696000,-4625000,-6603294.67613291,-4625000,-9266000,-37513000,3218000,-43561000,22510000,22510000,-2392000,20118000,64897000,0,101479000,0.67963,0.34737,0.24116,0.100447155460302,0.0678133005165071,2.62505,0.0571970781007045,0.508796881560496,5.09295200336056e-11,0.84425,0.81002,3.50079,9.34954674693093,2.21618,0.20236,0.115530945498448,0.462434042724147,0.23969,-3.08050969715706,-3.8192927940649
"4","2011_Q1",88.1935483870968,"Up",168234000,-53918000,114316000,-56886000,-56886000,57430000,72000,72000,57502000,57502000,-18211000,39291000,39291000,39291000,39291000,195741000,195741000,59693000,59693000,9711000,265145000,79495000,299968000,52179000,221991000,6197000,379463000,644608000,84242000,23976000,10586000,48607000,25034000,25034000,109276000,32926000,3731000,29195000,32926000,142202000,344745000,601000,344144000,-607798000,786844000,-21385000,502406000,502406000,644608000,39291000,9919000,749000,20292000,70251000,-7092000,-2201098.22537764,-62272000,-10586000,-31257000,2427000,-39416000,-31437000,-31437000,2465000,-28972000,67349000,2.16840434497101e-19,98760000,0.67951,0.34137,0.23355,0.07821,0.06095,2.51355,2.42638,0.28304,0,0.8509,0.82982,3.64332,10.88024,2.13877,0.22925,0.09317,0.18448,0.26943,-2.90637,-3.40834
"5","2011_Q2",92.268253968254,"Up",173289000,-56785000,116504000,-57075000,-57075000,59429000,125000,125000,59554000,59554000,-17953000,41601000,41601000,41601000,41601000,202351000,202351000,63869000,63869000,12674000,278894000,80628000,299885000,50584000,223203000,6591000,380513000,659407000,59928000,26982000,10660000,16861000,25584000,25584000,85512000,31337000,3705000,27632000,31337000,116849000,376329000,608000,375721000,-633905000,817786000,-17652000,542558000,542558000,659407000,41601000,9392000,-4980000,-23829000,22184000,-8021000,0,-8021000,-10517000,-5962000,7505000,-8974000,5189000,5189000,1421000,6610000,68821000,0,54924000,0.67231,0.34295,0.24007,0.07668,0.06309,1.32026,3.26146,0.21537,0,0.89884,0.87605,3.74412,11.72262,1.1867,0.22723,0.09081,0.0957,0.25281,-2.94025,-3.40492
"6","2011_Q3",78.86140625,"Down",177635000,-60137000,117498000,-59405000,-59405000,58093000,132000,132000,58225000,58225000,-12971000,45254000,45254000,45254000,45254000,203105000,203105000,70501000,70501000,24846000,298452000,81336000,303282000,49980000,226924000,6930000,384618000,683070000,63528000,23580000,10612000,29336000,27799000,27799000,91327000,33556000,3808000,29748000,33556000,124883000,396447000,611000,395836000,-682943000,852428000,-7745000,558187000,558187000,683070000,45254000,9366000,1159000,-5482000,50297000,-7412000,0,-7411999.99999999,-10593000,-41222000,5414000,-46401000,-3516000,-3516000,4270000,754000,67459000,-1.73472347597681e-18,67536000,0.66146,0.32704,0.25476,0.08107,0.06625,1.49238,3.26795,0.22373,0,0.97897,0.95418,3.84275,12.07517,1.461,0.22916,0.09438,0.11413,0.23408,-3.01079,-3.4962
"7","2011_Q4",82.1838095238095,"Up",183647000,-62224000,121423000,-59600000,-59600000,61823000,172000,172000,61995000,61995000,-18684000,43311000,43311000,43311000,43311000,208668000,208668000,67537000,67537000,22285000,298490000,81787000,304354000,48578000,228559000,8396000,386141000,684631000,67256000,22744000,12374000,32138000,30021000,30021000,97277000,32917000,3835000,29082000,32917000,130194000,415660000,613000,415047000,-740749000,883365000,-3839000,554437000,554437000,684631000,43311000,9192000,1614000,10398000,64515000,-7373000,0,-7373000,-10545000,-47831000,4154000,-54222000,2920000,2920000,2643000,5563000,71015000,0,92724000,0.66118,0.33664,0.23584,0.07812,0.06326,2.14089,3.06845,0.23482,1.29246970711411e-26,0.94218,0.9185,3.99502,12.06111,2.0171,0.22939,0.09169,0.15787,0.24347,-2.93837,-3.37525
"8","2012_Q1",81.0835483870968,"Down",191939000,-65477000,126462000,-67472000,-67472000,58990000,194000,194000,59184000,59184000,-18304000,40880000,40880000,40880000,40880000,181685000,181685000,75004000,75004000,16481000,273170000,81620000,302650000,46310000,228265000,7909000,384270000,657440000,81171000,24603000,12165000,41536000,28252000,28252000,109423000,32829000,3712000,29117000,32829000,142252000,433152000,614000,432538000,-824382000,912078000,-5660000,515188000,515188000,657440000,40880000,8897000,7821000,12542000,70140000,-6537000,4.65661287307739e-10,-6537000,-12294000,-78490000,1258000,-89526000,-25923000,-25923000,-1060000,-26983000,67887000,0,92196000,0.65887,0.30734,0.21298,0.07935,0.06218,2.25528,2.49646,0.27612,0,0.90175,0.86332,4.23389,11.36427,2.03371,0.27119,0.09703,0.16824,0.30073,-2.67629,-3.07993
"9","2012_Q2",89.7814285714286,"Up",196448000,-66833000,129615000,-62862000,-62862000,66753000,277000,277000,67030000,67030000,-21486000,45544000,45544000,45544000,45544000,207546000,193754000,64833000,64833000,15182000,287561000,80065000,295880000,43077000,224776000,8057000,375945000,663506000,68306000,29216000,12181000,16493000,26975000,26975000,95281000,31860000,3386000,28474000,31860000,127141000,449461000,616000,448845000,-839114000,945442000,-19424000,536365000,536365000,663506000,45544000,8403000,2758000,-1951000,54754000,-6054000,-1.5e+07,-21054000,-12084000,-7312000,3178000,-16218000,17482000,17482000,-5413000,12069000,75156000,0,88637000,0.65979,0.3398,0.23184,0.08491,0.06864,1.94618,3.01803,0.23704,2.06795153138257e-25,1.00969,0.98787,4.35516,11.89095,1.96504,0.2679,0.10142,0.15599,0.26533,-2.76154,-3.10916
"10","2012_Q3",84.3787301587302,"Down",199371000,-67531000,131840000,-64723000,-64723000,67117000,496000,496000,67613000,67613000,-20867000,46746000,46746000,46746000,46746000,200183000,184998000,71459000,71459000,20395000,292037000,78595000,293192000,41470000,225275000,6809000,371787000,663824000,61744000,24960000,12085000,24699000,28950000,28950000,90694000,29106000,2853000,26253000,29106000,119800000,102030000,451000,101579000,-33242000,490815000,-15579000,544024000,544024000,663824000,46746000,8289000,4102000,-15432000,43705000,-4590000,0,-4590000,-12098000,-38640000,1795000,-48943000,-9828000,-9828000,1072000,-8755999.99999999,75406000,8.88178419700125e-16,76251000,0.66128,0.33664,0.23447,0.08593,0.07042,1.63118,3.22003,0.22021,0,1.04158,1.02273,4.44231,12.12175,1.699,0.26956,0.10267,0.13304,0.2588,-2.65474,-2.9826
