"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",11.8939682539683,"Up",91000,-9349000,-4646000,-4703000,-9258000,-281000,-896000,-9539000,-10011000,-10011000,-10011000,-10011000,-10296000,76392000,47242000,29150000,1413000,1010000,77805000,1146000,1014000,798000,216000,2160000,79965000,10769000,10510000,365000,21881000,3043000,1432000,20104000,41985000,97233000,-59259000,6000,37980000,37980000,79965000,-10011000,213000,276000,-167000,-9689000,-120000,-120000,-120000,-7637000,-7757000,52359000,52359000,48822000,31376000,31376000,31376000,-9045000,27808000,-101.73626,-113.14286,-0.27109,-0.12876,3.55582,1.10545,0.34775,-0.61221,-0.61221,0.00541,2.25832,-0.14958,5.37137,5.24779
"2","2012_Q4",10.5616129032258,"Down",91999.9999999998,-12382000,-4076000,-8306000,-12290000,-899000,-841000,-13189000,-13483000,-13483000,-13483000,-13483000,-13483000,60668000,23412000,37256000,1695000,1276000,62889000,1384000,937000,740000,197000,4125000,67014000,12524000,12286000,576000,24590000,3677000,1558000,17793000,42383000,97402000,-72742000,-29000,24631000,24631000,67014000,-13483000,212000,473000,1496000,-11302000,-393000,-393000,-393000,-9910000,-10303000,39000,39000,-2225000,-23830000,-23830000,-23830000,-12078000,25606000,-133.58696,-146.55435,-0.5474,-0.2012,2.5575,1.72072,0.3821,-0.54864,-0.54864,0.00374,1.00226,-0.25008,2.90296,2.85289
"3","2013_Q1",7.14933333333333,"Down",1089000,-13832000,-8682000,-5150000,-12743000,-826000,-775000,-13569000,-13513000,-13513000,-13513000,-13513000,-13513000,88508000,40302000,48206000,1791000,983000,91462000,1421000,1106000,683000,423000,2527000,93989000,10666000,10666000,508000,22983000,2348000,1788000,13436000,36419000,143882000,-86255000,-57000,57570000,57570000,93989000,-13513000,221000,206000,-3054000,-16140000,-2e+05,-2e+05,-2e+05,-9146000,-9346000,48288000,48288000,42376000,16890000,16890000,16890000,-12522000,22897000,-11.70156,-12.40863,-0.23472,-0.14377,3.97955,0.6326,0.24361,-0.50622,-0.50622,0.0408,2.15666,-0.16317,5.23966,5.14879
"4","2013_Q2",5.8896875,"Down",147000,-18055000,-13533000,-4522000,-17908000,-586000,-675000,-18494000,-18414000,-18414000,-18414000,-18414000,-18414000,69892000,18909000,50983000,1677000,861000,76332000,1687000,1042000,626000,416000,2729000,79061000,10903000,10903000,3968000,27008000,2806000,1860000,10781000,37789000,146030000,-104669000,-89000,41272000,41272000,79061000,-18414000,162000,308000,721000,-17223000,-372000,-372000,-372000,-2777000,-3149000,1936000,1936000,-1021000.00000001,-21393000,-21393000,-21393000,-17746000,20112000,-121.82313,-125.26531,-0.44616,-0.23291,2.82627,0.91561,0.25439,-0.5964,-0.5964,0.00476,1.33673,-0.28687,2.80514,2.77976
"5","2013_Q3",6.7165625,"Up",281000,-15757000,-12214000,-3543000,-15480000,-2095000,-2090000,-17575000,-27357000,-27357000,-27357000,-27357000,-27357000,102632000,33907000,68725000,3133000,1912000,110617000,2247000,3037000,568000,2469000,21356000,131973000,11732000,11732000,4292000,16024000,20957000,2158000,80057000,96081000,168153000,-132026000,-235000,35892000,35892000,131973000,-27357000,164000,10872000,566000,-15755000,-665000,-665000,-665000,-33814000,-34479000,217000,217000,65232000,14998000,14998000,14998000,-15316000,59100000,-55.08897,-97.35587,-0.7622,-0.20729,6.90321,2.67695,0.44782,-0.88542,-0.88542,0.00909,1.16166,-0.23594,2.84226,2.81214
"6","2013_Q4",6.9915625,"Up",1256000,-18398000,-14619000,-3779000,-17175000,-2769000,-2774000,-19944000,-24096000,-24096000,-24096000,-24096000,-24096000,87238000,22945000,64293000,3228000,1815000,102862000,2480000,3208000,817000,2391000,20903000,123765000,14472000,14472000,10599000,25071000,26066000,2401000,86241000,111312000,168656000,-156122000,-81000,12453000,12453000,123765000,-24096000,2e+05,5980000,2366000,-15550000,-377000,-377000,-377000,5289000,4606000,11000,11000,-17999.9999999851,-10962000,-10962000,-10962000,-16975000,60175000,-13.67436,-19.18471,-1.93496,-0.19469,4.10283,8.93857,0.4862,-0.77875,-0.77875,0.04059,0.40246,-0.24415,1.59429,1.57572
"7","2014_Q1",9.20967213114754,"Up",10335000,-20625000,-15224000,-5401000,-11357000,-1999000,-2011000,-13356000,-22406000,-22406000,-22406000,-22406000,-22406000,82191000,32980000,49211000,2764000,2764000,97161000,2554000,2524000,1158000,1366000,13834000,110995000,18314000,15172000,8086000,26400000,16738000,2677000,51131000,77531000,211992000,-178528000,7357.31475740632,33464000,33464000,110995000,-22406000,216000,10747000,2022000,-9421000,-232000,-232000,-232000,21541000,20910000,273000,273000,-1454000,10035000,10035000,10035000,-11141000,34393000,-1.09889,-2.16797,-0.66956,-0.20186,3.68034,2.31685,0.30986,-0.64611,-0.64611,0.29802,0.96498,-0.26486,4.29028,4.20868
"8","2014_Q2",8.90888888888889,"Down",9081000,-22009000,-17527000,-4482000,-13422000,-1105000,-1105000,-14527000,-15543000,-15543000,-15543000,-15543000,-15543000,58867000,12252000,46615000,3380000,2559000,79929000,2648000,3281000,2157000,1124000,17591000,97520000,14658000,14658000,12444000,27102000,13047000,2101000,41405000,68507000,223083000,-194071000,1000,29013000,29013000,97520000,-15543000,227000,2258000,-6046000,-19104000,-263000,-263000,-263000,-310000,-1629000,5999.99999999977,5999.99999999977,5000,-20728000,-20728000,-20728000,-13195000,28358000,-1.47803,-1.7116,-0.53573,-0.15938,2.94919,2.36125,0.29079,-0.37791,-0.37791,0.22079,0.70541,-0.22072,2.31216,2.27306
"9","2014_Q3",9.0325,"Up",29675000,-24259000,-19582000,-4677000,3755000,-1193000,-1193000,2562000,3201000,3201000,3201000,3201000,3201000,47270000,11956000,35314000,3756000,3058000,71981000,2590000,4157000,3083000,1074000,22209000,94190000,19044000,19044000,143000,19187000,12963000,2784000,41634000,60821000,224238000,-190870000,1000,33369000,33369000,94190000,3201000,233000,526000,-10900000,-6940000,-118000,-118000,-118000,7501000,6399000,245000,245000,245000,-296000,-296000,-296000,3988000,28671000,0.12654,0.10787,0.09593,0.03398,3.75155,1.82268,0.3044,0.0761,0.0761,0.70552,0.79334,0.04268,-4.66374,-4.95313
"10","2014_Q4",8.401875,"Down",22687000,-22102000,-17445000,-4657000,-736000,-1535000,-1537000,-2271000,-2371000,-2371000,-2371000,-2371000,-2371000,72563000,37780000,34783000,3791000,3791000,102802000,2500000,4495000,4135000,360000,22758000,125560000,21983000,20410000,142999.999999998,22126000,41710000,33142000,67442000,89568000,229268000,-193241000,-35000,35992000,35992000,125560000,27858000,241000,1280000,-2596000,26783000,-94000,-94000,-94000,230000,-973000,14000.0000000001,14000.0000000001,14000.0000000019,25824000,25824000,25824000,-495000,25732000,-0.0324399999999999,-0.10451,-0.06588,-0.01888,4.64621,2.48855,0.20494,-0.05525,-0.05525,0.52865,0.83869,-0.02292,94.60808,63.62908
"11","2015_Q1",9.44885245901639,"Up",31235000,-23828000,-18058000,-5770000,5125000,-1401000,-1438000,3724000,4418000,3788000,3788000,3788000,3788000,74336000,36396000,37940000,3679000,3679000,108726000,2448000,5794000,225000,5569000,28058000,136784000,27980000,26117000,143000,28123000,41739000,33901000,67962000,96085000,230306000,-189453000,-154000,40699000,40699000,136784000,-26441000,227000,537000,443000,-25234000,-118000,-118000,-118000,-7210000,-6456000,306000,306000,30306000,-1384000,-1384000,-1384000,5352000,26223000,0.16408,0.12127,0.09307,0.02769,3.86609,2.36087,0.19171,0.08822,0.08822,0.72744,0.94784,0.03486,-8.98972,-9.3879
"12","2015_Q2",14.2330158730159,"Up",28738000,-23086000,-19403000,-3683000,4034000,-1027000,-1027000,3007000,824000.000000001,737999.999999999,737999.999999999,737999.999999999,737999.999999999,64836000,25158000,39678000,3640000,3640000,101449000,2481000,8160000,167000,7993000,37956000,139405000,27366000,26507000,143000,27509000,36669000,32740000,48145000,75654000,252531000,-188715000,-65000,63751000,63751000,139405000,916999.999999993,214000,3458000,-4175000,413999.999999993,-189000,-189000,-189000,-8495000,-11147000,147000,147000,147000.000000007,-10586000,-10586000,-10586000,4248000,11476000,0.14037,0.02568,0.01158,0.00529000000000001,3.68785,1.18671,0.08232,0.01656,0.01644,0.64488,1.43057,0.00660000000000002,-12.56121,-13.22757
"13","2015_Q3",18.595,"Up",35678000,-30071000,-23193000,-6878000,3845000,-942000,-967000,2903000,2663000,2438000,2438000,2438000,2438000,69791000,32457000,37334000,4417000,4417000,105700000,2908000,11918000,110000,11808000,48314000,154014000,36488000,31970000,143000,36631000,36953000,33681000,45561000,82192000,258250000,-186277000,-151000,71822000,71822000,154014000,2006000,217000,1509000,11023000,14755000,-588000,-588000,-588000,-3914000,-8317000,862000,862000,862000,7300000,7300000,7300000,4062000,8608000,0.10777,0.06833,0.03395,0.01583,2.88553,1.14438,0.05589,0.05087,0.0483,0.74437,1.49846,0.02077,-15.06228,-15.91235
"14","2015_Q4",15.468125,"Down",39362000,-32029000,-22900000,-9129000,5085000,-1116000,-1121000,3969000,4058000,3916000,3916000,3916000,3916000,57702000,25641000,32061000,6468000,6468000,102515000,3210000,16949000,16627000,322000,64126000,166641000,43286000,40474000,404000,43690000,36425000,34102000,44364000,88054000,261055000,-182361000,-107000,78587000,78587000,166641000,4169000,220000,1594000,-6555000,-571999.999999998,-463000,-463000,-463000,-5862000,-6955000,57999.9999999998,57999.9999999998,58000,-7469000,-7469000,-7469000,5305000,7939000,0.12919,0.09949,0.04983,0.0235,2.34642,1.12047,0.04764,0.08068,0.06775,0.81092,1.61902,0.03185,-9.3804,-9.78623
"15","2016_Q1",13.047868852459,"Down",43687000,-33012000,-23567000,-9445000,7880000,-1004000,-1012000,6876000,7065000,6852000,6852000,6852000,6852000,62190000,33498000,28692000,5261000,5261000,105946000,3874000,23797000,976000,22821000,82680000,188626000,56261000,51947000,673000,56934000,36600000,34356000,43685000,100619000,264004000,-175509000,-488000,88007000,88007000,188626000,6852000,270000,925000,11880000,19927000,-864000,-864000,-864000,-8007000,-12870000,8e+05,8e+05,8e+05,7857000,7857000,7857000,8150000,7085000,0.18037,0.15684,0.07786,0.03633,1.86086,1.14331,0.03756,0.1401,0.13314,0.89326,1.79947,0.05203,-6.76135,-6.99302
"16","2016_Q2",17.7378125,"Up",44194000,-35722000,-25160000,-10562000,6437000,-1131000,-1131000,5306000,5025000,4825000,4825000,4825000,4825000,45257000,19830000,25427000,5003000,5003000,93955000,3866000,27863000,16108000,11755000,100519000,194474000,54258000,51612000,1275000,55533000,36205000,34012000,41832000,97365000,267625000,-170684000,168000,97109000,97109000,194474000,4825000,429000,1955000,-10351000,-3142000,-279000,-279000,-279000,-9935000,-10650000,124000,124000,124000,-13668000,-13668000,-13668000,6866000,5627000,0.14565,0.10918,0.04969,0.02481,1.69188,1.00264,0.02893,0.09799,0.09433,0.89752,1.97215,0.03473,-5.77192,-6.15659
"17","2016_Q3",22.63234375,"Up",51625000,-37230000,-26121000,-11109000,11644000,-1111000,-1111000,10533000,10656000,10251000,10251000,10251000,10251000,60214000,36156000,24058000,3272000,3272000,114140000,4193000,32491000,15785000,16706000,104493000,218633000,65397000,63154000,2117000,67514000,35195000,33177000,40894000,108408000,270109000,-160433000,549000,110225000,110225000,218633000,10251000,688000,1815000,4023000,16777000,-624000,-624000,-624000,2554000,-1322000,871000,871000,871000,16326000,16326000,16326000,12332000,5699000,0.22555,0.19857,0.093,0.04689,1.69061,0.98352,0.02607,0.20739,0.19783,1.04445,2.23002,0.06783,-4.42061,-4.68181
"18","2016_Q4",22.344126984127,"Down",56810000,-33543000,-25675000,-7868000,19839000,-828000,-828000,19011000,19136000,61826000,61826000,61826000,61826000,80329000,54305000,26024000,4201000,4201000,138203000,4318000,75551000,15526000,17769000,146913000,285116000,69098000,66413000,2549000,71647000,34326000,32485000,40098000,111745000,271851000,-98607000,127000,173371000,173371000,285116000,61826000,611000,-41048000,6850000,28239000,-399000,-399000,-399000,-1415000,-10350000,260000,260000,260000,18149000,18149000,18149000,20450000,5772000,0.34922,1.08829,0.35661,0.21685,1.92894,0.64454,0.02024,1.24856,1.19179,1.14726,3.50118,0.28963,-3.64582,-3.7581
