"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",11.6446774193548,"Up",6.428e+09,-4.915e+09,1.513e+09,-1.462e+09,-2.77e+08,-2.56e+08,-9.29e+08,5.1e+07,-1.53e+08,-1.54e+08,1e+06,-1.02e+08,-2.39e+08,0,-2.39e+08,-2.39e+08,-2.39e+08,-2.39e+08,4.226e+09,5.08e+08,3.718e+09,1.16e+09,1.16e+09,5.96e+08,1.321e+09,3.76e+08,8.47e+08,7.303e+09,1.362e+10,1.362e+10,3.004e+09,1.67e+08,2.837e+09,1.6624e+10,2.3927e+10,3.312e+09,1.283e+09,2.029e+09,1.508e+09,4.73e+09,4.73e+09,9.55e+09,6.525e+09,1.5227e+10,76000000.0000005,1.5151e+10,2.1752e+10,3.1302e+10,4.818e+09,-9.725e+09,-2.101e+09,-7.375e+09,-7.375e+09,2.3927e+10,-1.55e+08,-4.19e+08,8.15e+08,3.96e+08,0,-1.04e+08,-1.04e+08,1.37e+08,1.37e+08,1.37e+08,8.033e+09,0.23538,0.00793,-0.03718,0.03241,-0.00999000000000001,0.76471,-4.24434,0.33573,-1.90846,-1.90846,51.32873,-58.8907,-0.01505,74.64706
"12","2013_Q1",13.9691666666667,"Up",5.937e+09,-5.006e+09,9.31e+08,-8.87e+08,-2.52e+08,-6.8e+07,-5.67e+08,4.4e+07,9.1e+07,-1.23e+08,2.14e+08,1.35e+08,-3.06e+08,5.69e+08,2.63e+08,2.63e+08,2.63e+08,2.63e+08,3.892e+09,4.8e+08,3.412e+09,1.124e+09,1.124e+09,5.8e+08,1.476e+09,6.26e+08,8.5e+08,7.072e+09,1.3402e+10,2.4233e+10,3.036e+09,8.69e+08,2.167e+09,1.6438e+10,2.351e+10,3.068e+09,9.75e+08,2.093e+09,1.419e+09,4.524e+09,4.524e+09,9.011e+09,7.116e+09,1.537e+10,6.78e+09,8.59e+09,2.2486e+10,3.1497e+10,4.822e+09,-9.462e+09,-2.98e+09,-7.987e+09,-7.987e+09,2.351e+10,-2.82e+08,-6.7e+08,3.03e+08,-3.67e+08,2.68e+08,3.53e+08,6.21e+08,-2.8e+07,-2.8e+07,-2.8e+07,8.535e+09,0.15681,0.00741,0.0443,-0.03293,0.01119,0.78482,-3.94353,0.36304,0.42265,0.422650000000001,9.54091999999999,-12.83533,0.01652,105.52273
"13","2013_Q2",15.95046875,"Up",6.098e+09,-4.76e+09,1.338e+09,-1.267e+09,-2.9e+08,-2.04e+08,-7.73e+08,7.1e+07,-2.74e+08,-2.5e+08,-2.4e+07,-2.03e+08,-3.63e+08,2.2e+07,-3.41e+08,-3.41e+08,-3.41e+08,-3.41e+08,4.244e+09,6.06e+08,3.638e+09,1.243e+09,1.243e+09,5.95e+08,1.443e+09,5.24e+08,8.53e+08,7.525e+09,1.3305e+10,1.3305e+10,3.022e+09,1.55e+08,2.867e+09,1.6327e+10,2.3852e+10,3.524e+09,1.44e+09,2.084e+09,1.256e+09,5.18e+09,5.18e+09,9.96e+09,7.051e+09,1.5217e+10,6.73e+09,8.487e+09,2.2268e+10,3.2228e+10,4.824e+09,-9.803e+09,-3.03e+09,-8.376e+09,-8.376e+09,2.3852e+10,7e+08,-8.59e+08,-2.29e+08,-1.088e+09,1.61e+08,3.53e+08,5.14e+08,1.26e+08,1.26e+08,1.26e+08,8.307e+09,0.21942,0.01164,-0.05592,0.04071,-0.0143,0.75552,-3.84766,0.34827,-1.36678,-1.36678,24.44176,-33.57235,-0.02251,57.22535
"14","2013_Q3",16.6840625,"Up",6.449e+09,-4.715e+09,1.734e+09,-1.222e+09,-2.73e+08,-2.07e+08,-7.42e+08,5.12e+08,-1.69e+08,-1.56e+08,-1.3e+07,3.43e+08,2.19e+08,0,2.19e+08,2.19e+08,2.19e+08,2.19e+08,6.21e+09,6.04e+08,5.606e+09,1.376e+09,1.376e+09,5.89e+08,1.46e+09,5.76e+08,8.63e+08,9.635e+09,1.355e+10,1.355e+10,3.031e+09,1.49e+08,2.882e+09,1.6581e+10,2.6216e+10,3.677e+09,1.507e+09,2.17e+09,1.298e+09,5.665e+09,5.665e+09,1.064e+10,8.383e+09,1.5409e+10,6.702e+09,8.707e+09,2.3792e+10,3.4432e+10,4.825e+09,-9.584e+09,-3.09e+09,-8.216e+09,-8.216e+09,2.6216e+10,1.17e+09,-9.19e+08,-1.978e+09,-2.897e+09,1.523e+09,2.02e+08,1.725e+09,-2000000.00000003,-2000000.00000003,-2000000.00000003,9.681e+09,0.26888,0.07939,0.03396,-0.02666,0.00835,0.90555,-4.19085,0.36928,0.87745,0.75907,25.83858,-32.91825,0.01298,6.7793
"15","2013_Q4",21.77203125,"Up",6.828e+09,-4.875e+09,1.953e+09,-1.252e+09,-2.94e+08,-2.04e+08,-7.54e+08,7.01e+08,-2.61e+08,-2.22e+08,-3.9e+07,4.4e+08,2.89e+08,0,2.89e+08,2.89e+08,2.89e+08,2.89e+08,6.763e+09,7.17e+08,6.046e+09,1.34e+09,1.34e+09,6.81e+08,1.457e+09,4.64e+08,9.35e+08,1.0241e+10,1.3472e+10,1.3472e+10,3.067e+09,1.43e+08,2.924e+09,1.6539e+10,2.678e+10,3.446e+09,1.307e+09,2.139e+09,1.335e+09,5.293e+09,5.293e+09,1.0074e+10,9.232e+09,1.5396e+10,6.641e+09,8.755e+09,2.4628e+10,3.4702e+10,4.83e+09,-9.295e+09,-3.09e+09,-7.922e+09,-7.922e+09,2.678e+10,1.7e+07,-5.95e+08,-5.12e+08,-1.107e+09,2.398e+09,-1.195e+09,1.203e+09,1.13e+08,1.13e+08,1.13e+08,1.0567e+10,0.28603,0.10267,0.04233,-0.03648,0.01079,1.01658,-4.38046,0.39459,1.1573,0.99988,27.34273,-31.72366,0.01602,5.42653
"16","2014_Q1",32.0852459016393,"Up",7.368e+09,-5.455e+09,1.913e+09,-1.798e+09,-3.01e+08,-2.38e+08,-1.259e+09,1.15e+08,-2.2e+08,-2.08e+08,-1.2e+07,-1.05e+08,-2.325e+09,3.24e+08,-2.001e+09,-2.001e+09,-2.001e+09,-2.001e+09,9.251e+09,1.14e+09,8.111e+09,1.56e+09,1.56e+09,1.012e+09,2.5e+09,1.465e+09,1.035e+09,1.4323e+10,1.9259e+10,3.0392e+10,8.696e+09,2.311e+09,2.294e+09,2.7955e+10,4.2278e+10,4.975e+09,1.368e+09,3.607e+09,1.446e+09,7.385e+09,7.385e+09,1.3806e+10,1.5353e+10,1.585e+10,5.828e+09,1.0022e+10,3.1203e+10,4.5009e+10,1.0597e+10,-1.1296e+10,-2.032e+09,-2.731e+09,-2.731e+09,4.2278e+10,-1.212e+09,-6.13e+08,1.891e+09,1.278e+09,1.052e+09,-6.95e+08,3.57e+08,4.23e+08,4.23e+08,4.23e+08,1.6799e+10,0.25964,0.01561,-0.27158,0.7327,-0.04733,1.03745,-16.48078,0.39735,-5.37825,-6.81043,19.80358,-7.34033,-0.06688,65.63478
"17","2014_Q2",36.7657142857143,"Up",9.995e+09,-7.653e+09,2.342e+09,-1.612e+09,-4.01e+08,-3.07e+08,-9.04e+08,7.3e+08,-2.37e+08,-2.36e+08,-1e+06,4.93e+08,4.93e+08,-1.3e+07,4.8e+08,4.8e+08,4.8e+08,4.8e+08,9.664e+09,1.259e+09,8.405e+09,2.008e+09,2.008e+09,1.052e+09,2.469e+09,1.522e+09,9.47e+08,1.5193e+10,1.9944e+10,3.1395e+10,8.6e+09,2.319e+09,2.192e+09,2.8544e+10,4.3737e+10,5.001e+09,1.646e+09,3.355e+09,1.441e+09,8.637e+09,8.637e+09,1.5079e+10,1.5244e+10,1.2319e+10,5.766e+09,6.553e+09,2.7563e+10,4.2642e+10,1.4046e+10,-1.0816e+10,-2.135e+09,1.095e+09,1.095e+09,4.3737e+10,1.256e+09,-7.37e+08,-2.06e+08,-9.43e+08,2.24e+08,-3.43e+08,-1.94e+08,1.19e+08,1.19e+08,1.19e+08,1.6685e+10,0.23432,0.07304,0.04802,0.43836,0.01097,1.00756,38.94247,0.38148,0.66301,0.64748,13.8058,1.51249,0.01595,9.61781
"18","2014_Q3",37.1478125,"Up",1.1356e+10,-7.917e+09,3.439e+09,-2.04e+09,-4.03e+08,-3.19e+08,-1.318e+09,1.399e+09,-1.96e+08,-2.06e+08,1e+07,1.203e+09,1.203e+09,-3.4e+08,8.63e+08,8.63e+08,8.63e+08,8.63e+08,9.459e+09,1.21e+09,8.249e+09,1.981e+09,1.981e+09,1.093e+09,2.433e+09,1.551e+09,8.82e+08,1.4966e+10,2.1236e+10,3.2868e+10,8.609e+09,2.33e+09,2.19e+09,2.9845e+10,4.4811e+10,5.003e+09,1.653e+09,3.35e+09,1.523e+09,8.562e+09,8.562e+09,1.5088e+10,1.5205e+10,1.0432e+10,5.704e+09,4.728e+09,2.5637e+10,4.0725e+10,1.5886e+10,-9.953e+09,-1.846e+09,4.086e+09,4.086e+09,4.4811e+10,1.381e+09,-1.625e+09,2.21e+08,-1.404e+09,3.1e+08,-3.92e+08,-2.6e+07,-4.9e+07,-4.9e+07,-4.9e+07,1.6728e+10,0.30284,0.12319,0.076,0.21121,0.01926,0.99191,9.96696,0.3733,1.19761,1.17452,15.75909,5.67027,0.02762,5.19585
"19","2014_Q4",40.7821875,"Up",1.1139e+10,-7.9e+09,3.239e+09,-1.979e+09,-3.92e+08,-3.34e+08,-1.253e+09,1.26e+09,-3.11e+08,-2.03e+08,-1.08e+08,9.49e+08,9.49e+08,-7e+06,9.42e+08,9.42e+08,9.42e+08,9.42e+08,7.899e+09,1.178e+09,6.721e+09,1.961e+09,1.961e+09,1.182e+09,2.408e+09,1.533e+09,8.75e+08,1.345e+10,2.2163e+10,3.4196e+10,8.56e+09,2.305e+09,2.166e+09,3.0723e+10,4.4173e+10,4.626e+09,1.498e+09,3.128e+09,1.439e+09,7.823e+09,7.823e+09,1.3888e+10,1.5651e+10,9.663e+09,4.964e+09,4.699e+09,2.5314e+10,3.9202e+10,1.595e+10,-9.086e+09,-1.893e+09,4.971e+09,4.971e+09,4.4173e+10,-3.61e+08,-1.313e+09,1.535e+09,2.22e+08,1.873e+09,-1.567e+09,1.07e+08,-3.2e+07,-3.2e+07,-3.2e+07,1.709e+10,0.29078,0.11312,0.08457,0.1895,0.02133,0.96846,7.88614,0.38689,1.31003,1.28129,15.49091,6.91312,0.03196,7.29444
"20","2015_Q1",48.1581967213115,"Up",1.016e+10,-7.174e+09,2.986e+09,-2.126e+09,-3.48e+08,-3.35e+08,-1.443e+09,8.6e+08,-2.93e+08,-2.11e+08,-8.2e+07,5.67e+08,5.67e+08,3e+07,5.97e+08,5.97e+08,5.97e+08,5.97e+08,7.303e+09,9.94e+08,6.309e+09,1.771e+09,1.771e+09,1.004e+09,1.672e+09,8.98e+08,7.74e+08,1.175e+10,2.3084e+10,3.5343e+10,8.391e+09,2.24e+09,2231521582.60878,3.1475e+10,4.3225e+10,4.668e+09,1.377e+09,3.291e+09,1.677e+09,7.059e+09,7.059e+09,1.3404e+10,1.6043e+10,1.1757e+10,7.562e+09,4.195e+09,2.78e+10,4.1204e+10,1.5142e+10,-8.562e+09,-4.559e+09,2.021e+09,2.021e+09,4.3225e+10,8.04e+08,-1.296e+09,5.1e+08,-7.86e+08,8.95e+08,-1.19e+08,-2.02e+08,-1.84e+08,-1.84e+08,-1.84e+08,1.772e+10,0.2939,0.08465,0.05876,0.2954,0.01381,0.8766,20.38793,0.40995,0.84539,0.82371,14.38714,2.86185,0.02124,12.11279
