"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",15.4006451612903,"Down",8146000,0,94095340.4077778,-43042000,-10522000,-32520000,-34896000,350000,350000,-34546000,-34546000,-34546000,-34546000,-34546000,-34546000,281809000,21127000,260682000,19279000,19279000,0,3028000,2246000,304116000,12311000,478000,478000,25820000,329936000,25783000,25783000,54821000,113597000,2967000,113597000,168418000,624861000,-461970000,-1373000,161518000,161518000,329936000,-34546000,938000,5040000,6610000,-21958000,-415000,18854000,18434000,1880000,1880000,1880000,-1644000,-1644000,-1644000,-33958000,0,0.97065757569475,-4.28382,-4.24085,-0.21388,-0.10471,5.54744,1.04272,0,-0.34185,-0.34185,0.08061,1.59832,-0.12557,8.29875,8.07568
"2","2011_Q2",17.9833333333333,"Up",12171000,-5.82076609134674e-11,74898804.2446667,-45147000,-12713000,-32434000,-32976000,302000,302000,-32674000,-32674000,-32674000,-32674000,-32674000,-32674000,442597000,61469000,381128000,8621000,8621000,-2810886.55694656,3901000,2673000,455119000,11739000,479000,479000,25474000,480593000,25393000,25393000,59817000,115947000,2985000,115947000,175764000,800637000,-494644000,-1164000,304829000,304829000,480593000,-32674000,875000,4667000,17559000,-9573000,-304000,-121289000,-121593000,171508000,171508000,171508000,40342000,40342000,40342000,-32101000,0,0.98271454541685,-2.70939,-2.68458,-0.10719,-0.06799,7.60852,0.5766,0,-0.30111,-0.30111,0.11216,2.80915,-0.07765,13.78764,13.42179
"3","2011_Q3",17.4275,"Down",13054000,0,60883402.1223333,-64840000,-15197000,-49643000,-51786000,280000,280000,-51506000,-51506000,-51506000,-51506000,-51506000,-51506000,411119000,79797000,331322000,11011000,11011000,-1226986.55694656,5555000,4363000,427685000,12125000,681000,681000,25950000,453635000,33836000,33836000,69514000,120093000,3199000,120093000,189607000,811382000,-546150000,-1204000,264028000,264028000,453635000,-51506000,896000,5810000,9549000,-35251000,-1281000,48580000,47096000,6483000,6483000,6483000,18328000,18328000,18328000,-50890000,0,0.979792272708425,-3.96706,-3.94561,-0.19508,-0.11354,6.1525,0.71813,0,-0.4517,-0.4517,0.11448,2.31549,-0.13409,8.07858,7.93881
"4","2011_Q4",18.2215873015873,"Up",20666000,-724000,51574134.0407778,-60875000,-19795000,-41080000,-40933000,248000,248000,-40685000,-40685000,-40685000,-40685000,-40685000,-40685000,361697000,112105000,249592000,15447000,15447000,3428000,6339000,5325000,386911000,14638000,6150000,6150000,33579000,420490000,38287000,38287000,73923000,115323000,3487000,115323000,189246000,819696000,-586835000,-1617000,231244000,231244000,420490000,-40685000,1008000,7037000,-9475000,-42115000,-3431000,80589000,71599000,2823999.99999999,2823999.99999999,2823999.99999999,32308000,32308000,32308000,-39925000,0,0.967410757569475,-1.98069,-1.96869,-0.17594,-0.09676,5.23397,0.81838,0,-0.35451,-0.35451,0.18007,2.01493,-0.11739,9.05941,8.83632
"5","2012_Q1",18.526935483871,"Up",48887000,-2391000,46496000,-65193000,-24954000,-40239000,-18697000,-8468000,-8468000,-27165000,-27165000,-27165000,-27165000,-27165000,-27165000,330696000,87634000,243062000,54955000,54955000,9469000,4461000,3820000,399581000,19652000,5983000,5983000,25635000,425216000,53048000,53048000,91140000,115227000,5214000,115227000,206367000,832829000,-6.14e+08,20000,218849000,218849000,425216000,-27165000,1391000,17332000,-28650000,-37092000,-6236000,11690000,5452000,7169000,7169000,7169000,-24471000,-24471000,-24471000,-17306000,0,0.95109,-0.38245,-0.55567,-0.12413,-0.06389,4.38425,0.94297,0,-0.23604,-0.23604,0.42478,1.9016,-0.08131,19.10875,17.68712
"6","2012_Q2",21.0474603174603,"Up",48245000,-3071000,45174000,-60672000,-22185000,-38487000,-15498000,3200000,3200000,-12298000,-12298000,-12298000,-12298000,-12298000,-12298000,308867000,53343000,255524000,56581000,56581000,15753000,6157000,5320000,387358000,19406000,5791000,5791000,25197000,412555000,40565000,40565000,74025000,118349000,5508000,118349000,192374000,846514000,-626298000,-35000,220181000,220181000,412555000,-12298000,1494000,6646000,-23697000,-27855000,-1055000,-12965000,-14020000,7584000,7584000,7584000,-34291000,-34291000,-34291000,-14004000,0,0.93635,-0.32124,-0.25491,-0.05585,-0.02981,5.2328,0.87371,0,-0.1057,-0.1057,0.41466,1.89243,-0.03633,22.05563,19.92947
"7","2012_Q3",26.3330158730159,"Up",48823000,-3497000,45326000,-62617000,-19862000,-42755000,-17291000,55000,55000,-17236000,-17236000,-17236000,-17236000,-17236000,-17236000,330337000,60760000,269577000,31553000,31553000,25697000,7505000,6626000,395092000,19339000,5598000,5598000,24937000,420029000,52154000,52154000,84644000,116868000,5133000,116868000,201512000,862088000,-643534000,-37000,218517000,218517000,420029000,-17236000,1529000,5688000,23291000,13272000,-1271000,-14622000,-15893000,10038000,10038000,10038000,7417000,7417000,7417000,-15762000,0,0.92837,-0.35416,-0.35303,-0.07888,-0.04104,4.66769,0.92218,0,-0.147,-0.147,0.41639,1.86365,-0.05139,20.95781,19.10456
"8","2012_Q4",24.9496774193548,"Down",49832000,-3355000,46477000,-60234000,-18842000,-41392000,-13757000,105000,105000,-13652000,-13652000,-13652000,-13652000,-13652000,-13652000,313934000,54931000,259003000,35156000,35156000,34296000,6192000,4696000,389578000,20348000,5404000,5404000,25752000,415330000,42525000,42525000,74536000,118218000,5039000,118218000,192754000,879749000,-657186000,13000,222576000,222576000,415330000,-13652000,1539000,6315000,-18936000,-24734000,-2353000,9869000,7516000,11389000,11389000,11389000,-5829000,-5829000,-5829000,-12218000,0,0.93267,-0.27607,-0.27396,-0.06134,-0.03287,5.22671,0.86601,0,-0.11522,-0.11522,0.42058,1.87855,-0.04006,25.69439,22.81995
"9","2013_Q1",29.8066666666667,"Up",63912000,-3546000,60366000,-71074000,-23411000,-47663000,-10708000,112000,112000,-10596000,-10596000,-10596000,-10596000,-10596000,-10596000,364258000,54663000,309595000,33443000,33443000,37747000,5412000,4519000,440860000,24752000,5810000,5810000,30562000,471422000,56130000,56130000,100577000,144697000,5930000,144697000,245274000,893893000,-667782000,37000,226148000,226148000,471422000,-10596000,1597000,9981000,49216000,50198000,-5806000,-51373000,-57179000,6713000,6713000,6713000,-268000,-268000,-268000,-9111000,0,0.94452,-0.16754,-0.16579,-0.04685,-0.02248,4.38331,1.08457,0,-0.0888,-0.0888,0.53563,1.89529,-0.02857,39.98002,34.01737
"10","2013_Q2",34.880625,"Up",57328000,-4094000,53234000,-69621000,-21886000,-47735000,-16387000,123000,123000,-16264000,-16264000,-16264000,-16264000,-16264000,-16264000,344134000,34934000,309200000,44721000,44721000,33732000,8352000,7191000,430939000,29469000,5620000,5620000,35089000,466028000,45765000,45765000,88987000,143775000,5826000,143775000,232762000,917285000,-684046000,27000,233266000,233266000,466028000,-16264000,1727000,7276000,-22611000,-29872000,-6254000,-388999.999999985,-6642999.99999999,16786000,16786000,16786000,-19729000,-19729000,-19729000,-14660000,0,0.92859,-0.28585,-0.2837,-0.06972,-0.0349,4.84272,0.99784,0,-0.13502,-0.13502,0.47593,1.93654,-0.04314,23.47435,21.00043
