"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.7909523809524,"Up",9.021e+09,-3.133e+09,5.888e+09,-3.764e+09,-2.435e+09,-2.01e+09,-4.25e+08,-1.224e+09,-1.05e+08,2.124e+09,1.15e+08,5.4e+07,-1.14e+08,1.68e+08,6.1e+07,2.239e+09,2.239e+09,-4.52e+08,1.787e+09,1.787e+09,1.787e+09,1.787e+09,3.5365e+10,4.774e+09,3.0591e+10,3.159e+09,3.159e+09,1.089e+09,5.084e+09,2.879e+09,4.4697e+10,3.976e+09,2.0007e+10,1.552e+09,1.2942e+10,5.513e+09,2.3983e+10,6.868e+10,3.089e+09,7.29e+08,9.7e+07,2.263e+09,2054962447.67486,1.0073e+10,6.397e+09,3.676e+09,1.3162e+10,1.0273e+10,5.219e+09,2.874e+09,1.755e+09,5.9e+08,1.5492e+10,2.8654e+10,3.4803e+10,4.354e+09,8.45e+08,4.0002e+10,4.0026e+10,6.868e+10,1.787e+09,4.29e+08,3.5e+08,3.21e+08,9.3e+07,-6.4e+07,-1.078e+09,3.8e+07,-8e+06,5.2e+07,-1.16e+09,1.488e+09,-1.6e+08,-1.6e+08,-1.6e+08,-1.104e+09,8.433e+09,-9.537e+09,0,0,1.1e+07,-1.253e+09,0,0,-1.235e+09,6.34e+08,-1.869e+09,5.6e+07,-1.179e+09,-9.44e+08,-9.44e+08,-9.44e+08,2.553e+09,1.0273e+10,1.767e+09,0.6527,0.23545,0.19809,0.04465,0.02602,0.98881,3.39591,0.71588,0.14958,0.30987,0.30438,1.56424,6.93636,0.3064,0.03219,0.03183,-9.82844,-11.81356
"2","2010_Q3",15.91328125,"Down",9.815e+09,-3.483e+09,6.332e+09,-3.962e+09,-2.577e+09,-2.126e+09,-4.51e+08,-1.247e+09,-1.38e+08,2.37e+09,-1.5e+07,-3e+06,-1.58e+08,1.55e+08,-1.2e+07,2.355e+09,2.355e+09,-5.02e+08,1.853e+09,1.853e+09,1.853e+09,1.853e+09,3.9638e+10,4.71e+09,3.4928e+10,4.237e+09,4.237e+09,1.215e+09,5.049e+09,2.816e+09,5.0139e+10,3.958e+09,2.2306e+10,2.661e+09,1.4423e+10,5.222e+09,2.6264e+10,7.6403e+10,3.06e+09,7.5e+08,1.03e+08,2.207e+09,2799320815.89162,1.1345e+10,6.751e+09,4.594e+09,1.4405e+10,1.5194e+10,5.272e+09,2.906e+09,1.941e+09,4.25e+08,2.0466e+10,3.4871e+10,3.5687e+10,5.086e+09,7.39e+08,4.1512e+10,4.1532e+10,7.6403e+10,1.853e+09,5.13e+08,1.28e+08,3.71e+08,-2.1e+08,-3.3e+07,-8e+06,-1.032e+09,-7.2e+07,6e+06,1.09e+09,2.486e+09,-2.48e+08,-2.48e+08,-2.48e+08,-4.356e+09,9.127e+09,-1.3483e+10,-2.308e+09,-2.308e+09,-2e+07,-6.932e+09,4.944e+09,0,-5.73e+08,8.02e+08,-1.375e+09,1.1e+07,4.382e+09,-6.4e+07,-6.4e+07,-6.4e+07,2.883e+09,1.5194e+10,3.129e+09,0.64513,0.24147,0.18879,0.04462,0.02425,1.68861,3.48067,0.83962,0.19887,0.32277,0.31616,1.70963,7.2308,0.54503,0.02989,0.05047,-8.47867,-10.31392
"3","2010_Q4",15.2303125,"Down",1.0368e+10,-3.738e+09,6.63e+09,-4.285e+09,-2.757e+09,-2.278e+09,-4.79e+08,-1.411e+09,-1.17e+08,2.345e+09,5.8e+07,-2.4e+07,-1.82e+08,1.58e+08,8.2e+07,2.403e+09,2.403e+09,-2.11e+08,2.192e+09,2.192e+09,2.192e+09,2.192e+09,3.9106e+10,3.961e+09,3.5145e+10,4.078e+09,4.078e+09,1.25e+09,5.324e+09,3.047e+09,4.9758e+10,3.994e+09,2.554e+10,3.448e+09,1.6668e+10,5.424e+09,2.9534e+10,7.9292e+10,3.778e+09,9.02e+08,1.67e+08,2.709e+09,3.127e+09,1.1534e+10,7.154e+09,4.38e+09,1.8439e+10,1.2119e+10,4.882e+09,3.149e+09,1.054e+09,6.79e+08,1.7001e+10,3.544e+10,3.7584e+10,5.57e+09,6.76e+08,4.383e+10,4.3852e+10,7.9292e+10,2.192e+09,4.73e+08,8.6e+07,4.34e+08,-1.39e+08,-2.09e+08,2.16e+08,3.32e+08,-6e+06,1.02e+08,-2.12e+08,2.967e+09,-2.91e+08,-2.91e+08,-2.91e+08,-1.36e+08,1.2107e+10,-1.2243e+10,-2.642e+09,-2.642e+09,2.1e+07,-3.048e+09,6.2e+07,6.2e+07,-8.52e+08,1.344e+09,-2.196e+09,1.22e+08,-6.68e+08,-7.49e+08,-7.49e+08,-7.49e+08,2.818e+09,1.5246e+10,2.954e+09,0.63947,0.22618,0.21142,0.04999,0.02764,1.34763,2.69852,0.80817,0.19228,0.38255,0.37311,1.80942,7.64921,0.51553,0.03426,0.04617,-8.467,-10.17484
"4","2011_Q1",13.9243548387097,"Down",1.0836e+10,-4.043e+09,6.793e+09,-4.468e+09,-2.946e+09,-2.368e+09,-5.78e+08,-1.391e+09,-1.31e+08,2.325e+09,9.3e+07,-1.5e+07,-1.69e+08,1.54e+08,1.08e+08,2.418e+09,2.418e+09,-4.83e+08,1.935e+09,1.935e+09,1.935e+09,1.935e+09,3.9861e+10,4.581e+09,3.528e+10,4.929e+09,4.929e+09,1.327e+09,5.304e+09,3.178e+09,5.1421e+10,3.941e+09,2.5768e+10,3.274e+09,1.6674e+10,5.82e+09,2.9709e+10,8.113e+10,4.114e+09,8.95e+08,9e+07,3.129e+09,3.096e+09,1.2023e+10,7.664e+09,4.359e+09,1.9233e+10,1.2188e+10,5.424e+09,3.419e+09,1.353e+09,6.52e+08,1.7612e+10,3.6845e+10,3.7793e+10,5.851e+09,6.23e+08,4.4267e+10,4.4285e+10,8.113e+10,1.935e+09,6.15e+08,1.54e+08,3.91e+08,-2.21e+08,-1.6e+07,5.28e+08,-8.66e+08,-7.2e+07,-2.1e+07,1.487e+09,3.232e+09,-3.09e+08,-3.09e+08,-3.09e+08,-2.34e+08,1.333e+10,-1.3564e+10,-3.29e+08,-3.29e+08,1.74e+08,-6.98e+08,-2.1e+07,-2.1e+07,-1.926e+09,4.98e+08,-2.424e+09,3.3e+07,-1.914e+09,6.2e+08,6.2e+08,6.2e+08,2.94e+09,1.5284e+10,3.642e+09,0.62689,0.21456,0.17857,0.04369,0.02385,1.88217,2.67358,0.832,0.18839,0.34007,0.33449,1.90439,7.77979,0.64007,0.02977,0.05604,-8.35952,-10.57075
"5","2011_Q2",11.8711111111111,"Down",1.075e+10,-3.995e+09,6.755e+09,-4.404e+09,-2.86e+09,-2.402e+09,-4.58e+08,-1.431e+09,-1.13e+08,2.351e+09,7.4e+07,-6e+06,-1.66e+08,1.6e+08,8e+07,2.425e+09,2.425e+09,-4.95e+08,1.93e+09,1.93e+09,1.93e+09,1.93e+09,3.8925e+10,3.796e+09,3.5129e+10,4.471e+09,4.471e+09,1.523e+09,5.487e+09,3.495e+09,5.0406e+10,3.984e+09,2.5625e+10,3.176e+09,1.6742e+10,5.707e+09,2.9609e+10,8.0015e+10,3.568e+09,9.45e+08,1.26e+08,2.497e+09,3.064e+09,1.1488e+10,7.42e+09,4.068e+09,1.812e+10,1.2214e+10,4.986e+09,3.316e+09,9.4e+08,7.3e+08,1.72e+10,3.532e+10,3.7691e+10,6.034e+09,9.5e+08,4.4675e+10,4.4695e+10,8.0015e+10,1.93e+09,5.53e+08,5.87e+08,4.07e+08,3.38e+08,-1.58e+08,-1.403e+09,5.06e+08,-1.93e+08,4.5e+07,-1.761e+09,1.667e+09,-3.26e+08,-3.26e+08,-3.26e+08,2.37e+08,9.806e+09,-9.569e+09,-6.9e+07,-6.9e+07,-9e+06,-1.67e+08,-1.6e+07,-1.6e+07,-2.327e+09,3.74e+08,-2.701e+09,5.8e+07,-2.285e+09,-7.85e+08,-7.85e+08,-7.85e+08,2.904e+09,1.5278e+10,1.67e+09,0.62837,0.2187,0.17953,0.04318,0.02412,0.86528,2.78179,0.79024,0.19094,0.34495,0.34009,1.92136,7.98481,0.29848,0.02971,0.02571,-8.14291,-10.05827
"6","2011_Q3",11.32359375,"Down",1.0407e+10,-4.146e+09,6.261e+09,-4.577e+09,-2.896e+09,-2.444e+09,-4.52e+08,-1.478e+09,-2.03e+08,1.684e+09,4.6e+07,-5e+06,-1.61e+08,1.56e+08,5.1e+07,1.73e+09,1.73e+09,-2.09e+08,1.521e+09,1.521e+09,1.521e+09,1.521e+09,4.0229e+10,4.924e+09,3.5305e+10,4.62e+09,4.62e+09,1.602e+09,5.615e+09,3.561e+09,5.2066e+10,4.031e+09,2.5884e+10,2.799e+09,1.6746e+10,6.339e+09,2.9915e+10,8.1981e+10,3.566e+09,7.96e+08,1.63e+08,2.607e+09,3.089e+09,1.185e+10,7.878e+09,3.972e+09,1.8505e+10,1.2152e+10,5.638e+09,3.929e+09,9.68e+08,7.41e+08,1.779e+10,3.6295e+10,3.8302e+10,6.363e+09,9.76e+08,4.5641e+10,4.5686e+10,8.1981e+10,1.521e+09,6.87e+08,1.15e+08,4.3e+08,-2.74e+08,-4.1e+07,2.86e+08,-1.63e+08,-7.7e+07,-1.5e+08,6.76e+08,2.609e+09,-3.26e+08,-3.26e+08,-3.26e+08,-1.18e+08,7.945e+09,-8.063e+09,-25000000.0000001,-2.5e+07,-1.3e+07,-4.82e+08,3.9e+07,3.9e+07,-1.065e+09,7.84e+08,-1.849e+09,2.7e+07,-9.99e+08,1.128e+09,1.128e+09,1.128e+09,2.371e+09,1.5241e+10,2.54e+09,0.60161,0.16181,0.14615,0.03329,0.01855,1.66995,2.81362,0.79444,0.18591,0.275,0.27234,1.88158,8.25185,0.45923,0.02285,0.03816,-10.53901,-14.83848
"7","2011_Q4",12.9944444444444,"Up",1.0866e+10,-4.207e+09,6.659e+09,-4.476e+09,-2.912e+09,-2.446e+09,-4.66e+08,-1.43e+09,-1.03e+08,2.183e+09,2e+07,8e+06,-1.53e+08,1.61e+08,1.2e+07,2.203e+09,2.203e+09,-3.96e+08,1.807e+09,1.807e+09,1.807e+09,1.807e+09,4.3367e+10,6.635e+09,3.6732e+10,4.413e+09,4.413e+09,1.442e+09,5.982e+09,3.862e+09,5.5204e+10,4.023e+09,2.6123e+10,2.702e+09,1.688e+10,6.541e+09,3.0146e+10,8.535e+10,3.841e+09,7.99e+08,7.8e+07,2.964e+09,5.81e+08,1.1688e+10,7.771e+09,3.917e+09,1.611e+10,1.6168e+10,5.866e+09,3.928e+09,1.166e+09,7.72e+08,2.2034e+10,3.8144e+10,3.8639e+10,7.217e+09,1.307e+09,4.7163e+10,4.7206e+10,8.535e+10,1.807e+09,5.73e+08,2.47e+08,4e+08,-1.01e+08,-5.2e+07,3.52e+08,2.6e+08,1.65e+08,2e+06,-7.5e+07,2.979e+09,-2.78e+08,-2.78e+08,-2.78e+08,-1.525e+09,1.1325e+10,-1.285e+10,-1.72e+08,-1.72e+08,1.63e+08,-1.812e+09,1.478e+09,3.69e+08,-6.56e+08,3.58e+08,-1.014e+09,5.1e+07,5.44e+08,1.711e+09,1.711e+09,1.711e+09,2.756e+09,1.6749e+10,3.226e+09,0.61283,0.2009,0.1663,0.03828,0.02117,1.78528,3.42669,0.80803,0.19624,0.32801,0.32688,1.97241,8.56108,0.58559,0.03059,0.0462,-9.6582,-12.19331
"8","2012_Q1",14.4764516129032,"Up",1.1195e+10,-4.334e+09,6.861e+09,-5.405e+09,-3.052e+09,-2.52e+09,-5.32e+08,-1.484e+09,-1.01e+08,1.456e+09,1.1e+07,1.6e+07,-1.48e+08,1.64e+08,-5e+06,1.467e+09,1.467e+09,-2.35e+08,1.232e+09,1.232e+09,1.232e+09,1.232e+09,4.4585e+10,7.662e+09,3.6923e+10,4.698e+09,4.698e+09,1.486e+09,6.462e+09,4.052e+09,5.7231e+10,3.916e+09,2.5948e+10,2.541e+09,1.6818e+10,6.589e+09,2.9864e+10,8.7095e+10,4.159e+09,8.76e+08,1.2e+08,3.163e+09,5.88e+08,1.2759e+10,8.025e+09,4.734e+09,1.7506e+10,1.6234e+10,6.096e+09,4.182e+09,1.191e+09,7.23e+08,2.233e+10,3.9836e+10,3.8648e+10,7.284e+09,1.294e+09,4.7226e+10,4.7259e+10,8.7095e+10,1.232e+09,6.73e+08,3.19e+08,3.83e+08,-1.2e+08,5.6e+07,6e+08,-3.05e+08,-4.2e+07,7.5e+07,8.72e+08,2.824e+09,-2.44e+08,-2.44e+08,-2.44e+08,-2.73e+08,6.579e+09,-6.852e+09,2.98023223876953e-08,0,4.4e+07,-4.73e+08,7e+06,1.2e+08,-8.34e+08,3.15e+08,-1.149e+09,-1.68e+08,-1.324e+09,1.027e+09,1.027e+09,1.027e+09,2.129e+09,1.6822e+10,2.72e+09,0.61286,0.13006,0.11005,0.02607,0.01415,2.20779,3.26922,0.84293,0.19315,0.22478,0.22548,2.04251,8.61631,0.49626,0.02224,0.03876,-13.04039,-19.06799
"9","2012_Q2",13.1626984126984,"Down",1.1256e+10,-4.366e+09,6.89e+09,-4.68e+09,-3.004e+09,-2.452e+09,-5.52e+08,-1.375e+09,-9.9e+07,2.21e+09,3.5e+07,1.6e+07,-1.48e+08,1.64e+08,1.9e+07,2.245e+09,2.245e+09,-4.68e+08,1.777e+09,1.777e+09,1.777e+09,1.777e+09,4.4388e+10,4.747e+09,3.9641e+10,4.3e+09,4.3e+09,1.622e+09,6.957e+09,4.799e+09,5.7267e+10,3.753e+09,2.5944e+10,2.369e+09,1.6823e+10,6.752e+09,2.9697e+10,8.6964e+10,3.92e+09,9.08e+08,4.55e+08,2.557e+09,5.89e+08,1.2952e+10,8.444e+09,4.508e+09,1.7461e+10,1.6264e+10,6.025e+09,3.952e+09,1.501e+09,5.72e+08,2.2289e+10,3.975e+10,3.8297e+10,7.91e+09,9.81e+08,4.7188e+10,4.7214e+10,8.6964e+10,1.777e+09,6.21e+08,4.03e+08,3.41e+08,1.09e+08,-4.7e+07,-4.68e+08,3.99e+08,-1.68e+08,3.6e+07,-7.35e+08,2.333e+09,-2.65e+08,-2.65e+08,-2.65e+08,-3.023e+09,8.9e+09,-1.1923e+10,-3.8e+07,-3.8e+07,1.35e+08,-3.191e+09,0,0,-1.541e+09,2.03e+08,-1.744e+09,-1.94e+08,-2.057e+09,-2.915e+09,-2.915e+09,-2.915e+09,2.831e+09,1.6853e+10,2.566e+09,0.61212,0.19634,0.15787,0.03764,0.02043,1.44401,3.27971,0.84191,0.19379,0.32944,0.32865,2.08676,8.74824,0.47571,0.02995,0.03661,-9.72625,-12.45928
"10","2012_Q3",13.0357142857143,"Down",1.1527e+10,-4.462e+09,7.065e+09,-4.331e+09,-2.892e+09,-2.395e+09,-4.97e+08,-1.339e+09,-9.7e+07,2.734e+09,1.5e+07,8e+06,-1.5e+08,1.58e+08,7e+06,2.749e+09,2.749e+09,-5.67e+08,2.182e+09,2.182e+09,2.182e+09,2.182e+09,4.6742e+10,8.561e+09,3.8181e+10,3.876e+09,3.876e+09,1.59e+09,7.09e+09,4.988e+09,5.9298e+10,3.711e+09,2.625e+10,2.236e+09,1.6841e+10,7.173e+09,2.9961e+10,8.9259e+10,3.847e+09,7.91e+08,4.95e+08,2.561e+09,6.05e+08,1.3146e+10,8.534e+09,4.612e+09,1.7598e+10,1.6299e+10,6.097e+09,3.928e+09,1.556e+09,6.13e+08,2.2396e+10,3.9994e+10,3.8906e+10,9.49e+09,8.5e+08,4.9246e+10,4.9265e+10,8.9259e+10,2.182e+09,5.64e+08,3.21e+08,3.54e+08,-8e+07,4.7e+07,33999999.9999998,3.62e+08,-2.6e+07,-1.14e+08,-1.88e+08,3.101e+09,-2.84e+08,-2.84e+08,-2.84e+08,1.312e+09,7.43e+09,-6.118e+09,-7.1e+07,-7.1e+07,1.49e+08,1.106e+09,1.7e+07,1.7e+07,-1.6e+07,4.5e+08,-4.66e+08,-7.2e+07,-3.93e+08,3.814e+09,3.814e+09,3.814e+09,3.298e+09,1.6904e+10,3.615e+09,0.61291,0.23718,0.18929,0.04429,0.02445,1.65674,3.36959,0.81181,0.18938,0.40648,0.404,2.14735,9.17399,0.67344,0.03465,0.05002,-9.0473,-10.91368
