"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.6419047619048,"Down",4.363e+09,-2.189e+09,2.174e+09,-1.26e+08,-9.5e+07,-3.1e+07,2.048e+09,-1.33e+08,-1.45e+08,1.2e+07,1.915e+09,-2.7e+07,1.888e+09,-6.78e+08,5e+06,1.215e+09,1.215e+09,-2.7e+08,9.45e+08,8.97e+08,3.752e+09,3.752e+09,1.498e+09,1.498e+09,1.8e+09,1.516e+09,1.516e+09,8.566e+09,1.6175e+10,1.6175e+10,2.372e+09,2.036e+09,1.8547e+10,2.7113e+10,3.046e+09,8.15e+08,2.133e+09,1.017e+09,1.017e+09,2.44e+08,2.44e+08,4.307e+09,5.048e+09,5.048e+09,5.925e+09,2.513e+09,3.412e+09,1.0973e+10,1.528e+10,1.5838e+10,-3.432e+09,-4.973e+09,-2.7e+08,9.992e+09,1.841e+09,1.1833e+10,2.7113e+10,1.215e+09,2.71e+08,1.3e+07,3.19e+08,1.818e+09,-2.31e+08,2e+06,-2.29e+08,-3.05e+08,-1.22e+08,-4.93e+08,1.096e+09,1.096e+09,1.096e+09,2.319e+09,6.065e+09,3.085e+09,0.49828,0.4694,0.20559,0.0758,0.03308,3.43924,1.98886,1.2913,0.22369,1.04181,0.9472,5.06736,8.3194,3.58304,0.04042,0.1295,0.99741,1.12939
"2","2010_Q3",28.16078125,"Up",3.864e+09,-2.299e+09,1.565e+09,-1.39e+08,-1.01e+08,-3.8e+07,1.426e+09,-1.13e+08,-1.22e+08,9e+06,1.313e+09,-5.2e+07,1.261e+09,-4.33e+08,4e+06,8.32e+08,8.32e+08,-1.68e+08,6.64e+08,6.49e+08,3.042e+09,3.042e+09,1.009e+09,1.009e+09,1.865e+09,1.377e+09,1.377e+09,7.293e+09,1.6272e+10,1.6272e+10,2.414e+09,2.081e+09,1.8686e+10,2.5979e+10,2.634e+09,2.4e+08,2.065e+09,1.01e+08,1.01e+08,2.48e+08,2.48e+08,2.983e+09,4.684e+09,4.684e+09,6.019e+09,2.612e+09,3.407e+09,1.0703e+10,1.3686e+10,1.8698e+10,-3.432e+09,-4.466e+09,-2.68e+08,1.0532e+10,1.761e+09,1.2293e+10,2.5979e+10,8.32e+08,2.49e+08,1.51e+08,-1.68e+08,1.064e+09,-2.96e+08,5999999.99999997,-2.9e+08,-1.315e+09,-1.05e+08,-1.484e+09,-7.1e+08,-7.1e+08,-7.1e+08,1.675e+09,4.785e+09,1.644e+09,0.40502,0.36905,0.16796,0.05279,0.02498,2.53313,2.44485,1.11332,0.18419,0.70929,0.68532,4.22295,11.51038,1.79672,0.03087,0.07118,1.0406,1.2223
"3","2010_Q4",40.14171875,"Up",5.152e+09,-2.534e+09,2.618e+09,-1.16e+08,-8.1e+07,-3.5e+07,2.502e+09,-1.22e+08,-1.03e+08,-1.9e+07,2.38e+09,-3e+06,2.377e+09,-8.45e+08,1e+06,1.533e+09,1.533e+09,-3.55e+08,1.178e+09,1.178e+09,3.72e+09,3.72e+09,1.86e+09,1.86e+09,1.908e+09,1.59e+09,1.59e+09,9.078e+09,1.6461e+10,1.6461e+10,2.412e+09,2.082e+09,1.8873e+10,2.7951e+10,2.903e+09,3.56e+08,2.404e+09,9.8e+07,9.8e+07,2.71e+08,2.71e+08,3.272e+09,4.681e+09,4.681e+09,6.277e+09,2.846e+09,3.431e+09,1.0958e+10,1.423e+10,1.8721e+10,-3.433e+09,-3.429e+09,-2.63e+08,1.1596e+10,2.125e+09,1.3721e+10,2.7951e+10,1.533e+09,2.68e+08,1.71e+08,-6.36e+08,1.336e+09,-3.5e+08,1.2e+07,-3.38e+08,-6e+06,-1.72e+08,-3.2e+08,6.78e+08,6.78e+08,6.78e+08,2.77e+09,4.779e+09,2.629e+09,0.50815,0.48564,0.22865,0.08585,0.04215,2.23175,2.77445,1.0371,0.17098,1.25053,1.24393,5.46921,12.30998,2.79087,0.05328,0.10611,0.38231,0.42326
"4","2011_Q1",42.7237096774194,"Up",5.603e+09,-2.349e+09,3.254e+09,-1.43e+08,-1.04e+08,-3.9e+07,3.111e+09,-1.07e+08,-9.2e+07,-1.5e+07,3.004e+09,-1.8e+07,2.986e+09,-1.027e+09,5e+06,1.964e+09,1.964e+09,-4.15e+08,1.549e+09,1.549e+09,3.738e+09,3.738e+09,2.132e+09,2.132e+09,2.118e+09,1.863e+09,1.863e+09,9.851e+09,1.6785e+10,1.6785e+10,2.75e+09,2.422e+09,1.9535e+10,2.9386e+10,3.329e+09,6.48e+08,2.441e+09,9.5e+07,9.5e+07,3.39e+08,3.39e+08,3.763e+09,4.66e+09,4.66e+09,6.403e+09,2.873e+09,3.53e+09,1.1063e+10,1.4826e+10,1.8858e+10,-3.441e+09,-2.59e+09,-3.23e+08,1.2504e+10,2.056e+09,1.456e+10,2.9386e+10,1.964e+09,2.48e+08,1.28e+08,-2.85e+08,2.055e+09,-5.35e+08,-4.77e+08,-1.012e+09,-27999999.9999999,-3.84e+08,-1.025e+09,1.8e+07,1.8e+07,1.8e+07,3.359e+09,4.755e+09,3.566e+09,0.58076,0.55524,0.27646,0.10639,0.05271,2.30213,2.61786,1.01827,0.16181,1.64437,1.62199,5.94798,13.27389,3.78556,0.08407,0.13866,0.30277,0.3269
"5","2011_Q2",40.5788888888889,"Down",5.709e+09,-2.609e+09,3.1e+09,-1.64e+08,-1.14e+08,-5e+07,2.936e+09,-8.8e+07,-9.8e+07,1e+07,2.848e+09,-7e+06,2.841e+09,-9.84e+08,4e+06,1.861e+09,1.861e+09,-3.62e+08,1.499e+09,1.499e+09,4.09e+09,4.09e+09,1.588e+09,1.588e+09,2.259e+09,3.209e+09,3.209e+09,1.1146e+10,1.7076e+10,1.7076e+10,2.786e+09,2.461e+09,1.9862e+10,3.1008e+10,3.363e+09,8.06e+08,2.318e+09,1.17e+09,1.17e+09,2.18e+08,2.18e+08,4.751e+09,3.582e+09,3.582e+09,6.584e+09,3.056e+09,3.528e+09,1.0166e+10,1.4917e+10,1.9e+10,-3.553e+09,-1.328e+09,-3.18e+08,1.3801e+10,2.29e+09,1.6091e+10,3.1008e+10,1.861e+09,2.32e+08,9.1e+07,1.75e+08,2.359e+09,-5.05e+08,0,-5.05e+08,-4e+06,-1.26e+09,-1.502e+09,3.52e+08,3.52e+08,3.52e+08,3.168e+09,4.752e+09,3.822e+09,0.543,0.51428,0.26257,0.09316,0.04834,2.5497,2.34603,0.92704,0.15325,1.58457,1.56963,6.03488,14.58879,4.04017,0.06333,0.13935,0.20896,0.22548
"6","2011_Q3",37.0571875,"Down",5.814e+09,-2.824e+09,2.99e+09,-1.73e+08,-1.07e+08,-6.6e+07,2.817e+09,-7.2e+07,-7.4e+07,2e+06,2.745e+09,-1.21e+08,2.624e+09,-9.06e+08,8e+06,1.726e+09,1.726e+09,-3.58e+08,1.368e+09,1.368e+09,4.378e+09,4.378e+09,1.533e+09,1.533e+09,2.349e+09,1.913e+09,1.913e+09,1.0173e+10,1.75e+10,1.75e+10,2.906e+09,2.583e+09,2.0406e+10,3.0579e+10,2.84e+09,2.58e+08,2.343e+09,5e+06,5e+06,2.61e+08,2.61e+08,3.106e+09,3.537e+09,3.537e+09,6.834e+09,3.265e+09,3.569e+09,1.0371e+10,1.3477e+10,1.9049e+10,-3.553e+09,-6.72e+08,-3.16e+08,1.4508e+10,2.594e+09,1.7102e+10,3.0579e+10,1.726e+09,2.67e+08,2.63e+08,-5.76e+08,1.68e+09,-5.27e+08,19000000.0000001,-5.08e+08,-1.261e+09,1.088e+09,-8.84e+08,2.88e+08,2.88e+08,2.88e+08,3.084e+09,3.542e+09,2.887e+09,0.51428,0.48452,0.23529,0.07999,0.04474,2.11038,3.27527,0.78804,0.11583,1.44456,1.43096,6.13939,15.31996,3.04857,0.07566,0.10507,-0.27108,-0.29677
"7","2011_Q4",30.3028571428571,"Down",5.195e+09,-2.827e+09,2.368e+09,-1.8e+08,-1.02e+08,-7.8e+07,2.188e+09,-5e+07,-7.8e+07,2.8e+07,2.138e+09,-3.8e+07,2.1e+09,-8.08e+08,2e+06,1.294e+09,1.294e+09,-2.41e+08,1.053e+09,1.053e+09,5.128e+09,5.128e+09,1.139e+09,1.139e+09,2.49e+09,1.951e+09,1.951e+09,1.0708e+10,1.7966e+10,1.7966e+10,3.034e+09,2.713e+09,2.1e+10,3.1708e+10,2.93e+09,1.1e+08,2.58e+09,4e+06,4e+06,2.47e+08,2.47e+08,3.181e+09,3.531e+09,3.531e+09,6.945e+09,3.365e+09,3.58e+09,1.0476e+10,1.3657e+10,1.9081e+10,-3.554e+09,1.44e+08,-3.14e+08,1.5357e+10,2.694e+09,1.8051e+10,3.1708e+10,1.294e+09,2.57e+08,3.9e+07,2.45e+08,1.835e+09,-7.17e+08,5e+06,-7.12e+08,-1e+06,-1.35e+08,-3.73e+08,7.5e+08,7.5e+08,7.5e+08,2.445e+09,3.535e+09,2.781e+09,0.45582,0.42117,0.20269,0.05833,0.03321,2.64103,3.36624,0.75658,0.11149,1.11076,1.10262,5.47996,16.19937,2.93354,0.04521,0.09747,-0.65153,-0.72806
"8","2012_Q1",34.1229032258065,"Up",4.162e+09,-2.66e+09,1.502e+09,-1.69e+08,-9.2e+07,-7.7e+07,1.333e+09,-4.4e+07,-6.2e+07,1.8e+07,1.289e+09,-3.6e+07,1.253e+09,-3.89e+08,2e+06,8.66e+08,8.66e+08,-2.26e+08,6.4e+08,6.4e+08,4.822e+09,4.822e+09,8.92e+08,8.92e+08,2.643e+09,1.69e+09,1.62e+09,1.0047e+10,1.8449e+10,1.8449e+10,3.574e+09,3.574e+09,2.2023e+10,3.207e+10,2.597e+09,1.63e+08,2.194e+09,4e+06,4e+06,3.39e+08,2.36e+08,2.94e+09,3.533e+09,3.533e+09,7.044e+09,3.255e+09,3.789e+09,1.0577e+10,1.3517e+10,1.9114e+10,-3.553e+09,5.46e+08,-4.65e+08,1.5642e+10,2.911e+09,1.8553e+10,3.207e+10,8.66e+08,2.66e+08,-2.7e+07,-3.59e+08,7.46e+08,-7.85e+08,-2.5e+07,-8.1e+08,1e+06,-6e+06,-2.42e+08,-3.06e+08,-3.06e+08,-3.06e+08,1.599e+09,3.537e+09,8.44e+08,0.36088,0.32028,0.15377,0.0345,0.01996,1.31875,3.41735,0.72856,0.11029,0.67582,0.67086,4.39493,16.51742,0.89124,0.0301,0.02897,-0.80363,-0.96399
"9","2012_Q2",28.5888888888889,"Down",4.605e+09,-2.695e+09,1.91e+09,-1.66e+08,-1.04e+08,-6.2e+07,1.744e+09,-7.6e+07,-6.3e+07,-1.3e+07,1.668e+09,-1.78e+08,1.49e+09,-4.91e+08,2e+06,1.001e+09,1.001e+09,-2.37e+08,7.64e+08,7.64e+08,4.496e+09,4.496e+09,1.165e+09,1.165e+09,2.842e+09,1.749e+09,1.749e+09,1.0252e+10,1.8986e+10,1.8986e+10,3.667e+09,3.341e+09,2.2653e+10,3.2905e+10,2.667e+09,2.29e+08,2.14e+09,4e+06,4e+06,2.53e+08,2.53e+08,2.924e+09,3.517e+09,3.517e+09,7.165e+09,3.413e+09,3.752e+09,1.0682e+10,1.3606e+10,1.915e+10,-3.575e+09,1.013e+09,-4.53e+08,1.6135e+10,3.164e+09,1.9299e+10,3.2905e+10,1.001e+09,2.67e+08,2.79e+08,-7.46e+08,8.01e+08,-7.07e+08,-7e+06,-7.14e+08,-1.55e+08,-2e+07,-4.13e+08,-3.26e+08,-3.26e+08,-3.26e+08,2.011e+09,3.521e+09,1.049e+09,0.41477,0.37872,0.16591,0.03959,0.02322,1.37304,3.50616,0.70501,0.10701,0.80506,0.8,4.85248,17.00211,1.10537,0.03342,0.03498,-0.48483,-0.55906
"10","2012_Q3",29.7498412698413,"Up",4.475e+09,-2.913e+09,1.562e+09,-1.7e+08,-9.7e+07,-7.3e+07,1.392e+09,8e+06,-4.3e+07,5.1e+07,1.4e+09,-8.1e+07,1.319e+09,-4.22e+08,-3e+06,8.94e+08,8.94e+08,-1.84e+08,7.1e+08,7.1e+08,4.508e+09,4.508e+09,1.052e+09,1.052e+09,2.843e+09,1.773e+09,1.773e+09,1.0176e+10,1.9613e+10,1.9613e+10,3.9e+09,3.576e+09,2.3513e+10,3.3689e+10,2.711e+09,4.8e+07,2.364e+09,4e+06,4e+06,2.27e+08,2.27e+08,2.942e+09,3.519e+09,3.519e+09,7.338e+09,3.55e+09,3.788e+09,1.0857e+10,1.3799e+10,1.9175e+10,-3.575e+09,1.426e+09,-4.48e+08,1.6578e+10,3.312e+09,1.989e+10,3.3689e+10,8.94e+08,2.91e+08,74999999.9999999,-77999999.9999999,1.182e+09,-8.4e+08,3e+06,-8.37e+08,0,-3.6e+07,-3.33e+08,1.2e+07,1.2e+07,1.2e+07,1.683e+09,3.523e+09,1.187e+09,0.34905,0.31106,0.15866,0.0357,0.02108,1.67183,3.45887,0.69377,0.10457,0.74816,0.74502,4.71549,17.46891,1.25079,0.03275,0.0386,-0.58526,-0.70761
