"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.5749206349206,"Up",182114000,-83008000,99106000,-66733000,-7518000,-59215000,32373000,-40336000,15075000,-7963000,5685809.07617114,-7963000,1215000,-6748000,-6861000,504000,-6357000,-6357000,1101768957.62744,1101768957.62744,132113723.544244,132113723.544244,76401021.4401261,76511969.3559766,1310283702.61181,5595265803.75784,5595265803.75784,6542893960.98437,7853177663.59618,231290006.548673,5899364.67582848,226080129.723591,3263590288.51634,274105168.705133,274105168.705133,3768985463.77015,638421479.438405,687561373.969059,4456546837.73921,3461656301.93324,1302162.7608395,3460354139.1724,-351334070.270499,3095612903.17441,301017922.682566,3396630825.85698,7853177663.59618,-6861000,61906000,-7805000,17677000,64917000,-67191000,15586000,-51605000,-9119000,4763000,-5985000,-10341000,2971000,2971000,2971000,94279000,0,43550000,0.5442,0.17776,-0.03491,0.0151473549028654,0.00630854023381267,-6.85072,0.347939359617983,1.30940531945733,0.496736991962828,-0.06557,-0.06557,1.87841,28.4696146439053,0.4492,0.09406,0.0167966465135477,0.024352018513713,-1.43448,16.393904210159,-20.5395518883102
"2","2010_Q3",21.54421875,"Down",180569000,-80429000,100140000,-62474000,-3642000,-58832000,37666000,-38469000,13769000,-803000.000000004,93000,-710000,1375000,664999.999999998,55000,-495000,-440000,-440000,596718000,596718000,110803000,110803000,345470000,345470000,1052991000,5655410000,5655410000,6685315000,7738306000,313516000,58956000,254353000,3271103000,233505000,233505000,3818124000,627667000,648258000,4466382000,3441060000,1302000,3439758000,-465143000,2963708000,308216000,3271924000,7738306000,55000,63362000,-8945000,-46603000,7869000,814000.00000003,26368000,27836000,-72762000,-658807000,-7261000,464787000,500492000,500492000,500492000,101028000,3898770000,53864000,0.55458,0.2086,-0.00244,-0.00013,-6e-05,-122.41818,0.27579,1.36506,0.50383,-0.00356,-0.00356,1.46274,24.00813,0.43634,0.58942,0.01006,0.00749,-165.36818,32.68452,87.66665
"3","2010_Q4",24.185625,"Up",189469000,-85993000,103476000,-66731000,-4544000,-62187000,36745000,-32244000,19418000,4501000,2089000,6590000,2662000,9252000,9468000,-1039000,8429000,8429000,486426000,486426000,113017000,113017000,406938000,406938000,1006381000,5670183000,5670183000,6693141000,7699522000,332729000,72475000,260009000,3278113000,227046000,227046000,3837888000,630135000,641501000,4479389000,3447554000,1302000,3446252000,-522335000,2917066000,303067000,3220133000,7699522000,9468000,66450000,-11721000,-10158000,54039000,-63266000,-25418000,-88684000,-72046000,10820000,-14421000,-75647000,-110292000,-110292000,-110292000,103195000,3908248000,27109000,0.54614,0.19394,0.04449,0.00262,0.00109,3.21616,0.26222,1.39106,0.5076,0.06473,0.06473,1.45507,22.40226,0.20819,0.55329,0.01127,0.0038,8.5474,33.1588,93.12347
"4","2011_Q1",25.7574193548387,"Up",159405000,-64757000,94648000,-51315000,-4999000,-46316000,43333000,-13658000,25074000,29675000,1976000,31651000,3950000,35601000,25758000,-2200000,23558000,23558000,445645000,445645000,121018000,121018000,395002000,395002000,961665000,5674127000,5674127000,6683345000,7645010000,328263000,70585000,257678000,3259475000,225315000,225315000,3813053000,632595000,643961000,4457014000,3457873000,1304000,3456569000,-564357000,2890279000,297717000,3187996000,7645010000,25758000,68534000,-15435000,-5247000,73610000,-56146000,25765000,-29719000,-72031000,-15613999.9999999,2498000,-84671999.9999999,-40781000,-40781000,-40781000,111867000,3892070000,46524000,0.59376,0.27184,0.14779,0.00739,0.00308,1.97486999999989,0.2522,1.39806,0.5091,0.18014,0.18014,1.21893,22.10133,0.35576,0.55081,0.01348,0.00656,3.0576,30.80824,79.5335
"5","2011_Q2",27.7195238095238,"Up",185265000,-85107000,100158000,-69511000,-7644000,-61867000,30647000,-20645000,28979000,10002000,-7301000,2701000,2478000,5179000,91000,-57000,34000,34000,188025000,188025000,118200000,118200000,431618000,431618000,737843000,5686779000,5686779000,6760435000,7498278000,332900000,74287000,258613000,3189677000,203057000,203057000,3725634000,634990000,646356000,4371990000,3454185000,1310000,3452875000,-630017000,2825761000,300527000,3126288000,7498278000,91000,68003000,-23222000,-3324000,41548000,-31210000,-42133000,-73343000,-73123000,-121215000,-31487000,-225825000,-257620000,-257620000,-257620000,98650000,3824667000,61638000,0.54062,0.16542,0.00018,1.00000000000005e-05,0,1812.88235,0.19804,1.39846,0.51007,0.00026,0.00026,1.41885,21.64107,0.47205,0.56001,0.01051,0.00885,2150.67647,36.86409,118.66225
"6","2011_Q3",26.8765625,"Down",176311000,-77836000,98475000,-62509000,-3742000,-58767000,35966000,-19038000,24005000,16928000,1256000,18184000,1768000,19952000,-20911000,1695000,-19216000,-19216000,73229000,73229000,111953000,111953000,435932000,435932000,621114000,5619750000,5619750000,6828666000,7449780000,317051000,69808000,247243000,3096818000,201366000,201366000,3615235000,782420000,793786000,4409021000,3481604000,1320000,3480284000,-715510000,2769045000,271714000,3040759000,7449780000,-20911000,69349000,19433000,-19559000,48312000,-55183000,-69406000,-123917000,-72279000,52179000,-19411000,-39191000,-114796000,-114796000,-114796000,105315000,3879238000,28805000,0.55853,0.20399,-0.10899,-0.00632,-0.00258,-1.49901,0.1718,1.44997,0.52072,-0.14592,-0.14592,1.33882,21.02684,0.21873,0.54885,0.00766,0.00416,-3.76140000000032,36.13929,105.82242
"7","2011_Q4",26.5093650793651,"Down",193319000,-83336000,109983000,-68774000,-4490000,-64284000,41209000,-25002000,18758000,16207000,1040000,17247000,1565000,18812000,14255000,-1314000,12941000,12941000,139420000,139420000,120244000,120244000,437052000,437052000,696716000,5827308000,5827308000,6932388000,7629104000,375013000,87243000,287770000,3172117000,205560000,205560000,3752690000,889874000,889874000,4642564000,3485528000,1321000,3484207000,-768816000,2719731000,266809000,2986540000,7629104000,14255000,71480000,-10342000,15232000,90625000,-114523000,127167000,12744000,-72197000,50261000,-15291000,-37178000,66191000,66191000,66191000,112689000,4061991000,11833000,0.56892,0.21317,0.06694,0.00433,0.0017,0.91438,0.18566,1.5545,0.53243,0.09797,0.09797,1.46347,20.58905,0.08958,0.54655,0.01208,0.00168,5.57894,34.80882,95.18724
"8","2012_Q1",30.5132258064516,"Up",129849000,-54140000,75709000,-48299000,-5237000,-43062000,27410000,186307000,217129000,213717000,-18517000,195200000,299000,195499000,175640000,-12533000,163107000,163107000,67248000,67248000,133925000,133925000,555778000,555778000,756951000,6079043000,6079043000,7181598000,7938549000,371968000,72870000,299098000,3328438000,195856000,195856000,3896262000,877636000,877636000,4773898000,3491968000,1321000,3490647000,-678631000,2813337000,351314000,3164651000,7938549000,175640000,73811000,-176778000,-15873000,56800000,-29135000,975000,-27570000,-79349000,-31908000,10470000,-101402000,-72172000,-72172000,-72172000,101221000,4206074000,55914000,0.58305,0.21109,1.25613,0.05154,0.02055,0.342810000000048,0.19428,1.50851,0.52983,1.23425,1.23425,0.98258,21.28881,0.42311,0.60044,0.03289,0.00759,0.486479999999983,40.88901,150.99694
"9","2012_Q2",32.9288888888889,"Up",209943000,-88025000,121918000,-78359000,-4518000,-73841000,43559000,-12997000,29526000,30562000,19497000,50059000,-1850000,48209000,-11723000,-2345000,-14068000,-14068000,229260000,229260000,122973000,122973000,524881000,485476000,877114000,6090562000,6090562000,7192721000,8069835000,351885000,77250000,274635000,3362739000,328441000,328441000,4043065000,954646000,954646000,4997711000,3490396000,1327000,3489069000,-765674000,2724722000,347402000,3072124000,8069835000,-11723000,81002000,17880000,-938000,86221000,-64037000,-7549000,-71487000,-81644000,234831000,-5909000,147278000,162012000,162012000,162012000,124561000,4317385000,61436000,0.58072,0.20748,-0.06701,-0.00457999999999998,-0.00174,-4.36707,0.21694,1.62679,0.535,-0.10636,-0.10636,1.58719,20.59923,0.46446,0.61724,0.00914,0.00831,-5.80353,32.82026,93.85259
"10","2012_Q3",33.4785714285714,"Up",184014000,-82796000,101218000,-72514000,-5656000,-66858000,28704000,-25910000,17388000,2794000,-1528000,1266000,3075000,4341000.00000001,144542000,-11188000,133354000,133354000,89797000,89797000,122455000,122455000,449559000,449559000,661811000,5945007000,5945007000,7069242000,7731053000,327722000,57619000,270103000,3302320000,198789000,198789000,3828831000,764444000,764444000,4593275000,3501550000,1333000,3500217000,-705292000,2796258000,341520000,3137778000,7731053000,144542000,75841000,-143901000,-18105000,58377000,60896000,17703000,79189000,-79495000,-190191000,-4320000,-277029000,-139463000,-139463000,-139463000,104545000,4066764000,144261000,0.55006,0.15599,0.72469,0.0425,0.01725,1.08179,0.17285,1.46386,0.52603,1.00442,1.00305,1.38599,21.06139,1.08657,0.59876,0.02954,0.02002,0.596119999999994,38.04072,138.55097
