"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","other_assets","total_assets","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",7.28492063492063,"Down",6033000,5809000,6884000,-1075000,224000,6033000,-2218000,3815000,3815000,3815000,74859.959988088,3815000,3815000,-175000,3640000,3640000,27104000,2340000,285834000,5663000,5398000,326339000,15052000,3174000,101188000,0,211015000,152000,210863000,4589000,215604000,9547000,225151000,326339000,3815000,1000,-3737000,674000,753000,-2626000,-71839000,-22000,-74487000,-1795000,-1717000,51529000,-298000,47719000,-26015000,-26015000,-26015000,3816000,98014000,21970965.5316785,0.63236,0.60335,0.01617,0.01115,2.84315183097209,0.44942,0.30034,0.27982,0.26607,0.46378,16.57438,1.42666847125086,0.13799,0.01665,0.0352659161571419,0.49313,18.58229,18.58716
"2","2015_Q3",7.1196875,"Down",8810000,8524000,10793000,-2269000,286000,8810000,-3135000,5675000,5675000,5675000,-16000,5659000,5659000,-223000,5436000,5436000,36240000,2445000,444408000,9139000,9606000,501838000,153804000,3235000,273388000,0,211513000,152000,211361000,7279000,218792000,9658000,228450000,501838000,5659000,0,-6748000,-4689000,-5778000,189000,-154527000,-50000,-154388000,-2746000,-1826000.00000001,0,173853000,169281000,9115000,9115000,9115000,5675000,270153000,1191000,0.64415,0.61703,0.0238,0.01083,0.21909,1.19671,0.53833,0.35675,0.34168,0.57817,14.35856,0.07816,0.18021,0.0163,0.00237,0.50515,41.21815,41.21815
"3","2015_Q4",6.751875,"Down",10936000,10591000,14439000,-3848000,345000,10936000,-3003000,7933000,7933000,7933000,-7999.99999999999,7925000,7925000,-311000,7614000,7614000,28507000,2532000,510594000,9289000,14676000,565598000,130798000,3855000,332489000,0,211747000,152000,211595000,11530000,223277000,9832000,233109000,565598000,7925000,0,-8508000,-5100000,-5683000,630000,-57573000,-47000,-56990000,-3363000,-20239000,0,78583000,54981000,-7692000,-7692000,-7692000,7933000,328634000,3471000,0.7254,0.69623,0.03266,0.01346,0.45587,1.42632,0.58104,0.4985,0.47808,0.716,14.61828,0.22725,0.22018,0.01941,0.00614,0.44169,37.83272,37.83272
"4","2016_Q1",5.90180327868852,"Down",11789000,11277000,15584000,-4307000,512000,11789000,-3418000,8371000,8371000,8371000,22000,8393000,8393000,-329000,8064000,8064000,30795000,2625000,554877000,10391000,11078000,609805000,104533000,2453000,371992000,-3.46944695195361e-18,211881000,152000,211729000,15921000,227802000,10011000,237813000,609805000,8393000,2000,-9048000,686000,33000,1596000,-36765000,-13000,-35182000,-3673000,4884000,-121000,36386000,37476000,2327000,2327000,2327000,8373000,369539000,10633000,0.71007,0.68403,0.03391,0.01322,1.31858,1.56422,0.606,0.52614,0.50483,0.76918,14.86316,0.69376,0.23965,0.01925,0.01744,0.45548,40.45671,40.46637
"5","2016_Q2",7.48,"Up",11456000,10893000,15880000,-4987000,563000,11456000,-3496000,7960000,7960000,7960000,3000,7963000,7963000,-312000,7651000,7651000,23893000,3810000,584298000,14535000,15081000,642684000,136496000,3952000,400480000,0,212135000,152000,211983000,19896000,232031000,10173000,242204000,642684000,7963000,5000,-8091000,-2982000,-3105000,2359000,-26185000,-192000,-25129000,-3676000,-5777000,0,31813000,22360000,-5874000,-5874000,-5874000,7965000,396528000,7339000,0.69483,0.66786,0.03159,0.0119,0.95922,1.65348,0.61699,0.49985,0.47941,0.74844,15.15897,0.47947,0.24016,0.01762,0.01142,0.48046,46.78406,46.81344
"6","2016_Q3",7.82578125,"Up",10843000,10315000,16378000,-6063000,528000,10843000,-3956000,6887000,6887000,6887000,-26000,6861000,6861000,-256000,6605000,6605000,68359000,3900000,630534000,17311000,9269000,729755000,102240000,4146000,452456000,0,244359000,179000,244180000,22666000,267025000,10274000,277299000,729755000,6861000,6000,-10103000,2390000,-846000,2861000,-39548000,-191000,-36878000,-3835000,-13644000,31964000,67020000,81505000,43781000,43781000,43781000,6893000,448310000,12170000,0.63516,0.60915,0.02382,0.00905,1.84254,1.63165,0.61433,0.41955,0.40301,0.68875,16.96158,0.77305,0.2436,0.01431,0.01668,0.58062,55.12128,55.1693
"7","2016_Q4",7.87015873015873,"Up",12106000,11767000,18707000,-6940000,339000,12106000,-4202000,7904000,7904000,7904000,-18000,7886000,7886000,-264000,7622000,7622000,23318000,3923000,755627000,20420000,15909000,819232000,119232000,2914000,538225000,0,244822000,181000,244641000,25803000,270625000,10382000,281007000,819232000,7886000,6000,-15397000,-6412000,-13917000,1454000,-193980000,-93000,-114457000,-4504000,-13812000,36000,101266000,82986000,-45388000,-45388000,-45388000,7910000,535311000,2970000,0.6529,0.62961,0.02712,0.0093,0.38966,1.91534,0.65343,0.42493,0.40837,0.67491,15.08746,0.16558,0.2511,0.0148,0.00363,0.59092,64.72731,64.77644
"8","2017_Q1",7.74193548387097,"Down",12292000,12140000,19723000,-7583000,152000,12292000,-5569000,6723000,6723000,6158000,6000,6164000,6164000,-206000,5958000,5958000,35723000,10576000,869091000,25171000,15656000,957402000,227440000,4569000,674679000,-4.44089209850063e-16,245061000,181000,244880000,27231000,272292000,10431000,282723000,957402000,6164000,3000,4619000,1861000,12647000,2443000,-120191000,-8697000,-126445000,-4511000,-72394000,-287999.999999996,204546000,127353000,13555000,13555000,13555000,6726000,670110000,11024000,0.54694,0.48471,0.02107,0.00622,1.85029,2.38636,0.69993,0.33128,0.317,0.68346,15.13995,0.61296,0.25082,0.01093,0.01151,0.75713,94.31861,94.3607
"9","2017_Q2",8.28174603174603,"Up",13667000,13156000,20807000,-7651000,511000,13667000,-4968000,8699000,8699000,8699000,-1000,8698000,8698000,-289000,8409000,8409000,29840000,10579000,856756000,28891000,15332000,942112000,222797000,4003000,654968000,0,245617000,181000,245436000,31104000,276581000,10563000,287144000,942112000,8698000,9000,-7989000,-2287000,-1569000,0,15734000,68000,19973000,-4536000,-15455000,33000,-4800000,-24758000,-6354000,-6354000,-6354000,8708000,650965000,6422000,0.6365,0.61528,0.02928,0.00893,0.76371,2.28097,0.69096,0.46777,0.4475,0.76026,15.38552,0.35724,0.25233,0.01374,0.00682,0.53942,71.32809,71.40189
"10","2017_Q3",8.6984126984127,"Up",13105000,12428000,21721000,-9293000,677000,13105000,-5737000,7368000,7368000,7150000,-48000,7102000,7102000,-238000,6864000,6864000,42040000,8165000,1044745000,30247000,20896000,1146122000,327609000,3447000,853762000,7.105427357601e-15,248985000,182000,248803000,32880000,281734000,10626000,292360000,1146122000,7102000,23000,-8265000,-4809000,-5949000,8449000,-184777000,2708000,-177791000,-5088000,-45293000,40000,245596000,195255000,11515000,11515000,11515000,7391000,850315000,11079000,0.56223,0.52377,0.02348,0.00599,1.61407,2.92024,0.74191,0.38115,0.29809,0.72771,15.6445,0.61521,0.28253,0.01043,0.00967,0.74126,109.35936,109.70073
