"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.46492063492063,"Up",457662000,-384977000,72685000,-68924000,-21371000,-3877000,-17494000,-3811000,-43742000,3761000,203000,203000,5560870.14045218,3964000,3964000,-1665000,2299000,2299000,2299000,-66000,2233000,239065000,212469000,26596000,171979000,171979000,61021000,57686000,472065000,78274000,80113000,8380000,71733000,158387000,630452000,341620000,1869000,339751000,341950000,63472000,53122000,63472000,405422000,137266000,-131160000,218937000,225030000,225030000,630452000,2299000,3827000,4772000,-2470000,8428000,-20836000,-21648000,-3371000,1604000,-1881000,371000,-1396000,-14616000,-14616000,-14616000,7588000,0,0.15882,0.00822,0.00488,0.00992,0.00354,1.38051,1.80164,0,0.04508,0.05322,9.23898,4.54276,0.06805,0.01942,1.50963,-31.50567,-63.56421
"2","2010_Q3",8.5159375,"Up",412418000,-341061000,71357000,-62788000,-19332000,-4698000,-14634000,-3723000,-39733000,8569000,255000,255000,2335623.38015073,8824000,8824000,-3706000,5118000,5118000,5118000,-7136999.99999999,-2447000,210331000,169382000,40949000,177042000,177042000,71102000,67769000,458475000,77512000,71763000,12840000,58923000,149275000,607750000,311654000,1327000,310327000,314213000,63452000,54474000,63452000,377665000,136893000,-127498000,220651000,230085000,230085000,607750000,5118000,3740000,3311000,-30805000,-18636000,-14673000,-21939000,-3404000,526000.000000002,-506000,366000,-2512000,-43087000,-43087000,-43087000,12309000,0,0.17302,0.02078,-0.00593,-0.01064,-0.00403,1.45912,1.64142,0,-0.04849,-0.05832,8.17284,4.55957,0.06746,0.00326000000000001,-1.39109,-17.08758,-24.54557
"3","2010_Q4",9.9775,"Up",414146000,-340460000,73686000,-61608000,-18151000,-2605000,-15546000,-3732000,-39725000,12078000,286000,286000,744000,12364000,12364000,-5130000,7234000,7234000,7234000,6775000,14437000,251031000,207930000,43101000,151898000,151898000,64214000,64044000,467143000,76354000,82710000,22467000,60243000,159064000,626207000,329919000,2194000,327043000,329919000,64530000,54291000,64530000,394449000,136313000,-129111000,224512000,231758000,231758000,626207000,7234000,3699000,-2320000,49246000,57859000,-2628000,-11785000,-3373000,-4477000,-5465000,324000,-7526000,38548000,38548000,38548000,15777000,0,0.17792,0.02916,0.03486,0.06229,0.02305,1.41593,1.70199,0,0.28518,0.28518,8.18082,4.57803,0.06663,0.06011,0.23364,-15.9112,-20.78415
"4","2011_Q1",10.4245161290323,"Up",435526000,-354718000,80808000,-68156000,-20807000,-5267000,-15540000,-3641000,-43708000,12652000,217000,247000,247000,12869000,12869000,-5080000,7789000,7789000,7789000,-229000.000000002,7560000,278196000,234829000,43367000,142107000,142107000,77785000,74710000,498088000,76027000,85730000,21251000,64479000,161757000,659845000,353609000,3309000,350300000,353609000,65841000,55730000,65841000,419450000,135916000,-124464000,228922000,240395000,240395000,659845000,7789000,3684000,424000,19292000,31189000,-3565000,-3210000,-3379000,1678000,0,621000,-1080000,26899000,26899000,26899000,16336000,1.35525271560688e-20,0.18554,0.02905,0.01736,0.03145,0.01146,1.40858,1.74484,-2.52435489670724e-29,0.14975,0.14975,8.62701,4.76181,0.06693,0.03572,0.44696,-17.02963,-21.9883
"5","2011_Q2",10.8565079365079,"Up",536381000,-445422000,90959000,-75830000,-27399000,-5506000,-21893000,-3948000,-44483000,15129000,284000,280000,280000,15413000,15413000,-6627000,8786000,8786000,8786000,-264000,8522000,320072000,277805000,42267000,156062000,156062000,77135000,77135000,553269000,79467000,95910000,29541000,66369000,175377000,728646000,411641000,2628000,408215000,412431000,67948000,59135000,67948000,480379000,136526000,-122031000,233737000,248267000,248267000,728646000,8786000,3948000,4706000,41648000,59088000,613000,-13513000,-3971000,-555000,-3089000,1927000,-2599000,42976000,42976000,42976000,19077000,0,0.16958,0.02821,0.01589,0.03433,0.0117,1.34148,1.93493,0,0.16718,0.16718,10.52223,4.87027,0.0779,0.03951,0.46597,-16.7779,-21.15619
"6","2011_Q3",9.3025,"Down",472903000,-389062000,83841000,-72441000,-24562000,-7539000,-17023000,-3601000,-44278000,11400000,304000,304000,304000,11704000,11704000,-4963000,6741000,6741000,6741000,-199000,6542000,302789000,265191000,37598000,135089000,135089000,76683000,75599000,514561000,81206000,87775000,29280000,58495000,168981000,683542000,362318000,2424000,359894000,362318000,70131000,59735000,70131000,432449000,136502000,-121964000,236496000,251093000,251093000,683542000,6741000,3598000,1877000,-16994000,-4778000.00000001,4236000,-1492000,-3982000,-2801000,-3550000,439000,-6344000,-12614000,-12614000,-12614000,14998000,0,0.17729,0.02411,0.01383,0.02605,0.00957,1.42019,1.72227,2.01948391736579e-28,0.12714,0.12714,9.19043,4.87976,0.07739,0.03276,0.60868,-20.18863,-26.56044
"7","2011_Q4",8.99888888888889,"Down",471821000,-384792000,87029000,-72935000,-24147000,-5235000,-18912000,-3786000,-45002000,14094000,-7256000,245000,245000,6838000,6838000,-2739000,4099000,4099000,4099000,-119000,3980000,225304000,169910000,55394000,162338000,162338000,71701000,68961000,459343000,88452000,88675000,28867000,59808000,177127000,636470000,330250000,2659000,327591000,330250000,67768000,58508000,67768000,398018000,136420000,-134697000,236677000,238452000,238452000,636470000,4099000,3789000,4099000,-53065000,-41078000,-18355000,-35030000,-3918000,-15222000,-15820000,-33000,-19173000,-95281000,-95281000,-95281000,17883000,0,0.18445,0.02987,0.00844,0.01669,0.00625,1.39089,1.66917,0,0.07828,0.07828,9.27978,4.68987,0.07706,0.02579,0.98442,-12.59878,-15.98581
"8","2012_Q1",10.6117741935484,"Up",495114000,-405168000,89946000,-73255000,-25850000,-8333000,-17517000,-3883000,-43522000,16691000,129000,140000,140000,16820000,16820000,-5976000,10844000,10844000,10844000,-326000,10518000,268195000,211208000,56987000,170933000,170933000,83660000,77525000,522788000,92944000,96527000,28433000,68094000,189471000,712259000,396226000,5085000,391141000,396226000,70826000,60054000,70826000,467052000,136180000,-134647000,243650000,245207000,245207000,712259000,10844000,3883000,919999.999999999,45032000,60679000,-6185000,-11662000,-3871000,-2545000,-2620000,-1303000,-7719000,41298000,41298000,41298000,20574000,1.73472347597681e-18,0.18167,0.03371,0.02124,0.04289,0.01477,1.31942,1.90473,3.23117426778526e-27,0.21051,0.21051,9.90941,4.90767,0.07748,0.04553,0.36804,-13.03563,-16.06824
"9","2012_Q2",9.85920634920635,"Down",595177000,-492173000,103004000,-79958000,-26833000,-4755000,-22078000,-4212000,-48913000,23046000,288000,164000,164000,23334000,23334000,-9450000,13884000,13884000,13884000,-402000,13482000,291529000,234548000,56981000,175961000,175961000,81876000,81259000,549366000,92597000,99667000,27999000,71668000,192264000,741630000,410357000,3437000,406920000,413446000,71709000,61895000,71709000,485155000,136979000,-134198000,253635000,256475000,256475000,741630000,13884000,4212000,7822000,7338000,33256000,-593000,-5228000,-3899000,-2450000,-3253000,1661000,-4688000,23340000,23340000,23340000,27258000,0,0.17306,0.03872,0.02265,0.05257,0.01818,1.32875,1.89163,0,0.2687,0.2687,11.86226,5.11171,0.07771,0.05296,0.2892,-10.69517,-12.64987
"10","2012_Q3",9.60412698412698,"Down",519256000,-431962000,87294000,-77879000,-27060000,-8566000,-18494000,-4465000,-46354000,9415000,176000,156000,156000,9591000,9591000,-3970000,5621000,5621000,5621000,-162000,5459000,237772000,180590000,57182000,176428000,176428000,73716000,70865000,487916000,93491000,100650000,27565000,73085000,194141000,682057000,354447000,2873000,350145000,354447000,75078000,63664000,75078000,429525000,137071000,-139467000,254870000,252532000,252532000,682057000,5621000,4440000,-429000.000000002,-45629000,-35997000,-14225000,-5720000,-4386000,-8247000,-8488000,392000,-12241000,-53958000,-53958000,-53958000,13855000,2.77555756156289e-17,0.16811,0.01813,0.01051,0.02162,0.008,1.37656,1.70087,0,0.10877,0.10877,10.34581,5.03152,0.08739,0.03005,0.80344,-17.16146,-25.25459
