"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.59109375,"Up",130061000,-65589000,64472000,-60342000,4130000,455000,4585000,4585000,-225000,4360000,4360000,4360000,4360000,301325711.039452,206569553.835666,41362346.6748762,41362346.6748762,73549823.9245204,32912787.443236,14189915.6310442,449150669.082085,39931372.8706895,4160475.58610506,-9954298.74638963,102101664.994532,551252334.076617,92145831.8462469,59043299.2208353,33102532.6254117,7445142.46024032,7445142.46024032,99590974.306473,34342430.3485808,5183624.5758005,14951580.7597041,34327032.3180927,133918006.624566,812288385.709178,-391849996.021528,-3104062.25165559,417334327.435994,417334327.452051,551252334.076617,4360000,3875000,15500000,-13715000,10020000,-5834000,-21835000,5611000,5623000,5524000,-6291000,-6291000,199000,-6092000,8005000,0,-11319000,0.49571,0.03175,0.03352,0.0849591476977165,0.0631440748102417,-2.5961,4.16900369666448,0.316442142454929,-2.35203974287632e-05,0.04365,0.04365,1.30206,4.1969466033015,-0.11332,0.0790928191216176,0.131491403670544,-581.090931362693,240.416350774913
"2","2011_Q1",8.64564516129032,"Down",117133000,-59842000,57291000,-60067000,-2776000,333000,-2443000,-2443000,-297000,-2740000,-2740000,-2740000,-2740000,281662000,113649000,75931000,75931000,81893000,22109000,9118000,461595000,51740000,23737000,11855000,89930000,551525000,86242000,35658000,50584000,21958000,21958000,108200000,32576000,4633000,16061000,32576000,140776000,817302000,-405292000,-1261000,410749000,410749000,551525000,-2740000,4025000,11412000,-5687000,7010000,-4993000,1839000,7007000,7007000,6920000,15769000,15769000,-96000,15673000,1249000,0,-9134000,0.48911,-0.0237,-0.02339,-0.00667,-0.00497,3.33358,4.26613,0.34273,0,-0.02697,-0.02697,1.15312,4.04364,-0.08992,-0.00618,-0.0206,-225.51001,101.46326
"3","2011_Q2",7.27920634920635,"Down",92890000,-50146000,42744000,-58753000,-16009000,-99000,-16108000,-16108000,-286000,-16394000,-16394000,-16394000,-16394000,274492596.320183,88921732.054778,82005801.1083746,82005801.1083746,77252308.6918265,20421737.5189213,10572361.4563186,454172443.639305,56305292.3764369,26464841.4712983,17395432.9154632,85544361.6684893,539716805.307794,80013972.7179177,27055400.2597216,52958572.4581961,25154869.1799199,25154869.1799199,105168841.897842,29265773.2171397,4000375.14139983,16213056.413432,29270905.8939691,134439747.791811,830137704.763607,-424168001.326157,-692645.916114802,405277057.521335,405277057.515983,539716805.307794,-16394000,4215000,13151000,-1826000,-854000,-10498000,-6453000,4909000,4909000,4822000,-2485000,-2485000,188000,-2297000,-11794000,0,-23832000,0.46016,-0.17234,-0.17649,-0.0498388825659055,-0.0376330249367472,1.4537,4.38709793444517,0.33229261918169,7.8401324762544e-06,-0.15851,-0.15851,0.89813,3.91588613223283,-0.23043,-0.0466051063738725,-0.0623988012235146,-46.4949387124358,32.8773622416956
"4","2011_Q3",7.2071875,"Down",95956000,-58542000,37414000,-61491000,-24077000,245000,-23832000,-23832000,-362000,-24194000,-24194000,-24194000,-24194000,268593000,100926000,73684000,73684000,69377000,22887000,14451000,434541000,58298000,19657000,13575000,90358000,524899000,76266000,28645000,47621000,22444000,22444000,98710000,25840000,3454000,16304000,25840000,124550000,847157000,-445880000,-928000,400349000,400349000,524899000,-24194000,4219000,13500000,6340000,-135000,-6562000,-9797000,-396999.999999999,803000.000000001,-484000,-10416000,-10416000,-10000,-10426000,-19858000,2.27373675443232e-13,-19718000,0.38991,-0.25092,-0.25214,-0.06043,-0.04609,0.815,4.4022,0.3111,0,-0.23016,-0.23016,0.91284,3.80857,-0.18758,-0.05677,-0.04627,13.52568,11.15558
"5","2011_Q4",7.02984126984127,"Down",104022000,-63373000,40649000,-62351000,-21702000,393000,-21309000,-21309000,-497000,-21806000,-21806000,-21806000,-21806000,245257000,112641000,68954000,68954000,70295000,23583000,15699000,408089000,63703000,11271000,8089000,111498000,519587000,80986000,37636000,43350000,19927000,19927000,100913000,24045000,3206000,17657000,24045000,124958000,863912000,-467686000,-1597000,394629000,394629000,519587000,-21806000,4921000,14162000,6828000,4105000,-5914000,3917000,4213000,4252000,4125000,12147000,12147000,-432000,11715000,-16781000,0,-15370000,0.39077,-0.20863,-0.20963,-0.05526,-0.04197,0.70485,4.04397,0.31665,0,-0.20521,-0.20521,0.9789,3.71367,-0.14464,-0.05208,-0.03671,14.61516,11.30112
"6","2012_Q1",7.67548387096774,"Up",112009000,-67325000,44684000,-63673000,-18989000,56000,-18933000,-18804000,-546000,-19350000,-19350000,-19350000,-19350000,195754000,94458000,80616000,80616000,88996000,17865000,10532000,383231000,76753000,8405000,7583000,148473000,531704000,95917000,48838000,47079000,22781000,22781000,118698000,25203000,3410000,21026000,25203000,143901000,877034000,-487036000,-2195000,387803000,387803000,531704000,-19350000,4504000,13563000,-3798000,-5081000,-16146000,-12835000,50000.0000000009,58999.9999999991,50000.0000000019,-17866000,-17866000,-317000,-18183000,-14485000,0,-33883000,0.39893,-0.16953,-0.17275,-0.0499,-0.03639,1.75106,3.22862,0.37107,6.7762635780344e-21,-0.18098,-0.18098,1.0476,3.62704,-0.3169,-0.04685,-0.08204,13.51426,10.30881
"7","2012_Q2",6.89650793650794,"Down",104701000,-64274000,40427000,-60311000,-19884000,-149000,-20033000,-20033000,-579000,-20612000,-20612000,-20612000,-20612000,203878000,96709000,65444000,65444000,101612000,15470000,9469000,386404000,82056000,6940000,6118000,130668000,517072000,84037000,39198000,44839000,23418000,23418000,107455000,25749000,3397000,21585000,25749000,133204000,893241000,-507648000,-1725000,383868000,383868000,517072000,-20612000,5528000,9974000,-647000,-5757000,-13649000,1529000,6173000,7005000,6173000,1945000,1945000,306000,2251000,-14356000,0,-28073000,0.38612,-0.18991,-0.19687,-0.0537,-0.03986,1.36197,3.59596,0.347,0,-0.18968,-0.18968,0.96351,3.53255,-0.25834,-0.05032,-0.06853,14.20159,10.25337
"8","2012_Q3",5.97079365079365,"Down",93458000,-61084000,32374000,-61773000,-29399000,377000,-29022000,-29022000,-527000,-29549000,-29549000,-29549000,-29549000,190034000,84988000,56200000,56200000,115117000,14562000,10217000,375913000,82396000,6395000,5573000,114848000,490761000,80665000,37679000,42986000,18507000,18507000,99172000,26276000,2732000,22777000,26276000,125448000,905074000,-537197000,-2564000,365313000,365313000,490761000,-29549000,5696000,10990000,-9881000,-22744000,-6121000,11326000,80999.9999999991,88000.0000000019,81000,-11337000,-11337000,-384000,-11721000,-23703000,5.82076609134674e-11,-39178000,0.3464,-0.31457,-0.31617,-0.08089,-0.06021,1.32587,3.79052,0.3434,-1.0842021724855e-19,-0.26765,-0.26765,0.84652,3.30893,-0.35487,-0.07546,-0.10005,8.0173,6.46396
"9","2012_Q4",5.2808064516129,"Down",112214000,-70714000,41500000,-59705000,-18205000,-442000,-18647000,-18647000,-434000,-19081000,-19081000,-19081000,-19081000,168858000,76600000,91544000,91544000,118463000,17230000,12094000,396095000,79140000,6425000,5603000,104926000,501021000,94152000,45292000,48860000,17267000,17267000,111419000,27102000,2241000,24094000,27102000,138521000,920594000,-556278000,-1816000,362500000,362500000,501021000,-19081000,6050000,11927000,-28192000,-29296000,-2468000,16321000,4151000,4187000,4151000,-8824000,-8824000,436000,-8388000,-12155000,0,-42381000,0.36983,-0.16223,-0.17004,-0.05264,-0.03808,2.22111,3.555,0.38213,0,-0.17101,-0.17101,1.00568,3.24879,-0.37983,-0.04898,-0.10878,13.89206,9.27536
"10","2013_Q1",6.82366666666667,"Up",128064000,-84796000,43268000,-58781000,-15513000,75000.0000000001,-15438000,-15438000,-650000,-16088000,-16088000,-16088000,-16088000,180812000,104666000,107039000,107039000,127809000,13837000,9744000,429497000,80343000,6456000,6456000,98673000,528170000,117303000,61428000,55875000,26744000,26744000,144047000,27987000,3210000,24660000,27987000,172034000,930730000,-572366000,-2228000,356136000,356136000,528170000,-16088000,6387000,10608000,7424000,8331000,-3156000,19692000,1175000,299999.999999999,293000,28316000,28316000,-250000,28066000,-9126000,-9.31322574615479e-10,-4208000,0.33786,-0.12113,-0.12562,-0.04517,-0.03046,0.26156,2.98164,0.48306,1.73472347597681e-18,-0.14325,-0.14325,1.14029,3.17107,-0.03747,-0.04188,-0.01095,19.81284,11.65551
