"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",37.7365079365079,"Down",6.119e+09,5.23e+09,7.53e+08,1.36e+08,7.9e+07,2.5e+07,3.2e+07,-3.388e+09,-9.29e+08,-8.47e+08,9.55e+08,-9.8e+07,-9.8e+07,8.57e+08,8.57e+08,-2.1e+08,6.47e+08,6.47e+08,6.47e+08,6.47e+08,7.4041e+10,2.51e+08,5.564e+09,1.767e+09,2.7073e+10,1.08696e+11,6.9616e+10,6.38e+08,6.525e+09,5.246e+09,8.2025e+10,1.9762e+10,-1.1231e+10,1.6792e+10,1.271e+09,2.6671e+10,2.6671e+10,1.08696e+11,6.47e+08,2.16e+08,-3.32e+08,5.31e+08,7.19e+08,2.33e+08,9.52e+08,-1.68e+08,-1.284e+09,-3.4e+07,-1.486e+09,-3e+06,-3e+06,-1e+06,-4e+06,1.171e+09,6.525e+09,0.15607,0.10574,0.02426,0.00595,3.07544,0.06003,1.27262,1.25607,12.0358,52.30921,0.33045,0.00754,0.25966,5.35781,6.56963
"2","2010_Q3",37.83453125,"Up",6.179e+09,5.34e+09,7.62e+08,7.7e+07,7.6e+07,-3.1e+07,3.2e+07,-3.419e+09,-9.5e+08,-8.32e+08,9.78e+08,-9.7e+07,-9.7e+07,8.81e+08,8.81e+08,-2.11e+08,6.7e+08,6.7e+08,6.7e+08,6.7e+08,7.3129e+10,2.66e+08,5.84e+09,1.804e+09,2.5984e+10,1.07023e+11,6.8958e+10,4.67e+08,6.276e+09,5.036e+09,8.0737e+10,1.9884e+10,-1.2645e+10,1.7285e+10,1.69e+09,2.6286e+10,2.6286e+10,1.07023e+11,6.7e+08,1.95e+08,-3.45e+08,5.2e+08,6.27e+08,6.19e+08,1.246e+09,-1.75e+08,-1.321e+09,-1e+06,-1.747e+09,1.9e+07,1.9e+07,-4e+06,1.5e+07,1.173e+09,6.276e+09,0.15828,0.10843,0.02549,0.00626,3.07148,0.05864,1.38287,1.36512,12.75335,54.10526,0.3612,0.00793,0.26119,5.12361,6.14519
"3","2010_Q4",41.426875,"Up",6.482e+09,5.422e+09,7.35e+08,3.25e+08,6.4e+07,2.26e+08,3.5e+07,-3.213e+09,-9.66e+08,-8.37e+08,1.466e+09,-9.5e+07,-9.5e+07,1.371e+09,1.371e+09,-3.66e+08,1.005e+09,1.005e+09,1.005e+09,1.005e+09,7.4717e+10,2.98e+08,5.696e+09,1.84e+09,2.5603e+10,1.08154e+11,6.8762e+10,6.15e+08,6.252e+09,5.23e+09,8.0859e+10,1.998e+10,-1.3245e+10,1.8118e+10,2.372e+09,2.7295e+10,2.7295e+10,1.08154e+11,1.005e+09,1.97e+08,1.39e+08,1.341e+09,8.06e+08,-1.359e+09,-5.53e+08,-1.69e+08,-5.69e+08,1e+06,-7.62e+08,2.6e+07,2.6e+07,6e+06,3.2e+07,1.663e+09,6.252e+09,0.22616,0.15504,0.03682,0.00929,2.96241,0.05781,2.15943,2.13376,13.9278,58.49807,0.36313,0.01092,0.16816,3.58028,4.06139
"4","2011_Q1",43.7451612903226,"Up",6.332e+09,5.44e+09,8.09e+08,8.3e+07,6.8e+07,4.4e+07,-2.9e+07,-3.19e+09,-9.57e+08,-8.9e+08,1.295e+09,-9.8e+07,-9.8e+07,1.197e+09,1.197e+09,-3.03e+08,8.94e+08,8.94e+08,8.94e+08,8.94e+08,7.2722e+10,2e+08,5.497e+09,1.782e+09,2.5455e+10,1.05656e+11,6.787e+10,4.07e+08,6.611e+09,5.293e+09,8.0181e+10,2.0162e+10,-1.4857e+10,1.8847e+10,1.255e+09,2.5475e+10,2.5475e+10,1.05656e+11,8.94e+08,2.04e+08,-4.36e+08,6.62e+08,8.73e+08,-4.09e+08,4.64e+08,-1.61e+08,-1.416e+09,2e+06,-1.226e+09,-1e+08,-1e+08,2e+06,-9.8e+07,1.499e+09,6.611e+09,0.20452,0.14119,0.03509,0.00846,3.14744,0.06257,1.99687,1.97307,14.1434,56.75006,0.35962,0.01002,0.18009,4.27685,4.95058
"5","2011_Q2",46.2938095238095,"Up",6.278e+09,5.371e+09,7.79e+08,1.28e+08,7.4e+07,2e+07,3.4e+07,-3.382e+09,-9.48e+08,-8.83e+08,1.065e+09,-9.6e+07,-9.6e+07,9.69e+08,9.69e+08,-1.3e+08,8.39e+08,8.39e+08,8.39e+08,8.39e+08,7.2391e+10,2.39e+08,5.668e+09,1.801e+09,2.5153e+10,1.05252e+11,6.7827e+10,5.13e+08,6.611e+09,5.058e+09,8.0009e+10,2.037e+10,-1.6003e+10,1.9538e+10,1.272e+09,2.5243e+10,2.5243e+10,1.05252e+11,8.39e+08,2.08e+08,-4.14e+08,6.33e+08,5.23e+08,7e+06,5.3e+08,-1.55e+08,-9.36e+08,-3.7e+07,-1.128e+09,3.5e+07,3.5e+07,4e+06,3.9e+07,1.273e+09,6.611e+09,0.16964,0.13364,0.03324,0.00797,3.16955,0.06281,1.95936,1.9314,14.66137,58.79729,0.36198,0.00949,0.18474,5.0055,5.9831
"6","2011_Q3",40.28953125,"Down",6.388e+09,5.503e+09,7.58e+08,1.27e+08,7.4e+07,1.9e+07,3.4e+07,-5.141e+09,-9.7e+08,-9.07e+08,-6.3e+08,-9.7e+07,-9.7e+07,-7.27e+08,-7.27e+08,3.63e+08,-3.64e+08,-3.64e+08,-3.64e+08,-3.64e+08,7.2993e+10,2.73e+08,6.043e+09,1.84e+09,2.5319e+10,1.06468e+11,6.9305e+10,4.09e+08,6.604e+09,5.142e+09,8.146e+10,2.0607e+10,-1.6276e+10,1.8966e+10,1.711e+09,2.5008e+10,2.5008e+10,1.06468e+11,-3.64e+08,1.97e+08,4.35e+08,2.68e+08,-5.3e+07,1.78e+08,1.25e+08,-1.74e+08,-1.79e+08,2e+06,-3.59e+08,3.4e+07,3.4e+07,9.31322574615479e-10,3.4e+07,-4.33e+08,6.604e+09,-0.0986199999999999,-0.05698,-0.01456,-0.00342,3.25736,0.06203,-0.869569999999999,-0.86957,15.26039,59.742,0.41567,-0.00179,-0.47802,-14.62125,-10.04921
"7","2011_Q4",43.0206349206349,"Up",6.407e+09,5.605e+09,6.9e+08,1.12e+08,7.9e+07,2e+06,3.1e+07,-4.136e+09,-9.82e+08,-8.6e+08,4.29e+08,-9.7e+07,-9.7e+07,3.32e+08,3.32e+08,1e+06,3.33e+08,3.33e+08,3.33e+08,3.33e+08,7.3652e+10,2.31e+08,5.932e+09,1.869e+09,2.5249e+10,1.06933e+11,6.9214e+10,6.1e+08,6.604e+09,5.333e+09,8.1761e+10,2.0664e+10,-1.6651e+10,1.9127e+10,2.032e+09,2.5172e+10,2.5172e+10,1.06933e+11,3.33e+08,1.94e+08,3.9e+08,9.17e+08,-5.6e+08,1.42e+08,-4.18e+08,-1.71e+08,-3.7e+08,6e+06,-5.35e+08,-3.6e+07,-3.6e+07,-6e+06,-4.2e+07,6.23e+08,6.604e+09,0.06696,0.05197,0.01323,0.00311,3.24809,0.06176,0.80241,0.7957,15.43855,60.65542,0.41205,0.00474,0.51351,10.22953,14.85548
"8","2012_Q1",46.0482258064516,"Up",6.373e+09,5.611e+09,6.52e+08,1.1e+08,6.9e+07,1.4e+07,2.7e+07,-3.617e+09,-9.76e+08,-9.06e+08,8.74e+08,-9.6e+07,-9.6e+07,7.78e+08,7.78e+08,-1.6e+08,6.18e+08,6.18e+08,6.18e+08,6.18e+08,7.2701e+10,2.14e+08,5.73e+09,1.786e+09,2.4144e+10,1.04575e+11,6.768e+10,3.89e+08,6.605e+09,5.424e+09,8.0098e+10,2.0732e+10,-1.7839e+10,1.9579e+10,2.005e+09,2.4477e+10,2.4477e+10,1.04575e+11,6.18e+08,2.03e+08,-4.7e+08,3.51e+08,86000000.0000001,8.29e+08,9.15e+08,-1.65e+08,-1.12e+09,1e+06,-1.284e+09,-1.8e+07,-1.8e+07,1e+06,-1.7e+07,1.077e+09,6.605e+09,0.13714,0.09697,0.02525,0.00591,3.27238,0.06316,1.53961,1.50548,15.87693,60.97907,0.41106,0.00752,0.26699,5.93408,7.31236
"9","2012_Q2",48.9874603174603,"Up",6.392e+09,5.523e+09,7.4e+08,1.29e+08,8.2e+07,1e+07,3.7e+07,-3.364e+09,-9.71e+08,-8.84e+08,1.173e+09,-9.6e+07,-9.6e+07,1.077e+09,1.077e+09,-2.71e+08,8.06e+08,8.06e+08,8.06e+08,8.06e+08,7.3244e+10,2.58e+08,5.884e+09,1.801e+09,2.3679e+10,1.04866e+11,6.7468e+10,6.31e+08,6.606e+09,5.289e+09,7.9994e+10,2.0851e+10,-1.8241e+10,2.0223e+10,2.039e+09,2.4872e+10,2.4872e+10,1.04866e+11,8.06e+08,2.16e+08,-2.08e+08,8.14e+08,-7.51e+08,4.56e+08,-2.95e+08,-1.61e+08,-2.77e+08,-4e+07,-4.78e+08,4.1e+07,4.1e+07,3e+06,4.4e+07,1.389e+09,6.606e+09,0.18351,0.1261,0.03241,0.00769,3.21623,0.06299,2.05612,2.03638,16.30612,63.44898,0.41071,0.00928,0.19975,4.57019,5.41176
"10","2012_Q3",51.3063492063492,"Up",6.359e+09,5.529e+09,7.38e+08,9.2e+07,5.9e+07,4e+06,2.9e+07,-3.786e+09,-9.76e+08,-8.93e+08,7.04e+08,-9.6e+07,-9.6e+07,6.08e+08,6.08e+08,-1.09e+08,4.99e+08,4.99e+08,4.99e+08,4.99e+08,7.2944e+10,2.3e+08,6.197e+09,1.839e+09,2.312e+10,1.0433e+11,6.7145e+10,6.07e+08,6.349e+09,5.18e+09,7.9281e+10,2.097e+10,-1.8592e+10,2.0541e+10,2.13e+09,2.5049e+10,2.5049e+10,1.0433e+11,4.99e+08,1.96e+08,-2.44e+08,4.51e+08,2.82e+08,-6.8e+07,2.14e+08,-1.8e+08,-2.6e+08,6999999.99999999,-6.91e+08,-2.6e+07,-2.6e+07,-2e+06,-2.8e+07,9e+08,6.349e+09,0.11071,0.07847,0.01992,0.00478,3.16504,0.06085,1.28608,1.27426,16.38918,64.55928,0.46392,0.00655,0.36072,6.79889,8.69176
