"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",13.50734375,"Down",-6426000,-1029000,-5397000,-6426000,79000,-6347000,-6347000,-6347000,-6347000,-6347000,-6347000,152300000,4065000,148235000,1772000,1772000,154072000,2552000,6e+05,6e+05,3152000,157224000,3383000,1577000,1806000,3383000,1291000,1291000,1291000,4674000,190364000,-37843000,29000,152550000,152550000,157224000,-6347000,106000,546000,59000,-5636000,-58133000,-58747000,64343000,64343000,64343000,-40000,-40000,-40000,-6320000,0,-0.04161,-0.04037,45.54301,0.03064,0,-5.3946,-5.3946,129.65919,-0.04126,24.0981,23.70059
"2","2016_Q3",14.4146875,"Up",-8825000,-1705000,-7120000,-8825000,180000,-8645000,-8645000,-8645000,-8645000,-8645000,-8645000,152152000,4343000,147809000,1343000,1343000,153495000,2807000,619000,619000,3426000,156921000,3607000,1320000,2287000,3607000,1346000,1346000,1346000,4953000,198378000,-46488000,78000,151968000,151968000,156921000,-8645000,144000,1281000,1091000,-6129000,268000,-605000.000000015,7012000.00000001,7012000.00000001,7012000.00000001,278000,278000,278000,-8681000,0,-0.05689,-0.05509,42.55475,0.03259,0,-0.4331,-0.4331,7.61341000000002,-0.05639,17.52701,17.24102
"3","2016_Q4",15.2084126984127,"Up",-10475000,-2768000,-7707000,-10475000,178000,-10297000,-10297000,-10297000,-10297000,-10297000,-10297000,145123000,5576000,139547000,913000,913000,146036000,2858000,869000,869000,3727000,149763000,5596000,2416000,3180000,5596000,1257000,1257000,1257000,6853000,199654000,-56785000,41000,142910000,142910000,149763000,-10297000,159000,1473000,1980000,-6685000,8017000,7918000,0,0,0,1233000,1233000,1233000,-10316000,0,-0.07205,-0.06876,26.0965,0.04795,0,-0.50833,-0.50833,7.05496,-0.07142,14.06776,13.85422
"4","2017_Q1",15.6641935483871,"Up",-11250000,-2118000,-9132000,-11250000,164000,-11086000,-11086000,-11086000,-11086000,-11086000,-11086000,134896000,5050000,129846000,1137000,1137000,136033000,3248000,869000,869000,4117000,140150000,5944000,1900000,4044000,5944000,1405000,1405000,1405000,7349000,200711000,-67871000,-39000,132801000,132801000,140150000,-11086000,185000,1176000,318000,-9407000,9491000,8878000,3000,3000,3000,-526000,-526000,-526000,-11065000,0,-0.08348,-0.0791,22.88577,0.05534,0,-0.54626,-0.54626,6.54373,-0.0826,12.19123,11.99076
"5","2017_Q2",10.6755555555556,"Down",-16217000,-2720000,-13497000,-16217000,181000,-16036000,-16036000,-16036000,-16036000,-16036000,-16036000,122064000,10487000,111577000,1051000,1051000,123115000,3117000,869000,869000,3986000,127101000,7579000,2421000,5158000,7579000,1297000,1297000,1297000,8876000,202194000,-83907000,-62000,118225000,118225000,127101000,-16036000,204000,1449000,1635000,-12748000,18288000,18177000,8000,8000,8000,5437000,5437000,5437000,-16013000,0,-0.13564,-0.12617,16.24423,0.07508,0,-0.78803,-0.78803,5.80976,-0.13417,7.62281,7.52692
"6","2017_Q3",13.8347619047619,"Up",-15174000,-2787000,-12387000,-15174000,193000,-14981000,-14981000,-14981000,-14981000,-14981000,-14981000,110326000,34095000,76231000,1308000,1308000,111634000,2984000,869000,869000,3853000,115487000,9518000,4138000,5380000,9518000,1187000,1187000,1187000,10705000,203722000,-98888000,-52000,104782000,104782000,115487000,-14981000,208000,1427000,1635000,-11711000,35440000,35319000,-2.3283064365387e-10,-2.3283064365387e-10,-2.3283064365387e-10,23608000,23608000,23608000,-14966000,0,-0.14297,-0.12972,11.72872,0.10216,0,-0.73335,-0.73335,5.12927,-0.14137,7.37178,7.27073
"7","2017_Q4",12.8039682539683,"Down",-12944000,-2211000,-10733000,-12944000,227000,-12717000,-12717000,-12717000,-12717000,-12717000,-12717000,99700000,44104000,55596000,1167000,1167000,100867000,2863000,1058000,1058000,3921000,104788000,9974000,3576000,6398000,9974000,1077000,1077000,1077000,11051000,205356000,-111605000,-14000,93737000,93737000,104788000,-12717000,211000,1437000,295000,-10774000,20699000,20657000,126000,126000,126000,10009000,10009000,10009000,-12733000,0,-0.13567,-0.12136,10.11299,0.11789,0,-0.62031,-0.62031,4.57228,-0.13413,7.83005,7.70241
"8","2018_Q1",9.45704918032787,"Down",-12189000,-2501000,-9688000,-12189000,260000,-11929000,-11929000,-11929000,-11929000,-11929000,-11929000,90055000,45106000,44949000,1179000,1179000,91234000,2672000,869000,869000,3541000,94775000,8969000,3454000,5515000,8969000,971000,971000,971000,9940000,208410000,-123534000,-41000,84835000,84835000,94775000,-11929000,219000,1721000,-990000,-10979000,10665000,10673000,1308000,1308000,1308000,1002000,1002000,1002000,-11970000,0,-0.14061,-0.12587,10.17215,0.11717,0,-0.57697,-0.57697,4.10322,-0.13902,7.52339,7.38822
"9","2018_Q2",11.1628125,"Up",-14644000,-2541000,-12103000,-14644000,343000,-14301000,-14301000,-14301000,-14301000,-14301000,-14301000,143933000,102565000,41368000,1233000,1233000,145166000,2459000,1064000,1064000,3523000,148689000,10604000,3499000,7105000,10604000,857000,857000,857000,11461000,275102000,-137835000,-39000,137228000,137228000,148689000,-14301000,219000,1757000,1280000,-11045000,3626000,3620000,64884000,64884000,64884000,57459000,57459000,57459000,-14425000,0,-0.10421,-0.09618,13.68974,0.08352,0,-0.63333,-0.63333,6.07725,-0.10357,9.97802,9.8288
"10","2018_Q3",9.99888888888889,"Down",-12258000,-2543000,-9715000,-12258000,627000,-11631000,-11631000,-11631000,-11631000,-11631000,-11631000,133225000,28068000,105157000,1208000,1208000,134433000,2293000,1193000,1193000,3486000,137919000,9779000,2255000,7524000,9779000,741000,741000,741000,10520000,276885000,-149466000,-20000,127399000,127399000,137919000,-11631000,220000,1547000,-1025000,-10889000,-63602000,-63656000,47999.9999999925,47999.9999999925,47999.9999999925,-74497000,-74497000,-74497000,-12038000,0,-0.0913,-0.08433,13.74711,0.08258,0,-0.4012,-0.4012,4.39451,-0.09077,11.06704,10.86841
"11","2018_Q4",6.81809523809524,"Down",-11149000,-2775000,-8374000,-11149000,651000,-10498000,-10498000,-10498000,-10498000,-10498000,-10498000,122639000,40747000,81892000,1893000,1893000,124532000,2226000,464000,464000,2690000,127222000,7748000,1885000,5863000,7748000,627000,627000,627000,8375000,278845000,-159963000,-35000,118847000,118847000,127222000,-10498000,228000,1589000,-2116000,-10797000,23470000,23310000,166000,166000,166000,12679000,12679000,12679000,-10921000,0,-0.08833,-0.08252,16.07279,0.07047,0,-0.36016,-0.36016,4.07732,-0.08787,11.22965,11
"12","2019_Q1",4.22065573770492,"Down",-11171000,-2777000,-8394000,-11171000,662000,-10509000,-10509000,-10509000,-10509000,-10509000,-10509000,114597000,39196000,75401000,992000,992000,115589000,2180000,463000,463000,2643000,118232000,7027000,1998000,5029000,7027000,869000,869000,869000,7896000,280843000,-170473000,-34000,110336000,110336000,118232000,-10509000,180000,1634000,438000,-8257000,6669000,6534000,172000,172000,172000,-1551000,-1551000,-1551000,-10991000,0,-0.09525,-0.08888,16.44927,0.07156,0,-0.35842,-0.35842,3.76311,-0.0945,10.42644,10.25844
"13","2019_Q2",3.91793650793651,"Down",-12305000,-2886000,-9419000,-12305000,662000,-11643000,-11643000,-11643000,-11643000,-11643000,-11643000,105807000,38976000,66831000,1197000,1197000,107004000,2010000,3295000,3295000,5305000,112309000,7843000,2264000,5579000,8635000,2977000,2977000,2977000,11612000,282802000,-182116000,11000,100697000,100697000,112309000,-11643000,186000,1902000,565000,-8990000,8785000,8769000,1000,1000,1000,-220000,-220000,-220000,-12119000,0,-0.11562,-0.10367,12.39189,0.11532,0,-0.39748,-0.39748,3.43768,-0.1123,8.73067,8.5987
"14","2019_Q3",4.196875,"Up",-13596000,-2956000,-10640000,-13596000,618000,-12978000,-12978000,-12978000,-12978000,-12978000,-12978000,96840000,30183000,66657000,1305000,1305000,98145000,1824000,3147000,3147000,4971000,103116000,9882000,2638000,7244000,10702000,2760000,2760000,2760000,13462000,284709000,-195094000,39000,89654000,89654000,103116000,-12978000,186000,1651000,1927000,-9214000,416000.000000002,416000,5000,5000,5000,-8793000,-8793000,-8793000,-13410000,0,-0.14476,-0.12586,9.17072,0.15016,0,-0.44277,-0.44277,3.05873,-0.14043,7.22148,7.12268
"15","2019_Q4",3.4975,"Down",-11513000,-2517000,-8996000,-11513000,509000,-11004000,-11004000,-11004000,-11004000,-11004000,-11004000,86421000,9067000,77354000,1411000,1411000,87832000,1642000,2996000,2996000,4638000,92470000,8670000,1910000,6760000,9519000,2538000,2538000,2538000,12057000,286477000,-206098000,34000,80413000,80413000,92470000,-11004000,186000,1357000,-1146000,-10607000,-10521000,-10525000,16000,16000,16000,-21116000,-21116000,-21116000,-11327000,0,-0.13684,-0.119,9.22702,0.14994,0,-0.3744,-0.3744,2.73599,-0.13266,7.62965,7.50638
"16","2020_Q1",4.06016129032258,"Up",-11440000,-2520000,-8920000,-11440000,393000,-11047000,-11047000,-11047000,-11047000,-11047000,-11047000,77982000,5154000,72828000,1362000,1362000,79344000,1462000,2840000,2840000,4302000,83646000,9347000,2448000,6899000,10225000,2310000,2310000,2310000,12535000,288227000,-217145000,29000,71111000,71111000,83646000,-11047000,185000,1794000,558000,-8510000,4600000,4595000,2000,2000,2000,-3913000,-3913000,-3913000,-11255000,0,-0.15535,-0.13207,7.7598,0.17627,0,-0.37568,-0.37568,2.4183,-0.15046,6.92865,6.81661
"17","2020_Q2",2.95460317460317,"Down",-13269000,-3106000,-10163000,-13269000,334000,-12935000,-12935000,-12935000,-12935000,-12935000,-12935000,68707000,23498000,45209000,1136000,1136000,69843000,1278000,2676000,2676000,3954000,73797000,10785000,3356000,7429000,11712000,2050000,2050000,2050000,13762000,290072000,-230080000,43000,60035000,60035000,73797000,-12935000,184000,1945000,1453000,-9353000,27697000,27697000,-596547.201259017,-596547.201259017,-596547.201259017,18344000,18344000,18344000,-13085000,0,-0.21546,-0.17528,5.96337,0.22923,0,-0.4398,-0.4398,2.04123,-0.20834,5.25082,5.17801
"18","2020_Q3",3.99546875,"Up",-10767000,-2910000,-7857000,-10767000,156000,-10611000,-10611000,-10611000,-10611000,-10611000,-10611000,59258000,20705000,38553000,1303000,1303000,60561000,1119000,2497000,2497000,3616000,64177000,10577000,2779000,7798000,11553000,1784000,1784000,1784000,13337000,291478000,-240691000,53000,50840000,50840000,64177000,-10611000,159000,1546000,-580000,-9486000,6670000,6670000,23000,23000,23000,-2793000.00000001,-2793000.00000001,-2793000.00000001,-10608000,0,-0.20871,-0.16534,5.24202,0.26233,0,-0.36057,-0.36057,1.72759,-0.20164,5.58616,5.50367
"19","2020_Q4",4.0265625,"Up",-9845000,-3226000,-6619000,-9845000,49000,-9796000,-9796000,-9796000,-9796000,-9796000,-9796000,51361000,22976000,28385000,1148000,1148000,52509000,1048000,2305000,2305000,3353000,55862000,10975000,2571000,8404000,12001000,1511000,1511000,1511000,13512000,292825000,-250487000,12000,42350000,42350000,55862000,-9796000,147000,1064000,853000,-7732000,10015000,9939000,64000,64000,64000,2271000,2271000,2271000,-9698000,0,-0.23131,-0.17536,4.37539,0.31906,0,-0.33298,-0.33298,1.43956,-0.22334,5.29604,5.21696
"20","2021_Q1",3.61245901639344,"Down",-9879000,-2688000,-7191000,-9879000,1000,-9878000,27347000,27347000,27347000,27347000,27347000,44259000,16455000,27804000,1077000,1077000,45336000,906000,2062000,2062000,40193000,85529000,11071000,3467000,7604000,12149000,1232000,1232000,1232000,13381000,295281000,-223140000,4000,72148000,72148000,85529000,27347000,142000,-35879000,183000,-8207000,462999.999999998,463000,1223000,1223000,1223000,-6521000,-6521000,-6521000,-9737000,0,0.37904,0.31974,3.73167,0.18547,0,0.9221,0.9221,2.43263,0.37268,4.54545,4.48011
"21","2021_Q2",2.7531746031746,"Down",-11483000,-3253000,-8230000,-11483000,-97000,-11580000,-11580000,-11580000,-11580000,-11580000,-11580000,67969000,45104000,22865000,840000,840000,68809000,769000,2533000,2533000,40427000,109236000,12801000,4910000,7891000,13916000,935000,935000,935000,14851000,329099000,-234720000,6000,94385000,94385000,109236000,-11580000,137000,1420000,1236000,-8787000,4846000,4846000,32590000,32590000,32590000,28649000,28649000,28649000,-11346000,0,-0.12269,-0.10601,4.9446,0.15734,0,-0.33551,-0.33551,2.7346,-0.12149,5.99057,5.9191
"22","2021_Q3",2.96,"Up",-11290000,-2184000,-9106000,-11290000,-462000,-11752000,-11752000,-11752000,-11752000,-11752000,-11752000,66460000,58915000,7545000,2660000,2660000,69120000,647000,1580000,1580000,40274000,109394000,11207000,2865000,8342000,12360000,631000,631000,631000,12991000,341488000,-246472000,1387000,96403000,96403000,109394000,-11752000,122000,1710000,-2727000,-12647000,15242000,15242000,11216000,11216000,11216000,13811000,13811000,13811000,-11168000,0,-0.1219,-0.10743,5.59223,0.13476,0,-0.34049,-0.34049,2.79307,-0.12111,5.95093,5.88663
"23","2021_Q4",3.8784375,"Up",-9047000,-2056000,-6991000,-9047000,-1626000,-10673000,-10673000,-10673000,-10673000,-10673000,-10673000,76329000,72295000,4034000,2152000,2152000,78757000,539000,3699000,3699000,40566000,119323000,10290000,2334000,7956000,11305000,2870000,2870000,2870000,14175000,360913000,-257145000,1375000,105148000,105148000,119323000,-10673000,108000,2843000,-703000,-8425000,3471000,3471000,18334000,18334000,18334000,13380000,13380000,13380000,-8939000,0,-0.1015,-0.08945,6.96656,0.13481,0,-0.24286,-0.24286,2.3925,-0.09881,8.53887,8.43694
"24","2022_Q1",1.8308064516129,"Down",-6810000,-2022000,-4788000,-6810000,2405000,-4405000,-9236000,-9236000,-9236000,-9236000,-9236000,69451000,63458000,5993000,1354000,1354000,71312000,451000,3426000,3426000,38143000,109455000,8646000,1565000,7081000,9692000,2601000,2601000,2601000,12293000,361674000,-266381000,1869000,97162000,97162000,109455000,-9236000,93000,3329000,-1042000,-6856000,-1994000,-1999000,18000,18000,18000,-8837000,-8837000,-8837000,-6717000,0,-0.09506,-0.08438,7.35782,0.12652,0,-0.21016,-0.21016,2.21089,-0.09258,10.33959,10.19838
"25","2022_Q2",1.22629032258065,"Down",-7413000,-2313000,-5100000,-7413000,-884000,-8297000,-8297000,-8297000,-8297000,-8297000,-8297000,62944000,31460000,31484000,1050000,1050000,64367000,364000,3188000,3188000,36923000,101290000,8175000,2189000,5986000,9265000,2303000,2303000,2303000,11568000,362408000,-274678000,1987000,89722000,89722000,101290000,-8297000,87000,1835000,-49000,-6424000,-25574000,-25574000,-108286309.028011,-108286309.028011,-108286309.028011,-31998000,-31998000,-31998000,-7326000,0,-0.09247,-0.08191,6.94733,0.12893,0,-0.17823,-0.17823,1.92718,-0.09016,8.59186,8.49103
"26","2022_Q3",0.95328125,"Down",-7013000,-2090000,-4923000,-7013000,-1350000,-8363000,-8363000,-8363000,-8363000,-8363000,-8363000,56723000,28477000,28246000,1789000,1789000,58885000,527000,2948000,2948000,33656000,92541000,9021000,2650000,6371000,10156000,1999000,1999000,1999000,12155000,363088000,-283041000,339000,80386000,80386000,92541000,-8363000,92000,2311000,-163000,-6123000,3144000,3140000,-360504927.084034,-360504927.084034,-360504927.084034,-2983000,-2983000,-2983000,-6921000,0,-0.10404,-0.09037,5.79805,0.15121,0,-0.17964,-0.17964,1.72674,-0.10151,8.19578,8.08826
