"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",95.60625,"Up",53600000,-49840000,-3246000,-3536000,-43058000,3760000,-2811000,-2802000,949000,0,949000,-468000,481000,481000,481000,481000,-63809254.4420145,-63809254.4420145,2681592.13186261,2681592.13186261,46930326.3732855,4654277.26893189,23242118.3948908,-14197335.9368664,437309060.192642,22952605.3068201,23768149.1906394,463085190.424943,448887854.488077,15650477.2060515,5305398.62738703,10345078.5786645,9040450.97829454,6469736.23686158,2570714.74143296,24808698.1093651,264641313.082036,273968392.3624,263530858.726548,288339556.835913,131997854.97158,29484442.6807705,160548297.652164,160548297.652164,448887854.488077,481000,3536000,26000,-1319000,2724000,-2308000,-3063000,-1634000,-162000,-1786000,-2125000,-2125000,-2125000,7296000,0,4137000,0.07015,0.00897,0.0103105512608711,0.00416102566432602,8.60083,0.0902195691225081,1.77401159094271,-0.00157872111241191,0.27103,0.27006,30.20251,92.5662328171372,2.33112,0.00452719254051038,-0.139068203232455,9.62037093290339,13.3298403917257
"2","2011_Q1",121.579838709677,"Up",59908000,-53933000,-2534000,-3543000,-47856000,5975000,-3124000,-2785000,2851000,0,2851000,-1261000,1590000,1590000,1590000,1590000,31248000,31248000,3777000,3777000,27162000,4896000,18304000,62187000,295449000,22921000,18153000,320594000,382781000,18076000,1951000,16125000,14186000,7242000,6944000,32397000,186478000,171985000,186561000,218958000,133288000,31469000,163823000,163823000,382781000,1590000,3543000,83000,-3149000,2067000,-2077000,-2029000,-1934000,80000,-1845000,-1807000,-1807000,-1807000,9518000,218000,5553000,0.09974,0.02654,0.00971,0.00415,3.49245,1.91953,1.33655,0.00057,0.89661,0.89325,33.78233,92.38037,3.13136,0.00454,0.01584,-3.26014,-5.19331
"3","2011_Q2",139.32619047619,"Up",59824000,-54643000,-2850000,-3558000,-48235000,5181000,-2891000,-2703000,2290000,-70685.7907969615,2290000,-992000,1298000,1298000,1298000,1298000,61369168.1473382,61369168.1473382,4388885.9560458,4388885.9560458,20174307.8755715,4313907.5770227,16824710.5350364,85932361.9789554,261045979.935786,25886298.23106,17591866.9364535,288537436.525019,374469798.503974,19425257.5979828,912033.79087099,18513223.8071118,15535349.6739018,7925254.58771281,7610095.08618901,35084433.963545,172771812.305988,147110119.212533,173243130.424484,208327564.388029,134277465.009473,32798769.1064098,166142234.115945,166142234.115945,374469798.503974,1298000,3558000,3073000,-3961000,3968000,-1418000,-1817000,-2019000,-2294000,-3458000,-1307000,-1307000,-1307000,8739000,0,4352000,0.0866,0.0217,0.00771814957970964,0.00333299144522466,3.35285,2.46038097695916,1.25535863635243,0.00120540703747064,0.72386,0.72094,33.36228,92.643753227621,2.427,0.00365426915316321,0.0585694010774849,-7.5019328109678,-12.1016226305752
"4","2011_Q3",112.81640625,"Down",64335000,-59875000,-3437000,-3583000,-52855000,4460000,-2892000,-2684000,1568000,-6000.00000000003,1562000,-691000,871000,871000,871000,871000,51947000,51947000,4625000,4625000,21528000,3650000,17524000,78100000,291560000,30580000,20711000,323237000,401337000,20035000,1241000,18794000,15146000,8472000,6674000,35273000,198306000,169872000,198360000,233633000,1.35e+08,33638000,167704000,167704000,401337000,871000,3583000,-3776000,7077000,7755000,-2194000,15027000,-680999.999999998,-102000,-775999.999999998,22006000,22006000,22006000,8043000,146000,13617000,0.06932,0.01354,0.00519,0.00217,15.63375,2.21416,1.39313,0.00036,0.48361,0.48216,35.72116,93.11543,7.56066,0.00238,0.03719,-6.44051,-11.61457
"5","2011_Q4",108.607142857143,"Down",68191000,-64295000,-3270000,-4775000,-56250000,3896000,-3183000,-2960000,713000,187000,9e+05,-390000,510000,510000,510000,510000,30714000,30714000,4640000,4640000,27237000,4030000,19447000,62591000,340056000,34308000,24832000,375245000,437836000,20617000,2022000,18595000,15600000,8750000,6850000,36284000,232881000,205679000,232923000,269207000,135415000,34148000,168629000,168629000,437836000,510000,4776000,-933000,-3905000,448000,-3525000,-56982000,36041000,-863000,35301000,-21233000,-21233000,-21233000,8672000,109000,1632000,0.05713,0.00748,0.00302,0.00116,3.2,1.72503,1.59645,0.00025,0.28291,0.28242,37.82713,93.54242,0.90531,0.00127,0.00406,-3.52917,-7.85549
"6","2012_Q1",127.899193548387,"Up",71152000,-66778000,-3641000,-6383000,-56754000,4374000,-3592000,-3451000,782000,-10000,772000,-426000,346000,346000,346000,346000,22283000,22283000,4526000,4526000,32711000,6068000,21205000,59520000,365459000,36277000,29016000,402806000,462326000,21383000,2297000,19086000,18780000,8740000,10040000,40213000,252941000,226766000,252972000,293185000,135581000,34494000,169141000,169141000,462326000,346000,6382000,573000,-5388000,1913000,-3335000,-33665000,24124000,-323000,23321000,-8431000,-8431000,-8431000,10756000,80999.9999999995,2459000,0.06147,0.00486,0.00205,0.00075,7.10694,1.48012,1.73338,0.00018,0.19165,0.19143,39.41134,93.68778,1.36205,0.00082,0.00582,-2.06415,-5.0759
"7","2012_Q2",146.504761904762,"Up",72220000,-68177000,-3777000,-6706000,-57694000,4043000,-3655000,-3518000,388000,2000,390000,-247000,143000,143000,143000,143000,17714000,17714000,4195000,4195000,29460000,5822000,18704000,51369000,413775000,40293000,32811000,455118000,506487000,19180000,1656000,17524000,19289000,9020000,10269000,38513000,297777000,272629000,297799000,336312000,136472000,34637000,170175000,170175000,506487000,143000,6706000,2611000,-1078000,8382000,-2253000,-58765000,46335000,-537000,45814000,-4569000,-4569000,-4569000,10749000,66000,7665000,0.05598,0.00198,0.00084,0.00028,53.6014,1.33381,1.97627,0.00013,0.07864,0.07849,39.71677,93.58629,4.2153,0.00031,0.01638,-1.64183,-4.36508
"8","2012_Q3",181.1,"Up",77026000,-73556000,-3858000,-9050000,-60648000,3470000,-4345000,-4267000,-875000,-7000,-882000,198000,-684000,-684000,-684000,-684000,36837000,36837000,4726000,4726000,24761000,6391000,18370000,66324000,478072000,14567000,-3.72529029846191e-09,493690000,560014000,21954000,2003000,19951000,18535000,7591000,10944000,41247000,305799000,284949000,348425000,389672000,137323000,33953000,170342000,170342000,560014000,-684000,9050000,-6133000,8728000,10961000,-3377000,-22656000,31197000,-444000,30818000,19123000,19123000,19123000,12520000,43384000,17673000,0.04505,-0.00888,-0.00402,-0.00122,-25.83772,1.60797,2.28759,0.07747,-0.37498,-0.37569,42.22658,93.38354,9.68855,-0.00132,0.03402,0.52292,1.88674
"9","2012_Q4",252.362903225806,"Up",78012000,-74973000,-3288000,-9214000,-62471000,3039000,-4504000,-4478000,-1465000,-14000,-1479000,542000,-937000,-937000,-937000,-937000,48298000,48298000,3709000,3709000,23173000,3809000,19364000,75180000,435832000,49323000,35636000,486205000,561385000,27507000,1931000,25576000,16841000,6946000,9895000,45175000,303995000,283447000,346349000,391524000,137779000,33016000,169861000,169861000,561385000,-937000,9214000,287000,9294000,17858000,-3447000,-3471000,-2481000,-491000,-2926000,11461000,11461000,11461000,12253000,43181000,17558000,0.03896,-0.01201,-0.00552,-0.00167,-18.73853,1.66419,2.30497,0.07692,-0.51302,-0.51302,42.71246,93.00083,9.6132,-0.00181,0.03396,-0.41761,-1.68378
"10","2013_Q1",339.345,"Up",83278000,-80175000,-5191000,-10160000,-64824000,3103000,-5282000,-5306000,-2179000,0,-2179000,538000,-1641000,-1641000,-1641000,-1641000,18737000,18737000,5229000,5229000,31033000,4758000,22374000,54999000,527159000,53710000,42917000,581943000,636942000,31423000,6978000,24445000,29965000,8193000,21772000,62154000,364048000,344058000,406194000,468348000,138153000,31375000,168594000,168594000,636942000,-1641000,10160000,2810000,-2135000,9194000,-3206000,-105723000,69462000,-2532000,66968000,-29561000,-29561000,-29561000,13263000,42912000,7384000,0.03726,-0.01971,-0.00973,-0.00258,-4.4997,0.88488,2.77796,0.06737,-0.89781,-0.89781,45.56237,92.23976,4.03987,-0.00285,0.01283,1.82274,7.79085
