"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",2.85825396825397,"Up",13086000,-2474000,10612000,-5732000,-4318000,-1414000,4880000,5000,-276000,281000,4885000,4885000,-39000,4846000,4846000,4846000,4846000,-133356841.583269,-146231900.777313,97543943.0491159,97543943.0491159,199830.215725685,199830.106008301,-35613068.3184274,-3420868.89219715,-12735446.7760572,4879958.82226736,-17615357.0191089,-16156315.6682543,-51769383.9866818,34844631.3114698,-15253555.4369102,50098186.7483799,-84877872.6026704,-86058220.8272121,1180348.22454169,-49463892.770451,9764449.57288537,4620961.42552952,5143488.14735585,14456261.8300572,-35007630.9403939,323596296.456676,-339493182.876442,-864866.626522405,-16761753.0462879,-16761753.0462879,-51769383.9866818,4846000,145000,346000,-5937000,-6e+05,-229000,-229000,-7000,-4446017.14964258,-83000,-912000,-912000,-3000,-915000,5025000,0,-1102000,0.81094,0.37292,0.37032,-0.48068168612543,-0.332714962599944,-0.2274,1.85317111587106,3.21429563146432,0.477303040684944,0.21904,0.21642,0.59148,-0.732839183391514,-0.04981,-0.617828464896085,-37.3765956495582,1259.34068091757,1015.61099144187
"2","2011_Q3",3.8778125,"Up",9476000,-2777000,6699000,-5044000,-3701000,-1343000,1655000,-596000,-286000,-310000,1059000,1059000,-45000,1014000,1014000,1014000,1014000,-51624420.7916345,-58061950.3886567,49635971.5245579,49635971.5245579,127415.107862842,127415.05300415,-1861034.1592137,-1103434.44609857,-2934223.3880286,4879979.41113368,-7814178.50955445,-4037657.83412717,-5898691.99334088,19708815.6557349,-6271777.71845508,25980593.37419,-30790436.3013352,-34621610.413606,3831174.11227084,-10796946.3852255,5187724.78644269,2464980.71276476,2722744.07367793,9409130.91502858,-1387815.47019693,324667648.228338,-328396091.438221,-782433.313261203,-4510876.52314395,-4510876.52314395,-5898691.99334088,1014000,146000,313000,6902000,8375000,-154000,-743000,-253000,5000,-327000,7305000,7305000,5000.00000000001,7310000,1801000,-2.3283064365387e-10,8594000,0.70694,0.17465,0.10701,0.201184156937285,-0.0582124812999718,8.47535000000001,1.53209555793553,3.97984281573216,0.283616520342472,0.04602,0.03882,0.4301,-0.201719591695757,0.39007,-0.0228392324480422,-16.5049378247791,541.233765458785,438.508980720937
"3","2011_Q4",6.28015873015873,"Up",8915000,-2784000,6131000,-5374000,-4066000,-1308000,757000,-158000,-270000,112000,599000,599000,-32000,567000,567000,567000,567000,-6053140.26387816,-8620983.46288557,21518990.508186,21518990.508186,71471.7026209475,71471.6843347168,15537321.9469288,287188.517967143,2943925.5373238,4879993.13704456,-1936059.50318481,3231114.05529094,18768436.0022197,10609271.885245,-1242592.57281836,11851864.4580633,-693478.76711173,-6345870.13786868,5652391.37075695,10029351.2049248,2293574.92881423,1197660.23758825,1095914.69122598,6061710.30500953,16091061.5099344,325281882.742779,-321834697.146074,-769811.104420401,2677374.49228535,2677374.49228535,18768436.0022197,567000,150000,178000,-1308000,-413000,-193000,-240000,722000,733000,1814000,1161000,1161000,-13000,1148000,907000,0,-562000,0.68772,0.08491,0.0636,0.417084718979095,0.0595625062333427,-0.99118,1.31592851931184,4.03950427191072,0.171832173447491,0.02505,0.02558,0.39379,0.108103469434748,-0.02482,0.205913589183986,-4.96178594159303,150.163501819595,122.445276906979
"4","2012_Q1",5.7008064516129,"Down",12588000,-2881000,9707000,-7446000,-5960000,-1486000,2261000,-236000,-398000,162000,2025000,2025000,-80000,1945000,1945000,1945000,1945000,13057000,12424000,8197000,8197000,39000,39000,21293000,1015000,5916000,4880000,1036000,6931000,28224000,6114000,924000,5190000,11857000,5215000,6642000,17999000,880000,609000,271000,4213000,22212000,325593000,-318781000,-8e+05,6012000,6012000,28224000,1945000,157000,1560000,-4242000,-580000,-149000,-164000,33000,33000,-22999.9999999995,-767000,-767000,11000,-756000,2418000,3361000,-1893000,0.77113,0.17962,0.15451,0.32352,0.06891,-0.97326,1.18301,3.69461,0.11908,0.0809,0.07346,0.52361,0.25007,-0.07874,0.1897,-0.18463,-4.00993,-4.28837
"5","2012_Q2",4.89285714285714,"Down",10384000,-2805000,7579000,-6647000,-5217000,-1430000,932000,-385000,-175000,-210000,547000,547000,-31000,516000,516000,516000,516000,15406000,15406000,4674000,4674000,37000,37000,20117000,1344000,6999000,4880000,2119000,8343000,28460000,4791000,1318000,3473000,13305000,6507000,6798000,18096000,745000,489000,256000,3662000,21758000,325755000,-318207000,-846000,6702000,6702000,28460000,516000,161000,251000,3419000,4347000,-511000,94000,30000,30000,-1414000,3027000,3027000,-45000,2982000,1093000,2917000,4032000,0.72987,0.08975,0.04969,0.07699,0.01813,7.81395,1.11168,3.24649,0.10249,0.02137,0.01986,0.43014,0.27762,0.16702,0.04979,0.38904,-11.42635,-13.40021
"6","2012_Q3",4.87095238095238,"Down",10836000,-3251000,7585000,-8028000,-6651000,-1377000,-443000,-266000,-214000,-51999.9999999999,-709000,-709000,-46000,-755000,-755000,-755000,-755000,11540000,11540000,5548000,5548000,34000,34000,17122000,1555000,7135000,4880000,2255000,8690000,25812000,5030000,1058000,3972000,11582000,4624000,6958000,16612000,729000,479000,250000,3229000,19841000,325921000,-319050000,-9e+05,5971000,5971000,25812000,-755000,199000,737000,-3225000,-3044000,-433000,-433000,31000,31000,-386000,-3863000,-3863000,-3000,-3866000,-244000,2500000,-3856000,0.69998,-0.04088,-0.06968,-0.12644,-0.02925,5.10728,1.0307,3.32289,0.09685,-0.031,-0.03353,0.44499,0.24521,-0.15835,-0.08207,-0.41913,37.04918,20.40632
"7","2012_Q4",4.42822580645161,"Down",11508000,-3465000,8043000,-8400000,-6835000,-1565000,-357000,-243000,-199000,-44000,-6e+05,-6e+05,-55000,-655000,-655000,-655000,-655000,11159000,11159000,5823000,5823000,37000,37000,17019000,1912000,7341000,4880000,2461000,9253000,26272000,5399000,1234000,4165000,13132000,6012000,7120000,18531000,630000,369000,261000,2713000,21244000,326245000,-320282000,-935000,5028000,5028000,26272000,-655000,180000,714000,3e+05,539000,-539000,-539000,70000,70000,-347000,-347000,-347000,-34000,-381000,-177000,2083000,-361000,0.69891,-0.03102,-0.05692,-0.13027,-0.02493,0.55115,0.91841,4.22514,0.07929,-0.02687,-0.02687,0.47212,0.20628,-0.01481,-0.08461,-0.04663,51.27684,25.42297
"8","2013_Q1",7.22433333333333,"Up",10636000,-3915000,6721000,-8886000,-7126000,-1760000,-2165000,-505000,-134000,-371000,-2670000,-2670000,-258000,-2928000,-2928000,-2928000,-2928000,9911000,9911000,6535000,6535000,678000,678000,17124000,2295000,8524000,4880000,3644000,10819000,27943000,6809000,1875000,4934000,8562000,6896000,1666000,15371000,6992000,1187000,5805000,8659000,24030000,326766000,-322103000,-750000,3913000,3913000,27943000,-2928000,306000,570000,1211000,-841000,-344000,-346000,186000,186000,-231000,-1418000,-1418000,170000,-1248000,-1859000,1667000,-733999.999999999,0.63191,-0.20355,-0.27529,-0.74827,-0.10478,0.25068,1.11405,6.14107,0.05966,-0.11976,-0.11976,0.43503,0.16005,-0.03002,-0.2329,-0.05838,4.43464,3.80785
"9","2013_Q2",8.1571875,"Up",10723000,-4344000,6379000,-9006000,-7056000,-1950000,-2627000,-184000,-141000,-43000,-2811000,-2811000,-73000,-2884000,-2884000,-2884000,-2884000,10314000,10314000,6254000,6254000,1666000,1666000,18234000,2415000,8123000,4880000,3243000,10538000,28772000,7258000,1520000,5738000,17633000,10292000,7341000,24891000,1133000,863000,270000,2383000,27274000,327169000,-324987000,-684000,1498000,1498000,28772000,-2884000,273000,784000,2651000,824000,-162000,-162000,99000,99000,-317000,345000,345000,58000,403000,-2354000,1250000,208000,0.59489,-0.24499,-0.26895,-1.92523,-0.10024,-0.07212,0.73255,18.20694,0.04345,-0.11764,-0.11764,0.43739,0.0611,0.00848,-0.74311,0.05359,3.85047,3.45032
"10","2013_Q3",11.93984375,"Up",14737000,-4266000,10471000,-9658000,-7516000,-2142000,813000,-43000,-136000,93000,770000,770000,-129000,641000,641000,641000,641000,18839000,18839000,8308000,8308000,1108000,1108000,28255000,2481000,9340000,4880000,4460000,11821000,40076000,6641000,1111000,5530000,24351000,19398000,4953000,30992000,3271000,2982000,289000,6604000,37596000,327614000,-324347000,-787000,2480000,2480000,40076000,641000,298000,864000,7306000,9109000,-461000,-461000,162000,162000,-255000,8393000,8393000,132000,8525000,1111000,3333000,8085000,0.71052,0.05517,0.0435,0.25847,0.01599,12.6131,0.91169,15.15968,0.08317,0.02598,0.02456,0.59737,0.10053,0.32773,0.07056,0.89003,-13.9568,-19.07257
