"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.44253968253968,"Down",130718000,-79300000,51418000,-35954000,-19471000,-14312000,-5159000,-3722000,-12761000,15464000,-8734000,-8492000,-8492000,74000,-316000,6730000,2550000,-82000,2468000,2468000,2468000,-152397000,66371000,66371000,52682000,52682000,107089000,4508000,4508000,230650000,73047000,901025000,359406000,525875000,7458000,8286000,974072000,1204722000,68965000,27739000,41226000,68965000,731422000,18718000,18718000,750140000,819105000,675000,926685000,-536103000,-5640000,385617000,385617000,1204722000,2468000,14652000,6138000,-4822000,18436000,-1564000,-358063.882585693,-358063.882585693,-1564000,-1564000,-1564000,-360117000,-111808000,-94936000,-94936000,-94936000,30116000,731422000,23812000,0.39335,0.1183,-1.16585,-0.3952,-0.1265,-0.15625,3.34445,2.12414,0.60713,-2.95874,-2.95874,2.53785,7.47353,0.4623,-0.13418,0.02097,22.08298,43.0064
"2","2010_Q3",9.35578125,"Down",140455000,-85710000,54745000,-35891000,-19488000,-13809000,-5679000,-3482000,-12921000,18854000,-5943000,-5720000,-5720000,36000,-259000,12911000,12911000,-77000,12834000,12834000,12834000,12834000,93109000,93109000,68410000,68410000,111436000,3412000,3412000,276367000,72580000,887480000,346822000,525875000,7121000,7662000,960060000,1236427000,85974000,42985000,42989000,85974000,731422000,20829000,20829000,752251000,838225000,675000,928398000,-523269000,-7602000,398202000,398202000,1236427000,12834000,14859000,2233000,-1717000,28209000,-1471000,-71354.6275285642,-71354.6275285642,-1471000,-1471000,-1471000,-5.96046447753906e-08,0,26738000,26738000,26738000,33713000,731422000,30602000,0.38977,0.13424,0.0913699999999997,0.03223,0.01038,2.38445,3.21454,2.10502,0.59156,0.249170000000001,0.24917,2.72689,7.71787,0.59413,0.01116,0.0266,18.93373,33.85557
"3","2010_Q4",10.12171875,"Up",160666000,-93304000,67362000,-37592000,-20949000,-15295000,-5654000,-3580000,-13063000,29770000,-6694000,-6540000,-6540000,62000,-216000,23076000,23076000,-78000,22998000,22998000,22998000,22998000,128334000,128334000,73787000,73787000,127358000,3526000,3526000,333005000,71852000,874302000,334099000,525875000,6781000,7547000,946154000,1279159000,103883000,61487000,42396000,103883000,731422000,22987000,22987000,754409000,858292000,675000,930073000,-500271000,-9610000,420867000,420867000,1279159000,22998000,15011000,2345000,-3878000,36476000,-1251000,38000,38000,-1289000,-1289000,-1251000,0,0,35225000,35225000,35225000,44781000,731422000,39730000,0.41927,0.18529,0.14314,0.05464,0.01798,1.72754,3.20558,2.03934,0.5718,0.3419,0.3419,2.38853,6.24675,0.59064,0.01957,0.0338,13.4675,20.25825
"4","2011_Q1",11.7698387096774,"Up",161041000,-97209000,63832000,-37624000,-20645000,-14538000,-6107000,-3916000,-13063000,26208000,-6896000,-6645000,-6645000,63000,-314000,19312000,18683000,-70000,18613000,18613000,18613000,18613000,78583000,78583000,63154000,63154000,127137000,3645000,3645000,272519000,75287000,862077000,321927000,527148000,6483000,6519000,937364000,1209883000,86685000,41809000,44876000,86685000,657229000,24902000,24902000,682131000,768816000,675000,931802000,-481658000,-9752000,441067000,441067000,1209883000,18613000,14918000,2827000,-4998000,31360000,-5269000,38000,38000,-5307000,-5307000,-6918000,-74193000,-74193000,-49751000,-49751000,-49751000,41126000,657229000,30929000,0.39637,0.16274,0.11558,0.0422,0.01538,1.66169,3.14378,1.74308,0.54322,0.27706,0.27706,2.39718,6.55546,0.46039,0.01657,0.02754,14.07008,22.07898
"5","2011_Q2",12.954126984127,"Up",123981000,-76804000,47177000,-36034000,-20422000,-14305000,-6117000,-3885000,-11727000,11143000,-6206000,-6001000,-6001000,36000,-241000,4937000,4937000,-93000,4844000,4844000,4844000,4844000,89997000,89997000,62410000,62410000,143787000,3800000,3800000,299994000,74914000,849410000,310535000,527148000,6148000,5579000,924324000,1224318000,94691000,52212000,42479000,119422000,632498000,23623000,23623000,656121000,775543000,675000,934111000,-476814000,-9197000,448775000,448775000,1224318000,4844000,13663000,2534000,-8370000,12671000,-1566000,3000,3000,-1569000,-1569000,-1566000,-70906208.5745621,309000,11414000,11414000,11414000,24806000,657229000,14963000,0.38052,0.08988,0.03907,0.01079,0.00396,3.08898,2.51205,1.72813,0.53681,0.07218,0.07193,1.8475,6.67734,0.22297,0.00429,0.01325,22.86673,50.90478
"6","2011_Q3",12.8471875,"Down",161363000,-101010000,60353000,-38553000,-23089000,-17317000,-5772000,-3608000,-11856000,21800000,-6238000,-5934000,-5934000,23000,-327000,15562000,15376000,-87000.0000000037,15289000,15289000,15289000,15289000,78746000,78746000,79810000,79810000,139728000,3043000,3043000,301327000,74729000,836719000,299018000,527136000,5809000,4756000,911448000,1212775000,90936000,44736000,46200000,90936000,632498000,26261000,26261000,658759000,749695000,675000,935829000,-461525000,-11899000,463080000,463080000,1212775000,15289000,13860000,2354000,-16190000,15313000,-1834000,1000,1000,-1835000,-1835000,-1834000,-24731000,-24730000,-11251000,-11251000,-11251000,35660000,632498000,17723000,0.37402,0.1351,0.09475,0.03302,0.01261,1.1592,3.31362,1.61893,0.52153,0.22773,0.22623,2.40355,6.88767,0.26399,0.01363,0.0158,15.52866,25.40147
"7","2011_Q4",16.4719047619048,"Up",239324000,-150665000,88659000,-44481000,-28318000,-21028000,-7290000,-4176000,-11987000,44178000,-6072000,-5895000,-5895000,25000,-202000,38106000,37505000,-126000,37379000,37379000,37379000,37379000,138720000,138720000,117593000,117593000,103633000,2576000,2576000,362522000,73663000,824191000,287373000,527136000,5467000,4215000,897854000,1260376000,99543000,41179000,58364000,99543000,632498000,26474000,26474000,658972000,758515000,675000,937574000,-424146000,-12242000,501861000,501861000,1260376000,37379000,14111000,2301000,7240000,61031000,-1057000,0,0,-1057000,-1057000,-1057000,0,0,59974000,59974000,59974000,58289000,632498000,64598000,0.37046,0.18459,0.15619,0.07448,0.02966,1.72819,3.64186,1.5114,0.50183,0.55677,0.5548,3.56481,7.46533,0.96221,0.0322,0.05565,8.4712,11.17701
"8","2012_Q1",18.5766129032258,"Up",267308000,-168843000,98465000,-53216000,-35959000,-25126000,-10833000,-4807000,-12450000,45249000,-6247000,-5888000,-5888000,26000,-385000,39002000,29148000,237983000,267131000,267131000,267131000,267131000,93126000,93126000,109705000,109705000,162124000,18310000,3915000,383265000,84384000,1085144000,299465000,547473000,7306000,3537000,1169528000,1552793000,142516000,81053000,61463000,165390000,5.75e+08,43514000,43514000,618514000,783904000,676000,940585000,-157015000,-15357000,768889000,768889000,1552793000,267131000,14489000,-224958000,24035000,80697000,-7589000,10000,10000,-7599000,-7599000,-91496000,-34624000,-34795000,-45594000,-45594000,-45594000,59738000,597874000,-161799000,0.36836,0.16928,0.99934,0.34742,0.17203,-0.60569,2.31734,1.01953,0.38503,3.9785,3.87774,3.98114,11.44135,-2.40975,0.18942,-0.11473,8.44936,11.1549
"9","2012_Q2",16.9539682539683,"Down",294561000,-183556000,111005000,-51512000,-34232000,-25126000,-9106000,-5055000,-12225000,59493000,-6080000,-5674000,-5674000,19000,-425000,53413000,49104000,-19044000,30060000,30060000,30060000,30060000,91730000,91730000,114027000,114027000,200129000,20038000,4260000,425924000,84422000,1061371000,288520000,547782000,6926000,10359000,1145793000,1571717000,153178000,91097000,62081000,167241000,559588000,44115000,44115000,603703000,770944000,679000,942475000,-126955000,-15426000,800773000,800773000,1571717000,30060000,14218000,25679000,-31373000,38584000,-2138000,23284.1717812456,23284.1717812456,-2138000,-2138000,-4417000,-24260000,-35563000,-1396000,-1396000,-1396000,73711000,573651000,59244000,0.37685,0.20197,0.10205,0.03754,0.01913,1.97086,2.54677,0.96275,0.36498,0.44732,0.43795,4.38332,11.90608,0.8816,0.02119,0.04176,6.53798,8.10047
"10","2012_Q3",19.585873015873,"Up",239137000,-151708000,87429000,-50271000,-32280000,-22122000,-10158000,-5703000,-12288000,37158000,-11460000,-9894000,-9894000,29000,-1595000,25698000,15699000,-6364000,9334999.99999997,9334999.99999997,9335000,9334999.99999997,10307000,10307000,100108000,100108000,227038000,21503000,4503000,358956000,85786000,1047033000,276495000,547968000,6548000,15122000,1132819000,1491775000,147677000,75391000,72286000,167427000,875513000,44229000,44229000,919742000,1087169000,680000,536268000,-117620000,-14722000,404606000,404606000,1491775000,9334999.99999997,14290000,19284000,-21786000,21123000,-3350000,16000,16000,-3366000,-3366000,-3350000,3.2e+08,-99196000,-81423000,-81423000,-81423000,51448000,895263000,32676000,0.3656,0.15538,0.0390400000000001,0.02307,0.00626,3.50037,2.14396,2.68698,0.60013,0.13869,0.13615,3.55281,6.00105,0.48546,0.30777,0.02431,17.20098,23.81603
