"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.5585714285714,"Up",44459000,-30851000,-2610000,-14717000,-13524000,13608000,-8613000,-8697000,9309284.05068964,4995000,-733828.848273801,4995000,4995000,5006000,-103000,4903000,4903000,68322.3083864313,68322.3083864313,68322.3161417573,1132077996.9433,2932943.75943115,56386110.3935427,56386110.3935427,1191397051.09628,1191465373.41242,-18149169.7591886,-18149169.7591886,13385211.0716469,13385211.0716469,837856108.20588,-86358495.4982035,-86358495.4982035,751497612.707677,588107771.795672,-150970533.051398,437137238.744275,2830521.96046555,439967760.70474,1191465373.41242,5006000,14717000,448000,-6675000,13496000,-28505000,-1277000,-29782000,-14190000,30493000,323000,323000,-1253000,15373000,-913000,-913000,-913000,28325000,0,0.30608,0.11028,0.0209303855957037,0.00758037712471363,4.63405125562014e-05,1.70719804932001,0.634872395811835,0.18339,0.18299,1.66295,16.37176313217,0.53076,0.0205518807954517,2.89415,25.0653884034037,43.9999614580047
"2","2010_Q3",23.72,"Down",43588000,-30295000,-2544000,-14706000,-13045000,13293000,-8723000,-8806000,4739642.02534482,4570000,-292609.616091267,4570000,4570000,4578000,-101000,4477000,4477000,141000,141000,141000,1123770000,2747000,61461000,61461000,1187978000,1188119000,20384000,20384000,14359000,14359000,627962000,130595000,130595000,758557000,590258000,-163299000,426959000,2603000,429562000,1188119000,4578000,14706000,394000,5039000,24717000,-10038000,-2184000,-12222000,-13912000,1278000,168000,168000,-37000,-12503000,-8000,-8000,-8000,27999000,723814000,0.30497,0.10271,0.01042,0.00377,0.00022,1.76588,0.60921,0.16738,0.16696,1.62958,15.96228,0.52011,0.01594,3.10744,25.84639,54.44016
"3","2010_Q4",26.98578125,"Up",43138000,-30273000,-2449000,-14648000,-13176000,12865000,-8676000,-8760000,1994547.34178161,4189000,-72000,4117000,4117000,4126000,-103000,4023000,4023000,154000,154000,154000,1120082000,2706000,62553000,62553000,1185341000,1185495000,28153000,28153000,14676000,14676000,630971000,134219000,134219000,765190000,590945000,-173227000,417718000,2587000,420305000,1185495000,4126000,14648000,518000,6310000,25602000,-7525000,-1987000,-9512000,-13916000,-1422000,150000,150000,-889000,-16077000,13000,13000,13000,27513000,722361000,0.29823,0.09326,0.00957,0.00339,0.00024,1.82056,0.60933,0.15035,0.14996,1.61215,15.61096,0.52007,0.0157,3.45911,26.24966,56.13735
"4","2011_Q1",28.7729032258065,"Up",40784000,-27326000,-2657000,-13735000,-10934000,13458000,-8535000,-8908000,624000,4923000,0,4923000,4923000,5045000,-123000,4922000,4922000,137000,137000,137000,1117990000,2740000,62409000,62409000,1183139000,1183276000,20969000,20969000,15083000,15083000,680476000,91294000,91294000,771770000,591109000,-182253000,408856000,2650000,411506000,1183276000,5045000,14279000,449000,-6730000,13043000,-10703000,-1282000,-11985000,-14276000,13388000,66000,66000,-253000,-1075000,-17000,-17000,-17000,27737000,735718000,0.32998,0.12068,0.01196,0.00416,2e-04,1.87548,0.62176,0.18388,0.18325,1.52367,15.27463,0.53334,0.01673,2.90045,26.51985,54.65753
"5","2011_Q2",30.0177777777778,"Up",43278000,-29676000,-2969000,-14247000,-12460000,13602000,-8700000,-8878000,178000,4902000,0,4902000,4902000,4902000,-110000,4792000,4792000,108000,108000,108000,1114642000,2776000,63349000,63349000,1180767000,1180875000,14690000,14690000,16045000,16045000,633859000,144222000,144222000,778081000,591813000,-191690000,400123000,2671000,402794000,1180875000,4902000,14247000,735000,-5827000,14057000,-9074000,-1751000,-10825000,-13972000,11659000,6000,6000,-954000,-3261000,-29000,-29000,-29000,27849000,747346000,0.31429,0.11073,0.0119,0.00406,0.00017,1.93171,0.63287,0.17875,0.17832,1.61431,14.92495,0.52117,0.01631,2.91569,26.83177,54.93589
"6","2011_Q3",28.15921875,"Down",43063000,-29024000,-2607000,-13957000,-12460000,14039000,-8362000,-8542000,180000,5677000,9.09494701772928e-13,5677000,5677000,5615000,-123000,5492000,5492000,1e+05,1e+05,1e+05,1115255000,2743000,61599000,61599000,1179597000,1179697000,20781000,20781000,14943000,14943000,675686000,108745000,108745000,784431000,592827000,-200270000,392557000,2709000,395266000,1179697000,5615000,14106000,556000,5952000,26229000,-12708000,-1181000,-13889000,-13950000,1393000,96999.9999999998,96999.9999999998,112000,-12348000,-7999.99999999999,-7999.99999999999,-7999.99999999999,28145000,748707000,0.32601,0.12753,0.01389,0.00466,0.00015,1.98456,0.63466,0.20477,0.20419,1.60563,14.63673,0.52013,0.017,2.54006,26.59822,53.32338
"7","2011_Q4",28.788253968254,"Up",43839000,-29470000,-2551000,-14348000,-12571000,14369000,-8500000,-8680000,180000,5869000,-55000,5814000,5814000,5791000,-121000,5670000,5670000,447000,447000,447000,1146703000,2740000,62303000,62303000,1211746000,1212193000,30404000,30404000,15392000,15392000,679904000,144298000,144298000,824202000,593926000,-208680000,385246000,2745000,387991000,1212193000,5791000,14437000,488000,7924000,28640000,-44739000,231000,-44508000,-13958000,29730000,480000,480000,-37000,16215000,347000,347000,347000,28806000,778406000,0.32777,0.12934,0.01461,0.00468,0.00066,2.12428,0.64215,0.21126,0.21067,1.63341,14.35396,0.52006,0.01683,2.46173,27.00684,54.14149
"8","2012_Q1",33.9951612903226,"Up",42970000,-28171000,-2564000,-14187000,-11420000,14799000,-8430000,-8609000,179000,6369000,-197000,6172000,6172000,6526000,-121000,6405000,6405000,174000,174000,174000,1210788000,2757000,72797000,72797000,1286342000,1286516000,31205000,31205000,17016000,17016000,676391000,204516000,204516000,880907000,619389000,-216560000,402829000,2780000,405609000,1286516000,6526000,14661000,442000,-4008000,17621000,-83267000,1656000,-81611000,-14162000,54312000,24815000,24815000,-1248000,63717000,-273000,-273000,-273000,29460000,832686000,0.3444,0.14906,0.01579,0.00498,0.00026,2.17181,0.64724,0.23617,0.23548,1.58444,14.85358,0.5222,0.01661,2.21109,28.25906,56.25461
"9","2012_Q2",35.5825396825397,"Up",46397000,-31847000,-3116000,-15734000,-12997000,14550000,-9270000,-9441000,171000,5280000,-19000,5261000,5261000,5522000,-119000,5403000,5403000,205000,205000,205000,1217289000,2846000,72301000,72301000,1292436000,1292641000,19885000,19885000,16926000,16926000,709204000,168917000,168917000,878121000,637638000,-225932000,411706000,2814000,414520000,1292641000,5522000,15946000,1034000,-10082000,12420000,-19961000,-1778000,-21739000,-14908000,8665000,16284000,16284000,-691000,9350000,31000,31000,31000,30496000,841310000,0.3136,0.11645,0.01303,0.00418,0.00029,2.1184,0.65085,0.19543,0.19493,1.67819,14.89153,0.53923,0.01617,2.75921,27.58083,57.8079
"10","2012_Q3",38.4201587301587,"Up",46197000,-31312000,-2536000,-15441000,-13335000,14885000,-8805000,-8977000,172000,6080000,1.45519152283669e-11,6080000,6080000,8083000,-111000,7972000,7972000,118000,118000,118000,1217344000,2845000,75923000,75923000,1296112000,1296230000,24295000,24295000,15917000,15917000,664122000,170945000,170945000,835067000,691296000,-232923000,458373000,2790000,461163000,1296230000,8083000,15611000,-1188000,6635000,29141000,-17607000,1711000,-15896000,-14809000,-46437000,48026000,48026000,-112000,-13332000,-87000.0000000001,-87000.0000000001,-87000.0000000001,30496000,794855000,0.32221,0.17257,0.01729,0.00615,0.00018,1.81078,0.61321,0.28223,0.28129,1.63552,16.22789,0.52429,0.01814,1.85763,26.06037,53.3918
