"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",15.7655555555556,"Up",3727000,-12832000,-2205000,-10627000,-9105000,158000,158000,158000,-8947000,-8947000,-8947000,-8947000,-8947000,-8947000,77232000,33053000,1815000,1815000,79560000,2373000,3283000,3283000,5656000,85216000,6358000,1862000,4496000,25068000,24870000,198000,31426000,30995000,189000,30995000,62421000,4533000,-76179000,22795000,22795000,85216000,-8947000,229000,310000,-1281000,-9689000,143000,143000,143000,-44109000,260000,260000,-1664000,-55462000,-55462000,-55462000,-8876000,0,-2.44298,-2.40059,-0.3925,-0.10499,2.53166,2.73836,0,-6.33502,-6.33502,2.63894,-50.7361,-0.16633,8.70122,8.48237
"2","2017_Q4",17.4420634920635,"Up",6267000,-14317000,-2905000,-11412000,-8050000,318000,318000,318000,-7732000,-7732000,-7732000,-7732000,-7732000,-7732000,133378000,50756000,2616000,2616000,136725000,2325000,384000,384000,6191000,142916000,7822000,3215000,4607000,16691000,16476000,215000,24513000,34761000,128000,34761000,59274000,167568000,-83911000,83642000,83642000,142916000,-7732000,235000,211000,-3798000,-11084000,-105000,-105000,-105000,-41854000,68212000,68212000,70641000,17703000,17703000,17703000,-7815000,0,-1.28451,-1.23376,-0.09244,-0.0541,5.57765,0.70866,0,-0.347629999999999,-0.347629999999999,0.281760000000001,3.76052,-0.0653,17.06692,16.5687
"3","2018_Q1",15.7949180327869,"Down",3261000,-17611000,-3056000,-14555000,-14350000,383000,383000,383000,-13967000,-13967000,-13967000,-13967000,-13967000,-13967000,114734000,26591000,2025000,2025000,117543000,2319000,371000,371000,13172000,130715000,10014000,3070000,6944000,21867000,21635000,232000,31881000,28840000,67000,28840000,60721000,168021000,-97878000,69994000,69994000,130715000,-13967000,255000,213000,2503000,-10996000,-710000,-710000,-710000,-13190000,21000,21000,21000,-24165000,-24165000,-24165000,-14095000,0,-4.40049,-4.28304,-0.19955,-0.10685,3.68693,0.86752,0,-0.60468,-0.60468,0.14118,3.0303,-0.14132,8.14005,7.9954
"4","2018_Q2",17.55640625,"Up",3064000,-15827000,-3571000,-12256000,-12763000,360000,360000,360000,-12403000,-12403000,-12403000,-12403000,-12403000,-12403000,107959000,32354000,3111000,3111000,111358000,2593000,1804000,1804000,4397000,115755000,8434000,2522000,5912000,20903000,20903000,302305.21319884,29337000,29871000,312000,29871000,59208000,169021000,-112312000,56547000,56547000,115755000,-12403000,258000,621000,-5866000,-17390000,-267000,-267000,-267000,22898000,254999.999999993,254999.999999993,255000,5763000,5763000,5763000,-12505000,9.09494701772928e-13,-4.16547,-4.04798,-0.21934,-0.10715,3.79582,1.04706,-6.7762635780344e-21,-0.5436,-0.5436,0.13429,2.47834,-0.14352,8.63327,8.45875
"5","2018_Q3",13.4033333333333,"Down",4191000,-16893000,-4230000,-12663000,-12702000,349000,349000,349000,-12353000,-12353000,-12353000,-12353000,-12353000,-12353000,96509000,51142000,3995000,3995000,102185000,2753000,1970000,1970000,4723000,106908000,12652000,4158000,8494000,19224000,19224000,300008.688664734,31876000,29339000,355000,29339000,61215000,170449000,-124666000,45693000,45693000,106908000,-12353000,307000,910000,-312000,-11448000,-553000,-553000,-553000,29847000,470000,470000,389000,18788000,18788000,18788000,-12395000,0,-3.03078,-2.94751,-0.27035,-0.11555,3.2057,1.3397,0,-0.53786,-0.53786,0.18248,1.98949,-0.16464,7.78612,7.59794
"6","2018_Q4",6.3284126984127,"Down",2150000,-19559000,-4380000,-15179000,-17409000,340000,340000,340000,-17069000,-17069000,-17069000,-17069000,-17069000,-17069000,86059000,61604000,3404000,3404000,90049000,2525000,1804000,1804000,4329000,94378000,17241000,6729000,10512000,14199000,14151000,48000,31440000,33084000,328000,33084000,64524000,171630000,-141734000,29854000,29854000,94378000,-17069000,342000,1034000,5219000,-10474000,-273000,-273000,-273000,20727000,128000,128000,209000.000000002,10462000,10462000,10462000,-17067000,0,-8.09721,-7.93907,-0.57175,-0.18086,2.86415,2.16132,1.0842021724855e-19,-0.73717,-0.73717,0.09285,1.28932,-0.2712,5.04242,4.94336
"7","2019_Q1",5.03245901639344,"Down",1189000,-23970000,-4153000,-19817000,-22781000,349000,349000,349000,-22432000,-22432000,-22432000,-22432000,-22432000,-22432000,70131000,59634000,3715000,3715000,74305000,2694000,1503000,1503000,4197000,78502000,23102000,10727000,12375000,46323000,46196000,127000,69425000,282000,282000,282000,69707000,172969000,-164166000,8795000,8795000,78502000,-22432000,350000,1153000,5025000,-15904000,-277000,-277000,-277000,13723000,211000,65000,211000,-1970000,-1970000,-1970000,-22431000,0,-19.1598,-18.86627,-2.55054,-0.28575,1.07029,7.92575,0,-0.96729,-0.96729,0.05127,0.37925,-2.4713,3.12652,3.07849
"8","2019_Q2",4.71190476190476,"Down",41035000,-19586000,-4443000,-15143000,21449000,452000,452000,452000,21901000,21901000,21901000,21901000,21901000,21901000,137279000,137279000,3326000,3326000,141073000,2868000,5447000,5447000,8315000,149388000,14903000,6965000,7938000,7691999.99999999,5603999.99999999,2088000,22595000,2720999.99999999,2721000,2721000,25316000,266337000,-142265000,124072000,124072000,149388000,21901000,337000,1194000,-48119000,-24687000,-372000,-372000,-372000,10128000,92204000,92204000,92204000,77645000,77645000,77645000,21786000,0,0.522699999999993,0.533719999999999,0.176520000000001,0.1466,6.24355,0.20404,1.73472347597681e-18,0.72281,0.69612,1.35431,4.09483,0.17273,-6.30125,-6.40025
"9","2019_Q3",2.908125,"Down",202000,-17958000,-4192000,-13766000,-17756000,685000,685000,725000,-17071000,-17071000,-17071000,-17071000,-17071000,-17071000,128177000,116206000,3151000,3151000,131616000,2755000,5011000,5011000,7766000,139382000,16278000,6517000,9761000,7639000,5481000,2158000,23917000,2146000,2146000,6951000,30868000,267839000,-159336000,108514000,108514000,139382000,-17071000,316000,1129000,1429000,-14197000,-206000,-206000,-206000,-12153000,341000,58000,5277000,-21073000,-21073000,-21073000,-17440000,4805000,-87.90099,-84.5099,-0.15732,-0.12248,5.50303,0.28446,0.03447,-0.3571,-0.34905,0.00423,2.26996,-0.14785,7.07408,6.94819
"10","2019_Q4",2.924375,"Up",844000,-18138000,-4437000,-13701000,-17294000,502000,502000,608000,-16792000,-16792000,-16792000,-16792000,-16792000,-16792000,112002000,58196000,2397000,2397000,114697000,2446000,4512000,4512000,6958000,121655000,15341000,7304000,8037000,6876000,4646000,2230000,22384000,1556000,1556000,6226000,28610000,269145000,-176128000,93045000,93045000,121655000,-16792000,310000,1265000,-1066999.99999999,-16284000,-27000,-27000,-27000,-41768000,21000,21000.0000000149,-8000,-58060000,-58060000,-58060000,-16984000,4837000,-20.49052,-19.89573,-0.18047,-0.13803,5.12406,0.30749,0.03976,-0.35034,-0.36772,0.0176099999999997,1.94126,-0.16887,6.30976,6.19666
