"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.39064516129032,"Up",102088000,-63293000,38795000,-8586000,-5662000,-2924000,30209000,-7700000,-7711000,22509000,-226000,22283000,-4998000,17285000,17285000,17285000,17285000,3768000,3768000,70897000,70897000,6831000,5370000,81496000,62729000,756583000,38168000,718415000,819529000,901025000,11746000,4209000,7537000,13476000,13476000,190248000,485122000,54988000,23704000,31284000,540110000,730358000,593024000,-415080000,170667000,170667000,901025000,17285000,2924000,10037000,-1686000,28560000,-889000,-2239000,-26007000,9000,15000,-2000,-2.6e+07,321000,321000,321000,33133000,650148000,35556000,0.38002,0.29591,0.16931,0.10128,0.01918,2.05704,0.42837,4.27943,0.72156,0.4835,0.45555,2.85565,4.77396,0.99459,0.01974,0.0406,19.50865,21.39693
"2","2011_Q2",8.00650793650794,"Down",82514000,-61920000,20594000,-11513000,-8621000,-2892000,9081000,-5972000,-5972000,3109000,-1806000,1303000,-282000,1020999.99999999,1020999.99999999,1020999.99999999,1020999.99999999,-16294763.0700503,-16294763.0700503,113413135.602192,113413135.602192,4240489.76068215,2072118.77717925,101358862.292824,62049343.3380888,772712158.256609,38763483.2535456,733948675.11658,834869684.025741,936228546.318565,19000454.9604958,-12271009.0170767,31271463.9775725,12166542.0635919,12166542.0635919,87084655.453928,612302678.217579,34341688.2846166,20079377.1561224,14262311.1284942,646644366.502196,733729021.956123,594245614.681141,-388118239.854778,202499524.362442,202499524.362442,936228546.318565,1020999.99999999,2892000,5134000.00000001,12199000,21246000,-1837000,-9487000,-12007000,-1681000,57000,-509000,-14197000,-2438000,-2438000,-2438000,11973000,0,22617000,0.24958,0.11005,0.0123699999999999,0.181339491508325,0.0450695498161582,22.15181,3.43121437764529,3.69670588609589,0.715575268079373,0.0283199999999996,0.0269599999999998,2.28869,5.44839607099678,0.62733,0.0463740192860321,0.0139545125540232,-48.0073335456326,-72.9482132333793
"3","2011_Q3",5.7003125,"Down",104650000,-71248000,33402000,-9338000,-6466000,-2872000,24064000,-5249000,-5254000,18815000,-49000,18766000,29968000,48734000,48734000,48734000,48734000,-18091284.0934004,-18091284.0934004,115946514.136256,115946514.136256,4563719.68090954,1810091.70290567,102418949.723765,61128457.7841184,779961211.008812,38987711.0047274,740973500.15544,841132645.367655,943551595.09142,19726273.2806611,-14565612.0227689,34291885.30343,11559922.7514559,11559922.7514559,35834407.2719039,652479304.290105,29926917.7128221,17459302.8748299,12467614.8379922,682406222.002928,718240629.274831,595419819.574855,-368667653.139703,225310965.816589,225310965.816589,943551595.09142,48734000,2872000,-25679000,-9749000,16178000,-1315000,-1315000,-13006000,-1229000,9000,-1000,-14236000,627000,627000,627000,26936000,0,-14096000,0.31918,0.22995,0.46569,0.177967988677767,0.0466387330882109,-0.28924,4.29648317019373,3.23770251479451,0.697793690772498,1.34058,1.29124,2.87872,6.02116409466237,-0.38775,0.0479946923813761,0.0103413500720309,-52.8089367275101,-79.7599563111724
"4","2011_Q4",4.97222222222222,"Down",100429000,-69771000,30658000,-8322000,-5551000,-2771000,22336000,-5240000,-5251000,17096000,-73000.0000000002,17023000,-8792000,8230999.99999999,8231000,8231000,8231000,-8993913.07005027,-8993913.07005027,95494135.6021919,95494135.6021919,6494839.76068215,3329518.77717925,92995062.2928238,59917593.3380888,781249158.256609,38982833.2535456,742266325.11658,841177284.025741,934172346.318565,16753704.9604958,-8424159.01707667,25177863.9775725,12212842.0635919,12212842.0635919,22072205.4539279,637308278.217579,34430438.2846166,15423077.1561224,19007361.1284942,671738716.502196,693810921.956124,596567364.681141,-355852739.854778,240361424.362441,240361424.362441,934172346.318565,8231000,2771000,11917000,1355000,24274000,-1811000,-1811000,-19507000,-43000,3000,-1000.00000000093,-19551000,2912000,2912000,2912000,25107000,0,33443000,0.30527,0.22241,0.08196,0.124057491508325,0.0332385498161581,4.06305,3.7692978776453,2.90299538609589,0.675282768079373,0.22633,0.21971,2.76154,6.47220507099678,0.9196,0.0342180192860321,0.0198425125540232,-20.9664640456326,-35.3959837333794
"5","2012_Q1",6.11338709677419,"Up",95134000,-61256000,33878000,-8712000,-5971000,-2741000,25166000,-8426000,-8442000,16740000,-1766000,14974000,-1906000,13068000,13068000,13068000,13068000,3625000,3625000,69053000,69053000,8728000,5376000,81406000,58368000,779495000,38891000,740604000,837863000,919269000,12913000,404000,12509000,14682000,14682000,31373000,598446000,40539000,13550000,26989000,638985000,670358000,597709000,-348798000,248911000,248911000,919269000,13068000,2741000,7148000,870000,23827000,-1671000,-1671000,-3429000,-33000,2000,-19938000,-23400000,-1244000,-1244000,-1244000,27907000,602224000,29012000,0.35611,0.26453,0.13736,0.0524999999999998,0.01422,2.22008,2.59478,2.69316,0.65511,0.35603,0.34402,2.59188,6.78146,0.79042,0.01466,0.03254,21.44978,23.7860200000001
"6","2012_Q2",4.73444444444444,"Down",79966000,-59673000,20293000,-9387000,-6628000,-2759000,10906000,-14060000,-14073000,-3154000,771999.999999998,-2382000,1333000,-1049000,-1049000,-1049000,-1049000,11061000,11061000,57072000,57072000,9869000,6502000,78002000,56374000,778138000,38891000,739247000,834512000,912514000,11966000,4942000,7024000,19130000,19130000,47982000,575390000,37888000,10560000,27328000,613278000,661260000,598859000,-347605000,251254000,251254000,912514000,-1049000,2759000,858000,15998000,18566000,-666000,-666000.000000001,-10007000,-247000,54000,-210000.000000004,-10464000,7436000,7436000,7436000,13665000,592276000,27664000,0.25377,0.13638,-0.01312,-0.00418,-0.00115,-26.37178,1.62565,2.63184,0.64906,-0.02875,-0.0287500000000001,2.19187,6.88688,0.75827,-0.00119,0.03139,42.53311,53.29314
"7","2012_Q3",5.40380952380952,"Up",104571000,-67728000,36843000,-8939000,-6202000,-2737000,27904000,-13463000,-13496000,14441000,-21978000,-7537000,4330000,-3207000,-3207000,-3207000,-3207000,6741000,6741000,74477000,74477000,8665000,5569000,89883000,53921000,779785000,39103000,740682000,833706000,923589000,16184000,177000,16007000,26350000,26350000,58272000,595092000,20995000,6548000,14447000,616087000,674359000,600042000,-350812000,249230000,249230000,923589000,-3207000,2737000,19853000,-16253000,3130000,-589000,-25614000,18493000,-138000,35000,-191000,18164000,-4320000,-4320000,-4320000,30641000,610830000,9469000,0.35233,0.26684,-0.03067,-0.01287,-0.00347,-2.9526,1.54247,2.70577,0.66137,-0.08742,-0.08742,2.85043,6.7936,0.25811,-0.00364,0.01075,19.71505,21.64883
"8","2012_Q4",5.67532258064516,"Up",102295000,-63719000,38576000,-9075000,-6329000,-2746000,29501000,-13250000,-13285000,16251000,-165999.999999996,16085000,-7908000,8177000,8177000,8177000,8177000,6603000,6603000,78991000,78991000,7550000,4461000,93144000,52127000,778988000,39103000,739885000,831115000,924259000,14779000,183000,14596000,34579000,34579000,62947000,573296000,29368000,14424000,14944000,602664000,665611000,601283000,-342635000,258648000,258648000,924259000,8177000,2746000,10519000,3416000,24858000,-857000,-1157000,-24007000,-25000,31000,191000,-23841000,-140000,-140000,-140000,32247000,586885000,42714000,0.37711,0.28839,0.07994,0.03161,0.00885,5.22368,1.47972,2.57342,0.63498,0.22259,0.21777,2.78467,7.04091,1.16276,0.00935,0.04882,17.99491,19.66991
"9","2013_Q1",6.49083333333333,"Up",102092000,-61814000,40278000,-9312000,-6715000,-2597000,30966000,-12555000,-12592000,18411000,-835000,17576000,-10229000,7347000,7347000,7347000,7347000,8923000,8923000,70955000,70955000,10918000,3649000,90796000,51677000,777885000,39103000,738782000,829562000,920358000,14605000,4e+05,14205000,24863000,24863000,49276000,560133000,41455000,26226000,15229000,601588000,650864000,602231000,-332737000,269494000,269494000,920358000,7347000,2597000,15141000,-1937000,23148000,-1922000,-1922000,-17008000,-822000,15000,-1074000,-18904000,2322000,2322000,2322000,33563000,569941000,39933000,0.39453,0.30331,0.07196,0.02726,0.00798,5.43528,1.8426,2.41513,0.61926,0.19477,0.18131,2.70644,7.14424,1.05862,0.00834,0.04533,16.71537,18.11723
"10","2013_Q2",7.4625,"Up",78360000,-58015000,20345000,-8551000,-6227000,-2324000,11794000,-11443000,-11474000,351000,-22000,329000,-580000,-251000,-251000.000000002,-251000.000000002,-251000,6494000,6494000,59899000,59899000,8692000,6201000,75085000,50555000,776379000,39103000,737276000,826934000,902019000,14398000,699000,13699000,30847000,30847000,73226000,521240000,42425000,26778000,15647000,563665000,636891000,602893000,-337765000,265128000,265128000,902019000,-251000.000000002,2324000,3247000,14449000,19769000,-932000,-931999.999999999,-20786000,-480000,130000,0,-21266000,-2429000,-2429000,-2429000,14118000,549221000,28215000,0.25964,0.15051,-0.00319999999999999,-0.00095,-0.00028,-112.41036,1.02539,2.4022,0.60888,-0.00675999999999999,-0.00675999999999999,2.10997,7.139,0.75973,-0.00029,0.03293,38.4422,46.01721
