"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_share_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",15.4804761904762,"Down",319929000,-125750000,194179000,-157955000,-21802000,-95678000,-40475000,36224000,-41606000,-41606000,-5382000,-133047000,-138429000,47422000,-91007000,-38966000,-38966000,-38966000,61266000,61266000,215329000,215329000,69618000,270002000,44498000,100949000,616215000,7986541000,13681883000,-5695342000,461013000,793544372.840373,781355539.387442,219454000,8447554000,9063769000,975106000,270739000,704367000,11851000,992849000,2657294000,1507287000,-333211345.87777,850397000,4164581000,5157430000,2304000,2467996000,2467996000,1682545000,-246506000,3906339000,3906339000,9063769000,-91007000,95678000,75510000,75510000,82893000,211795000,-94054000,9868000,9868000,-103922000,-103922000,-87642000,-100196000,494000,494000,-6528000,-116686000,7467000,7467000,7467000,131902000,2669145000,73319000,0.60694,0.11323,-0.1218,-0.00998,-0.0043,-1.88161,0.62065,1.32027,0.29449,-0.16955,-0.16955,1.3921,16.98757,0.31903,-0.00482,0.00907,19.77134,71.99313
"2","2017_Q3",15.405873015873,"Down",371067000,-160412000,210655000,-124751000,-21754000,-91640000,-11357000,85904000,-40683000,-40683000,45221000,134545000,179766000,-57958000,121808000,169510000,169510000,169510000,299135000,299135000,215650000,215650000,74965000,257344000,64177000,77609000,847094000,7794218000,13619819000,-5825601000,383880000,794670223.704224,494296723.632465,195231000,8178098000,9025192000,808636000,265125000,543511000,11385000,825713000,2630108000,1481824000,17084000,812534000,4111932000,4937645000,2304000,2476552000,2476552000,1852048000,-243357000,4087547000,4087547000,9025192000,121808000,91640000,-221653000,-221653000,17463000,88677000,172259000,318299000,318299000,-146040000,-146040000,184167000,-22962000,229000.000000007,229000,-863000,-35075000,237769000,237769000,237769000,177544000,2641493000,425224000,0.5677,0.23151,0.45682,0.04147,0.01878,2.50855,1.02589,1.20797,0.29268,0.73681,0.72245,1.61292,17.75731,1.84832,0.02064,0.05179,13.19311,27.26716
"3","2017_Q4",15.5673015873016,"Up",287184000,-144062000,143122000,-159276000,-21469000,-102011000,-35796000,-16154000,-38835000,-38835000,-54989000,43723000,-11266000,-10530000,-21796000,-26440000,-26440000,-26440000,285708000,285708000,193778000,193778000,63182000,262615000,79437000,77746000,805283000,7798962000,13738388000,-5939426000,375323000,795514611.852112,302024361.816233,185169000,8174285000,8979568000,843868000,303196000,540672000,10971000,860192000,2532312000,1515829000,44720000,821544000,4048141000,4908333000,2305000,2486071000,2486071000,1825547000,-242688000,4071235000,4071235000,8979568000,-21796000,102011000,-35340000,-35340000,58546000,181378000,-68710000,80790000,80790000,-149500000,-149500000,-84647000,-96594000,136000,136000,747000,-107108000,-10377000,-10377000,-10377000,85857000,2543283000,86223000,0.49836,-0.05625,-0.09207,-0.00649,-0.00294,-3.26108,0.93617,1.20561,0.28323,-0.11492,-0.11499,1.24818,17.68467,0.37475,-0.00325,0.01061,26.29459,-139.75331
"4","2018_Q1",14.9344262295082,"Down",476951000,-118914000,358037000,-232056000,-28186000,-122707000,-81163000,125981000,-40319000,-40319000,85662000,2848000,88510000.0000001,197524000,286034000,276643000,276643000,276643000,509167000,509167000,156817000,156817000,10742000,175778000,95347000,48908000,852504000,5789753000,9316495000,-3526742000,289656000,796077537.284037,185793453.938744,91735000,6079409000,6931913000,434568000,211161000,223407000,7111000,441679000,2207373000,382962000,44373000,338589000,2590335000,3032014000,2241000,2450323000,2450323000,1455811000,-8475999.99999997,3899899000,3899899000,6931913000,286034000,122707000,-279736000,-279736000,28310000,166837000,-228156000,5228000,5228000,-233384000,-233384000,-233799000,-28001000,-103059000,150000,424602000,294971000,228009000,228009000,228009000,248688000,2214484000,-148682000,0.75068,0.26414,0.58002,0.07094,0.03991,-0.53745,1.93014,0.77746,0.31946,1.22745,1.2058,2.1162,17.29363,-0.65969,0.04258,-0.02288,6.85725,13.5363
"5","2018_Q2",16.04,"Up",495729000,-125451000,370278000,-191857000,-31349000,-124667000,-35841000,178421000,-38551000,-38551000,139870000,619370000,759240000,-213694000,545546000,545546000,527563000,527563000,82490000,82490000,157605000,157605000,10676000,156173000,92651000,43344000,406944000,6621816000,9103351000,-2481535000,1093469000,796359000,126859000,149573000,7715285000,8122229000,430780000,193901000,236879000,6891000,437671000,2229776000,386876000,258220000,128656000,2616652000,3054323000,2190000,2409475000,2409475000,1940882000,715359000,5067906000,5067906000,8122229000,545546000,124667000,-451579000,-451579000,40706000,259340000,-130722000,101763000,101763000,-232485000,-232485000,-426344000,-142961000,-79823000,1056000,-36889000,-259673000,-426677000,-426677000,-426677000,303088000,2236667000,426766000,0.74694,0.35992,1.06422,0.1041,0.06495,0.80894,0.92979,0.60268,0.27538,2.37716,2.35327,2.23372,22.82572,1.92297,0.06859,0.05549,7.10743,12.07356
"6","2018_Q3",15.8660317460317,"Down",402124000,-104804000,297320000,-189807000,-34909000,-119087000,-35811000,107513000,-38438000,-38438000,69075000,-38782999.9999999,30292000,31102000,61394000,61394000,42014000,42014000,54846000,54846000,132016000,132016000,10499000,121785000,56431000,17421000,319146000,6772464000,9172019000,-2399555000,1116148000,796359000,106476000,190966000,7888612000,8207758000,414268000,186397000,227871000,6915000,474991000,2347626000,346218000,235407000,110811000,2693844000,3168835000,2138000,2372650000,2372650000,1940507000,723628000,5038923000,5038923000,8207758000,61394000.0000001,119087000,12124000,12123999.9999999,-1015000,191590000,-212517000,51657000,51657000,-264174000,-264174000,-212517000,93294000,-85334000,507000,-14676999.9999999,-6717000.00000012,-27644000.0000001,-27644000.0000001,-27644000.0000001,226600000,2354541000,-18033999.9999999,0.73937,0.26736,0.10448,0.00834,0.00512,-0.42924,0.6719,0.62887,0.28687,0.19455,0.19175,1.86204,23.32291,-0.0835100000000006,0.00543,-0.00233,10.1487,21.38992
"7","2018_Q4",13.7868253968254,"Down",397126000,-88431000,308695000,-188474000,-32435000,-119584000,-36455000,120221000,-35723000,-35723000,84498000,118935000,203433000,-56677000,146756000,146756000,125029000,125029000,42672000,42672000,147724000,147724000,9726000,115213000,65092000,10097000,315335000,6768612000,9276800000,-2508188000,1125089000,796359000,104838000,204404000,7893701000,8209036000,526788000,263033000,263755000,6958000,533746000,2199563000,426908000,304342000,122566000,2626471000,3160217000,2055000,2311093000,2311093000,2003888000,731783000,5048819000,5048819000,8209036000,146756000,119584000,-59372000,-59372000,32321000,239289000,49926000,347391000,347391000,-297465000,-297465000,54026000,-163707000,-127519000,126000,-14263000,-305489000,-12174000,-12174000,-12174000,239805000,2206521000,378729000,0.77732,0.30273,0.31483,0.02476,0.01523,3.02913,0.5908,0.62593,0.26879,0.59497,0.59086,1.88979,24.01587,1.80225,0.01628,0.0493,9.02337,17.99893
"8","2019_Q1",11.2819672131148,"Down",435455000,-188986000,246469000,-115932000,-36113000,-130085000,50266000,130537000,-33222000,-33222000,97315000,8388000,105703000,23712000,129415000,129415000,101927000,101927000,17198000,17198000,252424000,252424000,9715000,222349000,21551000,11077000,501686000,6942444000,9567428000,-2624984000,1148040000,796359000,103200000,16720000,8090484000,8592170000,454317000,229806000,224511000,6997000,522975000,2391504000,595948000,398682000,105045000,2987452000,3510427000,1990000,2264063000,2264063000,2071809000,743881000,5081743000,5081743000,8592170000,129415000,130085000,121308000,121308000,-185204000,195604000,-311317000,10956000,10956000,-322273000,-322273000,-309817000,191690000,-87363000,24000,-15588000,88739000,-25474000,-25474000,-25474000,260622000,2398501000,-259611000,0.566,0.29977,0.23407,0.02006,0.01186,-2.54703,0.95929,0.69079,0.27915,0.50619,0.50058,2.16254,25.22689,-1.28927,0.01262,-0.03215,9.137,18.24236
"9","2019_Q2",8.78460317460317,"Down",278431000,-101294000,177137000,-206954000,-35738000,-125161000,-46055000,-29817000,-35771000,-35771000,-65588000,-10622000,-76210000,11559000,-64651000,-64651000,-87337000,-87337000,23972000,23972000,157908000,157908000,16642000,166444000,42576000,10276000,364966000,7093520000,9835181000,-2741661000,1318875000,796359000,101562000,403094000,8412395000,8777361000,510968000,230371000,280597000,7182000,588495000,2442764000,771293000,387137000,384156000,3214057000,3802552000,1964000,2249511000,2249511000,1971898000,751436000,4974809000,4974809000,8777361000,-64651000,125161000,166470000,166470000,81672000,308652000,-293332000,5806000,5806000,-299138000,-299138000,-293332000,47027000,-32399000,99000,-23174000,-8546000,6774000,6774000,6774000,95344000,2449946000,-127875000,0.6362,-0.10709,-0.31368,-0.01756,-0.00995,1.46416,0.62017,0.76436,0.27912,-0.44227,-0.44227,1.40995,25.18206,-0.64755,-0.01066,-0.0156,25.44443,-81.36211
"10","2019_Q3",7.4875,"Down",605032000,-110058000,494974000,-221646000,-48971000,-128998000,-43677000,273328000,-40152000,-40152000,233176000,309000.000000007,233485000,-40790000,192695000,192695000,162477000,162477000,32611000,32611000,125084000,125084000,11242000,291157000,165929000,11636000,460094000,7339862000,10203489000,-2863627000,1346741000,796359000,99923000,432822000,8686603000,9146697000,549903000,305070000,244833000,73342000,623245000,2766408000,657049000,427942000,229107000,3423457000,4046702000,1879000,2203969000,2203969000,2127627000,766520000,5099995000,5099995000,9146697000,192695000,128998000,-143631000,-143631000,73959000,252021000,-327946000,1281000,1281000,-329227000,-329227000,-327946000,185582000,-77220000,62000,-23798000,84564000,8639000,8639000,8639000,402326000,2839750000,189129000,0.8181,0.45176,0.26854,0.03186,0.01776,1.16404,0.73822,0.79347,0.31047,0.84848,0.835330000000001,3.15958,26.62321,0.98766,0.0189,0.022,6.97727,10.27022
