"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",20.61328125,"Up",228677000,-65723000,162954000,-127188000,-34959000,-83891000,-8338000,35766000,-97489000,-120233000,6144000,16600000,-61723000,34131000,-27592000,-7455000,-35047000,-8493000,-190000,-8683000,-6369000,-15052000,-373063285.284743,-373063285.284743,506291739.026665,168645134.997842,-7059693283.68899,-5607253765.26392,-1452439518.42506,-137184277.829205,162921845.053066,-300106122.882271,-7196877561.51819,-7028232426.52035,-342957788.919565,-342957788.919565,-859899386.029447,-859899386.029447,-1202857174.94901,-491485889.548751,-491485889.548751,-1694343064.49776,-1246729.41916752,-523407015.23682,-544408.566120687,-522862606.670702,-1983167580.53309,-1404242147.31273,-3912063472.50182,-1421825889.52077,-5333889362.02259,-7028232426.52035,-8049000,93552000,-24625000,60998000,121876000,-130083000,-114078000,281699000,37538000,-72108000,132852000,1173000,1173000,-230252000,-168335000,-8921000,-8921000,1618000,-7303000,129318000,0,67688000,0.71259,0.1564,-0.06582,-0.31035771586148,-0.155740901095096,-4.49694,1.78181948158204,1.21729738987797,0.5260857960841,-0.04642,-0.04642,0.70526,-48.0630911042205,0.20875,0.22239,-0.148907919593553,-0.0145715037990646,-4.79059,-41.4395120886489,67.4320564406337
"2","2011_Q1",24.2882258064516,"Up",174961000,-43572000,131389000,-107793000,-50095000,-58964000,1266000,23596000,-112551000,-112034000,-13707000,13190000,-88955000,-1332594000,-1421549000,5907000,-1415642000,-1160863000,591000,-1160272000,-6317000,-1166589000,37634000,37634000,904016000,1000629000,11283963000,12879641000,-1595678000,2618075000,2024661000,593414000,13902038000,14902667000,388536000,388536000,487747000,487747000,876283000,6506029000,6506029000,7382312000,3.5e+08,9674105000,2545000,9671560000,-2515722000,-3160000,7505223000,15132000,7520355000,14902667000,-1160863000,89340000,1138701000,-50994000,16184000,-89011000,-70336999.9999999,981154000,821806000,-64735000,-136776000,1132574000,1132574000,-1749037000,-817974000,20016000,20016000,-181000,19835000,112936000,6506029000,-32976000,0.75096,0.13486,-6.66771,-0.15512,-0.07828,0.02827,1.1419,0.98164,0.43657,-4.85619,-4.85619,0.72832,29.78526,-0.13727,0.26947,-0.07856,-0.00235,-0.0554900000000016,57.27487,274.131
"3","2011_Q2",25.2071428571429,"Up",229867000,-71176000,158691000,-123916000,-39183000,-80049000,-4684000,34775000,-78091000,-90527000,1374000,11062000,-43316000,-2263000,-45579000,-6369000,-51948000,-40164000,-83000,-40247000,-6369000,-46616000,222123761.761581,222123761.761581,848484586.991112,1197066455.00072,20712174011.2297,22395255088.4213,-1683081077.19165,3848866592.60974,2856376718.31564,992489874.29409,24561040603.8394,25758107058.8401,680327096.306522,680327096.306522,1099080212.00982,1099080212.00982,1779407308.31634,10444617379.8496,10444617379.8496,12224024688.1659,525132243.139722,14748247921.7456,4085886.1887069,14744162035.5569,-2762126806.48897,404312965.770911,12915566324.1673,618516046.506924,13534082370.6742,25758107058.8401,-40164000,83121000,-254000,-40141000,2562000,-205420000,11329000,372347000,178256000,-64043000,-121665000,31000,31000,-9478000,-195155000,-14337000,-14337000,1447000,-12890000,117896000,0,-121296000,0.69036,0.15128,-0.2028,-0.0596007613795068,-0.0303196996349681,2.60203,0.744661839472654,0.911132536707345,0.408902234638633,-0.18302,-0.18302,0.90251,53.1107153680735,-0.47623,0.25145,-0.0311848601354824,-0.000158665400311798,-1.37384,82.4826806962163,292.648995353122
"4","2011_Q3",21.44703125,"Down",319839000,-88369000,231470000,-175561000,-51840000,-118134000,-5587000,55909000,-106495000,-112916000,-10255000,16676000,-50586000,-104346000,-154932000,-6429000,-161361000,-143627000,-202000,-143829000,-7642000,-151471000,260893000,260893000,599383000,1057751000,23984465000,25748754000,-1764289000,4092290000,3012144000,1080146000,28076755000,29134506000,702378000,702378000,1241931000,1241931000,1944309000,12119952000,12119952000,14064261000,582200000,16388818000,4589000,16384229000,-2842842000,225364000,14353540000,716705000,15070245000,29134506000,-143627000,124428000,11516000,-10776000,-18459000,-256688000,-791206000,221778000,-826116000,-64987000,59790000,1156462000,1156462000,-70715999.9999998,1080549000,235974000,235974000,175000,236149000,180337000,12119952000,-80698000,0.72371,0.1748,-0.47359,-0.01005,-0.0052,0.53276,0.54402,0.93325,0.416,-0.49066,-0.491680000000001,1.03606,44.60989,-0.26141,0.21051,-0.00318,-0.00297,-0.42904,65.76054,212.1136
"5","2011_Q4",19.8022222222222,"Down",458676000,-133761000,324915000,-236322000,-53341000,-179010000,-3971000,88593000,-47721000,-135863000,52524000,35618000,40872000,-4585000,36287000,2838000,39125000,65868000,-23000,65845000,-10409000,55436000,216749000,216749000,521571000,954743000,23684202000,25592354000,-1908152000,3947359000,2900646000,1046713000,27631561000,28586304000,633044000,633044000,1204017000,1204017000,1837061000,12147277000,12147277000,13984338000,582200000,16370173000,4591000,16365582000,-2916997000,-102546000,13932830000,669136000,14601966000,28586304000,65868000,198031000,-74156000,-68899000,120844000,-357823000,-2.1e+07,228160000,-150663000,-128154000,387210000,0,0,-270431000,-11375000,-41194000,-41194000,-2950000,-44144000,286624000,12147277000,-142936000,0.70838,0.19315,0.12086,0.0038,0.00194,-2.5784,0.51971,0.9577,0.42493,0.12068,0.12051,0.9985,29.06323,-0.31116,0.27898,0.00686,-0.00534,2.31175,41.62432,134.66671
"6","2012_Q1",24.2748387096774,"Up",413389000,-110344000,303045000,-225812000,-50797000,-165226000,-9789000,77233000,-121149000,-127265000,-2471000,8587000,-43916000,-65028000,-108944000,8184000,-100760000,-40014999.9999999,4832000,-35183000,-10276000,-45459000.0000001,176072000,176072000,839676000,1163747000,22629630000,24787537000,-2157907000,3930535000,2857755000,1072780000,26560165000,27723912000,639490000,639490000,1246540000,1246540000,1886030000,11382408000,11382408000,13268438000,582200000,16353922000,4594000,16349328000,-3092162000,-182321000,13661639000,793835000,14455474000,27723912000,-40015000,198304000,11018000,-67190000,102117000,-261565000,-28084000,855107000,565458000,-129949000,-39468000,0,0,-541284000,-710701000,-43126000,-43126000,2449000,-40677000,275537000,11382408000,-61402000,0.73307,0.18683,-0.10997,-0.00314,-0.00164,1.35071,0.61704,0.91788,0.41056,-0.0989599999999998,-0.09794,0.89991,28.47274,-0.13367,0.28289,0.00327,-0.00238,-2.8586,40.67089,145.09777
"7","2012_Q2",24.6192063492063,"Up",479430000,-135612000,343818000,-244774000,-60159000,-180280000,-4335000,99044000,-140735000,-133056000,-26775000,19096000,-41691000,243142000,201451000,-12124000,189327000,213097000,-118000,212979000,-10567000,202412000,343736000,343736000,441381000,948796000,24321584000,26578485000,-2256901000,3597573000,2452939000,1144634000,27919157000,28867953000,674084000,674084000,1262288000,1262288000,1936372000,12380921000,12380921000,14317293000,582200000,16374858000,4604000,16370254000,-3019829000,-219574000,13717655000,833005000,14550660000,28867953000,213097000,191825000,-252782000,-80705000,71435000,-194128000,-349052000,719741000,176561000,-128942000,895823000,18591000,18591000,-865690000,-80218000,167778000,167778000,-114000,167664000,290869000,12380921000,28160000,0.71714,0.20659,0.42219,0.01391,0.00701,0.13912,0.48999,0.98396,0.42888,0.44079,0.42514,1.04405,28.6049,0.06132,0.2808,0.0123,0.00105,0.63703,41.38353,121.53371
"8","2012_Q3",25.2346031746032,"Up",499619000,-140495000,359124000,-236677000,-51415000,-178035000,-7227000,122447000,-104941000,-127495000,12753000,9801000,17506000,-21166000.0000001,-3660000,-8075000,-11734999.9999999,4669000.00000003,-2739000,1929999.99999994,-10049000,-8119000.00000006,293631000,293631000,447510000,909149000,24166196000,26422297000,-2256101000,3340218000,2220172000,1120046000,27506414000,28415563000,600019000,600019000,1212392000,1212392000,1812411000,12433585000,12433585000,14245996000,582200000,16378044000,4606000,16373438000,-3159462000,-333811000,13466971000,702596000,14169567000,28415563000,4669000.00000006,187777000,-25319000.0000001,-78457000,88670000,-287097000,-18642000,319537000,13798000,-130980000,550606000,4473000,4473000,-583783000,-159684000,-57216000,-57216000,7110000,-50105999.9999999,310224000,12433585000,-47255000,0.7188,0.24508,-0.01625,-0.000570000000000003,-0.00029,5.8203,0.50162,1.00539,0.43756,-0.0176500000000002,-0.0179100000000001,1.08638,28.01677,-0.10275,0.2848,0.00462,-0.00178,-16.13253,39.13287,99.14456
"9","2012_Q4",26.1388709677419,"Up",494581000,-140863000,353718000,-250187000,-55886000,-188721000,-5580000,103531000,-117405000,-122818000,-5908000,11321000,-13874000,-17760000,-31634000,19983000,-11651000,-32898000,-3323000,-36221000,-10305000,-46526000,158188000,158188000,793136000,1133179000,24071852000,26461066000,-2389214000,3371391000,2242075000,1129316000,27443243000,28576422000,625873000,625873000,1197968000,1197968000,1823841000,12578060000,12578060000,14401901000,582200000,16400406000,4609000,16395797000,-3335757000,-165100000,13481749000,692772000,14174521000,28576422000,-32898000,198296000,55207000,-7362000,213243000,-335770000,-19841000,117375000,-238236000,-129237000,48235000,6378000,6378000,-31352000,-105976000,-130969000,-130969000,-4473000,-135442000,301827000,12578060000,-61288000,0.71519,0.20933,-0.09407,-0.00328,-0.00163,1.31728,0.62131,1.01604,0.44016,-0.10113,-0.09997,1.07503,28.03872,-0.13322,0.28091,0.00309,-0.00229,-2.77774,41.14898,119.96283
"10","2013_Q1",29.7323333333333,"Up",486888000,-138089000,348799000,-247248000,-60608000,-177226000,-9414000,101551000,-108077000,-121846000,-566999.999999996,14336000,-6525999.99999999,-262448000,-268974000,-3363999.99999999,-272338000,-215340000,-3068000,-218408000,-10305000,-228713000,100810000,100810000,390953000,662847000,23328463000,25809123000,-2480660000,3318835000,2195782000,1123053000,26647298000,27310145000,611770000,611770000,1134245000,1134245000,1746015000,11790794000,11790794000,13536809000,582200000,16416473000,4618000,16411855000,-3696093000,-233563000,13069017000,704319000,13773336000,27310145000,-215340000,189561000,133709000,-17786000,90144000,-311380000,-142632000,1031504000,577492000,-178675000,-1903045000,1539000.00000001,1539000.00000001,1354548000,-725633000,-57997000,-57997000,619000.000000002,-57378000,291112000,11790794000,-34690000,0.71638,0.20857,-0.46974,-0.01661,-0.00837,0.151669999999996,0.37963,0.98283,0.43174,-0.49675,-0.50536,1.05749,27.12049,-0.07534,0.38807,-0.00196,-0.00136,-0.781220000000003,40.15631,115.11442
