"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",2.66507936507936,"Down",13802000,-11125000,2677000,-4135000,-4135000,-1458000,26000,26000,-1432000,-1432000,-554000,-1986000,-1986000,146000,-1840000,-1840000,25421000,25421000,8341000,8341000,2880000,2660000,36642000,5585000,10379000,1552000,1419000,2693000,15964000,52606000,10557000,1756000,1317000,7484000,1355000,11913000,5336000,807000,807000,6143000,18056000,23333000,-4288000,18910000,-310000,37645000,-3095000,34550000,52606000,-1986000,727000,338000,2977000,2056000,-186000,-186000,-186000,-186000,-482000,-482000,1388000,1388000,1205000,-731000,6691000,2614000,0.19396,-0.10564,-0.13331,-0.05326,-0.03498,-1.42065,3.0758,0.5226,0.12719,-0.07262,-0.07262,0.54474,1.48577,0.10317,4,-0.04376,0.06217,25.62244,12.84636
"22","2015_Q3",2.4809375,"Down",14063000,-10991000,3072000,-4278000,-4278000,-1206000,19000,19000,-1187000,-1187000,254000,-933000,-933000,134000,-799000,-799000,23696000,23696000,9810000,9810000,3359000,3105000,36865000,5256000,10359000,1573000,1448000,2646000,15615000,52480000,10917000,1102000,1329000,8486000,1363000,12293000,5383000,807000,807000,6190000,18483000,23607000,-4288000,18111000,-204000,37226000,-3229000,33997000,52480000,-933000,709000,326000,-1666000,-1564000,-112000,-112000,-112000,-112000,-101000,-101000,-1777000,-1777000,-1725000,-497000,6746000,-2529000,0.21845,-0.08576,-0.05682,-0.0235,-0.01522,3.16521,2.99886,0.54367,0.12854,-0.03153,-0.03153,0.55504,1.46923,-0.09981,2,-0.01923,-0.06087,34.10463,14.05473
"23","2015_Q4",2.45296875,"Down",15135000,-10452000,4683000,-3941000,-3941000,742000,-6000,-6000,736000,736000,-462000,274000,274000,132000,406000,406000,24921000,24921000,9146000,9146000,3192000,2901000,37259000,4941000,9562000,1506000,1445000,2365000,14503000,51762000,10798000,1289000,1310000,8199000,1527000,12387000,4538000,748000,748000,5286000,17673000,24334000,-4388000,18517000,-1013000,37450000,-3361000,34089000,51762000,274000,677000,315000,508000,1774000,-168000,-168000,-168000,-168000,-265000,-365000,1241000,1241000,1225000,1419000,6065000,2221000,0.30942,0.04903,0.02683,0.01191,0.00784,5.47044,3.00791,0.51844,0.11717,0.01595,0.01595,0.59453,1.47111,0.08725,7,0.00993,0.0543,-13.28823,-25.4124
"24","2016_Q1",2.37147540983607,"Down",15523000,-11371000,4152000,-4442000,-4442000,-290000,-8000,-8000,-298000,-298000,-441000,-739000,-739000,146000,-593000,-593000,24908000,24908000,9249000,9249000,2900000,2900000,37057000,4723000,9457000,1476000,1664000,2330000,14180000,51237000,10722000,1250000,1255000,8217000,1582000,12304000,3436000,792000,792000,4228000,16532000,24860000,-4488000,17924000,-84000,38212000,-3507000,34705000,51237000,-739000,660000,621000,-149000,393000,-231000,-231000,-231000,-231000,-82000,-182000,-20000.0000000005,-20000.0000000005,-13000,370000,5018000,431000,0.26747,-0.01868,-0.0382,-0.01709,-0.01157,-0.726809999999983,3.01178,0.47636,0.09794,-0.02328,-0.02328,0.60939,1.5001,0.01692,3,-0.01464,0.01064,-53.75676,68.58621
"25","2016_Q2",2.29203125,"Down",15698000,-11465000,4233000,-3811000,-3811000,422000,-13000,-13000,409000,409000,-518000,-109000,-109000,112000,3000,3000,25386000,25386000,10317000,10317000,3357000,3018000,39060000,4515000,9279000,1531000,1345000,2279000,13794000,52854000,11488000,2164000,1254000,8070000,1453000,12941000,3588000,737000,737000,4325000,17266000,24879000,-4488000,17927000,629000,38947000,-3359000,35588000,52854000,-109000,652000,176000,10000,729000,-153000,-153000,-153000,-153000,-190000,-190000,386000,386000,478000,1074000,5041000,1449000,0.26965,0.02688,0.00019,8e-05,6e-05,483,3.01831,0.48516,0.09538,0.00012,0.00012,0.61694,1.53063,0.05695,7,7e-05,0.03503,-18.9432,-48.2109
"26","2016_Q3",2.345,"Up",15642000,-11685000,3957000,-5553000,-5553000,-1596000,-16000,-16000,-1612000,-1612000,-258000,-1870000,-1870000,92000,-1778000,-1778000,24961000,24961000,9702000,9702000,3459000,3042000,38122000,4756000,9175000,1531000,1333000,2310000,13931000,52053000,12644000,2047000,1236000,9361000,1307000,13951000,3686000,722000,722000,4408000,18359000,25122000,-4488000,16149000,362000,37145000,-3451000,33694000,52053000,-1870000,672000,196000,1442000,440000,-718000,-718000,-718000,-718000,-150000,-150000,-428000,-428000,-425000,-924000,4993000,58000,0.25297,-0.10203,-0.11367,-0.05277,-0.03416,-0.0326200000000085,2.73256,0.54487,0.09592,-0.06988,-0.07023,0.61474,1.45982,0.00227999999999998,6,-0.04512,0.00147000000000001,21.61039,12.51128
"27","2016_Q4",2.26095238095238,"Down",16060000,-12422000,3638000,-5105000,-5105000,-1467000,-15000,-15000,-1482000,-2520000,-352000,-2872000,-2872000,106000,-2766000,-2766000,17277000,17277000,9695000,9695000,3499000,3081000,30471000,5384000,15058000,2748000,1379000,2349000,20442000,50913000,13523000,1465000,1320000,10738000,1421000,14944000,4045000,701000,701000,4746000,19690000,25897000,-4622000,13383000,122000,34780000,-3557000,31223000,50913000,-2872000,876000,1206000,-1502000,-2292000,-1180000,-1180000,-1180000,-5232000,-79000,-213000,-7737000,-7737000,-7684000,-591000,5466000,-2921000,0.22653,-0.09134,-0.17223,-0.08859,-0.05433,1.05604,2.03901,0.63062,0.10736,-0.10783,-0.10783,0.62607,1.35584,-0.11387,3,-0.07398,-0.07812,19.98477,8.05112
"28","2017_Q1",2.15435483870968,"Down",15674000,-11647000,4027000,-5070000,-5070000,-1043000,-19000,-19000,-1062000,-1062000,2000,-1060000,-1060000,77000,-983000,-983000,14172000,14172000,9952000,9952000,3124000,3124000,27248000,5397000,14943000,2734000,1641000,2377000,20340000,47588000,11721000,1018000,1330000,9373000,1120000,12841000,3917000,680000,680000,4597000,17438000,26330000,-4622000,12400000,-324000,33784000,-3634000,30150000,47588000,-1060000,995000,702000,-2249000,-1612000,-689000,-689000,-689000,-865000,-284000,-284000,-2761000,-2761000,-3105000,-47999.9999999999,5037000,-2988000,0.25692,-0.06654,-0.06272,-0.0326,-0.02066,3.03967000000001,2.12195,0.57837,0.10585,-0.03836,-0.03836,0.61164,1.31835,-0.1166,1,-0.02741,-0.08331,190.3125,8.75839
"29","2017_Q2",1.7947619047619,"Down",14953000,-11723000,3230000,-4625000,-4625000,-1395000,12000,12000,-1383000,-1383000,-445000,-1828000,-1828000,98000,-1730000,-1730000,14199000,14199000,9523000,9523000,3280000,3280000,27002000,5898000,15685000,2747000,1744000,3204000,21583000,48585000,12565000,2360000,1239000,8966000,1859000,14424000,4072000,682000,682000,4754000,19178000,27143000,-4622000,10670000,-51000,33140000,-3733000,29407000,48585000,-1828000,943000,268000,1732000,1115000,-1049000,-1049000,-1049000,-1049000,-31000,-31000,35000,35000,27000,-452000,5931000,676000,0.21601,-0.09329,-0.1157,-0.05883,-0.03561,-0.39075,1.87202,0.65216,0.12207,-0.06751,-0.06751,0.58349,1.29317,0.02638,2,-0.04803,0.01877,18.29204,5.92688
"30","2017_Q3",1.52904761904762,"Down",15300000,-11399000,3901000,-4043000,-4043000,-142000,-1000,-1000,-143000,-143000,-93999.9999999999,-237000,-237000,71000,-166000,-166000,15275000,15275000,9230000,9230000,3771000,3771000,28276000,7262000,15823000,2776000,1910000,3240000,23085000,51361000,14717000,942000,1879000,11896000,1997000,16714000,4567000,682000,682000,5249000,21963000,27332000,-4622000,10504000,-13000,33201000,-3803000,29398000,51361000,-237000,909000,104000,1769000,2545000,-1249000,-1249000,-1249000,-1249000,-214000,-214000,1082000,1082000,1076000,767000,6564000,1381000,0.25497,-0.00928,-0.01085,-0.00565,-0.00323,-8.31928,1.69176,0.74709,0.1278,-0.00641000000000001,-0.00640999999999999,0.59121,1.28293,0.05336,4,-0.00452999999999999,0.03769,-11.35724,61.34507
"31","2017_Q4",1.19730158730159,"Down",15018000,-11463000,3555000,-4438000,-4438000,-883000,-2000,-2000,-885000,-885000,-268000,-1153000,-1153000,85000,-1068000,-1068000,12468000,12468000,9577000,9577000,3761000,3761000,25806000,7322000,15768000,2839000,1909000,3136000,23090000,48896000,12530000,856000,1764000,9910000,2124000,14654000,4733000,694000,694000,5427000,20081000,27517000,-4622000,9436000,372000,32703000,-3888000,28815000,48896000,-1153000,919000,211000,-2473000,-2496000,-589000,-589000,-589000,-589000,166000,166000,-2919000,-2919000,-2807000,36000,6857000,-2758000,0.23672,-0.0588,-0.07111,-0.03706,-0.02184,2.5824,1.76102,0.69689,0.14024,-0.04127,-0.04127,0.58032,1.26369,-0.10657,2,-0.02937,-0.07584,-155.86111,6.35447
"32","2018_Q1",1.16508196721311,"Down",15658000,-11241000,4417000,-7094000,-7094000,-2677000,14000,14000,-2663000,-2663000,522000,-2141000,-2141000,50000,-2091000,-2091000,11407000,11407000,10291000,10291000,3630000,3630000,25328000,7189000,15354000,2832000,1757000,3159000,22543000,47871000,12266000,1870000,1098000,9298000,3333000,15599000,4477000,614000,614000,5091000,20690000,27550000,-4622000,7345000,846000,31119000,-3938000,27181000,47871000,-2141000,903000,-136000,848999.999999999,-525000,-523000,-523000,-523000,-523000,-205000,-205000,-1253000,-1253000,-1061000,-1774000,7810000,-1970000,0.28209,-0.17097,-0.13354,-0.07693,-0.04368,0.942130000000001,1.62369,0.76119,0.16315,-0.0808,-0.0808,0.60505,1.20248,-0.07612,3,-0.05873,-0.05533,2.02762000000001,1.34367
"33","2018_Q2",1.13546875,"Down",14120000,-9894000,4226000,-3916000,-3916000,310000,-4000,-4000,306000,306000,-582000,-276000,-276000,8000,-268000,-268000,12179000,12179000,9249000,9249000,3006000,3006000,24434000,7027000,15094000,2834000,1617000,3285000,22121000,46555000,13238000,1125000,1778000,10335000,2110000,15348000,4188000,592000,592000,4780000,20128000,27690000,-4622000,7077000,228000,30373000,-3946000,26427000,46555000,-276000,884000,282000,762000,1652000,-625000,-625000,-625000,-625000,-301000,-301000,726000,726000,772000,1194000,6298000,1913000,0.29929,0.02195,-0.01898,-0.01014,-0.00576,-7.13806,1.592,0.76165,0.13528,-0.01036,-0.01036,0.54564,1.1737,0.07392,5,-0.00804,0.05742,-4.92546,-18.97097
"34","2018_Q3",1.22650793650794,"Up",14270000,-9929000,4341000,-3667000,-3667000,674000,-10000,-10000,664000,-11000,-451000,-462000,-462000,-4000,-466000,-466000,11706000,11706000,8574000,8574000,4731000,4731000,25011000,7052000,13529000,2108000,1464000,3014000,20581000,45592000,14161000,1106000,3487000,9568000,1354000,15515000,3901000,536000,536000,4437000,19952000,27821000,-4622000,6611000,-228000,29582000,-3942000,25640000,45592000,-462000,840000,904000,46000.0000000001,1328000,-631000,-631000,-631000,-631000,-1070000,-1070000,-373000,-373000,-473000,1514000,5255000,1380000,0.3042,0.04723,-0.03266,-0.01817,-0.01022,-2.96137,1.61205,0.77816,0.11526,-0.01801,-0.01801,0.55148,1.14322,0.05333,5,-0.01483,0.04391,-4.2609,-9.57122
"35","2018_Q4",1.53714285714286,"Up",14049000,-9237000,4812000,-3640000,-3640000,1172000,-10000,-10000,1162000,1162000,-469000,693000,693000,-5000,688000,688000,11890000,11890000,9065000,9065000,5209000,5209000,26164000,7080000,12864000,2122000,1419000,2580000,19944000,46108000,13907000,1185000,3224000,9498000,1283000,15190000,3608000,550000,550000,4158000,19348000,27597000,-4622000,7299000,-68000,30206000,-3446000,26760000,46108000,693000,834000,298000,-799000,1026000,-444000,-444000,-444000,-444000,-421000,-421000,161000,161000,184000,2006000,4891000,1232000,0.34252,0.08342,0.04897,0.02571,0.01492,1.7907,1.72245,0.72302,0.10608,0.02659,0.02659,0.54291,1.16729,0.04761,7,0.02137,0.03826,-3.48903,-5.97184
"36","2019_Q1",1.44672131147541,"Down",14979000,-10242000,4737000,-4623000,-4623000,114000,-9000,-9000,105000,105000,-306000,-201000,-201000,-6000,-207000,-207000,10869000,10869000,10626000,10626000,4667000,4667000,26162000,6813000,11965000,2050000,1204000,2436000,18778000,44940000,12366000,1834000,3235000,7297000,1529000,13895000,4062000,571000,571000,4633000,18528000,27854000,-4622000,6595000,-15000,29812000,-3400000,26412000,44940000,-201000,816000,602000,-1656000,-439000,-333000,-333000,-333000,-333000,-233000,-235000,-1007000,-1007000,-1021000,930000,5591000,-753000,0.31624,0.00760999999999999,-0.01382,-0.00783999999999999,-0.00461,3.63768,1.88284,0.7015,0.12441,-0.00799999999999999,-0.008,0.57876,1.15189,-0.02909,4,-0.00635,-0.02312,-5.67527,-46.29825
"37","2019_Q2",1.09269841269841,"Down",13694000,-9560000,4134000,-4602000,-4602000,-468000,-11000,-11000,-479000,-479000,28000,-451000,-451000,-1000,-452000,-452000,12161000,12161000,8320000,8320000,5247000,5247000,25728000,6860000,20092000,2089000,1750000,10102000,26952000,52680000,12420000,1990000,3717000,6713000,1033000,14600000,3097000,7951000,383000,11048000,25648000,27983000,-4622000,6897000,213000,30471000,-3439000,27032000,52680000,-451000,809000,-492000,2235000,2101000,-485000,-485000,-485000,-485000,-387000,-387000,1229000,1229000,1292000,341000,4130000,2063000,0.30188,-0.03418,-0.03301,-0.01672,-0.00858,-4.56416,1.76219,0.9488,0.0784,-0.01743,-0.01743,0.52818,1.17526,0.07957,5,-0.01156,0.05274,-23.55132,17.16026
"38","2019_Q3",1.211875,"Up",13639000,-9575000,4064000,-4613000,-4613000,-549000,-12000,-12000,-561000,-561000,-1e+05,-661000,-661000,8000,-653000,-653000,12261000,12261000,8512000,8512000,5186000,5186000,25959000,6960000,19681000,2095000,1881000,9777000,26641000,52600000,13174000,1833000,4231000,7110000,838000,15175000,3114000,7813000,547000,10927000,26102000,28128000,-4622000,6244000,195000,29945000,-3447000,26498000,52600000,-661000,752000,329000,594000,1014000,-328000,-328000,-328000,-328000,-312000,-312000,374000,374000,100000.000000001,203000,3952000,569000,0.29797,-0.04025,-0.04788,-0.02464,-0.01241,-0.87136,1.71064,0.98506,0.07513,-0.02528,-0.02528,0.52809,1.15945,0.02203,5,-0.01707,0.01487,-40.93103,15.13479
"39","2019_Q4",1.27671875,"Up",13846000,-9019000,4827000,-4945000,-4945000,-118000,-27000,-27000,-145000,-145000,-421000,-566000,-566000,3000,-563000,-563000,13188000,13188000,8297000,8297000,4829000,4829000,26314000,7074000,18764000,2062000,1759000,9346000,25838000,52152000,13788000,2111000,4215000,7462000,699000,15636000,3086000,7477000,528000,10563000,26199000,28478000,-4666000,5689000,-98000,29403000,-3450000,25953000,52152000,-607000,545000,454000,1383000,1775000,-501000,-501000,-501000,-501000,-223000,-267000,1007000,1007000,927000,427000,3785000,1730000,0.34862,-0.00852,-0.04066,-0.02169,-0.0108,-3.07282,1.68291,1.00948,0.07258,-0.02177,-0.02177,0.5355,1.13718,0.06691,5,-0.01513,0.04649,-22.02108,79.68644
"40","2020_Q1",1.10290322580645,"Down",14679000,-9171000,5508000,-5321000,-5321000,187000,-70000,-70000,117000,117000,-598000,-481000,-481000,7000,-474000,-474000,10874000,10874000,9723000,9723000,3407000,3407000,24004000,6887000,18606000,2108000,1906000,9115000,25493000,49497000,13207000,1419000,4183000,7605000,1440000,15754000,4534000,7094000,363000,11628000,27382000,28701000,-6465000,4216000,-920000,25532000,-3417000,22115000,49497000,-440000,591000,567000,-1328000,-610000,-353000,-353000,-353000,-353000,355000,-1433000,-2396000,-2396000,-2314000,778000,5974000,-305000,0.37523,0.01274,-0.03229,-0.02143,-0.00958,0.64346,1.52368,1.23816,0.12069,-0.0186,-0.0186,0.57596,1.0018,-0.01197,2,-0.01347,-0.00867,-6.2982,-26.20321
"41","2020_Q2",1.14920634920635,"Up",14530000,-9743000,4787000,-4620000,-4620000,167000,-42000,-42000,125000,125000,-405000,-280000,-280000,-11000,-291000,-291000,10745000,10745000,9505000,9505000,3676000,3676000,23926000,6910000,18040000,2003000,2083000,8972000,24950000,48876000,14032000,1853000,4529000,7650000,856000,15810000,4579000,6654000,326000,11233000,27043000,28871000,-6465000,4628000,-1795000,25239000,-3406000,21833000,48876000,-280000,630000,299000,101000,750000,-578000,-578000,-578000,-578000,-104000,-104000,68000,68000,-129000,797000,5435000,725000,0.32946,0.01149,-0.02003,-0.01333,-0.00595,-2.49141,1.51335,1.23863,0.1112,-0.01193,-0.01193,0.59547,1.03434,0.02971,6,-0.00858,0.02137,-6.66248,-31.79641
"42","2020_Q3",1.8375,"Up",13863000,-9682000,4181000,-4461000,-4461000,-280000,-28000,-28000,-308000,-308000,-169000,-477000,-477000,-7000,-484000,-484000,13485000,13485000,8621000,8621000,3793000,3793000,25899000,7057000,18372000,2026000,2183000,9342000,25429000,51328000,15091000,2020000,4764000,8307000,1801000,17726000,5174000,6528000,329000,11702000,29428000,29169000,-6465000,4071000,-1476000,25299000,-3399000,21900000,51328000,-477000,611000,328000,2066000,2528000,-392000,-392000,-392000,-392000,457000,457000,2593000,2593000,2740000,331000,6975000,2174000,0.30159,-0.0202,-0.03491,-0.0221,-0.00943,-4.49174,1.46107,1.34374,0.13589,-0.01983,-0.01983,0.56795,1.03646,0.08907,5,-0.01367,0.06141,-19.66767,23.25
"43","2020_Q4",3.97671875,"Up",14553000,-9784000,4769000,-4582000,-4582000,187000,-44000,-44000,143000,143000,70000,213000,213000,-7000,206000,206000,15336000,15336000,8843000,8843000,4112000,4112000,28291000,6943000,18764000,2069000,2232000,9761000,25707000,53998000,16321000,1765000,4949000,9607000,1958000,19246000,5421000,7034000,343000,12455000,31701000,29716000,-6465000,3648000,-1210000,25689000,-3392000,22297000,53998000,214000,479000,290000,1392000,2375000,-106000,-145000,-145000,-106000,-573000,-406000,1863000,1863000,1851000,666000,7379000,1882000,0.3277,0.01285,0.01416,0.00924,0.00381,9.13592,1.46997,1.42176,0.13665,0.00842,0.00842,0.5947,1.04977,0.07691,5,0.00561,0.05127,-11.94745,-42.5508
