"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",48.86,"Up",36144000,-21138000,15006000,-7707000,-4621000,-3086000,7299000,-6000,24000,-31000,1000,7293000,143000,7436000,-2340000,5096000,5096000,5096000,5096000,33453000,33453000,19107000,19107000,47395000,10031000,3089000,2400000,109986000,41991000,11519000,8364000,53510000,163496000,16658000,3809000,1311000,1311000,18409000,1241000,0,8501000,26910000,47120000,89622000,-156000,136586000,136586000,163496000,5096000,1054000,847000,4757000,11754000,-4222000,-4222000,9898000,9898000,-287000,9611000,8353000,7700000,11228000,0.41517,0.20194,0.14099,0.03731,0.03117,2.2033,5.97458,0.19702,0.0471,0.42105,0.41623,2.98637,11.28533,0.92771,0.03502,0.07715,-3.08308,-3.52829
"2","2011_Q2",46.2865079365079,"Down",43101000,-24008000,19093000,-7382000,-4442000,-2940000,11711000,139000,19000,140000,-20000,11850000,86000,11936000,-3723000,8213000,8213000,8213000,8213000,49559278.1976824,52532686.6371696,19558857.5376472,19558857.5376472,57873014.4843831,3668597.06220696,-6091939.7614364,3624187.28933147,130659747.28192,52596183.1741206,12596844.1865219,12006758.2217827,65193027.3606425,195852774.642562,43967112.6809983,18197809.8959353,278048.77919314,403012.296241164,44420062.903664,1180077.77347677,-4.48275892364654e-10,4065929.35554951,48485992.2592136,40923240.9720587,105673410.561875,770130.849405798,147366782.38334,147366782.38334,195852774.642553,8213000,1497000,852000,-3441000,7121000,-1188000,-1188000,-1529000,-1529000,39000.0000000001,-1490000,13208000,0,12302000,0.44298,0.27171,0.19055,0.115947637095118,0.0966640991573823,1.49787,-0.416011978959482,0.307678965960393,0.0187223364501652,0.67114,0.65113,3.52209,12.1716646047296,1.00528,0.11397181933635,0.561163923770905,1.27465233338407,2.97728646713004
"3","2011_Q3",39.981875,"Down",50696000,-29012000,21684000,-8533000,-5308000,-3225000,13151000,-44000,67000,-94000,-17000,13107000,-103000,13004000,-4302000,8702000,8702000,8702000,8702000,49120778.1976824,50622386.6371696,19212457.5376472,19212457.5376472,66982714.4843831,5807097.06220696,-4556039.7614364,3619987.28933147,141123047.28192,51219383.1741206,10784444.1865219,9823658.22178268,62003827.3606425,203126874.642562,42982612.6809983,18066109.8959353,97348.7791931401,183312.296241164,43122862.903664,1490077.77347677,-4.48275892364654e-10,2197929.35554951,45320792.2592136,43987640.9720587,112849710.561875,968730.849405798,157806082.38334,157806082.38334,203126874.642553,8702000,2193000,-89000,-12496000,-1690000,-9419000,-9419000,-8226000,-8226000,291000,-7935000,15344000,0,-2269000,0.42773,0.25941,0.17165,0.105528637095118,0.0881770991573823,-0.26074,0.617526021040522,0.277581965960393,0.00459233645016517,0.70567,0.69911,4.11111,12.8455456047296,-0.184,0.10421181933635,0.503967923770905,0.431953333384073,1.69083246713003
"4","2011_Q4",38.2131746031746,"Down",46368000,-25812000,20556000,-6934000,-4114000,-2820000,13622000,25000,37000,-10000,-2000,13647000,-111000,13536000,-4329000,9207000,9207000,9207000,9207000,41179000,39243000,19225000,19225000,72982000,11384000,1742000.00000001,2926000,144770000,45832000,8170000,5449000,54002000,198772000,28467000,11007000,525000,504000,28992000,1924000,0,1924000,30916000,51394000,115744000,718000,167856000,167856000,198772000,9207000,1658000,-7308000,2827000,6384000,10510000,8570000,15554000,15554000,-339000,15215000,15280000,2.3283064365387e-10,32946000,0.44332,0.29378,0.19856,0.0548500000000001,0.04632,3.57836,4.99345,0.18418,6.93889390390723e-18,0.7357,0.72484,3.70509,13.41274,2.63259,0.05423,0.19405,-2.69496,-3.02298
"5","2012_Q1",50.0651612903226,"Up",32805000,-20025000,12780000,-6731000,-4187000,-2544000,6049000,94000,101000,44000,-51000,6143000,0,6143000,-2554000,3589000,3589000,3589000,3589000,36314000,31388000,19761000,19761000,72390000,14116000,5660000,2100000,142581000,46637000,7583000,3937000,54220000,196801000,16825000,5042000,856000,774000,17681000,2107000,0,2107000,19788000,57510000,119333000,170000,177013000,177013000,196801000,3589000,1699000,161000,-16128000,-10679000,-129000,-3115000,-7861000,-7861000,6000,-7855000,7748000,0,-5955000,0.38957,0.18439,0.1094,0.02028,0.01824,-1.65924,8.06408,0.11179,0,0.283,0.28648,2.58678,13.95804,-0.46957,0.02004,-0.03325,-4.68689,-6.00331
"6","2012_Q2",48.9819047619048,"Down",43281000,-22623000,20658000,-7624000,-4735000,-2889000,13034000,334000,267000,122000,-55000,13368000,-436000,12932000,-4247000,8685000,8685000,8685000,8685000,42798000,37842000,22474000,22474000,64334000,9551000,1837000,1671000,139157000,60490000,10741000,8212000,71231000,210388000,21998000,7550000,1077000,1067000,23075000,1856000,2.06795153138257e-25,1856000,24931000,57773000,128018000,-334000,185457000,185457000,210388000,8685000,1831000,-1298000,10861000,20079000,-13652000,-13702000,6453000,6453000,1000,6454000,14865000,0,16321000,0.4773,0.30115,0.20067,0.04683,0.04128,1.87922,6.03064,0.13443,5.42101086242752e-20,0.68361,0.67666,3.40674,14.5977,1.28466,0.04637,0.08713,-2.87911,-3.28357
"7","2012_Q3",49.8131746031746,"Up",56233000,-31173000,25060000,-8420000,-4911000,-3509000,16640000,351000,133000,171000,47000,16991000,-168000,16823000,-5392000,11431000,11431000,11431000,11431000,49118000,44150000,34264000,34264000,69210000,10603000,2437000,1594000,163195000,60974000,8944000,2909000,69918000,233113000,26490000,11816000,5447000,5447000,31937000,2423000,0,2423000,34360000,58916000,139449000,388000,198753000,198753000,233113000,11431000,3099000,-3819000,-7571000,3140000,2240000,2215000,6309000,6309000,-1000,6308000,19739000,0,19800000,0.44565,0.29591,0.20328,0.05751,0.04904,1.73213,5.1099,0.17288,0,0.89823,0.88999,4.41869,15.61766,1.55585,0.05682,0.09842,-2.48837,-2.9518
"8","2012_Q4",72.1641935483871,"Up",55201000,-32241000,22960000,-7638000,-4838000,-2800000,15322000,-14000.0000000001,42000,-9000,-47000,15308000,279000,15587000,-4852000,10735000,10735000,10735000,10735000,67636000,48706000,24326000,24326000,70636000,10427000,2065000,1588000,173025000,59115000,7964000,2399000,67079000,240104000,23696000,5602000,5425000,5404000,29121000,2198000,0,2198000,31319000,59194000,150184000,-593000,208785000,208785000,240104000,10735000,2421000,-590000,4234000,16800000,1344000,-12337000,4562000,4562000,-6000,4556000,17743000,4.54747350886464e-13,28173000,0.41593,0.27757,0.19447,0.05142,0.04471,2.62441,5.94159,0.15001,0,0.84208,0.8333,4.33011,16.37765,2.20996,0.05088,0.13353,-3.81198,-4.41431
"9","2013_Q1",99.8633333333333,"Up",36949000,-23563000,13386000,-7399000,-4430000,-2969000,5987000,326000,102000,173000,51000,6313000,207000,6520000,-2253000,4267000,4267000,4267000,4267000,70712000,50752000,16229000,16229000,83894000,16393000,5898000,3806000,187228000,62286000,9508000,1879000,71794000,259022000,32440000,17187000,8752000,8641000,41192000,2843000,0,2843000,44035000,60761000,154451000,-225000,214987000,214987000,259022000,4267000,2236000,-629000,-2669000,3205000,-1460000,-2497000,2068000,2068000,-22000,2046000,8223000,0,6347000,0.36228,0.16203,0.11548,0.01985,0.01647,1.48746,4.54525,0.20483,0,0.33432,0.33379,2.89496,16.84428,0.49729,0.01959,0.02914,-8.59929,-11.81092
"10","2013_Q2",83.25203125,"Down",77751000,-37206000,40545000,-8728000,-5363000,-3365000,31817000,174000,144000,46000,-16000,31991000,-269000,31722000,-9709000,22013000,22013000,22013000,22013000,64578000,44886000,22676000,22676000,97316000,26060000,9764000,9859000,210630000,73127000,10342000,1358000,83469000,294099000,40798000,17347000,10942000,10800000,51740000,3285000,1.05879118406788e-22,3285000,55025000,62537000,176464000,73000.0000000001,239074000,239074000,294099000,22013000,2054000,-5987000,-20192000,-2112000,-5505000,-5307000,-5866000,-5866000,-11169.4524630984,-5866000,33871000,0,17883000,0.52147,0.40922,0.28312,0.09208,0.07485,0.81238,4.07093,0.23016,6.7762635780344e-21,1.71602,1.70289,6.06108,18.63701,1.39407,0.09083,0.07379,-1.90659,-2.02967
