"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",12.7109375,"Down",1276063000,-951289000,324774000,-286533000,-286533000,38241000,-46005000,-46005000,-7764000,-7764000,-993000,-8757000,-8757000,-8757000,-8757000,101185000,101185000,657867000,657867000,502269000,79212000,79212000,1340533000,736632000,960669000,596407000,30112000,1697301000,3037834000,734813000,420229000,314584000,30365000,823807000,1996818000,61691000,61691000,2058509000,2882316000,508642000,-353124000,155518000,155518000,3037834000,-8757000,23853000,19211000,66905000,101212000,-11753000,-1471073000,1372671000,114530000,114530000,0,1430895000,61034000,61034000,61034000,62094000,2027183000,118239000,0.25451,0.02997,-0.00686,-0.05631,-0.00288,-13.50223,1.62724,18.53365,0.66731,-0.08273,-0.08273,12.05471,1.46915,1.11698,-0.0039,0.05268,31.01746,50.36474
"22","2016_Q1",8.66131147540984,"Down",1455855000,-1073518000,382337000,-346506000,-346506000,35831000,-43014000,-43014000,-7183000,-7183000,-3397000,-10580000,-10580000,-10580000,-10580000,65063000,65063000,528544000,528544000,513045000,87677000,87677000,1194329000,734329000,953380000,739625000,22116000,1687709000,2882038000,659252000,365347000,293905000,29153000,735238000,1922518000,75087000,63585000,1997605000,2732843000,512899000,-363704000,149195000,149195000,2882038000,-10580000,27645000,8775000,32425000,58265000,-13632000,-17026000,-77848000,2380000.00000003,2380000,-5.82076609134674e-11,-77360999.9999998,-36122000,-36122000,-36122000,63476000,1951671000,85666000,0.26262,0.02461,-0.00727,-0.07091,-0.00367,-8.09698,1.62441,18.31726,0.67718,-0.09659,-0.10047,13.29099,1.36205,0.78207,-0.00486,0.03937,29.7216,52.65295
"23","2016_Q2",11.545,"Up",1397114000,-1047366000,349748000,-326969000,-326969000,22779000,-35224000,-35224000,-12445000,-12445000,-4535000,-16980000,-16980000,-16980000,-16980000,3728000,3728000,590057000,590057000,536922000,58919000,58919000,1189626000,708838000,950627000,739625000,28855000,1659465000,2849091000,660814000,432050000,228764000,29416000,732469000,1897713000,84975000,84975000,1982688000,2715157000,514618000,-380684000,133934000,133934000,2849091000,-16980000,30791000,2113000,-59220000,-43296000,-8588000,-8588000,-4174000,-854000,194000,-1048000,-9451000,-61335000,-61335000,-61335000,53570000,1927129000,-9703000,0.25034,0.0163,-0.01215,-0.12678,-0.00596,0.57144,1.62413,20.27235,0.6764,-0.15449,-0.15449,12.71109,1.21855,-0.08828,-0.00791,-0.00452,35.90444,84.43746
"24","2016_Q3",12.59015625,"Up",1677301000,-1258969000,418332000,-341909000,-341909000,76423000,-42803000,-42803000,33620000,33620000,-4179000.00000001,29441000,29441000,29441000,29441000,6191999.99999999,6191999.99999999,667905000,667905000,578776000,66012000,66012000,1318885000,698969000,947336000,740411000,32017000,1646305000,2965190000,729193000,482629000,246564000,28540000,797191000,1909823000,89055000,89055000,1998878000,2796069000,520364000,-351243000,169121000,169121000,2965190000,29441000,30558000,8642000,-57144000,11497000,-13161000,-17131000,5985000,3192000,3236000,-43999.9999999998,8098000,2464000,2464000,2464000,106981000,1938363000,40855000,0.24941,0.04556,0.01755,0.17408,0.00993,1.38769,1.65442,16.53295,0.65371,0.26682,0.25938,15.20134,1.53274,0.37027,0.0134,0.0186,18.06088,25.28259
"25","2016_Q4",10.8492063492063,"Down",1745957000,-1308864000,437093000,-350837000,-350837000,86256000,-92289000,-92289000,-6033000,-6033000,131502000,125469000,125469000,125469000,125469000,5850000,5850000,677171000,677171000,570582000,77380000,77380000,1330983000,669683000,1051637000,740411000,28023000,1721320000,3052303000,700848000,446581000,254267000,18985000,760521000,1924817000,66651000,66651000,1991468000,2751989000,526088000,-225774000,300314000,300314000,3052303000,125469000,25552000,-80241000,-42699000,28081000,-9562000,-9562000,22094000,3117000,3117000,0,-18861000,-342000,-342000,-342000,111808000,1943802000,-71955000,0.25035,0.0494,0.07186,0.41779,0.04111,-0.57349,1.75009,9.16371,0.63683,1.12845,1.09798,15.70289,2.70098,-0.64715,0.0543,-0.03114,17.33286,22.46745
"26","2017_Q1",12.9291935483871,"Up",1546912000,-1155337000,391575000,-340697000,-340697000,50878000,-44351000,-44351000,6527000,6526999.99999999,-116000,6411000.00000001,6411000,6411000,6411000,14449000,14449000,569208000,569208000,541771000,90553000,90553000,1215981000,656101000,1037805000,740411000,22701000,1693906000,2909887000,702874000,409759000,293115000,16217000,754697000,1785835000,59735000,59735000,1845570000,2600267000,528983000,-219363000,309620000,309620000,2909887000,6411000,22892000,16931000,115711000,161945000,-3046000,-3046000,-141422000,80000,80000,0,-150300000,8599000,8599000,8599000,73770000,1802052000,186551000,0.25313,0.03289,0.00414,0.02071,0.00220000000000001,29.09858,1.61122,8.39825,0.61929,0.0574599999999998,0.0549599999999999,13.86408,2.77494,1.67195,0.00295,0.08591,24.23211,35.13509
"27","2017_Q2",14.9385714285714,"Up",1533064000,-1157012000,376052000,-335775000,-335775000,40277000,-36157000,-36157000,4120000,4120000,-298000,3822000,3822000,3822000,3822000,4515000,4515000,622580000,622580000,618014000,84477000,84477000,1329586000,644663000,1041641000,740411000,24584000,1686304000,3015890000,660200000,467220000,192980000,16144000,705867000,1926641000,58919000,58919000,1985560000,2691427000,531115000,-206652000,324463000,324463000,3015890000,3822000,23592000,9205000,-173061000,-136442000,-9329000,-9329000,139374000,-772000,1701000,-2473000,135837000,-9934000,-9934000,-9934000,63869000,1942785000,-118223000,0.24529,0.02627,0.00249,0.01178,0.00127,-30.93223,1.88362,8.29502,0.64418,0.03414,0.03336,13.69247,2.89792,-1.0559,0.00164,-0.05082,30.34759,48.12349
"28","2017_Q3",16.1266666666667,"Up",1843297000,-1382500000,460797000,-369456000,-369456000,91341000,-33710000,-33710000,57631000,57631000,-19721000,37910000,37910000,37910000,37910000,6931000,6931000,720639000,720639000,651041000,91850000,91850000,1470461000,643295000,1016954000,740411000,22307000,1660249000,3130710000,769138000,503533000,265605000,12939000,814764000,1887802000,61039000,61039000,1948841000,2763605000,535847000,-168742000,367105000,367105000,3130710000,37910000,24173000,19525000,-21511999.9999999,60095999.9999999,-13235000,-13235000,-45668000.0000001,1257000,1257000,0,-44445000.0000001,2416000,2416000,2416000,115514000,1900741000,100488000,0.24999,0.04955,0.02057,0.10327,0.01211,2.6507,1.80477,7.52811,0.60713,0.33715,0.32832,16.39317,3.26481,0.89368,0.01628,0.04315,16.39464,20.73341
"29","2017_Q4",18.9636507936508,"Up",1878909000,-1419587000,459322000,-370638000,-370638000,88684000,-33836000,-33836000,54848000,54848000,-15098000,39750000,39750000,39750000,39750000,9337000,9337000,724007000,724007000,627238000,95017000,95017000,1455599000,641143000,996303000,740411000,21733000,1637446000,3093045000,757337000,505810000,251527000,12165000,781928000,1839072000,60040000,60040000,1899112000,2681040000,540997000,-128992000,412005000,412005000,3093045000,39750000,23031000,20488000,-14521000,68748000,-20694000,-20694000,-47261000,1613000,1616000,-3000,-45648000,2406000,2406000,2406000,111715000,1851237000,91598000,0.24446,0.0472,0.02116,0.09648,0.01285,2.30435,1.86155,6.5073,0.59852,0.35274,0.34305,16.67355,3.65616,0.81285,0.01711,0.03943,16.48749,20.76925
"30","2018_Q1",21.1783606557377,"Up",1778939000,-1347719000,431220000,-366419000,-366419000,64801000,-89471000,-89471000,-24670000,-24670000,-18031000,-42701000,-42701000,-42701000,-42701000,57533000,57533000,631992000,631992000,601547000,104796000,104796000,1395868000,639303000,970953000,740411000,22870000,1610256000,3006124000,785879000,514282000,271597000,12475000,798354000,1771945000,59616000,59616000,1831561000,2629915000,547902000,-171693000,376209000,376209000,3006124000,-42701000,22197000,83108000,123522000,186126000,-16168000,-16168000,-76371000,3313000,3481000,-168000,-121762000,48196000,48196000,48196000,86998000,1784420000,212383000,0.2424,0.03643,-0.024,-0.1135,-0.0142,-4.97372,1.74843,6.99057,0.59359,-0.37704,-0.36662,15.70765,3.32185,1.8753,-0.01923,0.09566,19.84973,26.64908
"31","2018_Q2",19.11515625,"Down",1700436000,-1289384000,411052000,-358908000,-358908000,52144000,-26742000,-26742000,25402000,25402000,-2182000,23220000,23220000,23220000,23220000,10069000,10069000,710448000,710448000,678790000,103808000,103808000,1503115000,643721000,962853000,740411000,22990000,1606574000,3109689000,675982000,488178000,187804000,12413000,719391000,1928410000,60915000,60915000,1989325000,2708716000,547978000,-147005000,400973000,400973000,3109689000,23220000,22819000,5734000,-230098000,-178325000,-19545000,-19545000,153220000,-2814000,2041000,-4855000,150406000,-47464000,-47464000,-47464000,74963000,1940823000,-172498000,0.24173,0.03067,0.01366,0.05791,0.00747,-7.42885,2.08943,6.75536,0.62412,0.20352,0.19898,14.90434,3.51453,-1.51195,0.00966,-0.07179,25.75609,37.02735
"32","2018_Q3",16.9380952380952,"Down",2089888000,-1593560000,496328000,-391769000,-391769000,104559000,-28957000,-28957000,75602000,75602000,-18980000,56622000,56622000,56622000,56622000,13196000,13196000,820396000,820396000,782757000,110603000,110603000,1726952000,655572000,940328000,740411000,24767000,1595900000,3322852000,812930000,562549000,250381000,13971000,846750000,1954243000,60388000,60388000,2014631000,2861381000,551854000,-90383000,461471000,461471000,3322852000,56622000,24768000,21539000,-93573000.0000001,9355999.99999994,-29328000,-29328000,22928000,171000.000000001,171000,0,23099000,3126999.99999999,3126999.99999999,3126999.99999999,129327000,1968214000,25406000,0.23749,0.05003,0.02709,0.1227,0.01704,0.44869,2.03951,6.20057,0.59233,0.49393,0.48522,18.23064,4.02553,0.22162,0.02274,0.0102,15.11686,18.69775
"33","2018_Q4",12.5642857142857,"Down",2118467000,-1595686000,522781000,-400993000,-400993000,121788000,-29106000,-29106000,92682000,92682000,-19354000,73328000,73328000,73328000,73328000,34446000,34446000,805317000,805317000,679471000,94740000,94740000,1613974000,665732000,913879000,740411000,23442000,1579611000,3193585000,743611000,487775000,255836000,14620000,771762000,1826962000,56546000,56546000,1883508000,2655270000,555370000,-17055000,538315000,538315000,3193585000,73328000,25104000,21484000,58585000,178501000,-27930000,-27930000,-129503000,182000,182000,0,-129321000,21250000,21250000,21250000,146892000,1841582000,196901000,0.24677,0.05749,0.03461,0.13622,0.02296,2.68521,2.09128,4.93256,0.57665,0.63926,0.62966,18.46851,4.69296,1.71656,0.0301,0.08081,12.30248,14.83837
"34","2019_Q1",13.142131147541,"Up",1815980000,-1323201000,492779000,-402302000,-402302000,90477000,-23408000,-23408000,67069000,67069000,-15048000,52021000,52021000,52021000,52021000,10127000,10127000,654170000,654170000,596896000,112558000,112558000,1373751000,670075000,888483000,740411000,22152000,1558558000,2932309000,715694000,423168000,292526000,15565000,731259000,1545729000,58983000,58983000,1604712000,2335971000,561372000,34966000,596338000,596338000,2932309000,52021000,25215000,17565000,178497000,273298000,-19855000,-19855000,-279139000,1511000,1551000,-40000,-277762000,-24319000,-24319000,-24319000,115692000,1561294000,289382000,0.27136,0.04982,0.02865,0.08723,0.01774,5.56279,1.87861,3.91719,0.53245,0.45271,0.44703,15.80336,5.18956,2.51831,0.02347,0.13055,13.40773,17.14432
"35","2019_Q2",14.958253968254,"Up",1631300000,-1189325000,441975000,-370084000,-370084000,71891000,-24901000,-24901000,46990000,46990000,-11282000,35708000,35708000,35708000,35708000,11724000,11724000,648942000,648942000,635499000,89589000,89589000,1385754000,669055000,1144656000,740411000,291831000,1813711000,3199465000,660575000,471338000,189237000,17045000,737911000,1562085000,266998000,266998000,1829083000,2566994000,561797000,70674000,632471000,632471000,3199465000,35708000,23576000,12302000,-65511000,6075000,-20804000,-20804000,18560000,-2234000,216000,-2450000,16326000,1597000,1597000,1597000,95467000,1579130000,20434000,0.27093,0.04407,0.02189,0.05646,0.01116,0.57225,1.87794,4.05867,0.49356,0.30936,0.30642,14.13299,5.4795,0.17703,0.01441,0.00824,16.4183,21.80253
"36","2019_Q3",18.64125,"Up",1904523000,-1387367000,517156000,-401511000,-401511000,115645000,-29382000,-29382000,86263000,86263000,-19659000,66604000,66604000,66604000,66604000,10552000,10552000,715405000,715405000,617527000,90474000,90474000,1433958000,675310000,1140703000,740411000,297532000,1816013000,3249971000,774993000,516897000,258096000,12650000,848219000,1420462000,277159000,271192000,1697621000,2545840000,566853000,137278000,704131000,704131000,3249971000,66604000,23814000,17733000,64559000,172710000,-19968000,-19968000,-148303000,1667000,1667000,0,-153914000,-1172000,-1172000,-1172000,139459000,1433112000,203709000,0.27154,0.06072,0.03497,0.09459,0.02049,3.05851,1.69055,3.61558,0.44096,0.57537,0.56965,16.45248,6.08273,1.75977,0.02759,0.08437,10.20056,12.30109
"37","2019_Q4",23.895,"Up",1981035000,-1439893000,541142000,-411510000,-411510000,129632000,-27788000,-27788000,101844000,101844000,-23714000,78130000,78130000,78130000,78130000,43271000,43271000,721134000,721134000,581543000,84129000,84129000,1430077000,696154000,1171528000,754765000,310405000,1867682000,3297759000,789095000,499360000,289735000,14370000,863745000,1350467000,304546000,285710000,1655013000,2518758000,571531000,207470000,779001000,779001000,3297759000,78130000,24381000,22104000,56864000,181479000,-31691000,-65622000,-72944000,-6605000,1337000,-7942000,-83138000,32719000,32719000,32719000,154013000,1364837000,202900000,0.27316,0.06544,0.03944,0.1003,0.02369,2.59695,1.65567,3.23332,0.41387,0.67509,0.66688,17.11729,6.73102,1.75317,0.03191,0.08287,8.58087,10.19475
"38","2020_Q1",22.5908064516129,"Down",1763573000,-1287017000,476556000,-401418000,-401418000,75138000,-27480000,-27480000,47658000,47658000,-6291000,41367000,41367000,41367000,41367000,14096000,14096000,614946000,614946000,561255000,116570000,116570000,1306867000,721887000,1220736000,769022000,314909000,1942623000,3249490000,745773000,436823000,308950000,13875000,821301000,1277398000,325838000,289193000,1603236000,2424537000,576116000,248837000,824953000,824953000,3249490000,41367000,28267000,22214000,51934000,143782000,-33862000,-92786000,-81772000,1653000,1653000,-9.31322574615479e-10,-80171000,-29175000,-29175000,-29175000,103405000,1291273000,127768000,0.27022,0.04261,0.02346,0.05014,0.01273,3.08865,1.59122,2.939,0.39738,0.35681,0.35209,15.21174,7.11565,1.10207,0.01694,0.05232,12.35121,16.99775
"39","2020_Q2",18.0650793650794,"Down",1787021000,-1321608000,465413000,-404466000,-404466000,60947000,-51931000,-51931000,9016000,9016000,-249000,8767000,8767000,8767000,8767000,163872000,163872000,702192000,702192000,640048000,98769000,98769000,1604881000,730738000,1225739000,777283000,307898000,1956477000,3561358000,774867000,551548000,223319000,22518000,859013000,1545211000,323596000,286100000,1868807000,2727820000,575934000,257604000,833538000,833538000,3561358000,8767000,29400000,10029000,-98850000,-50654000,-27960000,-43853000,256051000,-3436000,398000,-3834000,244283000,149776000,149776000,149776000,90347000,1567729000,-36214000,0.26044,0.03411,0.00491,0.01052,0.00246,-4.13072,1.86828,3.27258,0.44021,0.07541,0.07462,15.37117,7.16973,-0.3115,0.00322,-0.01329,15.5385,23.03406
"40","2020_Q3",27.144375,"Up",1945643000,-1428311000,517332000,-388077000,-388077000,129255000,-26812000,-26812000,102443000,102443000,-23519000,78924000,78924000,78924000,78924000,385461000,385461000,719684000,719684000,615142000,81300000,81300000,1801587000,743542000,1219549000,777283000,308054000,1963091000,3764678000,847245000,554394000,292851000,23974000,933106000,1577884000,337754000,299585000,1915638000,2848744000,579406000,336528000,915934000,915934000,3764678000,78924000,28475000,5687000,107454000,220540000,-25398000,-25398000,31924000.0000001,-9000.00000000093,310000,-319000,26446999.9999999,221589000,221589000,221589000,157730000,1601858000,263305000,0.26589,0.06643,0.04056,0.08617,0.02096,3.33618,1.93074,3.11021,0.4255,0.67668,0.67143,16.68161,7.85306,2.25753,0.02764,0.09221,7.71189,9.41083
"41","2020_Q4",35.423125,"Up",2295450000,-1724799000,570651000,-430893000,-430893000,139758000,-28043000,-28043000,111715000,111715000,-25783000,85932000,85932000,85932000,85932000,340927000,340927000,860842000,860842000,751149000,108824000,108824000,2061742000,750841000,1202351000,777283000,297946000,1953192000,4014934000,993391000,651332000,342059000,29527000,1084871000,1574146000,348052000,310692000,1922198000,3007069000,585405000,422460000,1007865000,1007865000,4014934000,85932000,29423000,6008000,-136103000,-14740000,-26852000,-26852000,19109000,635000,635000,0,-2942000,-44534000,-44534000,-44534000,169181000,1603673000,32009000,0.2486,0.06088,0.03744,0.08526,0.0214,0.37249,1.90045,2.9836,0.39943,0.73614,0.72805,19.66394,8.63386,0.2742,0.02904,0.01082,7.46388,9.03523
"42","2021_Q1",42.573606557377,"Up",2530760000,-1861572000,669188000,-455294000,-455294000,213894000,-28902000,-28902000,184992000,184992000,-45078000,139914000,139914000,139914000,139914000,423806000,423806000,822753000,822753000,784527000,192596000,192596000,2223682000,749130000,1200859000,785305000,295672000,1949989000,4173671000,927438000,600357000,327081000,27335000,1074853000,1596905000,349130000,299635000,1946035000,3020888000,590409000,562374000,1152783000,1152783000,4173671000,139914000,29268000,21053000,-85314000,104921000,-23372000,-40122000,17999000,80999.9999999991,81000,0,18080000,82879000,82879000,82879000,243162000,1624240000,179554000,0.26442,0.08452,0.05529,0.12137,0.03352,1.28332,2.06882,2.62052,0.38916,1.19771,1.17973,21.66413,9.8682,1.53704,0.04476,0.05744,4.93677,5.61228
"43","2021_Q2",46.3738095238095,"Up",4173775000,-3104221000,1069554000,-821598000,-821598000,247956000,-31844000,-31844000,216112000,216112000,-43532000,172580000,172580000,172580000,172580000,19118000,19118000,1749650000,1749650000,1585612000,216288000,216288000,3570668000,1297756000,4511082000,2536909000,472923000,5808838000,9379506000,1752728000,1123804000,628924000,14134000,1861178000,1658109000,876274000,485697000,2534383000,4395561000,4248991000,734954000,4983945000,4983945000,9379506000,172580000,134331000,4419000,-511838000,-200508000,-36069000,131421000,-318671000,-10183000,235000,-10418000,-335601000,-404688000,-404688000,-404688000,382287000,1672243000,-122088000,0.25626,0.05941,0.04135,0.03463,0.0184,-0.70743,1.9185,0.88194,0.17829,0.83545,0.82723,20.20504,24.12703,-0.59102,0.02291,-0.01621,4.3243,6.66701
